	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.S32W.1926.SM.4AD63	GTEX.Y5LM.0426.SM.4VBRO	GTEX.TKQ2.1726.SM.4DXUP	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13N11.0926.SM.5IJG2	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.ZZPU.0426.SM.5GZYH	GTEX.131XE.0326.SM.5LZVO	GTEX.11DXZ.0126.SM.5EGGY	GTEX.12KS4.1326.SM.5LUB3	GTEX.13OW6.2626.SM.5IFF2	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	TCGA.38.4625.01A.01R.1206.07	TCGA.55.8621.01A.11R.2403.07	TCGA.78.7633.01A.11R.2066.07	TCGA.50.5068.01A.01R.1628.07	TCGA.55.6984.11A.01R.1949.07	TCGA.50.5936.11A.01R.1628.07	TCGA.91.6849.11A.01R.1949.07	TCGA.55.6968.11A.01R.1949.07	TCGA.50.5931.11A.01R.1858.07	TCGA.44.6778.11A.01R.1858.07	TCGA.91.6829.11A.01R.1858.07	TCGA.49.6761.11A.01R.1949.07	TCGA.49.6744.11A.01R.1858.07	TCGA.55.6972.11A.01R.1949.07	TCGA.91.6836.11A.01R.1858.07	TCGA.91.6847.11A.01R.1949.07	TCGA.91.6828.11A.01R.1858.07	TCGA.44.2668.11A.01R.1758.07	TCGA.91.6831.11A.02R.1858.07	TCGA.73.4676.11A.01R.1755.07	TCGA.50.6595.11A.01R.1858.07	TCGA.44.6777.11A.01R.1858.07	TCGA.44.2662.11A.01R.1758.07	TCGA.38.4626.11A.01R.1758.07	GTEX.OHPK.0526.SM.2HMJB	GTEX.P44H.1126.SM.48TBU	GTEX.1313W.0926.SM.5EQ56	GTEX.O5YW.0526.SM.2YUMX	GTEX.131XF.1026.SM.5BC6A	GTEX.XYKS.0526.SM.4BRW2	GTEX.OOBJ.0526.SM.48TDK	GTEX.P4QT.0526.SM.2I3EX	GTEX.SE5C.0526.SM.2XCE1	GTEX.111YS.0626.SM.5GZXV	GTEX.117YX.1326.SM.5H125	GTEX.13YAN.1026.SM.5O9CF	GTEX.13113.0426.SM.5GCOD	GTEX.1477Z.0626.SM.5NQB7	GTEX.12BJ1.1026.SM.5EGJA	GTEX.11EMC.0126.SM.5EGKV	GTEX.1122O.0126.SM.5GICA	GTEX.12ZZW.0926.SM.5LZUD	GTEX.ZT9W.0726.SM.4YCDC	GTEX.ZDTT.0926.SM.5J2MS	GTEX.1399S.1726.SM.5L3DI	GTEX.XPVG.1026.SM.4B64Y	GTEX.X261.1026.SM.3NMDL	GTEX.S341.0326.SM.2XCAU	GTEX.11WQK.1226.SM.5GU5Z	GTEX.ZYVF.1726.SM.5E443	GTEX.131XE.0726.SM.5HL9K	GTEX.148VJ.0826.SM.5LU8V	GTEX.PLZ5.0726.SM.2I5F9	GTEX.X4EP.0526.SM.3P5YW	GTEX.UJMC.0726.SM.3GADX	GTEX.13FHO.1026.SM.5KM1Q	GTEX.RM2N.0426.SM.2TF4T	GTEX.13OVG.0326.SM.5KM57	GTEX.131XH.0426.SM.5DUWU	TCGA.22.5478.11A.11R.1635.07	TCGA.22.4609.11A.01R.2125.07	TCGA.34.8454.11A.01R.2326.07	TCGA.77.7338.11A.01R.2045.07	TCGA.43.6771.11A.01R.1820.07	TCGA.22.5491.11A.01R.1858.07	TCGA.22.5481.11A.01R.1949.07	TCGA.33.6737.11A.01R.1820.07	TCGA.56.7731.11A.01R.2125.07	TCGA.43.7658.11A.01R.2125.07	TCGA.56.8083.11A.01R.2247.07
AFF2	0.35	1.0	2.1	0.0	3.38	0.3	0.29	10.55	0.12	9.34	0.0	0.34	0.21	1.93	2.66	0.0	0.0	0.0	0.0	29.48	17.77	1.66	11.13	48.18	45.85	8.0	55.49	35.5	27.64	39.22	57.89	38.4	37.05	14.78	18.03	15.22	46.18	20.71	54.72	31.0	31.9	10.16	103.69	24.63	4.35	98.73	141.02	6.06	36.79	63.0	23.08	271.48	153.34	103.69	136.19	57.49	92.7	71.5	101.54	97.36	78.89	185.11	81.71	69.52	348.71	57.08	4.21	80.57	41.52	89.51	67.12	17.0	124.37	18.43	146.03	190.34	67.59	49.91	39.22	53.19	48.52	37.32	46.5	32.59	75.64	20.86	16.88	43.02
ARHGAP31	151.22	120.94	72.01	33.06	47.17	51.35	33.3	58.3	53.57	46.84	52.82	37.05	80.01	73.03	53.95	52.45	50.63	52.82	0.0	301.33	186.4	47.17	441.64	753.83	583.07	381.68	684.02	607.87	476.71	587.13	836.53	679.29	591.22	518.15	536.45	500.46	620.67	460.44	743.43	529.06	559.28	307.69	848.22	202.66	256.78	3349.13	1757.34	139.07	1242.34	1628.26	848.22	1685.71	2148.82	387.02	808.0	607.87	1857.6	723.08	1001.93	848.22	1407.55	1769.57	1159.07	1143.1	1167.14	379.04	123.5	124.37	529.06	599.49	1794.29	285.03	1437.15	271.48	1208.34	796.86	638.15	836.53	629.35	480.04	595.34	547.75	466.88	460.44	693.58	743.43	444.72	587.13
ARHGAP6	25.91	25.91	15.91	7.94	9.93	11.13	5.87	15.68	8.0	7.22	5.45	7.57	19.82	9.7	42.11	13.93	5.77	10.79	0.0	135.24	44.57	20.11	172.65	303.44	334.46	120.1	224.97	264.03	211.31	206.94	379.04	297.17	199.85	190.34	206.94	169.07	299.25	223.41	348.71	236.21	185.11	171.45	195.72	414.87	116.78	435.55	500.46	52.82	507.46	325.29	363.56	480.04	327.56	529.06	293.07	420.68	217.27	397.93	384.34	490.14	305.55	400.71	346.29	351.14	575.03	376.41	334.46	361.04	246.28	400.71	438.59	167.9	346.29	381.68	353.59	348.71	514.56	267.73	281.09	248.0	258.57	197.09	204.07	199.85	346.29	281.09	211.31	346.29
ATXN1L	171.45	120.1	98.73	83.45	124.37	133.36	90.77	161.02	77.79	144.01	90.77	120.1	132.44	143.01	54.33	76.17	139.07	138.1	0.0	277.2	201.25	118.43	339.14	366.09	412.0	226.54	426.57	363.56	229.72	314.17	447.82	414.87	314.17	368.65	381.68	307.69	366.09	209.84	429.54	314.17	318.57	180.02	366.09	314.17	325.29	595.34	629.35	234.57	256.78	466.88	329.84	723.08	536.45	525.39	423.61	289.02	480.04	412.0	438.59	316.37	525.39	521.76	441.64	493.56	470.14	265.87	123.5	170.25	251.48	435.55	441.64	231.32	571.05	175.07	583.07	638.15	403.5	529.06	381.68	343.89	307.69	346.29	312.0	299.25	329.84	283.05	303.44	406.31
B3GALNT1	117.6	14.14	17.9	5.32	73.54	10.0	13.03	19.68	18.03	16.27	14.24	4.98	38.67	64.34	40.93	58.3	4.94	23.08	0.0	287.01	96.68	271.48	457.25	470.14	669.92	237.86	500.46	476.71	265.87	511.0	595.34	753.83	409.15	420.68	483.38	194.36	607.87	733.19	647.07	529.06	450.94	283.05	500.46	336.79	239.52	1857.6	1304.15	426.57	3794.3	587.13	463.65	2209.26	2018.8	293.07	551.56	1508.65	363.56	379.04	2434.5	511.0	1051.79	1594.73	1794.29	1242.34	1051.79	514.56	198.47	376.41	473.41	291.04	1467.37	205.5	848.22	713.11	796.86	497.0	189.02	490.14	483.38	435.55	571.05	253.23	325.29	312.0	738.29	406.31	507.46	603.67
BMPR2	327.56	154.42	84.63	78.34	218.79	178.77	120.94	154.42	57.49	234.57	97.36	105.15	234.57	187.71	198.47	140.04	135.24	193.01	0.0	435.55	363.56	223.41	476.71	1159.07	1127.35	339.14	1242.34	1242.34	503.95	1143.1	1242.34	1008.9	791.35	703.28	866.07	460.44	1745.2	1111.82	1639.59	769.69	638.15	518.15	660.68	543.96	825.0	1073.91	1781.89	295.11	1417.35	743.43	1242.34	1745.2	1437.15	1242.34	1127.35	1583.71	1119.56	551.56	941.27	1561.89	1096.5	995.0	947.83	947.83	1508.65	902.89	447.82	525.39	1397.83	1781.89	1167.14	836.53	813.63	941.27	1340.84	808.0	775.05	947.83	890.44	825.0	1447.15	830.75	769.69	575.03	1572.76	775.05	660.68	819.3
C3orf36	3.69	4.46	7.4	0.0	0.0	2.16	0.91	0.89	3.82	0.0	3.92	11.04	0.0	0.0	0.0	0.83	8.38	1.48	0.0	27.44	18.43	7.0	4.82	64.8	202.66	19.11	150.17	241.19	39.79	32.82	239.52	116.78	45.53	25.72	42.11	102.97	41.81	48.18	99.43	88.26	84.63	77.25	158.79	90.77	7.22	198.47	414.87	89.51	71.0	353.59	339.14	199.85	189.02	63.89	256.78	129.69	198.47	16.75	205.5	41.52	249.73	180.02	127.0	138.1	187.71	76.71	5.73	24.46	115.16	100.13	85.22	13.72	185.11	27.64	307.69	150.17	32.36	60.82	41.52	34.51	17.13	149.12	87.65	43.32	106.63	182.55	22.59	46.84
CCDC85A	6.01	1.99	1.23	1.28	0.0	0.0	0.0	2.46	1.25	1.77	0.0	0.0	3.08	1.85	1.43	4.17	0.77	0.72	0.0	55.49	41.52	23.25	127.89	166.73	191.67	54.72	181.28	134.3	49.21	142.01	151.22	232.94	81.14	154.42	151.22	64.8	140.04	86.43	211.31	98.73	152.28	67.59	77.25	61.25	105.15	842.36	435.55	44.89	341.51	249.73	131.51	438.59	860.08	287.01	214.27	312.0	186.4	71.5	248.0	201.25	208.38	665.29	507.46	366.09	277.2	80.57	43.02	107.38	249.73	91.41	237.86	114.36	166.73	171.45	267.73	127.0	60.39	212.78	182.55	165.57	106.63	127.0	144.01	81.14	197.09	118.43	158.79	232.94
CD109	49.56	85.82	6.94	7.4	0.79	9.06	4.06	5.77	74.06	7.06	8.19	6.41	24.11	18.16	13.42	8.99	10.96	2.41	0.0	105.15	39.22	50.63	77.79	135.24	248.0	80.01	167.9	226.54	191.67	139.07	244.57	211.31	135.24	88.26	181.28	185.11	228.13	155.5	189.02	178.77	110.43	125.24	221.86	638.15	98.73	708.18	769.69	73.03	460.44	190.34	258.57	1561.89	769.69	169.07	194.36	466.88	303.44	563.18	941.27	480.04	353.59	532.74	291.04	679.29	426.57	198.47	53.57	14.14	42.71	713.11	454.09	214.27	514.56	567.1	967.76	665.29	205.5	149.12	127.0	171.45	208.38	159.9	96.68	100.13	305.55	199.85	120.94	133.36
CTTNBP2NL	241.19	95.34	60.82	18.84	34.26	98.04	22.75	42.71	94.67	53.57	68.07	30.56	139.07	69.52	133.36	65.26	77.79	36.53	0.0	301.33	273.37	142.01	214.27	426.57	384.34	186.4	463.65	403.5	285.03	400.71	483.38	334.46	346.29	312.0	463.65	283.05	633.73	295.11	507.46	303.44	341.51	249.73	420.68	947.83	228.13	633.73	483.38	166.73	521.76	457.25	332.14	854.13	454.09	733.19	454.09	536.45	536.45	329.84	307.69	559.28	638.15	583.07	438.59	563.18	728.11	237.86	447.82	195.72	283.05	620.67	890.44	177.53	395.18	343.89	387.02	392.44	529.06	435.55	473.41	397.93	447.82	384.34	264.03	297.17	595.34	423.61	307.69	497.0
