	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.VJWN.0726.SM.3GIJ8	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.7331.01A.11R.2118.07	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.7742.01A.11R.2118.07	TCGA.HC.7075.01A.11R.1965.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.EJ.8468.01A.21R.2403.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.KK.A7B1.01A.11R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.QU.A6IP.01A.11R.A31N.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.KK.A7B3.01A.11R.A33R.07	TCGA.HC.7211.01A.11R.2118.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07
ACOT7	112.77	78.89	511.0	361.04	466.88	384.34	329.84	387.02	493.56	476.71	579.04	521.76	575.03	426.57	447.82	327.56	351.14	301.33	373.81	334.46	356.05	397.93	698.41	309.83	444.72	511.0	651.58	447.82	432.53	435.55	220.32	329.84	318.57	234.57	591.22	277.2	267.73	420.68	314.17	336.79	454.09	307.69	379.04
ADCK5	36.79	26.47	0.64	118.43	246.28	125.24	143.01	145.02	400.71	171.45	151.22	159.9	201.25	341.51	153.34	73.54	201.25	164.42	178.77	70.01	95.34	329.84	239.52	121.79	273.37	255.0	190.34	305.55	199.85	336.79	122.64	75.64	88.88	131.51	289.02	193.01	84.04	175.07	256.78	143.01	112.77	126.12	137.14
ADRM1	444.72	748.61	3491.39	1991.0	3124.78	2956.17	1540.37	2895.31	3665.02	2777.33	3303.0	2627.46	2609.3	2895.31	2148.82	1781.89	2537.92	1781.89	3235.01	2032.85	1844.76	3372.43	4210.15	1832.01	3820.7	2555.58	3190.46	3124.78	2976.74	2915.45	2061.24	1794.29	1508.65	2061.24	3280.18	2502.97	1857.6	3443.31	3257.52	2537.92	2976.74	1991.0	2178.83
AKT1S1	547.75	271.48	0.67	902.89	1437.15	1277.29	674.59	1295.13	1721.16	1127.35	1583.71	1225.22	1369.04	1322.37	1233.75	764.36	1295.13	808.0	1508.65	902.89	1051.79	1397.83	1674.06	860.08	1304.15	1417.35	1143.1	1498.22	1175.27	1447.15	954.43	878.17	842.36	848.22	1529.73	1119.56	967.76	1277.29	1529.73	1151.06	1313.23	836.53	1044.52
AP001816.1	136.19	81.14	0.13	2664.15	3349.13	4358.66	1605.83	3665.02	1923.14	1662.49	7032.37	1427.22	4869.99	1397.83	2777.33	2090.03	2796.65	1508.65	3665.02	2915.45	493.56	5995.9	4704.07	2287.2	1233.75	4512.4	6121.9	2739.08	3018.3	6792.79	4298.64	1781.89	995.0	1896.65	4512.4	5594.3	1883.54	3614.55	4388.98	6699.25	3325.99	1066.48	1594.73
APEH	1167.14	679.29	0.04	2193.99	3303.0	2485.67	1733.13	2193.99	3146.52	2664.15	1819.35	2935.74	2895.31	1923.14	3124.78	1950.0	2664.15	1870.53	2855.44	2061.24	2434.5	2935.74	3467.27	2075.59	3665.02	3039.3	2148.82	2573.36	2367.9	2485.67	1991.0	2645.74	1844.76	1950.0	2895.31	2400.97	2224.63	2777.33	2018.8	2835.7	2319.15	2303.12	2133.97
ARPC5L	595.34	679.29	493.56	836.53	1295.13	1044.52	854.13	896.64	1477.58	947.83	1199.98	1066.48	1119.56	1059.11	733.19	890.44	1044.52	884.29	1051.79	878.17	764.36	1350.18	1594.73	854.13	1088.92	1081.39	1259.69	1135.2	1225.22	1081.39	669.92	802.41	791.35	819.3	1225.22	878.17	753.83	1015.93	1159.07	1008.9	1250.98	753.83	723.08
ASPSCR1	163.28	178.77	0.84	612.11	1111.82	651.58	435.55	860.08	1051.79	775.05	1088.92	825.0	1030.12	813.63	902.89	392.44	1001.93	518.15	836.53	373.81	571.05	1001.93	1295.13	463.65	1183.45	796.86	866.07	1159.07	921.88	1322.37	571.05	397.93	420.68	514.56	1225.22	854.13	420.68	684.02	1295.13	796.86	947.83	591.22	624.99
ATAD3A	70.51	123.5	0.68	400.71	693.58	253.23	258.57	486.75	1073.91	450.94	521.76	532.74	607.87	638.15	551.56	248.0	460.44	293.07	503.95	325.29	392.44	603.67	728.11	339.14	738.29	543.96	543.96	629.35	466.88	708.18	400.71	363.56	237.86	368.65	698.41	551.56	366.09	559.28	612.11	420.68	387.02	320.8	314.17
ATP13A1	567.1	420.68	0.96	995.0	1498.22	1225.22	698.41	1427.22	2163.77	1008.9	1331.57	1304.15	1594.73	1457.23	1167.14	753.83	1397.83	713.11	1250.98	669.92	1001.93	1757.34	1674.06	902.89	1909.85	1208.34	1159.07	1781.89	1268.46	1540.37	974.5	825.0	603.67	854.13	1685.71	1268.46	988.12	988.12	1397.83	1295.13	1037.29	836.53	902.89
B4GALT7	204.07	246.28	0.25	638.15	1037.29	679.29	525.39	878.17	1001.93	723.08	819.3	748.61	954.43	854.13	748.61	571.05	866.07	651.58	748.61	633.73	571.05	884.29	1001.93	447.82	1127.35	764.36	961.07	890.44	825.0	1159.07	579.04	490.14	470.14	547.75	1277.29	718.08	567.1	866.07	813.63	934.76	819.3	660.68	698.41
C11orf31	1322.37	860.08	0.95	2163.77	3443.31	3589.58	2468.49	3690.52	4512.4	3325.99	3467.27	2875.3	3419.52	3060.45	2935.74	2119.22	3168.41	2997.45	3794.3	1963.57	2303.12	4543.8	4419.52	2485.67	5441.3	3235.01	3395.89	4802.93	3665.02	4388.98	2537.92	1819.35	1923.14	2739.08	4419.52	3901.01	2720.15	3303.0	3955.48	3060.45	3540.14	3325.99	2895.31
