	GTEX.S32W.1126.SM.4AD5V	GTEX.TMMY.1526.SM.4DXST	GTEX.U3ZM.0826.SM.4DXU6	GTEX.SE5C.1026.SM.4BRUG	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.CU.A0YN.11A.11R.A10U.07	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.CU.A0YR.11A.13R.A10U.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20R.11A.11R.A16R.07	TCGA.BT.A20Q.11A.11R.A14Y.07	TCGA.HM.A3JJ.11A.12R.A21T.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.L5.A88S.01A.11R.A36D.31	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.1399R.0926.SM.5J2N8	GTEX.14E7W.1926.SM.5S2R9	GTEX.12WSD.2026.SM.5HL7D	GTEX.13U4I.1326.SM.5KM25	GTEX.Y3IK.1326.SM.4YCD8	GTEX.11DXZ.1026.SM.5N9D5	GTEX.13W3W.1826.SM.5IJDE	GTEX.ZF2S.1326.SM.4WWAZ	GTEX.12696.1526.SM.5EGL6	GTEX.13VXT.1826.SM.5KM2F	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.13OW6.1626.SM.5IJD5	GTEX.14DAQ.1626.SM.5S2R1	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.WYVS.0826.SM.4RTXB	GTEX.ZYFC.1726.SM.5GZYX	GTEX.13G51.1026.SM.5K7YQ	GTEX.SNMC.0426.SM.4DM5Y	GTEX.U3ZH.1126.SM.4DXUG	GTEX.12WSD.1926.SM.5GCOV	GTEX.QLQW.0626.SM.447A6	GTEX.146FQ.1126.SM.5NQBM	GTEX.P78B.1126.SM.3P615	GTEX.WRHK.0426.SM.4MVOG	GTEX.ZAB5.1026.SM.5HL91	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	GTEX.PX3G.0726.SM.48TZT	GTEX.YECK.1726.SM.5IFI3	GTEX.145MH.1226.SM.5RQJT	GTEX.XBEW.1426.SM.4AT4J	GTEX.ZEX8.1326.SM.4WWEW	GTEX.ZYT6.1226.SM.5E44Q	GTEX.U3ZN.1826.SM.4DXUY	GTEX.WZTO.1526.SM.4PQYQ	GTEX.T2IS.0926.SM.4DM5B	GTEX.13O21.0826.SM.5J2NU	GTEX.13111.0926.SM.5DUVQ	TCGA.EJ.7783.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	GTEX.12BJ1.1226.SM.5LUAE	GTEX.13RTJ.2126.SM.5S2PZ	GTEX.14C5O.2826.SM.5RQI6	GTEX.13111.1326.SM.5GCNO	GTEX.OOBK.2025.SM.3LK5S	GTEX.XPVG.2026.SM.4B65E	GTEX.WK11.2626.SM.4OOSK	GTEX.ZVP2.0826.SM.59HJ6	GTEX.11EQ9.1726.SM.5HL6U	GTEX.S3XE.1326.SM.4AD4H	GTEX.12696.2226.SM.5EQ65	GTEX.14E6E.1126.SM.5S2R4	TCGA.BR.8371.01A.11R.2343.13	TCGA.FP.7735.11A.01R.2055.13	TCGA.FP.7829.11A.01R.2055.13	GTEX.146FH.2126.SM.5SI9U	GTEX.S4P3.0726.SM.4AD57	GTEX.ZV6S.0926.SM.57WGB	GTEX.WH7G.1526.SM.4LVMX	GTEX.UJHI.1026.SM.4IHJP	GTEX.R55D.1526.SM.48FEJ	TCGA.AX.A2HC.11A.11R.A32Y.07	TCGA.BK.A4ZD.11A.12R.A27V.07	TCGA.FL.A1YG.11A.12R.A16F.07	TCGA.BG.A3EW.11A.22R.A22K.07	GTEX.T5JW.1526.SM.4DM5E	GTEX.ZP4G.0726.SM.4WWF2	GTEX.PWN1.2026.SM.48TD9	GTEX.11ZTT.1726.SM.5EQL4	GTEX.Y114.1826.SM.4TT87	GTEX.XUJ4.1526.SM.4BONU	GTEX.POMQ.1226.SM.3P61F	GTEX.11EM3.1926.SM.5987U	GTEX.S341.1026.SM.4AD71	GTEX.RU1J.1026.SM.46MUR	GTEX.YJ8O.1126.SM.5P9IS	GTEX.R55G.1626.SM.48FF4	GTEX.WEY5.0726.SM.4LMID	GTEX.S32W.1426.SM.4AD66	GTEX.T2IS.2226.SM.4DM65	GTEX.145ME.1326.SM.5O98Q	GTEX.13QBU.1626.SM.5LU4S	GTEX.ZYWO.2126.SM.5GZXF
AC020922.1	2.73	1.06	2.07	2.71	12.36	2.23	0.0	2.48	2.18	0.91	1.35	6.84	11.47	23.59	7.46	15.56	4.17	13.52	10.79	14.67	47.17	32.36	17.51	20.26	19.25	21.78	9.56	38.67	11.21	53.95	30.78	57.89	31.67	21.94	50.63	43.63	16.51	31.45	19.97	12.09	6.01	19.82	5.92	13.83	28.45	40.93	18.97	47.5	31.22	15.68	6.89	15.8	20.11	70.51	41.52	9.48	11.38	4.78	2.86	5.36	4.21	2.73	5.41	3.82	13.72	4.98	4.31	3.03	0.41	3.26	0.52	21.01	7.46	18.7	1.79	3.96	1.2	2.16	3.44	4.39	1.16	15.91	15.22	9.93	5.96	5.92	3.2	17.77	4.06	6.31	12.27	4.86	5.92	18.16	29.06	3.59	4.13	17.64	9.06	6.21	13.22	3.23
AC135178.1	13.72	9.85	32.82	24.99	41.52	22.43	22.1	43.02	37.59	10.63	37.32	29.91	63.89	28.04	57.08	55.1	62.56	46.18	50.98	47.84	156.59	152.28	47.5	83.45	68.55	89.51	65.26	82.87	79.45	133.36	108.14	89.51	100.83	76.71	211.31	267.73	59.97	111.99	106.63	24.28	43.94	68.55	40.93	75.11	159.9	170.25	48.87	178.77	151.22	59.13	51.71	73.03	50.27	234.57	158.79	35.76	47.5	34.75	32.82	13.42	28.04	25.17	20.71	18.03	20.11	19.25	25.72	22.59	8.65	13.03	16.51	67.59	38.67	42.41	33.78	19.68	7.82	7.11	17.9	22.1	23.08	65.72	60.39	62.12	36.79	24.28	19.53	65.26	24.28	46.18	26.28	19.82	35.5	50.27	175.07	20.86	39.79	36.53	68.07	36.53	78.89	20.26
ACAD11	166.73	281.09	209.84	285.03	221.86	110.43	148.09	151.22	195.72	115.16	131.51	327.56	420.68	293.07	381.68	967.76	476.71	599.49	665.29	633.73	1350.18	1119.56	796.86	457.25	703.28	872.1	698.41	974.5	723.08	1159.07	1191.69	1073.91	954.43	796.86	1111.82	1268.46	486.75	665.29	902.89	629.35	307.69	775.05	563.18	532.74	1628.26	1233.75	507.46	1111.82	1073.91	921.88	381.68	934.76	486.75	1159.07	988.12	387.02	476.71	237.86	190.34	151.22	234.57	620.67	154.42	138.1	159.9	189.02	170.25	109.66	166.73	167.9	150.17	356.05	241.19	312.0	264.03	332.14	232.94	234.57	224.97	575.03	85.22	490.14	209.84	229.72	166.73	123.5	122.64	381.68	201.25	441.64	163.28	148.09	148.09	327.56	500.46	116.78	146.03	318.57	309.83	316.37	395.18	185.11
ACTA2	163620.18	187950.38	254974.66	331809.5	195931.88	311742.51	214407.12	177811.84	223512.12	187950.38	290865.98	345900.08	394590.4	217400.14	383800.28	324980.94	772940.66	288856.81	163620.18	156954.93	107948.72	138544.47	160252.91	180294.02	180294.02	118949.35	190574.09	150561.19	177811.84	121448.75	112532.89	110983.6	97288.74	145432.49	96616.71	89523.81	161367.56	124863.17	156954.93	189257.69	180294.02	146444.06	226632.25	185362.8	153724.82	107203.06	171754.88	81809.59	121448.75	169390.27	169390.27	139508.13	171754.88	104996.83	102836.01	175363.84	176583.6	269512.87	215898.44	167058.21	236256.4	284880.02	329517.51	229795.93	211455.3	215898.44	163620.18	228208.61	130165.62	327241.36	118127.7	169390.27	225066.78	191899.64	180294.02	228208.61	155870.75	202841.44	202841.44	197294.7	320506.81	231394.29	431797.89	241220.67	288856.81	299043.36	348306.01	251464.33	331809.5	172949.54	301123.38	211455.3	327241.36	169390.27	169390.27	336441.4	229795.93	194578.47	327241.36	338781.54	265802.39	228208.61
ADAMTS13	27.64	21.16	47.17	20.41	32.82	25.54	31.0	30.34	24.81	26.86	20.41	51.35	45.21	23.76	27.05	39.5	36.79	101.54	28.24	97.36	135.24	153.34	124.37	127.89	115.97	86.43	70.01	55.1	62.12	115.16	164.42	137.14	140.04	126.12	182.55	241.19	47.17	124.37	156.59	38.67	57.49	92.7	44.57	45.21	135.24	148.09	66.18	283.05	173.85	134.3	58.3	148.09	44.89	314.17	199.85	66.65	55.49	53.19	36.01	28.04	55.1	38.4	35.5	26.86	40.07	59.97	18.03	30.78	15.68	12.74	20.56	43.63	52.82	49.91	33.3	22.1	14.78	13.72	21.78	18.56	27.05	82.29	76.17	59.13	58.3	54.72	28.86	176.29	62.12	281.09	32.82	84.04	34.26	49.56	161.02	58.71	25.91	129.69	99.43	51.35	146.03	20.71
AGAP10	28.65	57.49	14.67	37.05	107.38	36.53	27.05	75.64	41.22	11.13	44.25	86.43	211.31	74.06	20.86	96.01	84.63	220.32	232.94	170.25	237.86	173.85	244.57	232.94	221.86	181.28	50.98	395.18	87.65	152.28	343.89	309.83	299.25	205.5	536.45	229.72	147.06	193.01	138.1	186.4	110.43	194.36	145.02	122.64	318.57	92.7	107.38	486.75	392.44	149.12	65.72	155.5	156.59	693.58	334.46	43.32	199.85	27.05	21.16	24.81	46.84	51.35	48.18	19.25	68.55	69.52	24.63	48.87	28.86	53.19	33.78	198.47	50.27	86.43	18.16	29.91	14.45	31.22	29.06	53.57	5.11	40.64	89.51	26.86	86.43	59.97	52.82	36.27	82.87	197.09	40.36	52.08	74.06	23.25	55.89	39.22	58.3	84.04	57.08	7.4	120.94	15.22
AGAP4	54.33	31.22	19.97	29.48	18.97	0.0	39.5	25.17	41.52	65.72	49.56	92.7	102.25	201.25	239.52	209.84	114.36	140.04	163.28	158.79	167.9	339.14	164.42	228.13	299.25	111.21	237.86	466.88	281.09	403.5	297.17	376.41	256.78	186.4	224.97	587.13	224.97	423.61	229.72	90.77	10.71	295.11	172.65	148.09	329.84	567.1	265.87	642.59	289.02	406.31	25.54	194.36	167.9	323.03	476.71	63.0	162.14	60.82	4.78	54.33	39.79	2.01	57.08	29.7	8.45	81.14	21.32	35.76	40.64	58.71	16.39	197.09	62.56	9.7	1.99	93.35	0.08	16.03	105.89	136.19	18.03	23.93	83.45	73.54	48.87	40.64	133.36	115.97	187.71	242.88	70.51	100.13	176.29	146.03	141.02	26.1	16.27	156.59	65.72	158.79	111.21	53.95
AGAP5	53.19	35.76	49.56	31.9	82.29	29.91	38.4	37.59	46.18	21.16	51.35	81.14	123.5	80.01	108.14	116.78	58.71	165.57	136.19	90.14	279.14	224.97	137.14	132.44	152.28	171.45	139.07	201.25	148.09	205.5	211.31	236.21	251.48	139.07	363.56	387.02	100.13	206.94	185.11	127.89	90.77	131.51	63.45	92.7	267.73	208.38	142.01	285.03	269.6	131.51	88.26	208.38	102.25	285.03	237.86	98.04	134.3	66.65	53.57	41.52	30.12	31.0	35.0	21.63	59.13	54.33	39.5	38.4	24.28	37.05	43.02	133.36	59.55	65.26	48.52	25.91	9.85	16.51	43.63	62.56	19.11	156.59	65.72	69.52	53.95	66.65	26.86	111.21	53.57	127.89	22.43	49.91	90.14	63.89	195.72	41.81	52.08	89.51	69.03	64.34	78.89	44.25
AGAP6	165.57	95.34	138.1	120.94	217.27	55.1	76.71	92.05	77.25	80.01	79.45	229.72	217.27	267.73	329.84	423.61	190.34	397.93	460.44	289.02	748.61	563.18	327.56	289.02	277.2	559.28	356.05	612.11	547.75	674.59	426.57	493.56	753.83	346.29	753.83	1119.56	325.29	607.87	457.25	358.54	201.25	389.72	309.83	275.28	607.87	860.08	320.8	738.29	743.43	521.76	267.73	723.08	314.17	723.08	486.75	301.33	320.8	115.97	57.08	37.05	29.91	64.34	42.41	70.01	90.77	72.01	49.91	54.33	44.89	53.95	42.71	275.28	140.04	128.79	39.5	64.8	36.79	56.68	86.43	208.38	54.72	264.03	141.02	130.6	193.01	136.19	120.1	146.03	146.03	287.01	104.42	121.79	226.54	156.59	249.73	117.6	107.38	325.29	130.6	143.01	258.57	98.73
AGAP9	21.32	11.73	8.25	9.63	21.01	6.73	10.31	49.56	29.06	14.14	34.02	59.97	129.69	54.72	19.25	72.01	35.25	146.03	97.36	69.03	144.01	170.25	86.43	108.9	72.01	121.79	110.43	303.44	85.22	112.77	221.86	172.65	260.38	123.5	387.02	172.65	84.63	109.66	109.66	84.63	53.57	120.1	78.89	90.14	314.17	206.94	57.89	318.57	215.77	105.89	47.17	115.16	130.6	480.04	242.88	36.01	157.68	11.64	18.03	7.57	18.7	17.38	32.59	4.78	45.53	46.84	16.63	14.24	19.68	21.01	12.74	125.24	72.52	51.71	8.92	66.65	17.25	37.05	21.47	59.97	13.83	15.56	47.17	26.67	24.81	23.08	18.03	15.91	40.93	111.21	19.39	17.38	36.27	26.67	34.26	9.06	22.43	44.57	18.29	0.08	96.01	9.48
