	TCGA.XF.A8HB.01A.11R.A36F.07	TCGA.DK.A3IS.01A.21R.A21D.07	TCGA.GV.A6ZA.01A.12R.A33J.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.EK.A2GZ.01A.11R.A180.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.49.4510.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.73.4676.11A.01R.1755.07	GTEX.13OVJ.0726.SM.5KM1W	GTEX.POYW.1226.SM.2XCEP	GTEX.ZYY3.0926.SM.5E454	GTEX.13O3P.1026.SM.5N9E7	GTEX.1477Z.0626.SM.5NQB7	GTEX.X261.1026.SM.3NMDL	GTEX.RTLS.0926.SM.2TF5X	GTEX.ZC5H.0926.SM.5CVMZ	GTEX.QEG4.0526.SM.48TZD	GTEX.QMR6.1926.SM.32PL9	GTEX.X4EP.0526.SM.3P5YW	GTEX.13FHO.1026.SM.5KM1Q	TCGA.60.2719.01A.01R.0851.07	TCGA.66.2789.01A.01R.0980.07	TCGA.AJ.A3EM.01A.11R.A213.07
AC026703.1	1.45	2.12	2.32	21.16	171.45	12.55	62.56	599.49	72.52	0.0	0.28	376.41	55.89	2664.15	32.82	444.72	1088.92	514.56	183.82	1030.12	1286.18	1340.84	480.04	3820.7	31.45	161.02	153.34
ADARB1	50.63	36.79	30.34	38.12	303.44	44.25	19.97	170.25	142.01	0.0	0.58	417.77	583.07	1883.54	454.09	954.43	848.22	1561.89	1233.75	332.14	954.43	2627.46	656.11	1295.13	71.5	137.14	107.38
ADPRH	14.14	34.26	28.45	36.53	253.23	72.52	32.36	163.28	208.38	0.0	0.29	476.71	88.26	346.29	165.57	323.03	579.04	503.95	366.09	915.51	417.77	343.89	293.07	361.04	85.22	149.12	49.91
AL953854.2	2.61	0.33	0.32	1.95	55.49	11.91	0.84	17.77	3.53	0.0	0.35	2.94	6.52	189.02	17.13	18.29	47.5	17.0	120.94	61.25	151.22	96.01	12.09	48.87	5.28	13.12	0.57
AMICA1	28.86	47.84	105.15	40.93	397.93	45.53	10.47	93.35	154.42	0.0	0.4	1674.06	269.6	1757.34	848.22	1651.0	3564.78	830.75	1250.98	4543.8	1066.48	3018.3	483.38	3639.7	131.51	234.57	7.0
ANKRD44	4.94	48.87	25.54	10.31	236.21	96.68	13.12	52.45	91.41	0.0	0.45	211.31	130.6	521.76	106.63	332.14	1008.9	279.14	320.8	878.17	954.43	753.83	197.09	351.14	95.34	71.0	34.26
APOL3	164.42	703.28	723.08	353.59	1350.18	103.69	111.99	473.41	242.88	0.0	0.6	1369.04	733.19	4010.71	567.1	1721.16	2240.11	2061.24	2240.11	2047.0	3768.09	2090.03	2855.44	4358.66	211.31	248.0	52.08
ARHGAP15	22.59	16.51	39.22	48.52	251.48	45.85	61.68	109.66	156.59	0.0	0.26	463.65	379.04	591.22	237.86	638.15	830.75	414.87	473.41	884.29	665.29	2193.99	343.89	521.76	63.89	185.11	19.53
ARHGAP25	61.25	38.12	56.28	65.26	420.68	134.3	42.71	136.19	118.43	0.0	0.47	476.71	363.56	1674.06	264.03	708.18	529.06	559.28	480.04	603.67	1388.16	1639.59	718.08	802.41	173.85	283.05	35.25
ARHGAP31	7.22	28.04	13.03	17.9	376.41	11.64	40.07	115.97	49.91	0.0	0.32	460.44	293.07	525.39	220.32	318.57	607.87	1167.14	295.11	1023.0	476.71	507.46	285.03	271.48	63.0	109.66	24.11
B3GALT2	0.0	0.0	0.29	0.96	11.47	0.56	0.0	14.03	24.28	0.0	0.0	35.25	3.96	251.48	5.82	11.04	127.0	819.3	15.8	76.71	46.18	145.02	22.43	57.89	1.53	8.78	0.0
BEND4	0.0	0.0	0.29	0.64	3.23	0.0	0.0	0.79	0.6	0.0	0.16	2.81	0.3	20.86	1.13	7.51	9.13	2.14	2.12	4.24	4.82	8.13	6.89	5.15	0.51	0.92	0.0
BMPER	0.31	3.32	2.03	14.56	150.17	10.24	0.4	13.83	7.4	0.0	0.39	142.01	743.43	432.53	126.12	299.25	129.69	297.17	96.01	215.77	397.93	291.04	307.69	543.96	14.67	27.25	3.56
C10orf128	29.48	22.92	44.89	53.95	819.3	21.78	74.58	167.9	171.45	0.0	0.36	525.39	412.0	3540.14	264.03	1883.54	2664.15	872.1	540.19	1388.16	1242.34	2520.38	1540.37	2555.58	98.04	255.0	43.02
C10orf25	3.72	14.35	5.19	10.55	36.53	10.39	7.34	29.48	17.77	0.0	0.01	89.51	14.35	95.34	29.7	38.12	138.1	127.89	72.01	138.1	75.64	150.17	23.93	63.89	17.38	34.51	10.0
C22orf34	7.17	18.56	23.42	0.68	21.78	3.99	34.51	66.65	36.79	0.0	0.32	366.09	234.57	165.57	102.25	193.01	293.07	241.19	34.75	343.89	269.6	147.06	48.18	157.68	30.12	45.21	16.63
CA4	5.5	3.96	57.08	15.11	607.87	0.0	384.34	1304.15	426.57	0.0	0.39	3018.3	262.2	7032.37	191.67	2351.53	3419.52	3146.52	813.63	327.56	4869.99	4704.07	896.64	1388.16	52.08	22.1	14.14
CARD8	281.09	262.2	409.15	318.57	961.07	255.0	148.09	371.22	493.56	368.65	171.45	748.61	813.63	2335.28	406.31	1143.1	1617.0	1135.2	872.1	1242.34	842.36	1304.15	830.75	961.07	224.97	429.54	299.25
CASS4	2.86	2.41	4.86	0.34	35.76	2.68	1.55	4.7	62.56	0.0	0.25	112.77	236.21	432.53	90.14	249.73	198.47	1583.71	267.73	447.82	438.59	607.87	1259.69	109.66	23.08	35.25	1.46
CDH10	0.0	0.0	0.0	0.0	2.39	0.0	0.0	1.57	0.3	0.0	0.0	2.12	1.91	46.18	25.72	1.6	29.48	2.66	7.57	44.57	29.48	39.22	1.58	5.23	0.52	1.23	0.15
CLEC14A	108.14	198.47	135.24	236.21	679.29	19.68	155.5	693.58	563.18	0.0	0.25	1923.14	1104.13	5441.3	1369.04	1551.09	3716.2	4450.27	2591.27	1617.0	2520.38	2997.45	490.14	3257.52	224.97	417.77	173.85
CLEC4D	0.0	0.91	1.73	0.0	18.16	0.0	0.0	1.99	7.06	0.0	0.19	73.03	39.79	100.13	31.67	90.77	27.25	20.26	15.45	54.72	2.34	52.45	55.1	55.1	2.71	17.51	5.82
CLEC4E	6.36	6.94	22.1	10.0	125.24	12.64	57.89	136.19	191.67	0.0	0.23	1088.92	267.73	2303.12	242.88	514.56	1001.93	209.84	271.48	339.14	62.12	2758.13	237.86	392.44	51.71	81.14	4.21
CSF2RB	6.06	10.24	23.25	10.0	201.25	15.56	4.66	21.94	54.72	0.0	0.39	176.29	144.01	616.37	172.65	343.89	450.94	48.87	126.12	334.46	466.88	896.64	293.07	265.87	90.77	80.01	4.54
CXCR2	1.73	1.81	8.85	40.64	371.22	103.69	3.5	5.15	9.27	0.0	0.09	56.28	84.04	460.44	125.24	163.28	316.37	95.34	51.35	264.03	64.8	341.51	198.47	44.25	16.75	23.08	0.0
DGKG	0.89	5.73	21.47	11.47	15.34	25.17	0.42	23.42	88.88	0.0	0.73	52.08	34.26	473.41	61.68	52.45	178.77	271.48	175.07	133.36	185.11	138.1	54.33	50.27	5.96	33.78	9.56
DISP1	23.08	41.22	46.84	68.55	133.36	34.02	12.0	170.25	52.82	0.0	0.34	148.09	98.04	679.29	89.51	277.2	363.56	301.33	197.09	500.46	3146.52	285.03	543.96	395.18	43.02	96.01	42.41
