	GTEX.ZZPT.1426.SM.5N9C5	TCGA.BP.4988.01A.01R.1334.07	GTEX.WYVS.1926.SM.4PQZ2	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.QDVN.0826.SM.48TZ2	GTEX.TKQ2.1726.SM.4DXUP	GTEX.ZVP2.0626.SM.51MSO	GTEX.RM2N.1926.SM.48FCU	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.Z9EW.0426.SM.5CVM9	GTEX.OOBJ.0826.SM.3NB2K	GTEX.13FTW.1126.SM.5J2NV	GTEX.ZAB5.0426.SM.5CVMI	GTEX.ZF2S.3026.SM.4WWCH	GTEX.139YR.0226.SM.5IFEM	GTEX.YEC4.0826.SM.5P9FV	GTEX.P78B.1326.SM.3P611	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.ZF29.2026.SM.4WWB7	GTEX.145MO.2326.SM.5NQ9K	GTEX.14E1K.0326.SM.5S2PE	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13PVR.0126.SM.5S2PY	GTEX.132NY.0926.SM.5P9G3	GTEX.14753.1626.SM.5NQ9L	GTEX.WFON.1726.SM.4LVMQ	GTEX.UPK5.1426.SM.4JBHH	GTEX.S4Z8.0526.SM.4AD4T	GTEX.R53T.0326.SM.48FEC	TCGA.86.A4P8.01A.11R.A24X.07	TCGA.93.A4JQ.01A.11R.A24X.07	TCGA.69.8254.01A.11R.2287.07	TCGA.44.3919.01A.02R.1107.07	TCGA.91.A4BC.01A.11R.A24H.07	TCGA.S2.AA1A.01A.12R.A39D.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.69.7978.01A.11R.2187.07	TCGA.49.AAR4.01A.12R.A41B.07	TCGA.55.8621.01A.11R.2403.07	TCGA.93.A4JN.01A.11R.A24X.07	TCGA.MP.A4T4.01A.11R.A262.07	TCGA.L9.A743.01A.43R.A39D.07	TCGA.43.A56U.01A.11R.A26W.07	TCGA.63.A5MN.01A.22R.A27Q.07	TCGA.22.4596.01A.01R.1201.07	TCGA.98.A53D.01A.32R.A262.07	TCGA.37.A5EM.01A.21R.A27Q.07	TCGA.85.8048.01A.11R.2247.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.85.8582.01A.21R.2403.07	TCGA.98.A53C.01A.11R.A262.07
AC006132.1	16.75	52.08	12.74	4.43	5.32	36.01	11.38	11.64	8.65	0.0	1.79	0.0	2.86	10.08	2.53	3.26	69.03	0.0	15.34	0.77	3.89	2.73	4.98	0.64	6.62	0.0	1.46	3.79	6.36	26.86	2.25	4.7	9.06	0.0	23.08	62.12	63.0	35.0	21.94	24.11	30.56	0.24	37.85	94.01	18.97	36.53	29.91	30.12	113.56	45.85	46.5	57.49	15.11	39.5	39.79	45.21	48.18
ACIN1	4543.8	5995.9	1295.13	460.44	476.71	1104.13	543.96	909.17	529.06	688.78	629.35	486.75	759.08	674.59	974.5	713.11	1073.91	1023.0	909.17	796.86	890.44	775.05	733.19	583.07	825.0	785.88	718.08	909.17	633.73	693.58	264.03	660.68	896.64	693.58	603.67	3039.3	3303.0	2555.58	2075.59	4010.71	2720.15	674.59	1883.54	4639.29	2609.3	4639.29	3515.68	2255.7	3443.31	2468.49	1417.35	3081.75	1909.85	2240.11	2591.27	2090.03	2895.31
ACOT9	665.29	785.88	373.81	616.37	536.45	723.08	318.57	454.09	414.87	242.88	417.77	275.28	309.83	486.75	283.05	224.97	438.59	376.41	351.14	175.07	483.38	289.02	226.54	429.54	287.01	271.48	178.77	299.25	336.79	267.73	193.01	339.14	249.73	316.37	228.13	974.5	684.02	642.59	769.69	836.53	660.68	295.11	890.44	1295.13	947.83	866.07	836.53	1111.82	961.07	995.0	954.43	1407.55	915.51	764.36	785.88	769.69	947.83
AGAP6	802.41	825.0	84.04	15.0	38.12	88.26	56.68	84.04	59.55	61.25	55.1	50.98	90.14	43.94	48.52	42.71	109.66	148.09	81.14	60.82	64.8	67.59	82.29	51.71	122.64	55.49	42.71	66.18	57.08	120.1	19.82	56.28	97.36	60.39	39.79	579.04	438.59	204.07	181.28	536.45	497.0	1.19	161.02	521.76	220.32	612.11	543.96	376.41	514.56	264.03	208.38	518.15	189.02	336.79	392.44	148.09	480.04
AIRE	6.57	25.17	0.8	0.0	0.0	1.13	0.26	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.19	0.28	0.75	0.0	0.0	0.22	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.0	0.73	0.0	0.0	1.25	4.82	0.52	2.01	10.0	8.45	0.13	1.3	5.02	0.55	6.57	1.25	5.82	3.26	1.81	2.03	5.73	0.48	5.5	4.7	3.92	4.1
ANKS3	780.44	860.08	136.19	22.26	37.59	104.42	53.19	101.54	58.3	83.45	64.8	53.57	128.79	58.3	98.73	59.97	189.02	81.14	129.69	65.72	70.51	70.01	98.73	57.49	117.6	107.38	88.26	119.26	54.72	121.79	40.36	65.72	150.17	67.59	80.01	466.88	647.07	303.44	293.07	575.03	583.07	0.78	212.78	507.46	376.41	703.28	490.14	373.81	392.44	279.14	283.05	392.44	291.04	228.13	426.57	279.14	384.34
ARHGEF1	3515.68	8421.31	1617.0	503.95	460.44	1216.75	660.68	1143.1	688.78	866.07	305.55	392.44	884.29	647.07	679.29	791.35	1096.5	884.29	909.17	679.29	854.13	703.28	1044.52	532.74	647.07	551.56	563.18	995.0	665.29	708.18	379.04	1015.93	848.22	620.67	381.68	6337.83	4704.07	2609.3	2163.77	4869.99	4575.41	1.31	2935.74	6079.61	2701.35	3847.29	3874.05	3690.52	5366.37	2976.74	2193.99	3716.2	2018.8	3564.78	4268.94	1923.14	4937.99
ATXN2L	3982.99	3039.3	915.51	493.56	591.22	1066.48	854.13	759.08	503.95	775.05	417.77	480.04	808.0	780.44	607.87	733.19	1216.75	1001.93	1208.34	633.73	791.35	688.78	785.88	733.19	638.15	698.41	595.34	819.3	647.07	842.36	358.54	679.29	967.76	872.1	612.11	2976.74	2777.33	2119.22	1977.24	3928.15	2520.38	1159.07	3235.01	2976.74	2209.26	3212.66	3103.19	2434.5	2758.13	2777.33	2148.82	2520.38	3820.7	3039.3	2701.35	2417.67	2434.5
C19orf71	74.06	127.0	29.48	4.43	4.03	12.0	5.82	8.92	6.62	14.78	4.78	5.77	11.91	11.38	14.78	19.39	3.44	11.47	2.46	6.31	15.34	22.43	20.41	10.55	2.07	5.82	11.55	6.46	18.84	10.0	8.99	4.03	2.12	9.41	5.23	147.06	65.72	29.91	24.99	59.13	80.01	0.61	54.72	69.03	33.3	45.21	62.56	106.63	64.34	51.35	30.34	90.77	41.52	31.0	49.91	36.53	93.35
C3orf35	30.78	45.85	4.35	1.66	0.46	8.65	4.03	6.62	2.63	4.78	3.56	8.38	4.1	3.11	2.12	1.55	5.41	11.55	4.06	1.97	8.51	0.49	2.05	3.2	4.35	2.53	1.39	6.41	6.31	6.73	0.1	1.79	5.54	2.2	2.94	42.41	21.63	11.13	13.72	19.97	37.32	0.49	8.65	40.93	13.83	47.5	30.34	25.72	33.06	23.76	13.93	40.36	6.01	9.56	14.56	9.06	19.11
