	TCGA.CF.A47S.01A.11R.A23W.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.GU.A767.01A.11R.A32O.07	TCGA.KQ.A41P.01A.12R.A33J.07	TCGA.GD.A76B.01A.11R.A32O.07	TCGA.KN.8435.11A.01R.2315.07	TCGA.KN.8434.11A.01R.2315.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KL.8329.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.QDVN.1626.SM.48TZC	GTEX.ZC5H.1726.SM.5HL7X	GTEX.P4QS.1126.SM.3NMD5	GTEX.1497J.0826.SM.5NQAJ	GTEX.13OVI.1126.SM.5KLZF	GTEX.12WSG.0826.SM.5EQ5A	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.B0.5700.01A.11R.1541.07	TCGA.BP.4969.01A.01R.1334.07	TCGA.CJ.4918.01A.01R.1426.07	TCGA.BP.4962.01A.01R.1334.07	TCGA.B0.5402.01A.01R.1503.07	TCGA.BP.5190.01A.01R.1426.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.B0.4707.01A.01R.1277.07	TCGA.A3.3387.11A.01R.1541.07	TCGA.CZ.5982.11A.01R.1672.07	TCGA.CZ.5984.11A.01R.1672.07	TCGA.CJ.5681.11A.01R.1541.07	TCGA.B0.5691.11A.01R.1541.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.CJ.5678.11A.01R.1541.07	TCGA.CJ.5676.11A.01R.1541.07	TCGA.CZ.4864.11A.01R.1503.07	TCGA.CZ.5985.11A.01R.1672.07	TCGA.CZ.5451.11A.01R.1503.07	TCGA.CW.5585.11A.01R.1541.07	TCGA.CZ.5988.11A.01R.1672.07	TCGA.B8.4619.11A.01R.1758.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.B0.5696.11A.01R.1541.07	TCGA.CW.5587.11A.01R.1541.07	TCGA.B0.5699.11A.01R.1541.07	TCGA.CJ.5677.11A.01R.1541.07	TCGA.B0.5709.11A.01R.1541.07	TCGA.A3.3358.11A.01R.1541.07	TCGA.CW.5581.11A.01R.1541.07	TCGA.B8.4622.11A.01R.1758.07	TCGA.CJ.6030.11A.01R.1672.07	TCGA.B0.5402.11A.01R.1503.07	TCGA.CZ.5466.11A.01R.1503.07	TCGA.B2.5636.11A.01R.1541.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.B1.5398.01A.02R.1592.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.BQ.7046.11A.01R.1965.07	TCGA.BQ.5890.11A.01R.1592.07	TCGA.BQ.5894.11A.01R.1592.07	TCGA.GL.6846.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6133.11A.01R.1965.07	TCGA.BQ.5882.11A.01R.1592.07	TCGA.BQ.5877.11A.01R.1592.07	TCGA.BQ.5879.11A.01R.1592.07	TCGA.BQ.7059.11A.01R.1965.07	TCGA.BQ.7045.11A.01R.1965.07	TCGA.BQ.5884.11A.01R.1592.07	TCGA.BQ.5878.11A.01R.1592.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.1497J.0726.SM.5Q5D1	GTEX.REY6.1226.SM.48FDR	GTEX.OIZI.0726.SM.2XCEI	GTEX.ZYW4.1126.SM.5SI99	GTEX.S7SF.0226.SM.5SI7H	GTEX.12WSK.0926.SM.5CVNQ	GTEX.11P81.0126.SM.5HL5Y	GTEX.1399U.0326.SM.5P9G5	GTEX.VJYA.0426.SM.3GIJK	GTEX.ZGAY.1026.SM.4WWBR	GTEX.YB5E.0626.SM.4VDSE	GTEX.13OVI.0826.SM.5KLZ8	GTEX.12WSL.0626.SM.5GCOY	GTEX.1211K.0726.SM.5FQUW	TCGA.A5.A3LP.01A.11R.A22K.07	TCGA.SL.A6J9.01A.11R.A31O.07	TCGA.N9.A4Q7.01A.11R.A28V.07
MBNL2	283.05	242.88	265.87	403.5	241.19	974.5	813.63	684.02	830.75	738.29	967.76	389.72	607.87	312.0	981.29	1540.37	708.18	432.53	414.87	447.82	1259.69	878.17	1529.73	713.11	397.93	1175.27	723.08	890.44	1199.98	1096.5	928.3	1350.18	988.12	1159.07	1313.23	902.89	1167.14	902.89	1044.52	1096.5	1051.79	1119.56	1151.06	1059.11	1295.13	967.76	1127.35	995.0	1030.12	1151.06	825.0	1073.91	1001.93	1001.93	497.0	309.83	52.82	157.68	132.44	234.57	708.18	733.19	1001.93	796.86	785.88	915.51	674.59	791.35	836.53	967.76	780.44	878.17	780.44	738.29	101.54	193.01	79.45	764.36	1498.22	1561.89	1015.93	934.76	1208.34	591.22	587.13	1015.93	660.68	728.11	780.44	785.88	400.71	229.72	46.5	169.07
MED13	114.36	80.01	95.34	150.17	162.14	305.55	221.86	115.97	269.6	142.01	185.11	134.3	215.77	244.57	255.0	620.67	567.1	265.87	121.79	158.79	305.55	170.25	251.48	121.79	193.01	244.57	131.51	277.2	379.04	395.18	353.59	470.14	318.57	366.09	412.0	279.14	444.72	320.8	258.57	395.18	267.73	438.59	334.46	371.22	379.04	406.31	327.56	241.19	363.56	348.71	316.37	314.17	356.05	379.04	162.14	145.02	47.17	129.69	94.67	79.45	150.17	258.57	267.73	217.27	244.57	283.05	285.03	249.73	253.23	320.8	223.41	366.09	255.0	262.2	98.73	123.5	62.56	103.69	105.89	842.36	612.11	275.28	444.72	246.28	262.2	395.18	283.05	152.28	301.33	463.65	384.34	204.07	155.5	90.14
MLLT4	323.03	98.04	180.02	307.69	463.65	1331.57	1001.93	571.05	1023.0	583.07	743.43	988.12	1350.18	1498.22	1769.57	4010.71	1697.45	1819.35	463.65	884.29	884.29	283.05	723.08	547.75	1104.13	381.68	759.08	961.07	1551.09	1295.13	1044.52	1378.57	1322.37	1111.82	1191.69	1081.39	1674.06	1295.13	1030.12	1551.09	748.61	1583.71	1388.16	1322.37	1397.83	1467.37	1268.46	866.07	1397.83	819.3	1119.56	1030.12	967.76	1369.04	476.71	514.56	450.94	679.29	339.14	228.13	802.41	1159.07	1111.82	915.51	1183.45	1225.22	1369.04	1225.22	1066.48	1350.18	1225.22	1277.29	1242.34	1175.27	287.01	409.15	629.35	507.46	275.28	2255.7	3349.13	1561.89	4328.55	2004.85	2224.63	1304.15	2061.24	860.08	2976.74	2061.24	1551.09	830.75	511.0	395.18
MTX3	5.15	2.61	3.99	10.31	29.27	111.99	74.06	40.07	73.03	58.71	111.21	52.08	49.56	85.22	61.25	392.44	187.71	121.79	15.11	62.56	76.71	36.53	127.89	35.0	27.64	98.04	44.25	108.14	143.01	154.42	123.5	152.28	122.64	94.01	100.83	90.77	157.68	129.69	65.26	157.68	80.57	189.02	149.12	132.44	149.12	121.79	110.43	98.73	133.36	80.01	94.67	108.9	87.65	143.01	41.81	5.96	6.94	34.26	3.69	10.39	30.78	72.52	97.36	81.71	83.45	100.13	110.43	103.69	83.45	142.01	108.9	84.04	91.41	90.77	8.19	9.48	4.7	8.58	8.71	255.0	127.0	127.89	130.6	220.32	131.51	221.86	149.12	15.91	120.1	169.07	105.15	31.9	11.04	9.63
NHLRC2	21.63	31.67	10.47	26.28	17.25	109.66	85.22	67.59	94.01	66.18	139.07	57.49	111.99	102.25	155.5	289.02	170.25	95.34	36.01	85.22	115.97	53.19	88.88	47.17	57.89	100.83	56.28	110.43	125.24	159.9	163.28	173.85	140.04	136.19	124.37	100.83	167.9	117.6	103.69	138.1	92.05	143.01	120.94	144.01	157.68	154.42	134.3	92.05	135.24	113.56	117.6	120.1	138.1	150.17	35.76	33.06	23.59	42.41	18.16	25.72	58.71	102.97	115.97	87.03	90.77	110.43	114.36	80.01	99.43	130.6	115.97	105.15	94.01	96.01	25.91	25.17	34.75	58.3	74.58	171.45	154.42	124.37	151.22	180.02	130.6	143.01	127.0	72.52	115.16	182.55	129.69	49.56	21.78	18.56
PDS5B	89.51	101.54	155.5	113.56	170.25	346.29	253.23	155.5	277.2	199.85	154.42	251.48	279.14	226.54	231.32	624.99	353.59	246.28	164.42	162.14	438.59	172.65	285.03	206.94	198.47	202.66	158.79	242.88	384.34	381.68	348.71	460.44	334.46	376.41	409.15	249.73	371.22	283.05	273.37	480.04	242.88	429.54	307.69	353.59	406.31	397.93	346.29	232.94	373.81	255.0	301.33	327.56	314.17	395.18	143.01	93.35	34.75	128.79	38.4	96.01	214.27	258.57	301.33	223.41	258.57	256.78	287.01	201.25	220.32	283.05	267.73	289.02	234.57	269.6	53.57	111.99	38.12	125.24	65.72	473.41	301.33	323.03	409.15	403.5	341.51	688.78	265.87	211.31	363.56	466.88	358.54	241.19	77.79	89.51
PIK3C2A	72.01	58.71	42.71	101.54	100.83	665.29	457.25	332.14	547.75	348.71	503.95	209.84	273.37	371.22	493.56	1023.0	1250.98	525.39	136.19	291.04	616.37	198.47	723.08	201.25	208.38	392.44	124.37	493.56	665.29	808.0	595.34	848.22	583.07	718.08	684.02	551.56	878.17	607.87	441.64	796.86	536.45	866.07	728.11	624.99	764.36	728.11	607.87	497.0	624.99	656.11	665.29	713.11	571.05	753.83	166.73	92.7	21.32	85.22	36.53	74.06	265.87	507.46	536.45	470.14	521.76	571.05	503.95	575.03	476.71	607.87	507.46	693.58	460.44	450.94	54.33	54.33	23.93	96.01	92.05	1225.22	988.12	587.13	743.43	532.74	514.56	743.43	543.96	395.18	660.68	791.35	579.04	241.19	70.51	87.65
PIKFYVE	40.36	26.47	76.17	46.5	59.13	201.25	140.04	87.65	158.79	94.01	159.9	99.43	145.02	112.77	153.34	486.75	293.07	246.28	54.33	127.0	195.72	85.22	176.29	75.64	126.12	182.55	60.39	199.85	237.86	239.52	187.71	307.69	221.86	205.5	198.47	191.67	279.14	212.78	150.17	271.48	155.5	318.57	217.27	201.25	229.72	228.13	189.02	173.85	211.31	176.29	185.11	185.11	206.94	251.48	80.01	62.12	32.36	80.57	39.22	27.25	93.35	145.02	204.07	171.45	135.24	181.28	172.65	198.47	178.77	237.86	163.28	239.52	189.02	178.77	42.41	42.41	28.86	38.4	44.57	309.83	253.23	190.34	248.0	206.94	187.71	275.28	197.09	122.64	221.86	279.14	194.36	90.14	30.56	31.67
POLK	37.85	68.07	26.1	47.17	46.5	299.25	214.27	234.57	206.94	239.52	236.21	159.9	189.02	139.07	297.17	603.67	409.15	368.65	115.16	237.86	320.8	142.01	457.25	220.32	146.03	353.59	146.03	249.73	285.03	353.59	285.03	414.87	269.6	323.03	381.68	241.19	305.55	293.07	211.31	412.0	303.44	379.04	303.44	283.05	329.84	334.46	312.0	295.11	279.14	400.71	271.48	303.44	295.11	293.07	102.97	90.14	16.63	62.56	34.51	55.1	163.28	220.32	258.57	226.54	159.9	214.27	198.47	197.09	223.41	279.14	239.52	273.37	182.55	212.78	63.89	77.79	18.29	85.22	106.63	688.78	521.76	389.72	327.56	289.02	299.25	525.39	329.84	156.59	289.02	395.18	323.03	96.01	49.91	44.57
PRKAA1	285.03	242.88	120.94	287.01	232.94	928.3	698.41	733.19	753.83	759.08	514.56	536.45	514.56	595.34	718.08	2224.63	967.76	825.0	373.81	612.11	1023.0	435.55	928.3	447.82	323.03	660.68	395.18	753.83	860.08	1001.93	738.29	1111.82	884.29	860.08	854.13	738.29	974.5	796.86	579.04	1015.93	674.59	1208.34	842.36	915.51	947.83	860.08	860.08	954.43	775.05	915.51	813.63	941.27	836.53	866.07	323.03	221.86	108.14	536.45	149.12	177.53	500.46	647.07	642.59	633.73	595.34	738.29	656.11	612.11	624.99	819.3	624.99	753.83	571.05	651.58	178.77	176.29	224.97	376.41	674.59	1208.34	1151.06	796.86	961.07	928.3	848.22	974.5	934.76	559.28	1001.93	988.12	785.88	684.02	110.43	136.19
PUM2	633.73	279.14	384.34	607.87	490.14	974.5	878.17	540.19	813.63	599.49	967.76	470.14	674.59	624.99	660.68	1477.58	1001.93	1059.11	295.11	642.59	921.88	629.35	890.44	547.75	460.44	830.75	547.75	928.3	1331.57	1191.69	988.12	1233.75	1037.29	1096.5	1143.1	878.17	1208.34	934.76	819.3	1199.98	796.86	1277.29	1208.34	1044.52	1119.56	1051.79	921.88	866.07	1135.2	1044.52	967.76	954.43	1059.11	1111.82	480.04	353.59	275.28	543.96	397.93	384.34	555.41	780.44	890.44	728.11	791.35	896.64	878.17	796.86	808.0	967.76	764.36	934.76	825.0	785.88	299.25	316.37	291.04	285.03	351.14	1963.57	1175.27	1388.16	1268.46	1350.18	902.89	1745.2	1081.39	728.11	1175.27	1304.15	1088.92	591.22	470.14	358.54
RAB3GAP2	118.43	90.14	100.83	127.89	137.14	301.33	234.57	181.28	256.78	199.85	199.85	178.77	316.37	220.32	295.11	403.5	373.81	406.31	114.36	189.02	293.07	153.34	332.14	177.53	182.55	287.01	135.24	255.0	348.71	334.46	316.37	356.05	297.17	325.29	332.14	271.48	366.09	291.04	277.2	346.29	236.21	384.34	314.17	307.69	327.56	307.69	287.01	265.87	323.03	283.05	269.6	289.02	312.0	329.84	135.24	118.43	36.01	115.16	46.84	130.6	175.07	221.86	264.03	226.54	232.94	273.37	248.0	249.73	241.19	287.01	253.23	289.02	234.57	258.57	75.11	133.36	35.5	64.8	158.79	361.04	389.72	237.86	353.59	291.04	301.33	291.04	253.23	228.13	295.11	356.05	242.88	208.38	150.17	129.69
RALGAPA1	180.02	70.01	94.67	158.79	110.43	379.04	341.51	198.47	299.25	197.09	224.97	173.85	356.05	307.69	379.04	603.67	414.87	379.04	211.31	293.07	293.07	133.36	417.77	183.82	255.0	212.78	167.9	348.71	525.39	463.65	429.54	543.96	366.09	438.59	417.77	325.29	529.06	426.57	316.37	503.95	285.03	583.07	389.72	447.82	463.65	483.38	366.09	312.0	426.57	327.56	426.57	376.41	358.54	470.14	161.02	170.25	52.82	129.69	92.7	143.01	215.77	341.51	339.14	339.14	297.17	356.05	358.54	334.46	351.14	426.57	351.14	429.54	307.69	346.29	111.99	143.01	59.97	112.77	124.37	743.43	599.49	511.0	616.37	660.68	620.67	915.51	543.96	409.15	555.41	620.67	511.0	329.84	77.25	73.03
RICTOR	84.04	38.12	36.53	51.35	57.89	162.14	120.94	96.01	129.69	90.14	85.82	95.34	129.69	81.71	145.02	420.68	236.21	147.06	61.25	136.19	140.04	114.36	170.25	105.15	74.58	120.1	101.54	131.51	212.78	208.38	177.53	234.57	198.47	169.07	189.02	141.02	228.13	152.28	148.09	183.82	122.64	241.19	171.45	186.4	183.82	193.01	183.82	156.59	198.47	164.42	147.06	141.02	195.72	195.72	54.72	51.35	11.82	63.45	38.95	23.08	91.41	127.89	150.17	106.63	104.42	136.19	155.5	101.54	123.5	171.45	151.22	138.1	123.5	126.12	41.81	43.94	24.11	36.53	68.55	371.22	381.68	232.94	363.56	249.73	226.54	234.57	221.86	153.34	285.03	258.57	181.28	105.89	31.67	46.18
RNF38	157.68	191.67	91.41	123.5	147.06	532.74	463.65	204.07	466.88	256.78	633.73	223.41	256.78	403.5	356.05	1111.82	624.99	651.58	190.34	346.29	579.04	301.33	444.72	269.6	217.27	226.54	163.28	426.57	708.18	708.18	529.06	728.11	629.35	703.28	669.92	486.75	638.15	559.28	529.06	669.92	363.56	708.18	629.35	612.11	651.58	620.67	555.41	414.87	579.04	511.0	567.1	536.45	612.11	638.15	214.27	159.9	176.29	279.14	255.0	148.09	303.44	384.34	559.28	412.0	406.31	483.38	521.76	414.87	432.53	507.46	429.54	497.0	518.15	503.95	35.5	78.34	100.83	92.7	84.63	1208.34	728.11	713.11	896.64	629.35	483.38	624.99	591.22	397.93	616.37	599.49	583.07	215.77	162.14	103.69
SAMD8	102.97	78.34	58.3	58.71	63.0	171.45	112.77	95.34	145.02	110.43	107.38	103.69	148.09	129.69	131.51	358.54	228.13	209.84	100.83	119.26	249.73	108.9	169.07	117.6	146.03	202.66	111.21	145.02	170.25	217.27	161.02	236.21	170.25	155.5	209.84	169.07	211.31	163.28	141.02	199.85	131.51	211.31	159.9	155.5	181.28	182.55	178.77	139.07	149.12	165.57	164.42	209.84	186.4	202.66	85.22	63.45	53.57	81.14	55.1	28.86	113.56	146.03	186.4	146.03	112.77	153.34	146.03	139.07	140.04	167.9	134.3	152.28	136.19	150.17	39.22	43.63	25.54	71.5	106.63	273.37	183.82	195.72	244.57	165.57	163.28	176.29	170.25	116.78	186.4	244.57	146.03	158.79	56.68	40.64
SCAF8	211.31	99.43	139.07	242.88	277.2	414.87	348.71	199.85	343.89	248.0	346.29	295.11	269.6	376.41	339.14	1111.82	392.44	363.56	253.23	255.0	423.61	171.45	320.8	301.33	239.52	269.6	181.28	287.01	423.61	432.53	444.72	529.06	395.18	389.72	403.5	307.69	511.0	392.44	356.05	447.82	293.07	483.38	420.68	473.41	429.54	454.09	417.77	303.44	463.65	279.14	309.83	356.05	387.02	486.75	139.07	176.29	88.88	249.73	154.42	143.01	265.87	358.54	420.68	281.09	316.37	409.15	368.65	279.14	314.17	403.5	348.71	387.02	361.04	361.04	75.11	98.73	101.54	137.14	146.03	934.76	559.28	518.15	466.88	633.73	595.34	785.88	607.87	332.14	1331.57	603.67	543.96	366.09	224.97	204.07
SEC24B	195.72	148.09	122.64	217.27	229.72	412.0	325.29	237.86	389.72	269.6	314.17	223.41	242.88	316.37	299.25	909.17	435.55	395.18	201.25	241.19	480.04	303.44	525.39	291.04	232.94	529.06	181.28	412.0	532.74	426.57	387.02	540.19	379.04	426.57	525.39	432.53	507.46	454.09	361.04	486.75	366.09	571.05	454.09	423.61	466.88	463.65	414.87	363.56	483.38	373.81	409.15	400.71	457.25	450.94	224.97	143.01	88.26	283.05	119.26	212.78	220.32	332.14	376.41	379.04	320.8	376.41	358.54	368.65	376.41	441.64	336.79	438.59	346.29	403.5	119.26	112.77	198.47	151.22	212.78	629.35	470.14	423.61	493.56	339.14	332.14	647.07	406.31	236.21	493.56	476.71	381.68	231.32	111.21	139.07
SECISBP2L	121.79	51.35	35.76	78.34	78.89	563.18	460.44	320.8	493.56	351.14	381.68	327.56	414.87	612.11	656.11	1508.65	995.0	460.44	169.07	325.29	466.88	305.55	547.75	249.73	239.52	497.0	198.47	463.65	753.83	713.11	536.45	733.19	674.59	599.49	595.34	559.28	796.86	629.35	518.15	813.63	463.65	808.0	669.92	669.92	679.29	629.35	575.03	490.14	595.34	612.11	567.1	587.13	595.34	660.68	193.01	117.6	33.78	100.13	103.69	94.01	314.17	470.14	500.46	466.88	432.53	543.96	493.56	503.95	447.82	587.13	460.44	555.41	426.57	460.44	119.26	85.22	69.52	120.1	104.42	915.51	890.44	629.35	769.69	915.51	521.76	842.36	551.56	329.84	718.08	764.36	571.05	166.73	44.25	71.0
SHOC2	206.94	208.38	199.85	291.04	221.86	503.95	432.53	395.18	497.0	414.87	466.88	287.01	389.72	384.34	638.15	813.63	638.15	575.03	358.54	329.84	603.67	525.39	438.59	438.59	361.04	674.59	395.18	476.71	575.03	595.34	503.95	638.15	543.96	591.22	728.11	575.03	612.11	525.39	521.76	629.35	525.39	591.22	507.46	583.07	555.41	599.49	532.74	500.46	490.14	808.0	518.15	571.05	723.08	540.19	265.87	269.6	156.59	279.14	262.2	236.21	429.54	397.93	503.95	473.41	395.18	457.25	387.02	397.93	470.14	444.72	363.56	555.41	403.5	463.65	151.22	214.27	180.02	387.02	253.23	808.0	497.0	536.45	563.18	473.41	603.67	713.11	571.05	518.15	521.76	674.59	575.03	295.11	223.41	147.06
SHPRH	11.55	8.0	8.58	34.02	35.0	120.1	96.68	57.49	67.12	64.8	61.25	50.63	67.59	63.45	72.01	244.57	108.9	97.36	21.78	41.22	117.6	26.67	95.34	38.12	41.81	46.5	41.22	74.58	97.36	124.37	126.12	145.02	82.87	84.63	94.67	63.0	117.6	86.43	65.26	136.19	57.08	118.43	108.9	94.01	102.97	108.9	101.54	77.79	100.13	76.71	89.51	73.54	84.63	115.16	21.47	13.93	5.15	25.17	7.0	13.03	59.55	75.11	84.63	60.39	58.3	100.13	77.79	66.18	53.19	100.83	96.68	69.52	74.06	66.65	9.7	11.38	5.23	18.16	7.28	307.69	223.41	178.77	277.2	214.27	134.3	201.25	134.3	35.0	214.27	318.57	134.3	62.56	16.39	43.63
SIRT1	146.03	61.68	81.71	114.36	87.03	239.52	209.84	127.0	206.94	164.42	187.71	120.94	201.25	173.85	229.72	665.29	217.27	217.27	220.32	163.28	297.17	224.97	348.71	177.53	161.02	201.25	100.13	229.72	327.56	334.46	253.23	368.65	299.25	297.17	414.87	236.21	336.79	248.0	295.11	303.44	224.97	323.03	255.0	239.52	305.55	314.17	271.48	201.25	281.09	316.37	307.69	289.02	368.65	217.27	97.36	115.97	80.01	158.79	122.64	76.17	204.07	232.94	293.07	229.72	208.38	221.86	193.01	151.22	231.32	228.13	209.84	289.02	239.52	234.57	68.55	122.64	122.64	78.89	104.42	563.18	327.56	432.53	381.68	368.65	312.0	420.68	358.54	212.78	438.59	486.75	307.69	224.97	93.35	80.01
SMAD4	175.07	138.1	171.45	186.4	507.46	1191.69	981.29	915.51	902.89	1044.52	1151.06	368.65	698.41	974.5	830.75	2591.27	1286.18	1059.11	395.18	381.68	1051.79	463.65	1378.57	417.77	547.75	954.43	320.8	1081.39	1388.16	1350.18	1023.0	1508.65	1059.11	1167.14	1388.16	890.44	1304.15	1199.98	934.76	1268.46	981.29	1508.65	954.43	1268.46	1313.23	1295.13	1487.87	1369.04	1277.29	1233.75	1127.35	1111.82	1259.69	1191.69	244.57	78.89	115.97	607.87	236.21	232.94	791.35	878.17	928.3	878.17	796.86	1015.93	967.76	813.63	909.17	1066.48	1001.93	1073.91	743.43	909.17	150.17	325.29	236.21	144.01	215.77	2956.17	1832.01	1487.87	1498.22	2178.83	1295.13	1896.65	1066.48	476.71	1216.75	1950.0	1208.34	532.74	157.68	165.57
STAG2	473.41	237.86	229.72	432.53	389.72	842.36	733.19	511.0	723.08	543.96	780.44	318.57	412.0	460.44	497.0	2133.97	1081.39	603.67	332.14	351.14	860.08	460.44	1340.84	466.88	384.34	503.95	395.18	656.11	1037.29	995.0	890.44	1151.06	791.35	909.17	909.17	753.83	1051.79	848.22	748.61	1044.52	708.18	1175.27	1008.9	947.83	974.5	896.64	872.1	703.28	954.43	1066.48	848.22	785.88	988.12	902.89	269.6	336.79	61.68	171.45	149.12	231.32	575.03	642.59	708.18	607.87	633.73	708.18	679.29	595.34	624.99	775.05	656.11	708.18	629.35	693.58	187.71	153.34	94.67	156.59	320.8	1781.89	1051.79	974.5	1151.06	1015.93	703.28	1119.56	764.36	486.75	785.88	1143.1	1037.29	629.35	244.57	283.05
STAM2	193.01	127.0	115.16	149.12	177.53	435.55	373.81	397.93	348.71	406.31	334.46	161.02	275.28	283.05	384.34	733.19	559.28	346.29	158.79	267.73	281.09	205.5	368.65	204.07	264.03	389.72	195.72	358.54	466.88	500.46	438.59	466.88	460.44	460.44	426.57	336.79	563.18	395.18	392.44	473.41	368.65	518.15	373.81	444.72	511.0	429.54	435.55	392.44	466.88	466.88	403.5	356.05	389.72	476.71	120.94	101.54	39.5	121.79	73.54	84.63	295.11	361.04	325.29	343.89	318.57	363.56	327.56	291.04	305.55	397.93	348.71	358.54	285.03	316.37	85.82	132.44	49.91	122.64	163.28	417.77	316.37	329.84	432.53	341.51	392.44	432.53	351.14	244.57	395.18	353.59	312.0	234.57	68.07	92.7
STRN3	130.6	75.11	53.95	170.25	104.42	384.34	303.44	255.0	395.18	291.04	249.73	248.0	348.71	320.8	473.41	587.13	500.46	336.79	220.32	285.03	555.41	224.97	301.33	150.17	234.57	293.07	206.94	327.56	392.44	409.15	406.31	497.0	381.68	432.53	514.56	381.68	444.72	400.71	379.04	438.59	358.54	463.65	397.93	400.71	444.72	444.72	432.53	336.79	403.5	414.87	389.72	373.81	412.0	403.5	170.25	189.02	71.0	220.32	124.37	139.07	307.69	356.05	244.57	358.54	289.02	325.29	291.04	301.33	346.29	429.54	309.83	368.65	287.01	343.89	139.07	131.51	111.21	181.28	332.14	414.87	473.41	373.81	497.0	291.04	400.71	454.09	299.25	305.55	412.0	409.15	414.87	665.29	98.04	50.98
TANC1	135.24	140.04	117.6	126.12	194.36	406.31	264.03	140.04	314.17	177.53	212.78	193.01	190.34	214.27	277.2	633.73	251.48	255.0	150.17	384.34	466.88	215.77	366.09	159.9	187.71	265.87	151.22	242.88	287.01	500.46	358.54	493.56	409.15	392.44	353.59	242.88	397.93	291.04	293.07	341.51	242.88	341.51	327.56	301.33	387.02	406.31	343.89	242.88	353.59	295.11	251.48	483.38	400.71	417.77	94.67	61.25	110.43	121.79	77.25	42.11	221.86	299.25	368.65	231.32	262.2	314.17	309.83	231.32	269.6	285.03	283.05	346.29	281.09	273.37	34.51	18.56	49.21	120.1	98.73	624.99	884.29	389.72	651.58	397.93	493.56	529.06	470.14	518.15	769.69	507.46	334.46	341.51	92.7	105.15
TAOK1	112.77	128.79	94.01	135.24	145.02	285.03	195.72	109.66	246.28	141.02	156.59	157.68	189.02	237.86	246.28	616.37	327.56	305.55	105.15	145.02	303.44	205.5	231.32	134.3	148.09	301.33	183.82	211.31	312.0	356.05	273.37	417.77	279.14	318.57	316.37	253.23	368.65	260.38	208.38	348.71	190.34	361.04	295.11	295.11	336.79	325.29	267.73	193.01	273.37	334.46	262.2	323.03	323.03	346.29	172.65	147.06	38.12	107.38	98.73	93.35	117.6	182.55	246.28	175.07	185.11	214.27	209.84	197.09	195.72	224.97	197.09	303.44	197.09	211.31	59.55	106.63	28.65	98.73	54.72	387.02	423.61	239.52	316.37	265.87	241.19	392.44	303.44	145.02	309.83	305.55	312.0	262.2	83.45	88.88
TCF12	177.53	143.01	236.21	190.34	260.38	769.69	571.05	325.29	551.56	486.75	579.04	239.52	579.04	376.41	575.03	1127.35	981.29	947.83	291.04	332.14	1073.91	723.08	842.36	371.22	371.22	679.29	332.14	607.87	785.88	759.08	733.19	1008.9	748.61	1008.9	995.0	665.29	848.22	587.13	529.06	796.86	587.13	830.75	780.44	764.36	785.88	825.0	679.29	591.22	718.08	748.61	698.41	728.11	738.29	785.88	314.17	205.5	73.03	249.73	226.54	171.45	397.93	493.56	780.44	583.07	497.0	555.41	503.95	567.1	518.15	616.37	595.34	791.35	447.82	669.92	101.54	148.09	87.03	182.55	139.07	1135.2	679.29	540.19	473.41	703.28	476.71	1030.12	441.64	353.59	483.38	825.0	563.18	307.69	94.67	153.34
TLK1	142.01	209.84	100.83	180.02	166.73	497.0	403.5	307.69	503.95	376.41	674.59	231.32	323.03	356.05	429.54	941.27	638.15	633.73	163.28	163.28	384.34	253.23	363.56	244.57	303.44	283.05	329.84	438.59	693.58	616.37	591.22	679.29	551.56	559.28	583.07	429.54	679.29	551.56	441.64	616.37	358.54	703.28	656.11	599.49	575.03	587.13	543.96	447.82	603.67	371.22	514.56	387.02	476.71	607.87	173.85	211.31	61.68	133.36	95.34	224.97	353.59	444.72	514.56	400.71	403.5	525.39	463.65	540.19	376.41	476.71	470.14	525.39	417.77	432.53	173.85	178.77	83.45	130.6	194.36	819.3	412.0	397.93	607.87	409.15	356.05	486.75	366.09	395.18	420.68	507.46	466.88	293.07	149.12	189.02
