	TCGA.VS.A9V4.01A.12R.A42T.07	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.13O61.1226.SM.5KM21	GTEX.11EQ9.0926.SM.5HL6I	GTEX.S95S.0326.SM.4B66U	TCGA.38.4625.01A.01R.1206.07	TCGA.BR.6456.01A.11R.1802.13	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.4267.01A.01R.1131.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.FP.8209.01A.11R.2343.13	TCGA.KB.A93G.01A.11R.A39E.31	TCGA.BR.8687.01A.11R.2402.13	TCGA.HU.A4GH.11A.11R.A36D.31	TCGA.BR.7716.11A.01R.2055.13	TCGA.CG.5720.11A.01R.1602.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.HU.A4GP.11A.21R.A251.31	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6852.11A.01R.1884.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.S7SF.0626.SM.4AD4V
ACTR1A	808.0	3103.19	4512.4	3419.52	2875.3	2956.17	0.0	2018.8	1477.58	961.07	1697.45	1583.71	1104.13	2875.3	1519.15	1143.1	2997.45	1977.24	1662.49	2351.53	1977.24	1322.37	2976.74	1225.22	1417.35	1135.2	1268.46	3349.13
ADCYAP1R1	0.0	1508.65	497.0	134.3	124.37	73.54	0.0	18.29	4.78	0.79	12.18	8.85	1.87	242.88	4.06	0.91	217.27	24.11	4.78	323.03	88.88	6.21	301.33	5.15	1.14	0.32	4.35	89.51
AMOTL1	16.15	1447.15	2178.83	947.83	1950.0	1857.6	0.0	301.33	82.87	77.25	423.61	285.03	133.36	1378.57	466.88	249.73	1183.45	226.54	75.64	518.15	348.71	108.9	1286.18	82.87	53.95	41.22	70.51	1322.37
ANKRD40	343.89	1088.92	1721.16	638.15	988.12	791.35	395.18	624.99	332.14	470.14	616.37	514.56	361.04	1059.11	642.59	429.54	1322.37	480.04	262.2	684.02	463.65	389.72	1304.15	351.14	297.17	256.78	327.56	848.22
ANKS1A	318.57	4575.41	3395.89	954.43	1407.55	1066.48	0.0	271.48	237.86	403.5	397.93	305.55	297.17	947.83	279.14	379.04	860.08	316.37	246.28	647.07	435.55	277.2	1015.93	198.47	153.34	59.55	178.77	860.08
AOC3	83.45	8901.53	15180.22	2915.45	2209.26	3235.01	303.44	1104.13	218.79	102.97	1721.16	1008.9	332.14	2816.11	808.0	341.51	5041.77	1135.2	336.79	4769.75	1733.13	320.8	5292.48	376.41	191.67	163.28	346.29	3847.29
APBB1	301.33	1883.54	3081.75	1651.0	1208.34	1277.29	0.0	947.83	209.84	74.58	426.57	228.13	291.04	1183.45	389.72	279.14	1369.04	511.0	239.52	1242.34	674.59	251.48	1447.15	277.2	197.09	161.02	244.57	1378.57
ARMC8	297.17	981.29	981.29	813.63	1313.23	967.76	444.72	571.05	435.55	728.11	669.92	521.76	483.38	954.43	629.35	435.55	743.43	470.14	356.05	555.41	743.43	511.0	753.83	307.69	409.15	400.71	400.71	647.07
ATL3	97.36	1819.35	1508.65	954.43	1216.75	1350.18	379.04	780.44	361.04	842.36	769.69	642.59	368.65	1233.75	733.19	603.67	1143.1	366.09	208.38	525.39	441.64	384.34	1199.98	237.86	339.14	299.25	239.52	723.08
ATP2B4	234.57	10808.41	20881.4	2520.38	2555.58	2682.69	902.89	791.35	493.56	450.94	1540.37	1286.18	341.51	8778.97	995.0	785.88	10154.69	1127.35	241.19	3443.31	1674.06	423.61	12853.63	351.14	221.86	185.11	368.65	4903.87
