	TCGA.60.2697.01A.11R.2125.07	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.98.A53C.01A.11R.A262.07	TCGA.85.7710.11A.01R.2125.07	TCGA.FP.8210.01A.11R.2343.13	TCGA.BJ.A28X.01A.11R.A22L.07	TCGA.DJ.A4V0.01A.11R.A250.07	TCGA.EM.A4FO.01A.11R.A250.07	TCGA.DO.A2HM.01B.11R.A22L.07	TCGA.EL.A3ZK.11A.11R.A23N.07	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.BJ.A28R.11A.11R.A16R.07	TCGA.GE.A2C6.11A.11R.A16R.07	TCGA.EL.A3ZP.11A.11R.A23N.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.WHSB.1626.SM.3LK6J	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YEC3.0826.SM.4WWFP	GTEX.139T6.0326.SM.5J2LY	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.12BJ1.0426.SM.5FQSO	GTEX.QLQ7.0726.SM.2I5G2	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.11VI4.0226.SM.5GU6C	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.13VXU.0826.SM.5KLZ2
AC006132.1	30.34	42.41	48.18	69.03	23.59	40.93	40.93	21.16	14.35	20.11	50.98	10.31	24.46	35.5	2.92	4.43	17.0	6.06	23.93	30.56	3.47	5.73	22.26	21.94	8.19	30.34	2.36	15.0	10.88	14.89	8.38	2.07	4.21	10.47	9.85	3.03	1.57	12.18	5.28	6.84	7.75	2.86
APBB1IP	532.74	1030.12	444.72	934.76	633.73	312.0	242.88	351.14	332.14	214.27	500.46	258.57	368.65	246.28	55.1	87.03	38.67	6.78	104.42	50.63	64.8	46.18	98.04	273.37	46.18	107.38	26.86	211.31	27.05	55.1	19.39	92.05	29.06	146.03	3.69	25.72	20.26	189.02	28.45	48.18	41.22	24.28
ARHGAP11B	96.01	228.13	81.71	104.42	131.51	50.27	48.87	27.44	92.05	50.27	59.55	39.22	37.05	87.03	44.89	44.25	19.53	51.35	28.24	39.22	43.02	33.3	21.47	42.71	36.53	45.85	19.11	16.03	17.51	27.25	13.03	31.9	30.34	33.54	29.27	11.73	35.0	48.52	23.08	34.51	26.86	19.97
ARRB2	2018.8	2720.15	2148.82	3018.3	1437.15	1216.75	884.29	1199.98	2018.8	896.64	1651.0	878.17	1023.0	808.0	318.57	400.71	507.46	295.11	395.18	466.88	318.57	301.33	633.73	941.27	497.0	532.74	426.57	511.0	277.2	329.84	265.87	420.68	255.0	371.22	161.02	173.85	211.31	660.68	193.01	463.65	521.76	318.57
BCL2A1	848.22	1159.07	624.99	1628.26	316.37	346.29	176.29	291.04	638.15	299.25	348.71	189.02	234.57	223.41	10.96	20.86	297.17	35.0	12.45	51.35	7.11	8.51	60.82	170.25	297.17	60.39	82.29	104.42	9.56	41.22	22.59	42.71	32.59	82.87	11.47	4.54	10.88	73.54	5.73	48.52	228.13	12.45
C17orf62	2796.65	6337.83	3235.01	3665.02	2664.15	3060.45	1617.0	2178.83	2739.08	1268.46	2835.7	1662.49	1757.34	1745.2	974.5	941.27	665.29	796.86	1242.34	1001.93	1015.93	934.76	1286.18	1685.71	947.83	1183.45	1044.52	915.51	884.29	1037.29	759.08	947.83	1001.93	1151.06	1066.48	1096.5	896.64	1322.37	961.07	954.43	909.17	825.0
C4BPB	80.01	88.26	43.94	78.89	223.41	3.99	2.86	9.56	16.39	9.13	12.09	2.29	5.63	2.84	1.27	3.38	0.23	1.33	3.35	3.14	1.45	3.47	5.5	3.92	0.22	3.03	2.23	3.26	2.05	1.87	0.0	0.0	0.91	1.55	0.45	0.61	1.75	1.28	0.0	0.69	0.41	0.84
CASP10	381.68	195.72	423.61	351.14	291.04	277.2	256.78	221.86	334.46	152.28	236.21	176.29	162.14	176.29	77.25	133.36	80.57	118.43	105.15	69.03	97.36	143.01	117.6	221.86	75.64	146.03	120.1	73.03	96.01	59.13	105.89	140.04	79.45	171.45	88.88	78.34	66.65	127.89	104.42	120.1	79.45	72.01
CBLN3	138.1	540.19	239.52	164.42	169.07	205.5	110.43	124.37	251.48	136.19	318.57	75.11	176.29	126.12	85.82	74.58	86.43	36.27	135.24	118.43	61.68	86.43	171.45	183.82	30.34	77.25	98.73	31.45	73.54	73.03	41.52	103.69	88.88	76.71	36.53	29.91	96.68	95.34	62.12	67.12	177.53	97.36
CCDC18	92.05	236.21	96.01	148.09	165.57	59.55	49.56	57.08	69.03	40.07	98.73	45.85	69.03	98.73	38.4	29.91	31.0	14.67	32.13	21.63	29.48	46.84	38.67	50.98	28.04	54.72	40.93	28.24	38.12	28.45	29.48	30.56	36.27	45.85	42.41	47.17	45.85	38.95	24.63	49.21	44.57	13.93
CCL23	164.42	41.81	486.75	400.71	269.6	104.42	35.5	127.89	547.75	58.3	69.52	72.52	155.5	44.57	21.78	9.78	14.89	4.82	133.36	30.12	38.67	53.57	2.94	47.84	5.73	11.38	14.35	40.93	9.85	14.35	23.93	6.31	6.52	13.72	4.9	33.78	18.7	35.5	14.78	21.94	27.05	0.92
CD1D	85.22	258.57	130.6	212.78	152.28	129.69	79.45	102.97	116.78	66.18	239.52	82.87	101.54	87.03	77.79	40.07	22.43	46.18	53.95	52.08	43.94	74.58	21.47	88.26	44.57	50.27	29.91	33.54	63.89	77.25	39.79	55.49	62.56	117.6	63.0	32.13	57.89	90.77	44.25	48.87	26.67	25.17
