	TCGA.AA.3496.11A.01R.1839.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.WEY5.1126.SM.4LMIE	GTEX.1211K.1326.SM.5FQV2	GTEX.146FQ.1126.SM.5NQBM	GTEX.ZAB5.1026.SM.5HL91	GTEX.U3ZN.1826.SM.4DXUY	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7123.11A.01R.1965.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.XAJ8.0626.SM.47JY4	GTEX.13111.1326.SM.5GCNO	GTEX.111YS.1726.SM.5GIED	TCGA.AG.3732.11A.01R.1660.07	TCGA.FP.7735.11A.01R.2055.13
ACAT2	547.75	186.4	181.28	129.69	166.73	217.27	221.86	190.34	193.01	198.47	217.27	836.53	514.56	490.14	595.34	819.3	1340.84	414.87	674.59	555.41	291.04	209.84
ALDH7A1	1457.23	1081.39	651.58	679.29	819.3	890.44	536.45	490.14	563.18	591.22	638.15	2287.2	1540.37	2178.83	1819.35	1685.71	3168.41	2032.85	2271.4	2047.0	1073.91	921.88
ALDH9A1	1447.15	1096.5	1427.22	1369.04	1313.23	1127.35	665.29	769.69	848.22	1030.12	1066.48	2485.67	2104.58	2061.24	2193.99	2319.15	3235.01	1561.89	1977.24	1781.89	1369.04	1096.5
ANO7	58.3	14.78	7.34	4.66	4.94	46.18	11.73	4.66	46.5	26.86	47.5	1199.98	896.64	555.41	967.76	915.51	1844.76	368.65	371.22	587.13	94.67	10.24
ARFGAP3	583.07	470.14	536.45	525.39	483.38	642.59	693.58	684.02	660.68	651.58	656.11	2133.97	1225.22	1639.59	1457.23	1857.6	2104.58	1073.91	1023.0	1594.73	629.35	395.18
ARHGAP18	208.38	57.08	55.1	78.89	43.02	123.5	27.64	35.0	45.21	158.79	147.06	262.2	181.28	318.57	177.53	307.69	218.79	146.03	88.88	275.28	239.52	75.11
ATP6V1A	329.84	251.48	283.05	244.57	173.85	309.83	197.09	199.85	228.13	251.48	256.78	665.29	450.94	587.13	470.14	791.35	679.29	473.41	303.44	463.65	409.15	186.4
CCDC54	0.0	1.73	4.06	1.73	1.91	0.0	1.0	1.43	0.0	0.0	0.0	10.96	7.17	8.85	9.93	4.94	7.22	3.69	3.63	1.93	1.43	1.39
CLCN3	376.41	214.27	177.53	166.73	100.83	273.37	178.77	158.79	183.82	239.52	198.47	713.11	447.82	738.29	493.56	703.28	698.41	379.04	371.22	441.64	603.67	125.24
COPB1	1427.22	1073.91	1135.2	1167.14	1008.9	1119.56	884.29	909.17	1001.93	1044.52	1286.18	1909.85	1498.22	1883.54	1561.89	2075.59	2104.58	1378.57	1417.35	1529.73	1437.15	860.08
CORO2A	171.45	13.03	93.35	4.74	4.7	27.25	12.18	19.82	25.54	43.94	30.12	334.46	198.47	226.54	277.2	353.59	497.0	267.73	104.42	211.31	50.98	11.04
CWH43	85.82	13.83	0.0	0.0	0.0	24.63	0.0	1.64	1.66	2.23	1.62	674.59	206.94	521.76	447.82	665.29	1199.98	186.4	525.39	447.82	109.66	0.0
DMRTC1	3.79	4.1	0.09	0.44	3.06	3.29	0.95	0.0	2.41	0.0	1.43	21.94	13.22	12.0	17.25	22.92	19.11	10.63	5.11	20.71	11.73	0.0
DNAJC3	463.65	351.14	316.37	366.09	327.56	371.22	301.33	334.46	305.55	368.65	432.53	1151.06	902.89	921.88	775.05	1081.39	1340.84	651.58	575.03	941.27	503.95	293.07
DUSP16	314.17	148.09	172.65	163.28	195.72	256.78	114.36	112.77	336.79	269.6	262.2	941.27	529.06	607.87	571.05	836.53	884.29	231.32	403.5	571.05	215.77	167.9
ELOVL7	95.34	19.82	102.97	170.25	57.08	91.41	34.26	55.49	52.45	91.41	39.5	361.04	273.37	265.87	175.07	343.89	638.15	74.06	92.7	172.65	108.14	40.07
EPO	0.0	1.93	3.63	2.12	1.46	1.17	0.99	0.0	1.55	1.07	2.92	19.82	11.73	7.63	15.68	12.55	15.0	4.17	6.41	11.64	4.7	0.0
EXT2	947.83	866.07	796.86	1023.0	728.11	693.58	583.07	698.41	733.19	665.29	748.61	1159.07	1104.13	1151.06	1088.92	1208.34	1242.34	947.83	947.83	1143.1	775.05	759.08
F7	0.65	3.96	10.47	3.0	10.0	4.58	0.01	0.39	4.31	4.24	8.99	15.22	18.16	10.55	46.5	32.13	45.53	14.45	9.41	9.78	6.06	1.27
FAM105A	248.0	42.11	45.21	50.63	35.0	49.21	7.75	45.85	23.93	42.71	73.03	872.1	473.41	890.44	525.39	669.92	543.96	536.45	312.0	612.11	249.73	55.49
FEV	7.28	2.73	0.0	0.0	0.0	0.57	2.03	1.19	0.0	2.14	0.0	103.69	90.14	13.42	94.67	65.72	305.55	11.73	43.94	74.06	13.22	3.0
FOXD2	32.82	2.73	10.88	2.53	1.04	10.79	2.51	1.69	3.76	6.36	3.14	14.45	79.45	37.85	44.57	35.76	27.05	21.16	32.36	20.71	26.67	0.4
FRK	26.86	0.47	1.03	0.04	0.0	32.13	5.63	3.79	8.65	5.87	16.75	63.89	53.95	50.27	39.5	79.45	49.91	49.21	53.19	19.68	30.34	0.52
FRMD4B	197.09	65.26	129.69	155.5	21.32	92.05	63.45	75.64	96.68	113.56	133.36	547.75	547.75	454.09	432.53	603.67	521.76	172.65	224.97	406.31	171.45	55.49
GDF5	56.68	361.04	23.08	8.58	13.83	5.23	7.51	2.89	9.06	5.96	9.13	26.1	212.78	35.0	24.11	36.53	21.94	15.22	38.67	25.72	80.57	11.47
GPR160	341.51	12.45	14.56	9.34	5.59	69.03	7.22	13.62	10.79	19.25	23.76	540.19	264.03	389.72	341.51	514.56	733.19	248.0	186.4	283.05	457.25	11.73
HGD	115.16	4.62	0.0	1.1	1.31	17.77	45.53	35.25	4.58	15.22	66.65	995.0	368.65	387.02	1159.07	1059.11	2193.99	147.06	373.81	842.36	87.65	2.61
HS3ST2	11.04	17.51	11.47	48.87	12.09	39.22	21.01	8.99	11.55	0.89	8.92	104.42	101.54	50.27	28.65	27.05	32.82	22.92	12.64	29.48	4.98	36.01
INIP	281.09	175.07	202.66	180.02	139.07	178.77	110.43	145.02	176.29	198.47	202.66	291.04	251.48	295.11	256.78	406.31	285.03	248.0	171.45	236.21	341.51	148.09
KIAA1244	29.48	18.29	6.01	6.84	6.78	24.81	2.29	8.45	9.78	17.9	44.25	341.51	164.42	293.07	167.9	325.29	327.56	100.83	92.7	154.42	53.19	8.71
KIAA1324	195.72	18.7	9.7	0.68	1.85	73.03	9.13	18.03	13.42	24.81	20.26	2855.44	921.88	1529.73	2303.12	2351.53	5183.54	432.53	346.29	551.56	320.8	14.24
KIF3B	287.01	234.57	262.2	232.94	197.09	258.57	217.27	262.2	260.38	223.41	269.6	476.71	358.54	500.46	376.41	473.41	450.94	273.37	212.78	358.54	376.41	264.03
LAMP2	1407.55	1096.5	1350.18	1159.07	665.29	1199.98	660.68	854.13	785.88	902.89	928.3	3235.01	2271.4	2434.5	2758.13	3146.52	4328.55	2133.97	2537.92	2573.36	1529.73	1030.12
LGALSL	307.69	255.0	232.94	226.54	260.38	231.32	202.66	232.94	237.86	242.88	325.29	358.54	412.0	389.72	341.51	376.41	457.25	211.31	295.11	316.37	275.28	150.17
LMAN1	665.29	511.0	466.88	571.05	417.77	633.73	493.56	381.68	353.59	412.0	521.76	1561.89	1008.9	1350.18	967.76	1540.37	1806.78	884.29	688.78	947.83	753.83	460.44
LRRC26	16.15	3.63	5.63	0.0	0.0	25.91	0.0	2.46	0.0	0.0	0.0	532.74	279.14	255.0	1304.15	493.56	371.22	301.33	351.14	209.84	11.91	0.0
LRRK1	241.19	185.11	172.65	323.03	170.25	228.13	67.59	73.54	127.0	88.88	194.36	447.82	371.22	521.76	368.65	379.04	305.55	358.54	197.09	273.37	273.37	80.01
MAGT1	521.76	339.14	420.68	429.54	343.89	397.93	293.07	305.55	316.37	366.09	420.68	1216.75	713.11	974.5	808.0	1304.15	1519.15	633.73	599.49	954.43	612.11	384.34
MAP7	105.89	7.82	19.39	5.19	0.78	85.22	21.47	46.18	50.98	50.98	53.19	587.13	209.84	583.07	368.65	591.22	629.35	316.37	279.14	406.31	111.21	4.28
MCTP2	80.01	1.3	18.7	28.24	5.87	34.02	20.41	27.84	22.75	36.53	23.59	231.32	105.89	172.65	146.03	242.88	291.04	122.64	46.5	153.34	118.43	13.03
MYL9	456418.21	1800541.22	1070607.81	716197.51	1916442.45	610654.84	184082.4	194578.47	318292.9	198667.0	214407.12	77396.54	228208.61	124863.17	163620.18	62431.08	69753.56	102125.66	462789.59	150561.19	527933.71	485798.0
NRG1	67.12	32.13	11.04	6.57	14.35	15.45	0.0	2.68	26.86	14.56	12.64	73.03	98.04	33.54	62.56	63.0	57.08	42.71	12.36	76.71	38.95	13.32
OR51E2	457.25	2895.31	10.71	14.35	28.86	16.27	2.68	6.26	21.16	2.48	4.5	896.64	1295.13	591.22	423.61	759.08	320.8	32.82	212.78	138.1	124.37	1.48
PARM1	1191.69	764.36	173.85	318.57	320.8	379.04	164.42	183.82	329.84	307.69	384.34	2816.11	3955.48	3103.19	3146.52	2090.03	2997.45	2384.37	3955.48	2537.92	1437.15	220.32
PDE4D	389.72	854.13	256.78	371.22	236.21	323.03	198.47	124.37	208.38	198.47	264.03	764.36	1015.93	842.36	921.88	693.58	497.0	348.71	547.75	896.64	684.02	441.64
PGM3	363.56	140.04	255.0	281.09	112.77	281.09	138.1	116.78	236.21	277.2	283.05	1015.93	587.13	995.0	693.58	1135.2	1277.29	441.64	633.73	638.15	289.02	114.36
PHKB	896.64	718.08	651.58	684.02	665.29	813.63	738.29	808.0	785.88	842.36	808.0	1191.69	1233.75	1151.06	974.5	1250.98	1225.22	748.61	1167.14	1037.29	967.76	679.29
PPAP2A	3235.01	4010.71	2148.82	2287.2	2417.67	3168.41	1923.14	1498.22	2485.67	1794.29	1883.54	8134.41	5112.16	6164.49	7485.11	7130.55	15285.81	4298.64	4769.75	6935.54	3395.89	2451.44
PPP3CA	371.22	332.14	312.0	327.56	177.53	285.03	164.42	275.28	205.5	220.32	269.6	1936.53	1572.76	2004.85	1417.35	1991.0	2351.53	981.29	1259.69	1242.34	476.71	251.48
PRRG1	108.9	96.01	94.67	115.97	61.68	76.71	18.43	46.5	23.93	53.57	50.63	130.6	133.36	130.6	121.79	150.17	132.44	108.14	61.68	183.82	108.14	53.95
PRSS12	48.52	12.09	12.74	9.34	11.13	27.44	5.41	5.23	29.48	13.22	15.0	13.72	111.99	44.25	43.32	40.93	27.44	16.03	20.71	17.38	44.89	17.64
PTK2B	543.96	283.05	275.28	348.71	226.54	450.94	155.5	142.01	307.69	346.29	438.59	1135.2	802.41	647.07	536.45	1044.52	718.08	1044.52	444.72	915.51	409.15	199.85
RB1	387.02	269.6	620.67	450.94	373.81	346.29	221.86	255.0	178.77	348.71	323.03	591.22	497.0	651.58	473.41	748.61	591.22	371.22	353.59	599.49	532.74	246.28
RBFOX1	9.7	6.62	1.75	1.69	1.19	9.2	0.22	0.62	0.0	0.24	0.0	23.76	92.05	123.5	66.18	26.1	48.52	99.43	22.59	19.53	11.47	1.66
RNASET2	1781.89	540.19	441.64	361.04	256.78	633.73	212.78	356.05	575.03	559.28	599.49	2287.2	2701.35	2193.99	2287.2	2209.26	2335.28	2163.77	2935.74	3168.41	1437.15	819.3
RORC	56.68	4.82	1.46	0.0	0.0	52.45	5.63	7.4	3.76	3.72	1.5	406.31	262.2	267.73	218.79	500.46	409.15	525.39	214.27	470.14	69.52	0.24
SEC11C	2047.0	713.11	540.19	497.0	483.38	1037.29	703.28	733.19	981.29	1216.75	1167.14	6652.97	3665.02	3614.55	3419.52	4268.94	11267.44	2627.46	4038.61	3395.89	1745.2	884.29
SERINC5	154.42	45.21	127.0	47.17	18.7	61.25	29.06	30.56	51.35	48.87	49.56	1015.93	412.0	669.92	358.54	947.83	738.29	229.72	127.0	249.73	208.38	83.45
SEZ6L2	122.64	72.52	18.97	10.79	14.45	73.03	12.93	8.45	57.08	21.16	48.52	1015.93	334.46	435.55	780.44	684.02	1769.57	217.27	262.2	267.73	114.36	55.49
SLC33A1	318.57	221.86	220.32	242.88	180.02	291.04	122.64	170.25	175.07	327.56	275.28	591.22	426.57	511.0	397.93	587.13	713.11	438.59	400.71	444.72	371.22	307.69
SLC35F2	175.07	40.07	54.72	41.81	21.01	69.52	29.7	72.52	56.68	50.63	63.0	819.3	403.5	412.0	432.53	514.56	896.64	283.05	151.22	289.02	171.45	22.26
SLC7A4	27.44	12.45	3.69	15.91	10.31	8.0	3.0	4.39	11.04	3.59	4.74	129.69	73.54	68.07	137.14	56.68	193.01	39.22	141.02	13.32	28.24	7.4
SOAT1	262.2	165.57	182.55	206.94	143.01	187.71	123.5	149.12	137.14	177.53	218.79	961.07	629.35	848.22	567.1	1127.35	1331.57	400.71	397.93	579.04	287.01	215.77
SORL1	212.78	137.14	297.17	77.25	91.41	80.01	79.45	19.39	99.43	221.86	123.5	988.12	703.28	842.36	638.15	995.0	684.02	674.59	503.95	1208.34	334.46	76.17
SPDEF	158.79	28.65	0.15	0.0	0.0	19.97	7.82	3.29	4.28	2.36	3.26	4869.99	2555.58	2434.5	4575.41	3212.66	9740.98	1519.15	934.76	1923.14	89.51	3.99
SRBD1	154.42	109.66	100.13	117.6	107.38	111.21	98.73	99.43	105.89	81.71	127.89	231.32	201.25	260.38	226.54	264.03	265.87	173.85	182.55	209.84	157.68	99.43
ST6GAL1	444.72	191.67	218.79	226.54	117.6	316.37	85.82	199.85	212.78	246.28	215.77	2956.17	1447.15	2163.77	2032.85	3768.09	3564.78	2075.59	339.14	1662.49	583.07	212.78
STT3B	1175.27	884.29	947.83	872.1	728.11	878.17	629.35	616.37	703.28	759.08	909.17	1709.26	1199.98	1709.26	1388.16	1963.57	1617.0	1369.04	995.0	1407.55	1259.69	638.15
SUSD1	115.97	34.51	47.17	63.89	37.05	74.06	59.13	24.28	47.5	62.12	144.01	217.27	120.94	142.01	135.24	232.94	195.72	202.66	87.65	246.28	107.38	26.67
TMEM200B	830.75	2090.03	400.71	500.46	669.92	262.2	423.61	287.01	334.46	351.14	379.04	759.08	1340.84	1250.98	830.75	753.83	647.07	1037.29	1781.89	493.56	796.86	172.65
TMEM26	20.86	10.96	14.67	4.46	4.86	2.53	3.03	3.63	4.54	7.11	1.91	55.1	80.57	88.26	55.1	128.79	57.49	48.87	59.97	24.11	19.53	17.25
TMEM38B	265.87	108.9	163.28	116.78	112.77	118.43	43.63	117.6	70.01	74.06	94.01	191.67	318.57	248.0	195.72	218.79	255.0	139.07	189.02	223.41	197.09	98.73
TMEM52	41.81	19.82	71.5	6.89	14.56	55.89	33.54	16.51	32.82	11.47	21.47	34.51	236.21	19.68	43.94	23.76	65.72	33.78	57.08	38.95	33.78	30.78
TPM3	4639.29	629.35	3564.78	2047.0	791.35	1844.76	1721.16	2032.85	2367.9	2075.59	2384.37	3212.66	14262.1	3124.78	3372.43	5147.73	6207.38	2915.45	3212.66	4095.0	2061.24	1250.98
