	TCGA.A2.A0SX.01A.12R.A084.07	TCGA.D8.A147.01A.11R.A115.07	TCGA.AR.A1AW.01A.21R.A12P.07	TCGA.VS.A9UT.01A.11R.A42T.07	TCGA.W5.AA34.11A.11R.A41I.07	TCGA.W5.AA2I.11A.11R.A41I.07	TCGA.CW.6087.01A.11R.1672.07	TCGA.DZ.6131.01A.11R.1965.07	TCGA.CC.A9FS.01A.11R.A37K.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.G3.AAV2.01A.11R.A37K.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.2Y.A9H8.01A.11R.A39D.07	TCGA.DD.AADG.01A.11R.A41C.07	TCGA.MI.A75I.01A.11R.A32O.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.A1EI.01A.11R.A131.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.CC.A9FV.01A.11R.A37K.07	TCGA.DD.AAD3.01A.11R.A41C.07	TCGA.ZP.A9D2.01A.11R.A38B.07	TCGA.ED.A4XI.01A.11R.A266.07	TCGA.DD.AAEK.01A.11R.A41C.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.CC.A8HS.01A.11R.A36F.07	TCGA.K7.A5RG.01A.11R.A28V.07	TCGA.RC.A7SK.01A.11R.A352.07	TCGA.DD.A73B.01A.12R.A32O.07	TCGA.UB.AA0U.01A.11R.A38B.07	TCGA.CC.5261.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.2Y.A9HA.01A.11R.A39D.07	TCGA.T1.A6J8.01A.11R.A32O.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.2Y.A9GX.01A.11R.A38B.07	TCGA.ED.A7XP.01A.11R.A352.07	TCGA.ED.A5KG.01A.11R.A27V.07	TCGA.UB.A7ME.01A.11R.A33J.07	TCGA.2Y.A9H0.01A.11R.A38B.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A3A5.01A.11R.A22L.07	TCGA.DD.AADV.01A.11R.A39D.07	TCGA.DD.AADB.01A.11R.A41C.07	TCGA.G3.A3CH.01A.11R.A22L.07	TCGA.ED.A7XO.01A.11R.A352.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.ED.A66X.01A.11R.A311.07	TCGA.DD.A113.01A.11R.A131.07	TCGA.XR.A8TC.01A.11R.A36F.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.2Y.A9H7.01A.11R.A39D.07	TCGA.BC.A10U.01A.11R.A131.07	TCGA.CC.A9FU.01A.11R.A37K.07	TCGA.GJ.A9DB.01A.11R.A37K.07	TCGA.DD.A4ND.01A.11R.A266.07	TCGA.RC.A7SB.01A.21R.A352.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1EF.01A.11R.A131.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.2Y.A9GU.01A.11R.A38B.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A11B.11A.11R.A131.07	TCGA.DD.A1EH.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11GSP.0626.SM.5986T	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.ZAB5.0426.SM.5CVMI	GTEX.147JS.1126.SM.5RQIW	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.139TU.0826.SM.5IJFG	GTEX.12WSD.1426.SM.5GCN9	GTEX.14DAQ.1726.SM.5S2R2	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.Q734.0326.SM.48U15	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.REY6.1226.SM.48FDR	GTEX.R53T.0326.SM.48FEC	TCGA.44.6778.01A.11R.1858.07	TCGA.D7.A4YU.01A.21R.A251.31
ACBD3	1397.83	1977.24	1008.9	620.67	346.29	201.25	575.03	909.17	316.37	708.18	392.44	432.53	463.65	316.37	397.93	591.22	466.88	139.07	551.56	543.96	1008.9	432.53	486.75	356.05	476.71	463.65	229.72	287.01	656.11	974.5	226.54	275.28	327.56	836.53	651.58	1250.98	713.11	540.19	525.39	497.0	190.34	412.0	454.09	289.02	320.8	239.52	791.35	813.63	660.68	305.55	450.94	384.34	647.07	483.38	423.61	423.61	197.09	336.79	616.37	1023.0	684.02	769.69	239.52	258.57	190.34	309.83	255.0	214.27	314.17	198.47	137.14	228.13	193.01	181.28	176.29	299.25	423.61	159.9	277.2	205.5	366.09	177.53	202.66	204.07	450.94	221.86	279.14	267.73	217.27	187.71	547.75	242.88	293.07	180.02	212.78	339.14	361.04	1044.52	733.19
ADAM17	555.41	684.02	363.56	435.55	64.34	39.22	540.19	204.07	88.88	98.04	36.53	79.45	47.17	67.59	81.71	214.27	123.5	19.39	176.29	96.68	295.11	88.88	105.15	62.56	126.12	173.85	47.5	181.28	120.1	206.94	53.95	97.36	61.68	45.85	145.02	112.77	231.32	59.55	76.17	165.57	24.81	96.01	137.14	76.17	50.98	45.53	141.02	148.09	114.36	31.22	130.6	81.71	98.73	133.36	84.63	158.79	61.25	40.93	112.77	114.36	94.67	131.51	37.85	28.24	23.59	65.72	31.22	47.17	42.41	59.97	13.12	79.45	28.45	37.05	49.91	98.73	57.49	39.5	100.83	21.47	24.46	13.83	55.49	38.95	44.25	75.11	60.39	84.63	90.14	46.18	124.37	64.34	61.25	73.54	22.59	34.75	92.05	463.65	267.73
ADNP	1857.6	2090.03	1340.84	1191.69	289.02	220.32	1066.48	703.28	417.77	429.54	297.17	400.71	753.83	277.2	303.44	738.29	507.46	183.82	381.68	361.04	688.78	438.59	540.19	283.05	1096.5	420.68	255.0	392.44	612.11	1225.22	327.56	514.56	228.13	329.84	514.56	432.53	718.08	450.94	323.03	848.22	217.27	435.55	616.37	356.05	221.86	190.34	540.19	348.71	483.38	400.71	457.25	444.72	476.71	802.41	409.15	536.45	197.09	323.03	934.76	915.51	575.03	536.45	212.78	197.09	163.28	242.88	249.73	209.84	327.56	215.77	201.25	332.14	246.28	214.27	307.69	363.56	423.61	154.42	339.14	214.27	198.47	181.28	368.65	212.78	305.55	220.32	287.01	275.28	212.78	141.02	307.69	293.07	244.57	301.33	116.78	137.14	279.14	921.88	1697.45
ADSS	2875.3	2555.58	1119.56	591.22	307.69	277.2	620.67	397.93	521.76	567.1	373.81	417.77	591.22	339.14	368.65	656.11	414.87	190.34	307.69	420.68	928.3	389.72	381.68	684.02	748.61	444.72	343.89	351.14	432.53	1119.56	249.73	312.0	343.89	579.04	595.34	753.83	928.3	551.56	493.56	529.06	140.04	423.61	651.58	400.71	291.04	283.05	796.86	567.1	808.0	470.14	490.14	444.72	460.44	642.59	420.68	460.44	341.51	486.75	460.44	902.89	665.29	551.56	251.48	181.28	165.57	239.52	246.28	223.41	221.86	176.29	134.3	656.11	180.02	206.94	218.79	236.21	361.04	171.45	295.11	211.31	249.73	211.31	221.86	140.04	295.11	368.65	231.32	205.5	376.41	241.19	253.23	164.42	279.14	312.0	248.0	232.94	215.77	665.29	1233.75
ANKRD52	314.17	316.37	246.28	543.96	81.71	58.3	406.31	275.28	258.57	195.72	95.34	217.27	224.97	98.04	194.36	366.09	348.71	77.79	218.79	104.42	229.72	129.69	121.79	96.01	392.44	190.34	82.87	113.56	226.54	314.17	128.79	228.13	159.9	123.5	224.97	236.21	209.84	127.89	269.6	314.17	55.49	125.24	312.0	111.21	106.63	66.18	264.03	293.07	195.72	66.65	151.22	204.07	134.3	218.79	197.09	389.72	80.01	105.15	329.84	291.04	157.68	305.55	50.27	63.0	30.78	107.38	41.22	66.65	36.01	39.5	38.12	80.01	53.95	72.01	38.67	84.04	26.67	37.32	55.49	39.5	48.18	48.87	42.71	43.02	67.12	46.5	35.76	52.82	75.11	31.45	100.13	48.87	32.13	53.95	12.64	36.01	92.7	395.18	563.18
AP3M1	791.35	1313.23	1008.9	813.63	397.93	264.03	808.0	470.14	438.59	366.09	260.38	361.04	271.48	325.29	285.03	438.59	703.28	152.28	483.38	323.03	660.68	341.51	514.56	241.19	555.41	392.44	181.28	525.39	587.13	684.02	220.32	403.5	320.8	273.37	423.61	441.64	669.92	341.51	409.15	674.59	246.28	373.81	616.37	435.55	199.85	287.01	612.11	529.06	759.08	291.04	432.53	514.56	395.18	497.0	327.56	587.13	191.67	206.94	486.75	769.69	392.44	450.94	211.31	211.31	241.19	320.8	249.73	305.55	211.31	285.03	204.07	164.42	231.32	258.57	166.73	435.55	267.73	275.28	483.38	256.78	246.28	197.09	249.73	226.54	287.01	201.25	301.33	441.64	334.46	258.57	441.64	197.09	180.02	244.57	171.45	172.65	470.14	743.43	1088.92
AP4E1	119.26	118.43	103.69	59.97	49.21	32.82	98.73	85.82	67.12	41.81	25.35	75.11	29.48	38.4	64.34	79.45	75.64	31.45	52.82	60.82	92.7	42.41	63.89	27.84	60.82	49.56	36.53	52.82	67.59	84.04	67.59	55.1	52.45	28.45	77.25	67.12	120.1	39.79	56.68	105.89	23.25	70.51	46.5	42.41	42.71	47.5	73.03	62.12	112.77	50.63	71.5	65.26	81.14	52.82	68.07	95.34	55.1	37.59	46.84	97.36	29.27	88.26	33.54	24.46	15.56	38.12	38.4	31.22	22.43	37.59	38.95	49.91	28.45	44.89	46.5	40.36	42.11	25.91	47.17	47.17	23.25	32.13	27.84	23.08	45.85	32.82	37.32	24.28	39.79	20.71	45.21	33.78	41.52	37.32	17.38	20.41	37.59	117.6	118.43
APOE	12415.75	12764.83	17317.18	51062.33	236256.4	231394.29	48307.85	244588.0	313910.86	313910.86	378516.38	292889.12	370726.6	263966.36	524287.0	513497.31	273275.14	309589.14	687022.54	311742.51	145432.49	253213.41	231394.29	593956.43	141455.6	177811.84	345900.08	450134.56	184082.4	102125.66	405683.88	316094.29	402881.61	381149.17	141455.6	236256.4	76330.98	368165.8	419990.32	102125.66	301123.38	358098.26	301123.38	262143.0	447025.24	345900.08	226632.25	343510.77	286861.53	462789.59	373305.21	386469.83	273275.14	378516.38	431797.89	233003.78	378516.38	502929.67	142439.51	87681.42	307450.64	113315.62	179048.63	189257.69	273275.14	231394.29	175363.84	275175.93	288856.81	513497.31	466008.55	863596.77	292889.12	440870.9	443937.41	520665.48	1078054.48	696613.03	726195.27	378516.38	402881.61	341137.96	731246.37	1290947.48	589853.66	783730.52	951601.81	828417.36	783730.52	2636147.11	417089.23	964885.69	1442359.14	405683.88	619179.28	517068.97	450134.56	33688.23	9279.58
ARHGAP19	264.03	301.33	269.6	186.4	59.13	31.22	143.01	81.14	38.67	126.12	42.11	88.88	92.7	64.34	72.52	154.42	133.36	46.18	62.56	95.34	84.63	84.04	98.04	51.71	81.71	101.54	58.71	44.25	136.19	102.25	77.79	87.65	69.52	56.68	70.51	85.82	157.68	94.01	59.55	88.26	56.28	141.02	88.26	90.14	68.07	45.53	133.36	117.6	136.19	63.89	102.97	83.45	77.79	178.77	53.95	73.03	50.27	76.71	67.59	133.36	91.41	164.42	33.78	31.9	40.07	66.18	30.56	52.08	76.17	38.67	55.1	92.7	41.52	49.21	27.64	68.07	32.59	53.95	38.4	23.42	40.93	62.12	64.8	32.36	57.49	26.1	31.45	38.4	50.27	43.94	83.45	36.27	22.1	49.91	31.0	77.25	46.84	182.55	299.25
BAZ2A	1059.11	866.07	1295.13	1111.82	289.02	221.86	1369.04	583.07	371.22	412.0	180.02	356.05	242.88	180.02	242.88	866.07	483.38	199.85	414.87	403.5	624.99	476.71	409.15	373.81	713.11	785.88	332.14	316.37	438.59	599.49	307.69	412.0	348.71	177.53	575.03	503.95	884.29	454.09	571.05	599.49	244.57	473.41	647.07	432.53	204.07	205.5	406.31	521.76	647.07	195.72	483.38	295.11	307.69	246.28	444.72	967.76	166.73	157.68	1127.35	521.76	447.82	587.13	204.07	156.59	95.34	199.85	129.69	181.28	134.3	215.77	94.67	480.04	209.84	132.44	224.97	371.22	136.19	114.36	214.27	214.27	126.12	187.71	226.54	158.79	295.11	281.09	218.79	262.2	305.55	149.12	525.39	291.04	387.02	260.38	55.89	161.02	236.21	1378.57	1175.27
