	GTEX.WRHU.0326.SM.3MJFY	GTEX.WZTO.1726.SM.4PQYV	TCGA.A3.3378.01A.02R.1325.07	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.Q2AG.1026.SM.33HBW	GTEX.QEG4.0526.SM.48TZD	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.7331.01A.11R.2118.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.J4.A67T.01A.11R.A311.07	TCGA.EJ.5516.01A.01R.1580.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.EJ.AB27.01A.11R.A41O.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.V1.A8WN.01A.11R.A37L.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.G9.7509.01A.11R.A41O.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.7736.01A.11R.2118.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7789.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.WH7G.1726.SM.4LVKY	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.YF7O.1926.SM.4W1YQ	GTEX.ZY6K.1526.SM.5GZXE	GTEX.X5EB.1826.SM.4E3K8	GTEX.11NSD.0826.SM.5986S	GTEX.REY6.2126.SM.48FD9	GTEX.ZDYS.1226.SM.5IJF3	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.SJXC.2026.SM.4DM6N	GTEX.1399R.0526.SM.5IJEF	GTEX.11TUW.2126.SM.5GU7B	GTEX.QV31.1026.SM.4R1K3	GTEX.11O72.2726.SM.5HL6K	GTEX.ZTX8.1026.SM.5EGHD	TCGA.IN.AB1V.11A.11R.A414.31
CHMP2A	2573.36	2335.28	3303.0	1674.06	1819.35	1991.0	2255.7	5006.93	3564.78	3665.02	4736.79	3395.89	4836.35	6983.79	4769.75	4769.75	4095.0	4450.27	4869.99	4066.71	3874.05	4239.45	5292.48	5555.65	5255.91	4972.34	4450.27	4388.98	6840.04	5183.54	4543.8	4152.18	4328.55	3665.02	7911.95	5711.87	4736.79	4836.35	6079.61	4239.45	3847.29	4095.0	6121.9	5076.84	6079.61	3768.09	4095.0	4543.8	4607.24	4836.35	6207.38	4123.49	3564.78	4736.79	3419.52	3901.01	4639.29	4481.23	5219.6	6037.61	4239.45	5791.62	4869.99	3325.99	4512.4	4388.98	4607.24	3614.55	3928.15	6037.61	6337.83	4268.94	5672.41	4010.71	5711.87	5633.22	6426.31	6037.61	5112.16	5633.22	4802.93	5366.37	7230.1	5672.41	4575.41	6037.61	5255.91	4388.98	6164.49	4972.34	4481.23	7280.4	2796.65
CLTA	1909.85	2777.33	3540.14	1561.89	1963.57	1340.84	2502.97	6037.61	3665.02	3742.05	4937.99	4328.55	5076.84	4802.93	5403.7	5147.73	3847.29	5006.93	5292.48	3665.02	3768.09	4152.18	4736.79	5329.3	5479.15	4543.8	4704.07	5479.15	8134.41	5112.16	4038.61	4358.66	5183.54	3955.48	5633.22	6164.49	5292.48	5112.16	5403.7	3847.29	4704.07	4123.49	5913.33	5633.22	7331.05	4639.29	4152.18	5555.65	5954.47	5633.22	5479.15	4704.07	3742.05	4481.23	3491.39	4607.24	4639.29	4736.79	5366.37	8247.98	4543.8	5255.91	5751.61	3081.75	4358.66	3665.02	4639.29	3467.27	3589.58	5292.48	5329.3	4038.61	5672.41	4972.34	5366.37	4836.35	5255.91	5006.93	6207.38	6381.92	4607.24	4937.99	5147.73	5219.6	4575.41	5329.3	4481.23	4268.94	3794.3	5147.73	4575.41	6607.01	3540.14
COPE	1781.89	2739.08	3212.66	1457.23	1991.0	1119.56	1662.49	6164.49	5329.3	3491.39	5995.9	2777.33	6121.9	8421.31	5441.3	7230.1	3325.99	5076.84	6840.04	5183.54	4836.35	5219.6	6561.36	9409.14	6079.61	6699.25	5147.73	3901.01	7642.41	6037.61	4575.41	4419.52	5517.27	3515.68	14971.21	7589.61	6516.03	5633.22	6745.86	5041.77	3060.45	4010.71	6471.02	7589.61	7331.05	3847.29	3639.7	5479.15	6887.62	5633.22	7130.55	5711.87	3395.89	5711.87	3349.13	3716.2	5555.65	4972.34	6164.49	7485.11	4736.79	6887.62	6792.79	2956.17	4704.07	4181.07	5403.7	3419.52	3372.43	5112.16	6471.02	4937.99	7857.29	5041.77	5076.84	5751.61	6294.04	6121.9	7911.95	9025.81	4152.18	5913.33	6471.02	6381.92	4095.0	6607.01	6607.01	3874.05	8718.32	5255.91	4123.49	6792.79	3235.01
CTU2	146.03	258.57	171.45	141.02	101.54	64.34	143.01	291.04	193.01	190.34	366.09	169.07	361.04	316.37	279.14	381.68	110.43	248.0	293.07	253.23	226.54	134.3	260.38	371.22	271.48	273.37	265.87	199.85	358.54	397.93	316.37	260.38	202.66	212.78	500.46	336.79	283.05	256.78	246.28	170.25	120.94	275.28	356.05	444.72	305.55	211.31	178.77	291.04	281.09	218.79	307.69	279.14	256.78	305.55	226.54	239.52	267.73	253.23	262.2	262.2	299.25	336.79	277.2	265.87	242.88	255.0	236.21	217.27	241.19	211.31	264.03	221.86	236.21	271.48	265.87	251.48	267.73	389.72	447.82	376.41	178.77	146.03	281.09	258.57	241.19	251.48	320.8	231.32	392.44	287.01	220.32	281.09	175.07
DGUOK	1151.06	1066.48	1037.29	738.29	1111.82	921.88	1208.34	1909.85	1477.58	1605.83	1733.13	1369.04	2335.28	2485.67	1844.76	1963.57	1447.15	1487.87	1819.35	1508.65	1417.35	1457.23	1769.57	2178.83	1950.0	1832.01	1572.76	2104.58	2287.2	2004.85	1540.37	1561.89	1561.89	1457.23	2627.46	2303.12	1870.53	2004.85	2193.99	1447.15	1447.15	1457.23	1844.76	2047.0	2351.53	1447.15	1183.45	1806.78	2119.22	1277.29	2303.12	1662.49	1437.15	1651.0	1304.15	1605.83	1685.71	1883.54	1757.34	2627.46	1870.53	2075.59	1991.0	1407.55	1487.87	1572.76	1540.37	1427.22	1529.73	2400.97	2090.03	1639.59	2224.63	1594.73	1781.89	2018.8	2193.99	2133.97	3146.52	2835.7	1216.75	1844.76	2004.85	1561.89	1286.18	1674.06	1857.6	1208.34	2400.97	1709.26	1369.04	1617.0	728.11
DHRS7B	665.29	587.13	518.15	289.02	356.05	218.79	441.64	1199.98	1030.12	583.07	1322.37	954.43	1208.34	1369.04	1081.39	1135.2	988.12	995.0	1417.35	890.44	961.07	1066.48	1295.13	1963.57	1216.75	1127.35	915.51	915.51	1639.59	1369.04	954.43	1073.91	866.07	665.29	1662.49	1529.73	1350.18	1059.11	1001.93	1225.22	1119.56	1096.5	1268.46	1167.14	1407.55	854.13	825.0	1233.75	1529.73	1359.57	1388.16	1417.35	854.13	1340.84	748.61	1059.11	1498.22	1159.07	1477.58	1923.14	1183.45	1572.76	1605.83	703.28	1350.18	830.75	1304.15	830.75	1008.9	1191.69	1594.73	1051.79	1605.83	1388.16	1467.37	1487.87	1909.85	1427.22	1331.57	1322.37	1175.27	860.08	1857.6	1896.65	1268.46	1304.15	1104.13	1008.9	1477.58	1015.93	743.43	1651.0	420.68
ECI1	616.37	1183.45	928.3	384.34	660.68	529.06	1191.69	3928.15	1617.0	1104.13	2451.44	1467.37	3303.0	3124.78	2400.97	2997.45	1135.2	2573.36	2875.3	1950.0	2018.8	1844.76	2018.8	3280.18	2319.15	2627.46	1991.0	1950.0	2976.74	2224.63	1781.89	1745.2	1896.65	1437.15	5403.7	3874.05	2915.45	2133.97	2255.7	2119.22	1259.69	1457.23	3146.52	3690.52	3665.02	1583.71	1519.15	2303.12	3820.7	2367.9	3372.43	2664.15	1498.22	2367.9	1286.18	1651.0	2351.53	2303.12	2956.17	3716.2	2061.24	3124.78	2796.65	1286.18	2240.11	2018.8	2193.99	1322.37	1572.76	2178.83	3081.75	1991.0	2224.63	2451.44	2645.74	2555.58	2384.37	3443.31	2434.5	2739.08	1757.34	2148.82	2367.9	2468.49	1628.26	3039.3	3280.18	1781.89	2835.7	2224.63	1467.37	2997.45	1008.9
ELOF1	1051.79	1183.45	866.07	743.43	981.29	620.67	995.0	2351.53	1617.0	1286.18	2133.97	1350.18	1977.24	2855.44	1781.89	2148.82	1233.75	1583.71	2271.4	1639.59	1487.87	1963.57	1832.01	2915.45	2032.85	1757.34	1870.53	2075.59	2367.9	2193.99	1950.0	1628.26	1806.78	1322.37	2956.17	2777.33	1896.65	2133.97	2384.37	1583.71	1487.87	1697.45	2209.26	2758.13	2178.83	1397.83	1529.73	1857.6	2485.67	2032.85	2163.77	1639.59	1417.35	2178.83	1304.15	1369.04	1963.57	1709.26	2193.99	2018.8	1709.26	2855.44	1794.29	1378.57	1529.73	1628.26	1781.89	1350.18	1923.14	2224.63	2739.08	1639.59	2485.67	2090.03	1909.85	1896.65	1883.54	2148.82	2591.27	2796.65	1857.6	1594.73	2047.0	2018.8	1697.45	2645.74	1977.24	1896.65	2224.63	1769.57	1685.71	2335.28	733.19
EMC6	387.02	679.29	473.41	376.41	423.61	281.09	567.1	1529.73	753.83	414.87	884.29	743.43	1417.35	1015.93	954.43	1015.93	656.11	915.51	1175.27	769.69	796.86	796.86	915.51	1143.1	808.0	1023.0	1135.2	890.44	872.1	1088.92	748.61	693.58	1111.82	660.68	1250.98	1304.15	866.07	728.11	723.08	988.12	674.59	764.36	928.3	1498.22	1447.15	802.41	660.68	1259.69	1151.06	1199.98	1233.75	1127.35	813.63	1073.91	679.29	723.08	808.0	848.22	967.76	1378.57	775.05	1119.56	1322.37	616.37	825.0	836.53	988.12	660.68	728.11	769.69	1081.39	684.02	884.29	934.76	848.22	688.78	1044.52	1225.22	1477.58	1378.57	532.74	674.59	941.27	1088.92	651.58	1191.69	1143.1	830.75	1259.69	974.5	708.18	1143.1	642.59
EXOSC4	223.41	253.23	305.55	158.79	178.77	147.06	237.86	1417.35	575.03	463.65	1059.11	633.73	1167.14	1037.29	785.88	1175.27	500.46	921.88	1088.92	728.11	633.73	733.19	669.92	1111.82	848.22	981.29	1242.34	813.63	1259.69	909.17	764.36	587.13	1059.11	595.34	1183.45	1242.34	1001.93	1167.14	791.35	748.61	420.68	612.11	1183.45	791.35	1359.57	703.28	551.56	941.27	1487.87	1183.45	1088.92	813.63	563.18	988.12	507.46	599.49	825.0	733.19	753.83	967.76	638.15	1051.79	830.75	503.95	723.08	669.92	791.35	555.41	536.45	665.29	1088.92	660.68	988.12	775.05	1030.12	785.88	1030.12	1199.98	1583.71	1167.14	684.02	591.22	1088.92	1030.12	836.53	1088.92	616.37	660.68	1605.83	854.13	525.39	1359.57	420.68
FTSJ2	371.22	204.07	426.57	189.02	195.72	204.07	299.25	629.35	444.72	414.87	507.46	460.44	486.75	486.75	447.82	450.94	450.94	525.39	571.05	429.54	403.5	470.14	551.56	616.37	521.76	470.14	529.06	559.28	454.09	587.13	483.38	514.56	450.94	476.71	575.03	536.45	518.15	525.39	624.99	503.95	486.75	412.0	571.05	599.49	651.58	447.82	473.41	483.38	684.02	497.0	466.88	486.75	486.75	536.45	371.22	551.56	532.74	493.56	500.46	450.94	480.04	518.15	466.88	454.09	450.94	454.09	466.88	529.06	409.15	575.03	567.1	503.95	511.0	463.65	638.15	567.1	521.76	669.92	591.22	525.39	525.39	305.55	575.03	532.74	612.11	490.14	327.56	575.03	444.72	595.34	368.65	624.99	351.14
G6PC3	1208.34	1242.34	2351.53	563.18	1073.91	540.19	1096.5	2835.7	2417.67	1551.09	3060.45	1781.89	2739.08	3168.41	2032.85	2682.69	1233.75	1781.89	2451.44	1250.98	1923.14	2417.67	2271.4	3564.78	2502.97	2451.44	2855.44	2417.67	1745.2	2384.37	1896.65	2573.36	1487.87	1769.57	4123.49	3768.09	2400.97	2835.7	1963.57	2303.12	1991.0	1857.6	3081.75	2664.15	2537.92	2090.03	1594.73	2193.99	3419.52	2434.5	2224.63	2417.67	1674.06	2664.15	1745.2	1896.65	2915.45	2163.77	2739.08	2271.4	2075.59	3280.18	1977.24	1745.2	2319.15	2400.97	2271.4	1977.24	1923.14	2777.33	3564.78	2591.27	2682.69	2255.7	2816.11	3081.75	4268.94	2701.35	2758.13	3491.39	3190.46	2468.49	4066.71	3874.05	2384.37	3419.52	2664.15	1819.35	3103.19	3235.01	1331.57	3419.52	878.17
GADD45GIP1	703.28	1001.93	947.83	693.58	1199.98	444.72	1151.06	3419.52	1651.0	1477.58	2255.7	1378.57	2976.74	2935.74	2400.97	2835.7	1331.57	2090.03	2555.58	1519.15	1628.26	1639.59	2468.49	3349.13	2451.44	2627.46	2303.12	2537.92	3168.41	2335.28	1794.29	1936.53	1950.0	1407.55	4123.49	3372.43	2271.4	2133.97	2303.12	1832.01	1662.49	1540.37	3018.3	4836.35	4095.0	1594.73	1651.0	2384.37	3540.14	2351.53	2434.5	2240.11	1583.71	2075.59	1397.83	1709.26	2271.4	2351.53	2537.92	3847.29	2004.85	2682.69	2758.13	1617.0	1857.6	2400.97	2032.85	1561.89	1487.87	2915.45	3103.19	1896.65	2434.5	2645.74	2609.3	1896.65	2061.24	2573.36	2682.69	3303.0	2591.27	2240.11	2816.11	2451.44	1963.57	3614.55	2816.11	1685.71	3257.52	2627.46	1561.89	3982.99	1350.18
GPATCH3	186.4	108.14	181.28	180.02	144.01	108.9	162.14	239.52	165.57	189.02	251.48	163.28	202.66	199.85	253.23	251.48	172.65	211.31	248.0	191.67	211.31	212.78	244.57	258.57	217.27	223.41	241.19	228.13	291.04	297.17	262.2	186.4	181.28	144.01	271.48	262.2	234.57	242.88	248.0	202.66	187.71	167.9	249.73	262.2	267.73	177.53	187.71	279.14	305.55	209.84	202.66	198.47	201.25	279.14	178.77	223.41	237.86	231.32	229.72	195.72	244.57	275.28	212.78	197.09	189.02	201.25	234.57	242.88	190.34	226.54	242.88	218.79	253.23	242.88	224.97	262.2	267.73	209.84	297.17	258.57	251.48	162.14	242.88	239.52	239.52	214.27	130.6	231.32	190.34	208.38	141.02	351.14	137.14
