	TCGA.AK.3447.01A.01R.1766.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.Y5LM.0726.SM.4VBRP	GTEX.O5YW.0526.SM.2YUMX	GTEX.QXCU.0626.SM.2TC69	GTEX.11NSD.0326.SM.5A5LS	GTEX.13O61.0726.SM.5J2MD	GTEX.TML8.0326.SM.4GICN	GTEX.117YX.1326.SM.5H125	GTEX.12WSN.0626.SM.5BC61	GTEX.13O21.3026.SM.5J2NI	GTEX.WHPG.1426.SM.3NMBB	GTEX.1122O.0126.SM.5GICA	GTEX.13VXT.1426.SM.5LU4B	GTEX.13PL7.1726.SM.5J2NX	GTEX.XGQ4.0826.SM.4AT4T	GTEX.13OW6.0826.SM.5L3GA	GTEX.T8EM.0326.SM.3DB7F	GTEX.145LS.1226.SM.5Q5D9	GTEX.PLZ5.0726.SM.2I5F9	GTEX.RM2N.0426.SM.2TF4T
ABCA1	55.1	50.27	145.02	101.54	166.73	132.44	406.31	102.25	95.34	343.89	713.11	144.01	135.24	175.07	403.5	395.18	182.55	186.4	173.85	429.54	429.54	473.41	409.15	373.81	287.01	256.78	253.23
ABHD5	149.12	229.72	155.5	231.32	164.42	193.01	928.3	669.92	620.67	669.92	723.08	733.19	603.67	432.53	759.08	1030.12	547.75	567.1	536.45	583.07	669.92	647.07	802.41	854.13	669.92	656.11	738.29
ABL2	5.87	23.42	65.26	40.36	70.51	16.63	253.23	71.5	70.01	94.67	202.66	60.82	88.88	70.01	78.34	130.6	80.01	156.59	44.57	82.87	105.15	80.01	223.41	166.73	249.73	102.97	130.6
AC107021.1	0.0	0.0	0.59	0.82	0.0	0.0	3.5	0.36	0.0	2.1	1.45	1.46	0.29	2.71	1.06	2.32	1.6	1.71	0.84	0.87	2.41	1.87	1.69	2.81	0.53	1.31	0.91
ACBD3	129.69	139.07	363.56	289.02	323.03	190.34	954.43	529.06	718.08	836.53	1096.5	759.08	567.1	698.41	915.51	1529.73	583.07	890.44	476.71	872.1	620.67	780.44	1199.98	1081.39	2956.17	679.29	738.29
ADNP2	134.3	34.26	69.03	56.28	72.52	50.98	327.56	150.17	121.79	201.25	684.02	102.97	152.28	226.54	181.28	277.2	120.94	356.05	146.03	202.66	236.21	202.66	273.37	291.04	591.22	178.77	198.47
AHR	90.14	113.56	361.04	312.0	291.04	82.29	3039.3	490.14	555.41	1583.71	4268.94	1037.29	518.15	1417.35	1135.2	8191.0	656.11	1870.53	551.56	3820.7	1427.22	2163.77	2224.63	2537.92	3018.3	1477.58	1572.76
AMD1	348.71	193.01	198.47	629.35	376.41	201.25	2502.97	743.43	1073.91	1119.56	2384.37	988.12	854.13	890.44	1529.73	2367.9	808.0	1331.57	693.58	1242.34	1250.98	1540.37	3081.75	2739.08	2591.27	1313.23	1322.37
AP1G1	119.26	198.47	279.14	195.72	212.78	293.07	954.43	579.04	473.41	753.83	2451.44	638.15	616.37	536.45	808.0	1015.93	607.87	743.43	490.14	674.59	607.87	607.87	759.08	961.07	1340.84	825.0	688.78
ARAP2	1.2	18.43	7.63	17.0	27.25	12.55	753.83	220.32	157.68	318.57	674.59	591.22	384.34	327.56	231.32	688.78	251.48	395.18	223.41	260.38	320.8	241.19	1427.22	540.19	441.64	480.04	371.22
