	TCGA.BH.A1FU.11A.23R.A14D.07	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.DD.A39Y.01A.11R.A213.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.139TS.1426.SM.5IFJD	GTEX.R53T.0326.SM.48FEC	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.95.7043.01A.11R.1949.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.N7MT.0126.SM.2D7VT	GTEX.ZAB5.0626.SM.5PNVB	GTEX.11NUK.0826.SM.5HL4U	GTEX.11P81.0226.SM.5HL5M	GTEX.NFK9.1026.SM.2HMK1	GTEX.13OW8.1726.SM.5L3GO	TCGA.43.6143.01A.11R.1820.07	TCGA.77.8007.11A.01R.2187.07	TCGA.51.4081.11A.01R.1758.07
ABL2	177.53	96.68	110.43	61.25	83.45	74.06	64.34	24.46	82.29	53.19	44.89	79.45	56.28	66.18	40.36	52.82	25.35	35.76	128.79	95.34	84.63	194.36	169.07	191.67	98.73	202.66	130.6	159.9	123.5	291.04	96.01	214.27
AC022532.1	13.12	4.46	3.41	0.0	4.94	1.07	1.07	1.19	14.24	3.59	3.26	4.31	0.6	3.92	2.63	3.14	2.78	0.12	11.38	2.86	2.78	0.21	3.66	14.89	1.33	12.64	5.63	31.45	21.01	58.3	0.82	10.55
AC024580.1	78.34	12.09	1.35	4.58	46.18	12.55	5.59	3.69	31.0	9.78	8.25	30.12	0.0	7.28	4.1	7.51	4.35	20.56	74.58	43.02	3.53	10.71	29.27	53.57	76.71	36.79	124.37	24.28	11.91	48.52	9.93	65.26
ACAP2	409.15	214.27	226.54	53.95	127.89	167.9	106.63	69.03	154.42	62.12	85.82	87.65	103.69	52.08	69.03	119.26	92.7	98.73	312.0	267.73	289.02	289.02	483.38	1001.93	406.31	429.54	403.5	441.64	256.78	808.0	291.04	273.37
ADRB1	18.03	2.18	2.48	0.38	1.93	8.65	0.21	0.0	0.0	0.24	1.91	2.76	0.0	0.23	0.14	5.11	34.51	12.27	68.07	0.97	141.02	29.06	47.17	103.69	137.14	84.04	166.73	115.97	620.67	81.71	96.68	150.17
AFF4	860.08	361.04	258.57	113.56	303.44	246.28	180.02	194.36	170.25	149.12	204.07	169.07	149.12	156.59	195.72	281.09	363.56	287.01	361.04	176.29	325.29	314.17	483.38	796.86	303.44	514.56	346.29	656.11	620.67	514.56	295.11	438.59
AGO1	291.04	131.51	122.64	99.43	63.89	90.14	49.21	63.45	53.57	41.52	26.67	89.51	46.18	44.89	84.04	37.59	63.89	121.79	133.36	81.14	114.36	132.44	123.5	571.05	176.29	260.38	206.94	185.11	146.03	395.18	100.83	164.42
AGO4	379.04	147.06	136.19	61.25	136.19	65.72	95.34	89.51	57.89	50.27	43.02	108.9	68.55	62.56	84.04	121.79	104.42	221.86	373.81	153.34	180.02	193.01	253.23	587.13	532.74	414.87	514.56	244.57	309.83	332.14	206.94	264.03
AKAP11	480.04	120.1	141.02	38.4	86.43	57.08	55.1	41.52	80.57	50.27	50.27	34.26	37.32	29.06	15.34	70.01	90.14	154.42	205.5	175.07	176.29	172.65	273.37	595.34	397.93	301.33	253.23	244.57	214.27	208.38	143.01	161.02
APC	293.07	71.5	87.65	15.8	61.25	68.07	42.11	42.11	56.28	30.78	43.94	56.68	32.82	43.63	41.22	53.19	33.54	187.71	112.77	55.49	75.11	148.09	124.37	205.5	334.46	134.3	185.11	206.94	98.04	197.09	105.15	115.16
ARID1B	718.08	193.01	281.09	134.3	144.01	83.45	102.97	141.02	159.9	65.26	102.97	112.77	92.7	102.97	90.14	113.56	96.68	137.14	293.07	96.01	182.55	327.56	432.53	1037.29	525.39	417.77	400.71	540.19	518.15	733.19	231.32	423.61
