	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.BH.A1EO.11A.31R.A137.07	TCGA.BH.A1FD.11B.21R.A13Q.07	TCGA.BH.A0H9.11A.22R.A466.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.BH.A18R.11A.42R.A12D.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A0B5.11A.23R.A12P.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18K.11A.13R.A12D.07	TCGA.BH.A1EN.11A.23R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.BH.A18P.11A.43R.A12D.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1NF.11A.73R.A14D.07	TCGA.E9.A1RC.11A.33R.A157.07	TCGA.E2.A15I.11A.32R.A137.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1RB.11A.33R.A157.07	TCGA.A7.A13G.11A.51R.A13Q.07	TCGA.BH.A0B8.11A.41R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZPIC.1126.SM.5BC7F	GTEX.R53T.1526.SM.48FEK	GTEX.13FTX.1126.SM.5N9EN	GTEX.ZF2S.2026.SM.5E461	GTEX.11P81.1926.SM.5BC53	GTEX.Y5V5.2126.SM.4WWFO	GTEX.T6MO.0326.SM.32QOK	GTEX.11ZTT.2326.SM.5EQLG	GTEX.S32W.2026.SM.4AD6E	GTEX.132AR.0826.SM.5EGK6	GTEX.Y3IK.2326.SM.4WWDT	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	GTEX.1117F.2826.SM.5GZXL	GTEX.13113.1726.SM.5GCOO	GTEX.12WSB.0626.SM.59HJO	TCGA.DS.A1O9.01A.11R.A14Y.07	TCGA.MA.AA3Y.01A.11R.A38B.07	GTEX.13OVG.1426.SM.5K7VP	GTEX.13W3W.2126.SM.5K7UX	TCGA.CN.4734.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.D6.6516.01A.11R.1873.07	TCGA.CQ.6223.01A.11R.1915.07	TCGA.BA.4077.01B.01R.1436.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.1313W.0926.SM.5EQ56	TCGA.33.4589.01A.01R.1443.07	GTEX.13OVI.1026.SM.5L3EM
ACBD4	55.1	217.27	229.72	503.95	262.2	412.0	201.25	312.0	339.14	470.14	307.69	339.14	371.22	417.77	341.51	323.03	224.97	334.46	299.25	223.41	305.55	603.67	182.55	334.46	267.73	403.5	395.18	363.56	493.56	129.69	176.29	93.35	417.77	29.48	99.43	82.87	255.0	108.9	229.72	281.09	57.89	37.05	277.2	242.88	31.45	22.43	33.78	73.03	155.5	0.0	0.48	163.28	27.84	890.44
ADC	17.25	126.12	95.34	66.65	48.52	172.65	52.45	22.92	119.26	143.01	84.04	89.51	82.29	187.71	76.17	39.79	100.13	85.82	92.05	57.08	45.53	241.19	50.98	97.36	40.36	193.01	100.83	164.42	148.09	25.35	43.63	42.41	212.78	15.45	28.45	48.18	98.04	88.88	65.72	104.42	111.99	21.94	100.83	34.26	39.79	44.25	17.38	31.0	40.64	0.0	0.29	73.54	21.01	336.79
AMT	15.8	53.57	241.19	142.01	181.28	470.14	159.9	194.36	511.0	575.03	264.03	208.38	307.69	476.71	204.07	185.11	175.07	244.57	171.45	187.71	220.32	921.88	133.36	323.03	86.43	802.41	285.03	289.02	303.44	70.01	50.98	55.49	624.99	31.67	64.8	157.68	176.29	180.02	182.55	320.8	75.11	57.49	312.0	198.47	31.22	15.0	12.74	27.84	30.12	0.0	0.99	64.34	10.39	780.44
ANKRD42	59.97	122.64	231.32	82.29	175.07	191.67	120.1	127.0	215.77	191.67	181.28	177.53	214.27	239.52	108.9	123.5	223.41	149.12	180.02	143.01	138.1	460.44	175.07	136.19	102.97	599.49	273.37	206.94	151.22	133.36	58.3	175.07	305.55	100.13	72.01	170.25	66.65	150.17	127.0	114.36	46.5	64.34	138.1	123.5	47.17	46.84	43.32	52.08	31.9	0.0	0.39	165.57	14.45	583.07
BBS1	125.24	249.73	603.67	293.07	381.68	878.17	381.68	318.57	842.36	1104.13	567.1	444.72	629.35	1023.0	429.54	366.09	525.39	503.95	633.73	435.55	358.54	1143.1	493.56	497.0	251.48	1104.13	947.83	647.07	660.68	220.32	303.44	343.89	1096.5	152.28	211.31	323.03	441.64	463.65	603.67	493.56	146.03	136.19	307.69	309.83	132.44	150.17	153.34	137.14	162.14	0.0	0.57	323.03	128.79	733.19
BEND5	0.0	149.12	136.19	136.19	133.36	320.8	100.83	76.71	206.94	249.73	208.38	166.73	173.85	305.55	85.82	105.15	166.73	161.02	187.71	154.42	92.05	551.56	145.02	135.24	85.22	583.07	379.04	334.46	189.02	39.22	32.36	43.63	301.33	22.92	26.1	68.55	36.27	166.73	181.28	165.57	9.63	3.2	79.45	60.39	6.89	58.3	8.25	4.35	4.9	0.0	0.25	28.24	13.83	476.71
BEX4	242.88	1096.5	1350.18	728.11	802.41	1487.87	543.96	616.37	1733.13	1397.83	1304.15	1073.91	1304.15	2018.8	629.35	629.35	860.08	872.1	1167.14	669.92	647.07	3280.18	860.08	878.17	460.44	2645.74	1199.98	1199.98	1208.34	450.94	241.19	256.78	1963.57	289.02	325.29	291.04	1073.91	669.92	1540.37	403.5	373.81	118.43	647.07	454.09	74.58	253.23	55.1	45.21	376.41	0.0	0.74	4512.4	112.77	4152.18
BOD1L1	297.17	256.78	532.74	194.36	457.25	679.29	476.71	361.04	860.08	723.08	511.0	483.38	551.56	738.29	514.56	414.87	536.45	518.15	708.18	555.41	403.5	947.83	507.46	518.15	314.17	769.69	748.61	579.04	511.0	293.07	361.04	343.89	638.15	341.51	275.28	423.61	371.22	423.61	525.39	607.87	246.28	287.01	423.61	363.56	255.0	202.66	194.36	273.37	113.56	0.0	0.73	232.94	57.08	860.08
CARF	7.82	42.71	119.26	40.07	95.34	202.66	102.25	65.72	226.54	220.32	99.43	101.54	185.11	242.88	80.57	105.15	159.9	122.64	133.36	197.09	100.83	255.0	156.59	114.36	65.26	269.6	178.77	155.5	187.71	65.72	60.39	71.0	299.25	33.78	46.84	81.14	72.01	73.03	128.79	139.07	29.91	18.7	57.89	47.84	29.7	11.64	32.13	32.13	38.95	0.0	0.13	60.82	25.54	220.32
CCT6B	7.46	64.34	103.69	38.12	94.01	118.43	76.71	77.79	103.69	125.24	80.57	46.84	113.56	150.17	55.89	88.88	110.43	52.82	64.34	86.43	103.69	139.07	208.38	21.01	78.34	189.02	125.24	146.03	128.79	82.87	46.18	21.47	226.54	84.04	75.64	234.57	63.0	88.88	133.36	93.35	39.5	12.64	39.5	32.36	10.08	10.47	38.67	13.32	27.64	0.0	0.0	27.05	16.75	258.57
CDNF	10.08	68.07	165.57	112.77	165.57	204.07	53.57	121.79	123.5	126.12	141.02	117.6	199.85	215.77	90.14	214.27	217.27	102.25	114.36	134.3	136.19	303.44	169.07	44.25	66.18	256.78	157.68	166.73	96.01	102.25	38.95	19.97	291.04	63.0	74.58	91.41	37.05	80.01	108.14	193.01	8.58	13.62	43.94	55.89	8.19	10.55	21.16	7.11	12.0	0.0	0.0	26.1	8.58	293.07
CEP57	320.8	500.46	679.29	368.65	579.04	796.86	536.45	447.82	796.86	808.0	591.22	607.87	698.41	791.35	470.14	579.04	764.36	638.15	743.43	679.29	540.19	1051.79	647.07	603.67	339.14	981.29	1001.93	728.11	599.49	320.8	366.09	371.22	878.17	287.01	244.57	514.56	447.82	583.07	651.58	1119.56	279.14	373.81	547.75	271.48	287.01	255.0	239.52	307.69	309.83	0.0	0.32	540.19	224.97	896.64
CHIC1	41.52	73.54	94.67	53.57	71.0	126.12	85.82	48.52	161.02	130.6	106.63	106.63	105.89	148.09	102.25	67.12	108.14	86.43	137.14	93.35	47.84	258.57	55.1	106.63	60.82	167.9	148.09	92.05	95.34	23.25	63.89	31.0	156.59	30.56	25.17	44.57	64.34	67.12	99.43	96.68	31.22	17.38	82.29	49.21	46.18	10.79	31.0	48.52	41.22	59.55	400.71	57.08	29.48	283.05
