	TCGA.BC.A10U.11A.11R.A131.07	TCGA.BC.A10Z.11A.11R.A131.07	GTEX.145MO.2326.SM.5NQ9K	GTEX.13O3O.1826.SM.5IFGW	GTEX.14C38.1526.SM.5RQJ7	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.1192X.1126.SM.5EGGU	GTEX.131XH.0526.SM.5DUX7	GTEX.SN8G.1526.SM.4DM79	GTEX.13X6J.0826.SM.5LU32	GTEX.11DZ1.2726.SM.5A5KH	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.PLZ4.1226.SM.2I5FE
ACSS1	70.01	121.79	698.41	283.05	244.57	0.0	0.75	423.61	629.35	392.44	507.46	532.74	624.99	540.19	921.88	1350.18	753.83	1628.26	518.15	1313.23	915.51	738.29	2287.2
AMDHD2	181.28	379.04	146.03	144.01	209.84	0.0	0.14	395.18	426.57	307.69	373.81	387.02	470.14	503.95	529.06	684.02	559.28	718.08	559.28	638.15	808.0	651.58	743.43
APAF1	90.77	57.89	32.59	27.25	117.6	0.0	0.47	90.14	116.78	127.0	98.73	111.99	98.73	143.01	158.79	195.72	130.6	170.25	153.34	136.19	100.83	169.07	273.37
ARHGEF28	67.12	48.52	81.71	73.03	8.78	0.0	0.24	164.42	165.57	223.41	265.87	186.4	251.48	214.27	336.79	583.07	178.77	363.56	301.33	376.41	406.31	214.27	698.41
ATF6B	511.0	616.37	376.41	162.14	642.59	0.0	0.88	1662.49	1508.65	1540.37	1781.89	1417.35	1529.73	1427.22	2119.22	2400.97	2148.82	2119.22	1857.6	2255.7	2133.97	2018.8	2417.67
BBS12	16.15	7.4	8.51	3.79	23.42	0.0	0.07	68.55	30.34	99.43	73.54	87.03	74.06	93.35	65.26	353.59	256.78	201.25	145.02	299.25	176.29	149.12	289.02
BCL7A	86.43	54.72	85.82	15.56	150.17	0.0	0.35	242.88	120.1	209.84	149.12	172.65	142.01	167.9	197.09	591.22	389.72	275.28	269.6	409.15	332.14	249.73	470.14
C14orf93	40.07	63.0	102.97	32.82	69.03	0.0	0.02	199.85	149.12	214.27	190.34	187.71	220.32	249.73	239.52	438.59	341.51	314.17	265.87	403.5	348.71	307.69	397.93
C18orf54	4.78	1.89	0.74	0.0	3.72	0.0	0.27	17.77	3.66	7.0	5.54	15.11	6.46	13.22	10.79	21.94	14.45	26.28	17.13	18.03	14.35	20.56	29.7
C1orf213	12.45	8.32	13.12	46.5	40.93	0.0	0.16	124.37	115.16	141.02	96.01	161.02	151.22	181.28	255.0	642.59	400.71	1066.48	356.05	547.75	417.77	371.22	457.25
CAPS2	40.36	23.76	15.91	9.06	12.55	0.0	0.1	83.45	66.18	87.65	96.01	98.04	87.65	96.68	178.77	221.86	118.43	239.52	169.07	170.25	128.79	151.22	361.04
CCNDBP1	551.56	536.45	503.95	373.81	429.54	0.0	0.75	1191.69	1119.56	1259.69	1605.83	1208.34	1304.15	1350.18	1594.73	2193.99	2004.85	2148.82	1540.37	1950.0	2104.58	1674.06	2664.15
CDK20	59.13	95.34	53.19	48.52	66.65	0.0	0.31	234.57	151.22	180.02	223.41	205.5	193.01	214.27	366.09	273.37	264.03	249.73	202.66	234.57	314.17	234.57	305.55
CERS4	941.27	1583.71	1340.84	1519.15	242.88	0.0	0.68	1388.16	1467.37	1259.69	1225.22	1081.39	1350.18	1304.15	2004.85	4268.94	2591.27	3540.14	2271.4	4481.23	3372.43	3325.99	5329.3
CHTOP	830.75	1183.45	1159.07	511.0	1286.18	0.0	0.79	1268.46	1183.45	1268.46	1397.83	1277.29	1066.48	1286.18	1242.34	1769.57	1745.2	1769.57	1277.29	1662.49	1487.87	1498.22	2047.0
DYX1C1	7.46	5.59	6.01	10.55	26.67	0.0	0.0	64.8	40.93	76.17	62.12	64.8	70.51	70.51	82.87	406.31	226.54	476.71	258.57	273.37	295.11	205.5	497.0
EIF2D	438.59	521.76	514.56	262.2	287.01	0.0	0.55	974.5	813.63	819.3	878.17	909.17	836.53	928.3	1304.15	1561.89	1322.37	1467.37	1322.37	1437.15	1551.09	1350.18	1781.89
EIF4B	2591.27	2178.83	1199.98	813.63	2193.99	2915.45	3103.19	5183.54	3146.52	4903.87	4358.66	5183.54	4450.27	4704.07	4639.29	8598.28	6840.04	5403.7	5791.62	8479.89	6471.02	5913.33	10440.2
ENDOV	287.01	303.44	271.48	193.01	483.38	0.0	0.66	392.44	334.46	309.83	389.72	334.46	327.56	303.44	403.5	688.78	595.34	674.59	555.41	595.34	607.87	490.14	511.0
FAAH	915.51	1159.07	896.64	420.68	198.47	0.0	0.72	543.96	988.12	426.57	928.3	435.55	674.59	551.56	1733.13	1594.73	1794.29	1639.59	1159.07	1331.57	2047.0	1551.09	1407.55
FAM124B	9.06	3.5	4.46	2.01	5.19	0.0	0.0	9.63	2.68	6.46	0.92	17.64	8.19	3.66	10.71	44.89	14.89	29.91	23.76	49.56	30.34	23.42	37.85
FAM134A	1119.56	1183.45	1051.79	703.28	1437.15	0.0	0.64	1883.54	1794.29	2178.83	2061.24	1923.14	2004.85	2075.59	2133.97	4419.52	2609.3	2502.97	2384.37	3540.14	2777.33	2451.44	3901.01
FAM175A	26.1	36.01	19.11	14.78	26.28	0.0	0.14	111.99	61.68	103.69	74.06	106.63	88.26	99.43	144.01	273.37	204.07	206.94	195.72	281.09	223.41	169.07	454.09
FBXO34	173.85	153.34	183.82	199.85	191.67	0.0	0.49	346.29	293.07	432.53	426.57	325.29	336.79	363.56	400.71	860.08	780.44	529.06	447.82	780.44	587.13	599.49	995.0
GIMAP1	13.72	14.14	19.53	7.88	27.05	0.0	0.35	76.17	25.54	33.06	33.54	47.5	50.98	48.18	42.41	220.32	47.84	134.3	129.69	132.44	97.36	57.08	117.6
GIMAP4	181.28	248.0	139.07	141.02	281.09	0.0	0.51	285.03	141.02	164.42	163.28	241.19	244.57	244.57	316.37	1159.07	303.44	967.76	878.17	1208.34	890.44	603.67	759.08
GIMAP6	43.63	28.04	28.04	61.68	115.16	0.0	0.33	194.36	58.3	91.41	95.34	145.02	159.9	134.3	194.36	551.56	181.28	237.86	379.04	423.61	281.09	172.65	351.14
GIMAP7	83.45	108.9	74.58	124.37	66.18	0.0	0.42	190.34	88.88	115.16	100.83	127.0	201.25	158.79	163.28	1199.98	185.11	647.07	620.67	884.29	563.18	215.77	406.31
GIMAP8	44.57	36.01	46.84	23.76	71.0	0.0	0.35	97.36	40.36	79.45	90.14	105.89	99.43	129.69	69.03	414.87	81.14	228.13	279.14	341.51	138.1	148.09	175.07
