	TCGA.XF.AAN3.01A.11R.A42T.07	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.GV.A3QF.01A.31R.A22U.07	TCGA.DK.A1AE.01A.11R.A13Y.07	TCGA.GU.A42Q.01A.11R.A23W.07	TCGA.K4.A5RI.01A.11R.A28M.07	TCGA.G2.A3IB.01A.11R.A20F.07	TCGA.GU.AATQ.01A.11R.A39I.07	TCGA.VS.A8EH.01A.11R.A36F.07	TCGA.CV.6935.01A.11R.1915.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.DQ.7588.01A.11R.2081.07	TCGA.CQ.A4CI.01A.11R.A266.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.44.A4SS.01A.11R.A24X.07	TCGA.93.8067.01A.11R.2287.07	TCGA.64.1678.01A.01R.0946.07	TCGA.35.3615.01A.01R.0946.07	TCGA.44.3917.01A.01R.A278.07	TCGA.67.3771.01A.01R.0946.07	TCGA.55.A4DF.01A.11R.A24H.07	TCGA.05.4384.01A.01R.1755.07	TCGA.05.4422.01A.01R.1206.07	TCGA.86.8358.01A.11R.2326.07	TCGA.55.7995.01A.11R.2187.07	TCGA.78.7154.01A.11R.2039.07	GTEX.OOBJ.0526.SM.48TDK	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZDYS.0426.SM.5IJEQ	GTEX.145MF.0726.SM.5Q5BT	TCGA.22.5485.01A.01R.1635.07	TCGA.37.4133.01A.01R.1100.07	TCGA.18.4086.01A.01R.1100.07	TCGA.46.3768.01A.01R.0980.07	TCGA.39.5016.01A.01R.1443.07	TCGA.21.1075.01A.01R.0692.07	TCGA.33.6738.01A.11R.1949.07	TCGA.37.4133.01A.01R.1100.07.1	TCGA.39.5036.01A.01R.1443.07	TCGA.66.2727.01A.01R.0980.07	TCGA.22.5473.01A.01R.1635.07	GTEX.ZT9W.2126.SM.51MSF	TCGA.RD.A8N0.01A.12R.A36D.31	TCGA.VQ.A8PQ.01A.11R.A414.31	GTEX.11DXX.1326.SM.5GIDZ	TCGA.BJ.A28X.11A.11R.A22L.07
AC006547.14	2.46	8.06	5.96	1.75	1.64	0.0	0.97	2.51	1.85	4.82	4.62	2.81	23.25	114.36	2.16	19.11	4.21	34.26	4.43	0.0	4.9	5.96	11.82	8.38	23.08	32.36	0.0	28.24	31.45	31.67	49.56	2.71	1.95	1.64	3.03	1.95	0.78	1.99	1.95	0.0	0.0	2.84	1.06	21.94	19.11	10.96	23.59
ACACB	27.84	85.82	29.27	40.93	43.02	63.45	5.77	19.11	48.18	26.86	2.18	7.82	75.11	669.92	67.59	67.12	87.65	15.45	43.94	50.98	45.85	115.16	154.42	88.88	89.51	172.65	40.36	234.57	198.47	438.59	76.71	29.7	18.43	46.84	53.57	31.67	37.85	25.72	18.43	31.22	53.95	28.24	45.21	395.18	412.0	295.11	536.45
AKNA	178.77	351.14	201.25	92.7	65.26	94.01	54.72	100.83	113.56	84.04	61.25	46.5	98.04	1066.48	90.77	540.19	395.18	82.87	138.1	145.02	283.05	341.51	309.83	454.09	299.25	674.59	221.86	813.63	441.64	638.15	703.28	112.77	57.49	172.65	150.17	218.79	26.47	150.17	57.49	99.43	143.01	127.0	37.85	1313.23	2485.67	896.64	1037.29
AKR1C3	54727.32	57847.82	72715.74	49666.0	61146.25	76861.91	34876.28	69753.56	38697.77	45072.75	71.5	7280.4	63742.91	2075.59	61999.83	20593.91	60723.88	86474.27	39510.91	53601.03	69271.73	10883.59	27938.14	35856.82	21919.61	14163.58	44145.15	63302.6	43236.64	40621.74	29124.6	63742.91	95949.32	47313.67	52863.07	52863.07	43840.21	41475.31	95949.32	46339.95	58250.19	57051.4	9606.86	6792.79	1832.01	26986.43	341.51
AP4B1	316.37	346.29	435.55	249.73	198.47	255.0	166.73	255.0	237.86	77.79	57.08	191.67	137.14	842.36	327.56	511.0	178.77	190.34	279.14	571.05	343.89	521.76	289.02	271.48	353.59	273.37	166.73	403.5	320.8	248.0	269.6	124.37	271.48	262.2	158.79	156.59	193.01	167.9	271.48	166.73	193.01	202.66	114.36	674.59	599.49	356.05	603.67
APAF1	187.71	178.77	171.45	140.04	115.16	132.44	115.97	88.88	127.0	38.12	38.12	121.79	175.07	329.84	106.63	226.54	153.34	260.38	122.64	221.86	332.14	327.56	186.4	156.59	291.04	189.02	139.07	162.14	191.67	220.32	137.14	81.71	156.59	90.77	131.51	96.68	123.5	78.34	156.59	82.87	87.03	63.45	41.52	320.8	275.28	197.09	212.78
ARHGEF6	53.57	128.79	96.68	47.17	24.99	63.45	7.06	36.53	31.67	46.18	9.7	5.02	20.56	511.0	40.93	176.29	66.65	39.79	75.11	143.01	146.03	164.42	170.25	173.85	100.83	287.01	83.45	872.1	540.19	438.59	389.72	61.25	48.18	94.01	43.02	117.6	22.59	34.51	48.18	31.9	83.45	46.5	15.56	450.94	607.87	205.5	463.65
BIN2	72.52	253.23	23.25	31.67	16.51	44.25	15.45	33.3	49.91	38.95	20.56	5.11	14.67	1277.29	49.56	271.48	102.25	31.22	100.83	172.65	226.54	305.55	204.07	332.14	159.9	406.31	143.01	1250.98	1216.75	473.41	187.71	75.11	76.17	126.12	70.51	199.85	22.43	343.89	76.17	40.64	131.51	67.12	16.63	518.15	954.43	457.25	616.37
BTK	67.12	206.94	6.31	14.89	6.21	34.51	11.13	33.54	36.27	27.25	14.24	5.77	16.75	1605.83	42.11	211.31	80.57	59.55	140.04	281.09	228.13	293.07	193.01	271.48	131.51	299.25	74.58	376.41	1605.83	753.83	878.17	76.71	100.13	140.04	78.89	150.17	23.76	59.97	100.13	33.06	142.01	68.07	21.78	638.15	854.13	180.02	620.67
C1orf54	249.73	616.37	116.78	90.14	80.57	204.07	86.43	224.97	92.7	194.36	98.73	29.27	201.25	1216.75	262.2	403.5	255.0	389.72	336.79	595.34	497.0	620.67	314.17	275.28	1111.82	476.71	265.87	830.75	642.59	260.38	607.87	88.88	281.09	320.8	124.37	384.34	102.97	224.97	281.09	248.0	185.11	182.55	97.36	447.82	503.95	323.03	830.75
C9orf139	1.39	6.26	0.61	0.36	0.0	0.92	0.0	0.0	1.85	0.0	0.0	0.0	0.49	12.74	0.52	20.71	2.01	2.73	2.1	4.66	7.63	20.56	5.41	15.68	7.28	21.63	1.01	2.29	7.69	4.24	3.47	1.41	0.0	2.92	1.39	2.76	0.96	1.91	0.0	1.41	1.93	1.46	0.0	2.36	17.51	6.06	42.71
CALHM2	1001.93	283.05	122.64	84.63	93.35	281.09	136.19	314.17	209.84	281.09	105.89	163.28	426.57	460.44	42.41	444.72	256.78	237.86	147.06	107.38	289.02	279.14	463.65	414.87	325.29	414.87	224.97	860.08	796.86	511.0	214.27	182.55	189.02	285.03	206.94	265.87	76.71	159.9	189.02	209.84	163.28	221.86	182.55	432.53	587.13	420.68	902.89
CCDC66	98.04	143.01	157.68	246.28	97.36	69.52	68.07	169.07	118.43	32.59	52.08	58.3	103.69	323.03	155.5	178.77	171.45	166.73	236.21	395.18	191.67	297.17	215.77	297.17	176.29	109.66	170.25	195.72	157.68	198.47	269.6	78.89	75.64	130.6	132.44	124.37	193.01	55.49	75.64	50.63	110.43	64.34	36.01	529.06	473.41	182.55	525.39
