	TCGA.CK.4948.01B.11R.1653.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.P4PP.0526.SM.2HMKE	GTEX.WHSB.0326.SM.5FQSD	GTEX.OOBK.0526.SM.2HMJJ	GTEX.13D11.0326.SM.5LZXX	GTEX.O5YW.0526.SM.2YUMX	GTEX.144GN.0426.SM.5O9AP	GTEX.QXCU.0626.SM.2TC69	GTEX.S4Z8.0426.SM.3K2AH	GTEX.WFG8.0926.SM.3GIKJ	GTEX.SNOS.0426.SM.32PMH	GTEX.ZG7Y.1026.SM.4WWDG	GTEX.WFJO.0326.SM.3GIL3	GTEX.133LE.0526.SM.5N9EJ	GTEX.QDVJ.0926.SM.2I5FU	GTEX.XUJ4.1426.SM.4BONT	GTEX.R55G.0826.SM.2TC5U	GTEX.11EMC.0126.SM.5EGKV	GTEX.147F3.0726.SM.5NQ9U	GTEX.13VXT.1426.SM.5LU4B	GTEX.WRHU.0226.SM.3MJFV	GTEX.OIZI.1026.SM.3NB1K	GTEX.1399S.1726.SM.5L3DI	GTEX.11TT1.1626.SM.5EQL7	GTEX.S7SF.0426.SM.3K2B7	GTEX.Q2AG.1026.SM.33HBW	GTEX.XQ8I.1126.SM.4BOO2	GTEX.ZPIC.0626.SM.57WDY	GTEX.ZYWO.0826.SM.5E45W	GTEX.Q2AI.0526.SM.2I3EJ	GTEX.1211K.0826.SM.5FQUP	GTEX.XBED.0826.SM.47JYC	GTEX.Y8LW.0326.SM.4VBQ9	GTEX.13OW8.1726.SM.5L3GO	GTEX.QEG5.1126.SM.33HC2	GTEX.13OVG.0326.SM.5KM57	TCGA.EO.A3B0.01A.12R.A19W.07
FAM86A	518.15	0.0	239.52	164.42	432.53	285.03	162.14	271.48	100.13	239.52	251.48	314.17	239.52	187.71	145.02	297.17	165.57	202.66	128.79	154.42	212.78	90.77	122.64	186.4	279.14	366.09	78.89	136.19	269.6	341.51	392.44	249.73	217.27	148.09	84.63	137.14	129.69	371.22
FAM96B	5791.62	0.99	2468.49	2664.15	6381.92	4575.41	2956.17	3540.14	1709.26	3212.66	4481.23	4704.07	3820.7	2777.33	3212.66	5479.15	2627.46	3190.46	4298.64	2915.45	3467.27	2384.37	1617.0	3742.05	4575.41	5594.3	1359.57	5403.7	3280.18	7537.18	3847.29	3982.99	3018.3	1950.0	1745.2	3190.46	2090.03	4543.8
FARSA	1936.53	0.0	967.76	759.08	1583.71	1561.89	860.08	1519.15	406.31	1081.39	1030.12	1427.22	1208.34	748.61	728.11	1369.04	753.83	1073.91	450.94	647.07	1015.93	348.71	543.96	921.88	1397.83	1583.71	224.97	674.59	1286.18	1819.35	1923.14	1208.34	909.17	642.59	486.75	656.11	409.15	2193.99
GMPPB	521.76	255.0	540.19	480.04	1127.35	981.29	406.31	866.07	414.87	620.67	656.11	872.1	802.41	414.87	571.05	825.0	435.55	728.11	476.71	381.68	693.58	329.84	320.8	713.11	890.44	1001.93	264.03	438.59	703.28	1183.45	1594.73	842.36	624.99	447.82	444.72	571.05	327.56	819.3
HEATR2	866.07	0.51	329.84	249.73	420.68	373.81	260.38	420.68	241.19	316.37	241.19	346.29	327.56	162.14	260.38	507.46	281.09	397.93	126.12	307.69	392.44	312.0	309.83	241.19	253.23	406.31	226.54	229.72	262.2	529.06	341.51	351.14	251.48	211.31	161.02	232.94	253.23	536.45
HNF1A	397.93	0.15	23.93	9.13	10.39	41.81	10.08	18.16	2.39	14.78	1.69	13.22	7.17	4.31	16.51	13.03	6.36	10.55	1.08	4.9	20.86	3.17	6.57	10.47	11.47	20.71	0.78	2.32	10.63	42.11	31.67	13.72	11.91	2.46	0.0	5.96	4.9	110.43
KRT23	3847.29	0.39	76.17	1.31	32.36	215.77	0.65	1119.56	0.0	12.93	22.26	20.56	82.29	22.1	50.63	24.11	1.31	7.57	9.78	1.48	220.32	55.49	2.51	59.13	4.74	61.68	3.06	11.04	33.06	674.59	368.65	20.11	11.38	0.0	0.55	1.3	0.49	848.22
LAGE3	842.36	0.28	379.04	325.29	728.11	860.08	269.6	733.19	125.24	441.64	417.77	775.05	532.74	334.46	429.54	642.59	303.44	624.99	206.94	275.28	547.75	157.68	193.01	503.95	624.99	974.5	88.88	318.57	579.04	842.36	941.27	450.94	511.0	346.29	164.42	320.8	197.09	1806.78
LMNB2	872.1	0.73	406.31	244.57	1059.11	620.67	287.01	1037.29	191.67	435.55	231.32	791.35	688.78	206.94	244.57	1001.93	251.48	1135.2	223.41	146.03	409.15	173.85	131.51	379.04	854.13	708.18	172.65	141.02	420.68	1073.91	928.3	460.44	316.37	96.01	72.01	185.11	162.14	2004.85
LRWD1	555.41	0.17	273.37	224.97	454.09	575.03	246.28	612.11	149.12	316.37	244.57	414.87	341.51	256.78	305.55	249.73	273.37	305.55	96.68	232.94	587.13	212.78	185.11	348.71	237.86	438.59	103.69	314.17	273.37	525.39	470.14	341.51	265.87	175.07	127.89	256.78	212.78	629.35
