	GTEX.11P81.1026.SM.5GU54	GTEX.XGQ4.1626.SM.4AT6J	GTEX.11DYG.1926.SM.5H12I	GTEX.13O61.1226.SM.5KM21	GTEX.XQ8I.1826.SM.4BOOJ	GTEX.XUW1.1326.SM.4BOO1	GTEX.QEL4.1526.SM.447AB	GTEX.T8EM.0626.SM.4DM62	GTEX.X5EB.1426.SM.46MVW	GTEX.S95S.0326.SM.4B66U	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.14753.1626.SM.5NQ9L	TCGA.VQ.A927.01A.12R.A414.31	TCGA.CG.4476.01A.01R.1157.13	TCGA.BR.7716.11A.01R.2055.13	TCGA.BR.7704.11A.01R.2055.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5734.11A.01R.1602.13	TCGA.BR.6457.11A.01R.1802.13	TCGA.BR.6454.11A.01R.1802.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.BR.6802.11A.01R.1884.13	TCGA.CG.5721.11A.01R.1602.13	GTEX.OOBJ.1526.SM.3NB1Q	GTEX.13OW6.2526.SM.5IJEC	GTEX.11NUK.2426.SM.5BC4U	GTEX.ZVP2.1626.SM.5GU5D	GTEX.13FTW.1726.SM.5KM2B	GTEX.S95S.0826.SM.4B64N	GTEX.11GSP.2126.SM.5HL5E	GTEX.ZYY3.1726.SM.5EGH3	GTEX.ZVT3.2126.SM.59HL2
ABTB1	1832.01	2335.28	1551.09	2255.7	2591.27	2104.58	2835.7	1844.76	1572.76	1313.23	329.84	341.51	432.53	500.46	432.53	733.19	1331.57	941.27	764.36	575.03	587.13	1066.48	884.29	571.05	587.13	802.41	1225.22	796.86	708.18	403.5	872.1	208.38	802.41	1551.09
AGAP6	373.81	642.59	718.08	403.5	753.83	392.44	575.03	423.61	514.56	518.15	11.47	8.32	19.82	470.14	334.46	100.13	176.29	60.39	97.36	65.26	55.49	139.07	102.25	48.18	64.8	117.6	64.8	21.94	182.55	73.54	134.3	144.01	63.89	96.68
AL161915.1	87.03	49.56	56.28	37.59	73.03	74.58	68.07	49.21	49.56	65.72	0.41	5.45	4.28	20.26	33.54	13.52	29.91	24.63	15.8	8.0	19.97	21.16	33.06	6.73	17.13	40.93	11.13	4.98	36.53	12.27	49.21	7.11	22.1	18.03
AL162407.1	414.87	381.68	642.59	329.84	387.02	323.03	420.68	316.37	334.46	297.17	80.01	68.07	96.01	189.02	228.13	76.71	137.14	70.51	98.04	53.95	92.05	115.16	115.97	47.17	100.13	133.36	59.55	23.59	214.27	77.79	175.07	25.91	31.67	134.3
ANKRD13B	320.8	260.38	473.41	193.01	429.54	371.22	647.07	299.25	267.73	211.31	1.25	7.06	2.1	107.38	108.14	85.82	178.77	82.87	33.78	34.26	40.36	75.11	55.1	14.03	82.29	51.71	47.17	25.91	45.21	37.59	53.19	20.56	59.97	116.78
ANKRD13D	954.43	1519.15	1073.91	961.07	1477.58	915.51	1583.71	780.44	860.08	748.61	111.99	117.6	47.17	651.58	703.28	532.74	1127.35	507.46	483.38	293.07	303.44	785.88	457.25	285.03	361.04	591.22	376.41	327.56	532.74	339.14	511.0	241.19	356.05	796.86
ANKRD42	159.9	189.02	161.02	139.07	223.41	146.03	167.9	214.27	215.77	173.85	26.47	53.57	47.17	166.73	150.17	151.22	212.78	173.85	141.02	86.43	152.28	100.83	135.24	61.68	80.01	126.12	52.82	71.0	101.54	98.04	153.34	81.14	97.36	95.34
ANKS3	575.03	559.28	738.29	414.87	743.43	555.41	854.13	373.81	473.41	457.25	69.52	50.98	40.36	303.44	262.2	246.28	457.25	255.0	215.77	105.89	97.36	206.94	167.9	172.65	80.01	249.73	150.17	38.95	234.57	149.12	202.66	145.02	141.02	239.52
ANKZF1	1561.89	1806.78	1081.39	1216.75	2104.58	1359.57	1806.78	1304.15	1135.2	819.3	49.91	208.38	159.9	1119.56	595.34	551.56	674.59	320.8	460.44	299.25	379.04	540.19	447.82	309.83	429.54	703.28	543.96	395.18	748.61	460.44	595.34	555.41	536.45	651.58
ARHGAP33	693.58	738.29	532.74	231.32	775.05	373.81	414.87	450.94	381.68	336.79	1.71	5.28	24.46	267.73	114.36	127.89	457.25	85.22	94.01	81.71	65.72	167.9	73.03	29.48	27.84	138.1	98.73	34.75	88.26	112.77	255.0	83.45	94.67	186.4
ATG4B	2047.0	1857.6	1721.16	1936.53	2193.99	2287.2	2502.97	1639.59	2061.24	1794.29	457.25	642.59	301.33	1183.45	1096.5	1037.29	1397.83	1407.55	967.76	1023.0	1015.93	1081.39	995.0	633.73	947.83	1498.22	1059.11	775.05	1617.0	954.43	1151.06	813.63	1225.22	1508.65
C19orf55	343.89	346.29	397.93	368.65	500.46	518.15	457.25	521.76	698.41	423.61	19.82	29.7	18.84	511.0	251.48	297.17	376.41	346.29	289.02	209.84	215.77	327.56	144.01	52.82	246.28	253.23	204.07	309.83	423.61	285.03	195.72	194.36	242.88	262.2
C1orf63	3168.41	3820.7	3039.3	2537.92	4512.4	3665.02	4328.55	3018.3	1923.14	1950.0	275.28	92.7	325.29	2209.26	2193.99	1066.48	1066.48	426.57	620.67	567.1	277.2	575.03	825.0	759.08	480.04	2075.59	1183.45	1088.92	1605.83	540.19	1572.76	947.83	1331.57	1651.0
C6ORF50	59.13	45.85	75.11	41.22	89.51	41.22	114.36	49.56	29.91	16.15	0.0	0.0	0.0	45.21	38.67	2.58	3.53	3.56	0.0	0.0	0.0	4.74	5.41	2.94	4.7	23.42	3.99	0.46	11.3	5.77	13.12	1.57	6.94	14.45
CACNB1	258.57	281.09	358.54	194.36	287.01	253.23	258.57	212.78	194.36	193.01	1.66	6.94	4.5	153.34	102.97	105.89	199.85	104.42	75.64	40.07	57.08	113.56	47.17	43.94	31.22	44.57	52.82	39.79	57.89	43.32	82.87	36.53	15.22	190.34
CASC3	1909.85	2739.08	1639.59	1896.65	2303.12	2351.53	2047.0	2287.2	1769.57	1781.89	148.09	307.69	187.71	947.83	1508.65	909.17	1477.58	941.27	1073.91	532.74	872.1	988.12	836.53	476.71	764.36	583.07	379.04	603.67	660.68	551.56	902.89	444.72	688.78	753.83
