	TCGA.DD.AAE9.01A.11R.A41C.07	TCGA.5R.AA1C.01A.11R.A41C.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.EJ.A7NK.01A.12R.A352.07	TCGA.EJ.A46D.01A.21R.A32Y.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.XJ.A83H.01A.11R.A352.07	TCGA.CH.5743.01A.21R.1580.07	TCGA.HC.8264.01B.11R.2403.07	TCGA.KK.A8I7.01A.21R.A36G.07	TCGA.HC.A8D1.01A.11R.A36G.07	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.G9.6384.01A.11R.1789.07	TCGA.M7.A720.01A.12R.A32O.07	TCGA.EJ.7317.01A.31R.2118.07	TCGA.V1.A9Z9.01A.21R.A41O.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.HC.8257.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.CH.5763.01A.11R.1580.07	TCGA.EJ.A46E.01A.31R.A250.07	TCGA.EJ.8470.01A.11R.2403.07	TCGA.EJ.5512.01A.01R.1580.07	TCGA.XK.AAJU.01A.11R.A41O.07	TCGA.YL.A9WX.01A.21R.A41O.07	TCGA.EJ.5505.01A.01R.1580.07	TCGA.HC.7209.01A.11R.2118.07	TCGA.VP.A87C.01A.11R.A352.07	TCGA.V1.A9O7.01A.21R.A41O.07	TCGA.HC.8261.01A.11R.2263.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.ZG.A9L6.01A.11R.A41O.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.HC.8266.01A.11R.2263.07	TCGA.EJ.5506.01A.01R.1580.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.HC.8216.01A.11R.A29R.07	TCGA.EJ.7793.01A.31R.2263.07	TCGA.HC.7736.01A.11R.2118.07	TCGA.J4.AATV.01A.11R.A41O.07	TCGA.XK.AAJP.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.SU.A7E7.01A.22R.A33R.07	TCGA.EJ.5497.01A.02R.1580.07	TCGA.EJ.5498.01A.01R.1580.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.HC.A631.01A.11R.A29R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.G9.7510.01A.11R.2263.07	TCGA.KK.A6E5.01A.11R.A311.07	TCGA.V1.A9ZK.01A.11R.A41O.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.HC.7742.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.G9.6342.11A.02R.1965.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZZ64.0926.SM.5E44L	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.S95S.1026.SM.4B64M	GTEX.11TT1.2026.SM.5EQM8	GTEX.12C56.1326.SM.5FQSV	GTEX.13FTW.1226.SM.5LZZ1	GTEX.YF7O.1926.SM.4W1YQ	GTEX.YJ8A.1126.SM.5IFJU	GTEX.ZY6K.1526.SM.5GZXE	GTEX.11NSD.0826.SM.5986S	GTEX.1399T.1226.SM.5P9J5	GTEX.REY6.2126.SM.48FD9	GTEX.ZDYS.1226.SM.5IJF3	GTEX.13OW8.0426.SM.5J2NR	GTEX.XMK1.1026.SM.4B65H	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.117YW.1426.SM.5EGGO	GTEX.11O72.2726.SM.5HL6K	GTEX.ZTX8.1026.SM.5EGHD
ATF3	271.48	221.86	928.3	409.15	1037.29	295.11	819.3	12853.63	14361.31	473.41	842.36	7382.04	1008.9	249.73	8598.28	563.18	426.57	332.14	769.69	1697.45	426.57	289.02	6426.31	31215.04	1407.55	555.41	389.72	4450.27	285.03	6652.97	4268.94	9215.48	190.34	116.78	1023.0	191.67	190.34	995.0	1151.06	583.07	674.59	603.67	133.36	6471.02	9673.69	256.78	563.18	5403.7	1151.06	2133.97	241.19	169.07	262.2	12160.22	825.0	1540.37	591.22	417.77	199.85	7857.29	155.5	698.41	4298.64	208.38	470.14	3515.68	46.5	301.33	4937.99	1950.0	4388.98	3665.02	454.09	29124.6	2935.74	1407.55	1159.07	5366.37	438.59	8778.97	872.1	1883.54	7180.15	8078.22	29736.59	1572.76	1088.92	825.0	1477.58	642.59	212.78	2664.15	2271.4	4450.27	2178.83	2400.97	2956.17	15934.98	2032.85	9740.98	2018.8	878.17	6561.36	11267.44	212.78	258.57	2240.11	12853.63	74760.09	22380.2	198.47
AVPI1	154.42	146.03	175.07	567.1	476.71	371.22	242.88	356.05	1519.15	127.89	325.29	529.06	170.25	167.9	299.25	379.04	173.85	198.47	368.65	438.59	191.67	318.57	397.93	1594.73	314.17	303.44	769.69	733.19	123.5	281.09	343.89	718.08	167.9	189.02	381.68	674.59	109.66	327.56	334.46	303.44	169.07	208.38	242.88	336.79	447.82	133.36	223.41	438.59	281.09	232.94	575.03	172.65	52.45	339.14	185.11	323.03	466.88	226.54	389.72	825.0	204.07	551.56	529.06	224.97	366.09	303.44	127.89	197.09	825.0	825.0	397.93	563.18	575.03	1733.13	368.65	463.65	698.41	684.02	547.75	684.02	241.19	603.67	860.08	387.02	1268.46	713.11	753.83	309.83	361.04	343.89	536.45	389.72	217.27	457.25	379.04	825.0	353.59	733.19	303.44	738.29	336.79	575.03	884.29	743.43	348.71	329.84	660.68	1674.06	4268.94	363.56	490.14
BDKRB2	11.91	0.29	77.25	90.14	32.36	20.26	21.16	69.03	135.24	26.1	67.59	49.56	23.93	8.99	61.25	12.93	12.55	21.47	29.7	17.9	31.67	22.92	165.57	115.97	36.79	29.27	68.07	140.04	9.93	37.05	123.5	206.94	12.74	12.55	121.79	57.08	17.51	21.01	38.67	18.43	45.85	26.28	3.89	60.39	172.65	7.88	31.9	141.02	13.22	57.89	20.71	7.82	8.85	65.72	36.27	88.88	84.63	25.35	18.7	95.34	5.73	32.82	76.71	32.13	24.81	33.3	3.29	8.13	348.71	38.67	237.86	94.01	30.78	127.0	18.97	23.08	163.28	171.45	31.0	66.65	24.81	68.07	90.14	103.69	110.43	36.79	32.82	49.91	43.32	26.28	73.03	136.19	102.25	44.25	173.85	84.04	536.45	189.02	191.67	64.34	73.54	74.58	208.38	121.79	17.13	37.59	50.63	122.64	60.82	153.34	150.17
BMP2	37.05	19.68	14.35	36.27	43.02	33.3	15.56	48.18	96.68	13.62	28.86	37.85	55.49	6.06	47.84	29.48	18.29	23.42	20.56	27.44	35.5	13.93	37.59	169.07	49.91	42.11	24.81	34.75	21.01	161.02	52.08	64.34	20.86	17.51	26.1	27.64	17.64	17.25	73.03	27.64	30.56	24.99	15.56	37.59	44.25	5.63	15.91	31.9	43.32	25.35	23.25	9.13	3.14	58.3	40.36	68.07	21.94	8.13	24.63	59.97	20.71	41.81	31.45	16.03	18.29	16.03	3.53	14.45	140.04	67.59	167.9	69.52	38.95	102.97	43.94	29.91	76.71	81.14	21.63	50.63	30.78	111.99	88.26	63.0	59.13	28.45	36.01	52.08	44.25	32.82	15.11	43.94	85.82	48.52	59.97	40.64	37.32	72.52	163.28	48.87	40.64	52.45	228.13	80.57	17.77	11.13	55.49	228.13	423.61	50.63	44.89
BTG2	70.51	255.0	2468.49	2271.4	3768.09	2701.35	4802.93	6983.79	12244.81	1639.59	1977.24	11909.94	1896.65	647.07	6294.04	3018.3	748.61	1277.29	2468.49	3901.01	1583.71	1268.46	15075.35	23009.42	2271.4	3018.3	1909.85	7749.1	961.07	7589.61	7911.95	14663.09	947.83	819.3	2537.92	4419.52	1286.18	4358.66	1883.54	3212.66	1651.0	1457.23	1697.45	15075.35	12589.08	1051.79	2400.97	7032.37	4736.79	4038.61	2133.97	1806.78	909.17	10368.08	3103.19	4038.61	3303.0	2061.24	1295.13	12589.08	693.58	4066.71	7537.18	1697.45	1250.98	5995.9	1359.57	1313.23	6983.79	3742.05	11584.24	6471.02	3081.75	26986.43	3716.2	3614.55	3168.41	10585.95	3443.31	7130.55	1806.78	7857.29	10585.95	18431.96	26800.01	3540.14	2664.15	2573.36	2133.97	2417.67	1250.98	3395.89	4010.71	3325.99	2209.26	3257.52	8901.53	4298.64	2384.37	11267.44	3419.52	3794.3	9151.82	11267.44	3018.3	1191.69	2537.92	6935.54	27553.49	10225.32	1651.0
C11orf96	44.57	26.1	693.58	417.77	406.31	483.38	287.01	1427.22	1216.75	209.84	346.29	1073.91	80.57	162.14	902.89	109.66	90.14	285.03	285.03	336.79	117.6	147.06	1540.37	1159.07	395.18	171.45	320.8	1397.83	43.32	429.54	947.83	4869.99	167.9	208.38	1023.0	1183.45	312.0	409.15	236.21	56.28	187.71	173.85	99.43	1233.75	3847.29	96.68	153.34	1540.37	137.14	819.3	223.41	75.11	211.31	1233.75	291.04	339.14	947.83	583.07	231.32	802.41	136.19	490.14	1388.16	199.85	153.34	1127.35	65.72	47.17	884.29	205.5	2777.33	457.25	96.01	1844.76	258.57	435.55	872.1	2645.74	376.41	1709.26	141.02	2104.58	830.75	2537.92	1259.69	497.0	244.57	397.93	379.04	147.06	202.66	514.56	571.05	318.57	226.54	373.81	6207.38	579.04	759.08	896.64	753.83	371.22	1991.0	633.73	229.72	181.28	164.42	2367.9	693.58	2664.15	432.53
C2CD4B	1.57	0.88	17.0	8.45	23.42	6.26	4.78	39.5	84.04	0.91	38.12	76.17	2.92	36.27	44.25	12.55	1.31	0.0	16.51	6.84	5.23	12.64	53.57	88.26	28.65	12.27	26.1	26.1	0.53	35.76	56.28	128.79	3.53	1.23	41.22	26.47	1.62	9.41	21.94	8.85	10.63	10.55	2.84	68.55	183.82	4.9	15.11	52.45	68.07	87.03	14.35	0.88	1.53	83.45	15.91	20.26	9.7	1.28	0.88	77.79	0.0	36.79	57.89	8.71	7.06	76.71	1.13	1.95	74.06	28.04	41.81	23.25	3.96	285.03	15.45	7.75	37.05	94.67	43.94	76.71	3.5	28.86	35.25	94.67	121.79	10.88	16.51	8.06	8.85	10.39	5.45	23.76	75.11	4.46	17.13	35.25	103.69	127.89	29.27	150.17	71.0	8.25	65.26	63.0	0.0	10.31	34.02	102.97	115.97	87.03	37.05
CHMP1B	500.46	665.29	599.49	915.51	708.18	665.29	808.0	679.29	1030.12	638.15	529.06	915.51	595.34	674.59	872.1	633.73	674.59	563.18	620.67	759.08	518.15	748.61	872.1	1135.2	878.17	866.07	595.34	1066.48	890.44	764.36	941.27	1397.83	599.49	651.58	698.41	1001.93	607.87	854.13	543.96	753.83	679.29	1037.29	733.19	547.75	1073.91	518.15	884.29	1119.56	738.29	567.1	490.14	429.54	633.73	813.63	934.76	961.07	896.64	642.59	738.29	836.53	368.65	738.29	738.29	599.49	780.44	780.44	563.18	921.88	967.76	1059.11	1096.5	947.83	830.75	775.05	928.3	842.36	1250.98	1044.52	748.61	713.11	884.29	769.69	1066.48	860.08	854.13	703.28	819.3	934.76	860.08	836.53	1059.11	967.76	896.64	1008.9	967.76	902.89	1015.93	902.89	708.18	1030.12	1023.0	1208.34	1081.39	1331.57	1037.29	728.11	674.59	1923.14	1119.56	954.43	915.51
CSF3	0.0	0.0	17.77	25.17	7.57	0.0	0.97	242.88	116.78	0.0	10.0	15.11	0.93	1.89	24.46	2.07	0.35	0.0	15.11	2.86	2.14	0.0	665.29	56.28	42.41	9.06	5.54	63.0	0.0	27.44	28.04	480.04	3.06	0.66	7.57	10.71	3.29	4.39	60.82	0.0	1.11	0.99	1.04	64.8	567.1	0.99	3.44	49.91	8.51	75.11	0.0	0.0	2.81	90.77	5.54	57.49	3.38	2.36	0.0	41.22	0.0	2.84	24.11	1.31	0.33	16.88	0.29	0.33	102.25	32.82	463.65	46.5	0.0	540.19	4.13	1.39	132.44	178.77	8.19	139.07	5.02	57.49	73.03	341.51	89.51	11.13	10.79	11.64	10.0	24.63	2.14	81.71	20.86	6.26	28.86	59.97	80.57	25.35	15.0	84.04	78.89	31.67	118.43	37.59	8.06	4.06	7.69	186.4	18.84	264.03	29.91
CSRNP1	77.25	59.55	559.28	954.43	521.76	503.95	599.49	3955.48	3280.18	463.65	457.25	1304.15	457.25	423.61	1662.49	698.41	595.34	536.45	532.74	967.76	239.52	400.71	3103.19	7803.01	575.03	525.39	480.04	1870.53	426.57	1487.87	1073.91	2796.65	327.56	341.51	511.0	723.08	320.8	713.11	507.46	426.57	305.55	301.33	395.18	3018.3	3212.66	341.51	629.35	2555.58	432.53	854.13	332.14	373.81	211.31	2193.99	796.86	1208.34	599.49	728.11	599.49	2520.38	432.53	753.83	1498.22	323.03	463.65	1639.59	271.48	303.44	1508.65	878.17	2271.4	1340.84	409.15	3901.01	387.02	934.76	890.44	1963.57	571.05	2627.46	693.58	1639.59	2434.5	2701.35	6037.61	656.11	679.29	555.41	703.28	624.99	463.65	967.76	1081.39	1081.39	503.95	1242.34	5366.37	2997.45	599.49	1127.35	591.22	878.17	5329.3	2739.08	890.44	480.04	748.61	2502.97	2417.67	2555.58	633.73
