	TCGA.A2.A1G6.01A.11R.A13Q.07	TCGA.E9.A1N4.11A.33R.A14M.07	TCGA.BH.A0HA.11A.31R.A12P.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.RWS6.1926.SM.47JXY	GTEX.S341.1526.SM.4AD6K	GTEX.X15G.1626.SM.3NMB3	GTEX.14E6E.1726.SM.5S2R6	GTEX.Y114.1626.SM.4TT7I	GTEX.11DXX.1926.SM.5EGJK	GTEX.ZPIC.1926.SM.57WFQ	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.PX3G.0826.SM.48TZS	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZYT6.0626.SM.5E45V	GTEX.ZAB5.0426.SM.5CVMI	GTEX.145MF.0826.SM.5QGQA	GTEX.ZF2S.3026.SM.4WWCH	GTEX.QV44.0326.SM.4R1KD	GTEX.QESD.2026.SM.447BI	GTEX.12WSD.1426.SM.5GCN9	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.14753.1626.SM.5NQ9L	GTEX.ZE7O.0826.SM.57WCP	GTEX.YJ8O.1826.SM.5HL82	GTEX.132QS.1126.SM.5P9GC	GTEX.XGQ4.1826.SM.4AT6F	GTEX.117YX.1526.SM.5H12T
ACTR10	2163.77	1639.59	1617.0	2047.0	1437.15	1359.57	1529.73	1359.57	1447.15	1242.34	1044.52	1359.57	698.41	909.17	563.18	1001.93	540.19	420.68	753.83	583.07	536.45	559.28	785.88	426.57	493.56	988.12	571.05	860.08	743.43	457.25	1991.0	1963.57	1199.98	1628.26	1233.75
AL162407.1	460.44	194.36	229.72	387.02	244.57	262.2	318.57	258.57	144.01	144.01	154.42	242.88	68.07	155.5	110.43	146.03	149.12	139.07	157.68	87.65	83.45	88.26	187.71	84.04	127.89	201.25	173.85	150.17	251.48	96.01	406.31	229.72	143.01	281.09	217.27
AP3M2	297.17	376.41	412.0	403.5	493.56	232.94	305.55	429.54	169.07	105.15	211.31	248.0	34.26	46.84	42.71	70.01	30.34	74.06	33.3	69.52	64.8	33.06	73.03	39.79	43.32	87.03	97.36	35.0	94.67	17.13	371.22	429.54	191.67	289.02	199.85
ARL6IP6	665.29	559.28	547.75	728.11	521.76	493.56	381.68	480.04	199.85	251.48	232.94	363.56	39.79	145.02	38.67	136.19	120.1	115.97	81.14	120.1	63.45	83.45	173.85	49.21	70.51	121.79	137.14	52.45	157.68	45.21	718.08	547.75	223.41	327.56	277.2
ARMCX1	878.17	848.22	796.86	1745.2	1605.83	947.83	791.35	921.88	480.04	555.41	466.88	791.35	21.32	81.14	26.67	35.5	29.91	121.79	12.74	56.68	55.49	34.26	75.11	61.25	60.82	87.65	111.99	44.89	120.94	20.41	981.29	2075.59	447.82	748.61	713.11
BBS10	255.0	341.51	432.53	314.17	320.8	444.72	285.03	260.38	134.3	117.6	100.13	237.86	42.71	121.79	109.66	159.9	111.99	161.02	100.13	194.36	112.77	54.33	72.01	132.44	88.88	77.79	60.82	53.95	145.02	51.71	229.72	178.77	134.3	193.01	156.59
C17orf85	417.77	708.18	728.11	872.1	819.3	629.35	703.28	463.65	420.68	336.79	450.94	575.03	134.3	161.02	157.68	303.44	159.9	273.37	157.68	161.02	264.03	158.79	195.72	142.01	206.94	242.88	256.78	215.77	305.55	54.33	603.67	454.09	323.03	381.68	473.41
C7orf57	2.03	0.71	0.72	2.86	1.19	1.81	7.69	2.32	1.41	1.93	1.71	9.06	0.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.91	0.0	1.13	1.13	0.0	454.09	220.32	0.0	0.0	2.86
C8orf44-SGK3	8.92	12.27	10.79	18.29	21.01	23.76	12.36	15.0	10.16	4.39	9.27	24.81	2.07	1.87	0.0	0.0	0.0	0.0	0.0	0.0	13.32	0.0	0.0	0.0	4.03	0.0	0.0	0.0	0.0	0.0	7.17	51.35	4.86	14.45	10.47
EFCAB7	212.78	285.03	320.8	341.51	258.57	218.79	256.78	221.86	101.54	91.41	86.43	173.85	15.68	31.0	19.53	39.5	26.1	44.25	47.5	24.81	27.44	10.96	33.3	20.71	34.02	24.99	19.25	19.82	43.02	10.79	195.72	204.07	79.45	170.25	109.66
EXTL2	339.14	221.86	332.14	395.18	503.95	307.69	384.34	320.8	231.32	242.88	215.77	258.57	40.64	100.13	82.29	108.14	137.14	161.02	115.16	115.97	107.38	81.71	110.43	101.54	131.51	88.88	124.37	88.26	211.31	42.71	414.87	320.8	211.31	373.81	269.6
HACE1	205.5	248.0	265.87	426.57	223.41	293.07	185.11	176.29	124.37	106.63	93.35	172.65	16.03	34.02	27.84	60.39	14.35	55.1	26.67	57.08	44.57	10.0	53.57	36.27	41.81	19.82	40.64	23.76	63.0	23.08	142.01	159.9	104.42	113.56	161.02
HSFX1	36.27	40.36	23.76	28.04	26.86	36.53	44.57	10.24	0.0	17.38	25.54	30.78	3.76	0.0	0.0	6.21	22.75	7.22	14.45	16.75	0.0	13.93	14.45	0.0	0.0	12.27	0.0	16.03	0.0	7.06	45.21	43.63	10.39	27.64	19.11
IFT74	371.22	525.39	480.04	612.11	529.06	366.09	334.46	264.03	346.29	229.72	232.94	256.78	18.7	136.19	113.56	293.07	90.77	111.21	94.67	167.9	115.16	45.85	201.25	155.5	148.09	277.2	65.72	61.68	264.03	68.07	759.08	392.44	239.52	289.02	279.14
IL25	3.26	2.61	1.11	3.92	1.11	1.33	2.39	3.2	1.64	0.56	0.0	3.03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.11	3.32	0.0	2.03	0.56
JRKL	299.25	363.56	346.29	629.35	363.56	353.59	186.4	316.37	150.17	81.14	119.26	166.73	23.42	40.64	21.78	37.59	38.12	62.12	38.12	37.05	39.5	25.54	34.26	29.91	21.94	34.26	32.82	26.1	80.01	11.91	224.97	223.41	98.04	176.29	173.85
KIAA1586	139.07	140.04	172.65	136.19	244.57	154.42	163.28	131.51	113.56	106.63	59.97	289.02	11.38	49.91	65.72	151.22	48.52	46.84	25.35	77.25	31.9	12.83	38.95	44.89	68.07	38.12	40.64	40.64	122.64	18.56	132.44	143.01	111.21	98.73	76.17
KIF3A	187.71	231.32	314.17	297.17	305.55	181.28	172.65	211.31	77.25	69.52	68.07	114.36	9.13	22.59	16.51	30.78	13.83	53.19	24.99	27.84	20.71	9.56	21.32	23.76	26.28	16.51	17.9	13.52	29.91	5.45	239.52	208.38	128.79	148.09	100.83
KIN	607.87	503.95	503.95	466.88	575.03	366.09	435.55	529.06	325.29	339.14	236.21	363.56	81.14	194.36	110.43	215.77	135.24	96.01	128.79	150.17	132.44	92.05	126.12	127.0	149.12	173.85	114.36	202.66	176.29	48.52	348.71	412.0	271.48	253.23	289.02
