	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	GTEX.13NYB.1726.SM.5N9G2	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	GTEX.Y5V6.2026.SM.5IFHO	TCGA.AK.3447.01A.01R.1766.07	TCGA.CZ.5468.11A.01R.1503.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CZ.5455.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5470.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BR.8060.01A.11R.2343.13	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.BR.8678.01A.11R.2402.13	TCGA.BR.8365.01A.21R.2343.13	TCGA.VQ.A8PQ.01A.11R.A414.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8686.01A.11R.2402.13	TCGA.IN.7808.01A.11R.2203.13	TCGA.BR.8384.01A.21R.2402.13	TCGA.BR.8483.01A.31R.2402.13
AC009060.1	0.0	0.0	2.76	0.0	1.57	0.0	3.76	2.07	2.36	2.07	4.43	0.0	2.43	0.0	7.0	0.0	0.0	7.22	0.0	0.0	7.17	0.0	0.0	3.23	2.23	3.08	3.38	15.45	10.79	9.48	3.17	3.17	5.82	6.84	4.03	14.35	32.13	20.26	22.43
AC020922.1	1.73	2.27	6.26	0.0	1.53	1.46	5.5	4.17	5.68	1.83	0.0	0.0	1.08	2.48	0.0	1.35	0.0	1.95	2.23	0.0	5.32	0.74	1.45	1.27	0.41	7.28	5.11	20.86	82.87	10.55	28.65	7.82	33.06	21.63	15.56	47.5	55.1	17.77	36.01
AGAP5	42.71	45.21	68.55	19.68	37.85	26.28	74.58	68.55	38.95	85.82	32.59	3.69	20.86	17.13	15.22	37.05	9.48	82.29	44.89	18.16	57.89	15.8	41.22	41.22	16.15	76.71	56.28	87.65	277.2	202.66	103.69	110.43	295.11	151.22	165.57	217.27	318.57	156.59	117.6
ANKRD36	38.4	50.27	66.65	27.84	78.89	28.65	78.89	48.18	48.87	109.66	7.22	13.52	42.11	39.5	33.54	46.84	20.41	54.33	55.89	24.99	81.14	30.56	44.57	23.76	37.85	57.08	20.26	131.51	327.56	356.05	218.79	193.01	356.05	212.78	161.02	303.44	473.41	211.31	353.59
ANKZF1	249.73	334.46	403.5	115.16	323.03	198.47	679.29	460.44	248.0	420.68	158.79	49.91	287.01	332.14	173.85	316.37	224.97	348.71	253.23	161.02	309.83	234.57	305.55	348.71	158.79	507.46	358.54	1030.12	1674.06	1781.89	1059.11	723.08	1605.83	775.05	1191.69	1304.15	2148.82	669.92	1896.65
APBA3	353.59	371.22	403.5	206.94	253.23	211.31	307.69	392.44	403.5	237.86	182.55	244.57	244.57	223.41	194.36	204.07	189.02	279.14	178.77	199.85	220.32	182.55	215.77	285.03	137.14	389.72	373.81	567.1	620.67	718.08	454.09	454.09	708.18	379.04	507.46	698.41	743.43	514.56	518.15
ARHGAP33	88.26	175.07	109.66	25.17	140.04	44.89	314.17	72.52	55.1	133.36	24.99	1.71	16.88	27.44	6.84	27.64	3.17	66.65	29.7	14.67	104.42	36.79	47.17	63.0	14.03	142.01	77.79	346.29	287.01	376.41	232.94	206.94	325.29	438.59	669.92	277.2	480.04	211.31	366.09
ARHGEF1	830.75	769.69	1051.79	283.05	642.59	587.13	813.63	698.41	698.41	688.78	361.04	114.36	575.03	525.39	389.72	414.87	312.0	769.69	412.0	551.56	753.83	387.02	543.96	872.1	249.73	941.27	796.86	1277.29	5329.3	5872.48	1096.5	2287.2	7130.55	4512.4	1963.57	3325.99	7130.55	2090.03	2555.58
ASB14	1.99	2.56	4.74	1.69	2.29	3.38	2.97	4.28	6.16	5.68	3.14	3.11	4.43	3.44	3.79	5.11	2.32	5.96	3.92	2.89	2.61	2.73	4.86	3.2	2.56	2.27	5.82	8.0	44.25	22.1	14.56	11.55	21.47	14.24	10.79	13.72	21.32	18.7	8.13
ATAD3B	152.28	171.45	161.02	16.88	66.18	65.72	155.5	124.37	119.26	71.5	36.53	13.12	50.27	48.18	25.35	45.53	24.28	84.04	40.64	47.17	96.01	33.54	60.39	95.34	24.28	224.97	106.63	400.71	497.0	356.05	551.56	226.54	547.75	1304.15	503.95	417.77	665.29	297.17	500.46
BCL11A	14.35	24.81	18.7	1.77	72.52	24.46	65.26	10.47	23.93	55.1	10.39	5.77	17.0	18.56	12.18	36.27	18.84	37.05	25.54	9.27	30.34	22.59	19.68	58.71	29.06	22.26	49.56	100.83	281.09	995.0	183.82	285.03	353.59	283.05	450.94	183.82	775.05	220.32	532.74
BGLAP	6.84	7.94	12.18	2.34	9.2	1.58	29.06	5.68	14.89	13.72	1.13	1.27	7.0	3.23	1.48	8.32	0.39	10.31	4.46	0.8	9.93	1.81	5.02	9.85	1.93	19.25	15.34	25.17	51.35	66.65	53.19	26.86	44.25	27.64	39.5	67.12	52.08	4.58	8.32
BRD1	332.14	297.17	417.77	119.26	295.11	246.28	417.77	316.37	269.6	351.14	218.79	24.11	214.27	237.86	140.04	217.27	153.34	287.01	232.94	137.14	301.33	185.11	264.03	271.48	224.97	353.59	295.11	454.09	473.41	497.0	599.49	521.76	595.34	379.04	620.67	679.29	620.67	669.92	571.05
C2orf53	0.0	0.0	0.0	0.02	0.13	0.0	0.14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.82	1.93	5.41	0.71	0.49	0.45	0.84	1.89	1.91	0.48	0.51	1.68
CENPT	536.45	447.82	563.18	212.78	551.56	229.72	728.11	305.55	256.78	603.67	156.59	262.2	312.0	267.73	242.88	249.73	255.0	381.68	217.27	312.0	406.31	312.0	356.05	356.05	178.77	540.19	351.14	543.96	713.11	808.0	486.75	583.07	656.11	764.36	819.3	988.12	753.83	872.1	1167.14
CEP164	221.86	176.29	191.67	106.63	166.73	150.17	269.6	239.52	181.28	248.0	96.01	6.06	137.14	152.28	68.07	123.5	81.71	195.72	159.9	94.01	180.02	105.89	189.02	154.42	88.88	264.03	186.4	255.0	669.92	629.35	441.64	358.54	457.25	571.05	493.56	647.07	476.71	540.19	638.15
