	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.AZ.6608.01A.11R.1839.07	TCGA.CA.5256.01A.01R.1410.07	TCGA.G4.6315.01A.11R.1723.07	TCGA.CM.4747.01A.01R.1410.07	TCGA.AA.3685.01A.02R.A32Z.07	TCGA.A6.6141.01A.11R.1774.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.L5.A88V.01A.11R.A354.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.VR.A8EX.01A.11R.A36D.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7423.11A.01R.2081.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.AF.4110.01A.02R.1736.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.XMK1.2626.SM.4B65R	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ABLIM1	11992.79	842.36	389.72	633.73	493.56	248.0	1322.37	460.44	1896.65	2400.97	4328.55	2915.45	5995.9	4123.49	1769.57	7230.1	1963.57	161.02	0.0	0.64	647.07	9876.98	1950.0	13776.25	8718.32	9025.81	8901.53	12676.65
ACAP2	884.29	158.79	150.17	187.71	170.25	136.19	173.85	112.77	301.33	426.57	466.88	571.05	616.37	397.93	351.14	551.56	234.57	111.21	0.0	0.78	177.53	921.88	234.57	1183.45	457.25	624.99	813.63	1015.93
AHNAK	10659.59	934.76	420.68	785.88	1359.57	334.46	1936.53	441.64	2485.67	4769.75	9215.48	7749.1	10084.54	6164.49	4736.79	14262.1	5219.6	214.27	0.0	0.8	1023.0	11827.67	6516.03	26614.89	12589.08	21617.82	16269.83	18689.27
ANKRD35	7485.11	2.48	4.7	1.17	9.93	16.27	22.75	1.53	143.01	403.5	802.41	651.58	802.41	470.14	346.29	860.08	209.84	0.4	0.0	0.38	17.9	2485.67	96.68	23986.58	1540.37	5555.65	1697.45	5672.41
ATXN10	1651.0	1143.1	1427.22	1639.59	813.63	896.64	1447.15	1008.9	1685.71	1651.0	2032.85	2303.12	2119.22	1909.85	2400.97	1477.58	1832.01	915.51	0.0	0.82	1427.22	2061.24	1832.01	3372.43	1551.09	2119.22	2835.7	4066.71
BTRC	718.08	92.7	105.15	96.68	153.34	59.97	127.89	88.88	146.03	226.54	232.94	232.94	249.73	237.86	163.28	255.0	165.57	27.44	0.0	0.37	171.45	343.89	173.85	368.65	253.23	323.03	262.2	314.17
CAB39	2104.58	483.38	638.15	743.43	620.67	444.72	693.58	567.1	884.29	1175.27	995.0	1073.91	1167.14	1059.11	738.29	1183.45	1023.0	283.05	0.0	0.79	660.68	2835.7	1073.91	1991.0	1639.59	2178.83	1883.54	2224.63
CEP76	144.01	111.99	101.54	81.71	58.71	122.64	97.36	58.3	135.24	149.12	167.9	135.24	201.25	122.64	169.07	169.07	122.64	46.5	0.0	0.36	76.71	177.53	118.43	381.68	190.34	205.5	241.19	555.41
CLPX	1151.06	457.25	264.03	412.0	281.09	348.71	490.14	228.13	796.86	808.0	921.88	1088.92	915.51	854.13	503.95	915.51	525.39	137.14	0.0	0.65	444.72	1088.92	679.29	1340.84	967.76	1159.07	1583.71	1540.37
DDX3X	3212.66	1378.57	1096.5	1697.45	1639.59	1001.93	1388.16	728.11	1936.53	2090.03	2271.4	2645.74	2351.53	2104.58	1674.06	2400.97	1883.54	395.18	1519.15	629.35	1340.84	3847.29	1857.6	4268.94	1977.24	3303.0	3515.68	3168.41
FAM180A	61.68	1.53	4.13	1.97	12.09	4.28	15.8	0.0	4.21	14.24	30.78	21.63	38.12	17.9	8.58	40.93	10.71	1.17	0.0	0.13	17.9	77.25	35.25	47.17	37.85	96.01	73.54	119.26
FLG	3716.2	0.0	0.0	0.0	1.22	0.0	1.83	0.0	4.13	52.08	145.02	96.68	2224.63	152.28	75.11	1417.35	120.94	0.0	0.0	0.31	1.23	503.95	41.52	1388.16	3124.78	164.42	1427.22	8022.41
IL36B	1340.84	3.82	0.0	0.73	0.0	0.0	0.0	0.48	8.19	242.88	73.03	135.24	295.11	400.71	39.22	105.89	47.5	0.0	0.0	0.0	0.0	563.18	26.86	921.88	1015.93	796.86	961.07	6561.36
KLF3	4298.64	438.59	281.09	543.96	616.37	373.81	525.39	295.11	647.07	1088.92	1001.93	802.41	1225.22	1111.82	603.67	1216.75	854.13	137.14	218.79	85.82	532.74	1250.98	941.27	2976.74	1191.69	1685.71	1407.55	1806.78
KLK11	2884719.27	115.16	22.59	33.78	30.56	14.35	423.61	3.92	137.14	3103.19	9740.98	3955.48	14765.09	10733.74	2796.65	13215.02	5555.65	0.0	0.0	0.39	129.69	13492.72	1119.56	41763.8	12076.21	30785.28	25708.25	37121.34
KRT4	3.697379928E7	31.9	4.21	0.0	5.96	0.0	0.0	0.0	92680.9	1402917.72	1.810644424E7	6140819.49	2.276004283E7	3359929.59	2654482.97	3.109113511E7	282912.21	0.0	0.0	0.0	11.21	1.236706555E7	184082.4	2.900905474E7	1.236706555E7	2.213766823E7	1.887534821E7	2.10891839E7
