	TCGA.GC.A3WC.01A.31R.A22U.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.G3.AAV5.01A.11R.A37K.07	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.QESD.2026.SM.447BI	GTEX.13SLX.1226.SM.5S2Q6	GTEX.13OW6.2626.SM.5IFF2	TCGA.55.8208.01A.11R.2241.07	TCGA.44.A4SS.01A.11R.A24X.07	TCGA.55.6968.01A.11R.1949.07	TCGA.55.A4DF.01A.11R.A24H.07	TCGA.MP.A4TJ.01A.51R.A262.07	TCGA.60.2697.01A.11R.2125.07	TCGA.77.A5FZ.01A.31R.A27Q.07	TCGA.85.7710.11A.01R.2125.07
ABI3BP	281.09	2.78	15.68	3.14	183.82	38.4	105.89	128.79	63.45	116.78	656.11	334.46	264.03	353.59	1044.52	1023.0	1617.0	1498.22
APOA2	0.0	1462493.73	1493223.86	1929772.37	1.631844115E7	2.941400607E7	1.099237559E7	2.821580058E7	2.079884286E7	2.138357795E7	7.4	0.0	0.0	4.46	3.35	0.0	8.06	2.78
ARHGEF1	2434.5	759.08	947.83	1242.34	723.08	500.46	669.92	599.49	733.19	909.17	3060.45	3146.52	1594.73	1977.24	4268.94	3820.7	5076.84	4481.23
ARRB2	941.27	285.03	327.56	480.04	860.08	708.18	559.28	1417.35	633.73	791.35	2502.97	1167.14	1508.65	1991.0	1674.06	2018.8	3325.99	3018.3
BANK1	115.97	0.57	3.23	2.2	3.5	30.56	0.0	4.46	76.71	10.96	206.94	43.94	71.5	162.14	291.04	438.59	536.45	1437.15
BLK	66.18	1.53	2.2	6.26	20.41	34.02	39.79	19.68	30.34	19.68	120.94	22.1	30.78	127.89	206.94	346.29	420.68	878.17
CAMK1G	8.99	1.62	1.43	0.79	2.56	8.65	0.0	2.71	4.98	3.82	29.48	20.71	15.11	11.21	30.56	17.77	32.59	11.64
CCR4	33.06	0.0	0.28	1.27	6.78	13.93	0.0	8.51	23.76	7.17	76.71	71.0	17.77	43.63	185.11	127.0	234.57	132.44
CCR8	27.05	0.0	0.0	0.0	3.47	0.0	0.0	0.0	0.0	3.03	33.78	23.76	15.45	12.45	56.68	34.02	39.79	42.71
CD19	209.84	0.0	2.48	6.16	2.97	38.67	0.3	6.94	51.71	5.73	269.6	26.1	167.9	115.16	406.31	624.99	928.3	1159.07
CD27	392.44	6.94	5.68	24.11	67.12	242.88	26.28	36.53	65.72	44.57	995.0	271.48	866.07	255.0	1119.56	1551.09	1487.87	1529.73
CD300A	329.84	16.39	45.85	61.25	61.25	106.63	105.15	186.4	166.73	93.35	753.83	283.05	591.22	551.56	775.05	587.13	1477.58	688.78
CD37	988.12	36.01	64.8	97.36	224.97	255.0	88.26	110.43	514.56	199.85	2178.83	1388.16	1167.14	1313.23	2777.33	3443.31	5479.15	8778.97
CD80	65.72	0.91	2.53	1.66	0.0	7.4	10.63	7.34	14.45	13.12	95.34	50.98	50.63	39.22	120.94	75.11	80.01	122.64
CD96	202.66	5.5	3.92	19.68	93.35	79.45	12.93	7.75	379.04	89.51	295.11	318.57	135.24	249.73	599.49	409.15	583.07	334.46
CNR2	8.51	0.0	0.0	0.66	0.28	0.24	4.54	1.25	5.5	0.72	13.32	1.55	1.64	8.51	21.32	40.07	51.35	136.19
CXCR4	1437.15	62.56	99.43	221.86	264.03	819.3	76.71	323.03	1628.26	825.0	3419.52	2319.15	1508.65	2061.24	6164.49	5954.47	13215.02	3794.3
CYTIP	260.38	5.54	13.03	36.79	44.89	181.28	14.24	63.45	429.54	150.17	743.43	529.06	403.5	457.25	1322.37	1447.15	1594.73	1023.0
ETS1	387.02	42.71	159.9	76.17	336.79	176.29	123.5	813.63	476.71	579.04	1277.29	1023.0	759.08	759.08	1397.83	2319.15	2417.67	2976.74
FCRL1	36.53	0.0	0.0	1.14	6.57	8.78	0.0	9.41	13.72	3.32	84.63	18.43	14.24	44.25	181.28	224.97	371.22	1135.2
FMNL1	480.04	26.1	45.53	52.82	63.89	91.41	52.82	236.21	248.0	104.42	1313.23	1397.83	785.88	802.41	1662.49	1529.73	2319.15	2133.97
GMIP	480.04	31.67	57.49	84.63	26.28	53.95	38.67	65.72	66.18	39.22	529.06	591.22	397.93	361.04	532.74	500.46	796.86	995.0
GPR65	84.04	3.03	8.92	8.45	24.11	26.47	21.78	29.7	71.0	24.63	218.79	112.77	98.04	109.66	215.77	170.25	307.69	476.71
GZMB	743.43	17.0	84.04	17.64	95.34	77.79	38.4	51.35	187.71	271.48	723.08	854.13	603.67	616.37	2061.24	669.92	748.61	941.27
ITGAX	473.41	29.27	52.08	43.02	55.49	39.79	18.16	412.0	53.57	105.15	1359.57	947.83	629.35	1111.82	1081.39	961.07	1870.53	1417.35
ITK	64.8	1.39	4.17	5.87	19.82	38.67	8.45	12.74	183.82	35.25	155.5	244.57	81.14	158.79	397.93	395.18	483.38	381.68
JAK3	209.84	3.23	21.63	22.59	10.31	14.03	6.41	108.9	42.41	15.11	679.29	447.82	291.04	426.57	1030.12	954.43	1519.15	981.29
LCP1	1674.06	48.18	130.6	137.14	237.86	387.02	366.09	529.06	353.59	312.0	3928.15	3018.3	1832.01	3081.75	3081.75	3372.43	5112.16	8134.41
LILRA4	47.84	0.02	0.37	1.39	0.0	0.0	0.0	0.0	0.0	6.78	94.01	19.97	6.21	19.97	115.97	102.97	127.0	409.15
LILRA6	62.12	8.25	16.27	4.82	13.32	4.9	8.06	101.54	20.11	31.9	412.0	161.02	185.11	214.27	334.46	115.97	271.48	283.05
LTB	733.19	8.45	66.18	72.01	314.17	157.68	143.01	426.57	563.18	56.68	1883.54	409.15	466.88	638.15	2240.11	2816.11	4802.93	5831.91
LY9	125.24	1.17	7.22	5.63	18.16	52.45	16.03	3.23	231.32	61.68	246.28	120.94	123.5	98.73	305.55	403.5	379.04	629.35
MATK	32.13	20.26	23.08	24.46	65.72	24.28	40.36	32.59	45.85	37.85	118.43	111.21	78.89	74.58	154.42	113.56	155.5	187.71
MS4A1	503.95	0.0	0.99	17.0	68.55	29.91	6.31	9.34	182.55	18.56	1001.93	74.06	92.05	529.06	1745.2	2417.67	2835.7	6652.97
MS4A7	483.38	6.89	63.45	164.42	91.41	131.51	69.52	164.42	305.55	379.04	830.75	753.83	329.84	379.04	490.14	607.87	791.35	2537.92
MYO1G	186.4	4.82	17.0	31.67	52.82	33.3	26.28	87.65	104.42	47.5	490.14	255.0	241.19	287.01	587.13	571.05	860.08	1151.06
MYO9B	1286.18	438.59	540.19	703.28	414.87	329.84	228.13	483.38	366.09	547.75	2502.97	1896.65	1277.29	1617.0	2209.26	2032.85	2976.74	2835.7
PARP15	80.57	3.99	5.73	7.34	71.0	11.21	13.32	42.71	30.56	88.26	193.01	106.63	46.84	167.9	466.88	307.69	429.54	988.12
PRDM8	25.54	0.66	7.34	2.03	6.31	12.09	5.63	36.53	11.91	4.62	50.98	43.32	31.67	20.86	77.25	47.5	58.3	90.77
PTCRA	7.57	1.17	0.0	0.0	0.0	9.78	0.0	0.0	8.45	6.57	23.76	9.56	16.27	1.53	40.93	19.11	30.78	162.14
PTPN22	73.03	1.83	5.15	3.69	19.39	16.63	3.38	10.08	78.34	13.93	234.57	154.42	91.41	131.51	260.38	161.02	218.79	346.29
SAMSN1	307.69	4.43	13.42	19.97	13.93	23.08	9.7	128.79	157.68	59.55	693.58	620.67	332.14	363.56	775.05	808.0	1044.52	866.07
SLA2	67.59	1.97	6.21	5.77	16.39	31.22	9.06	10.96	50.27	24.28	115.97	128.79	65.26	69.52	138.1	144.01	155.5	181.28
SNAI3	31.22	7.17	4.13	5.32	3.44	15.0	31.45	16.39	19.68	18.43	64.8	46.84	45.53	31.67	81.71	85.82	100.83	153.34
SPATC1	10.39	2.94	0.78	1.06	2.68	1.69	1.77	3.14	0.04	4.5	14.35	10.16	4.5	13.12	33.78	13.83	55.49	32.13
SRGN	2956.17	133.36	248.0	332.14	420.68	547.75	182.55	1437.15	1651.0	1250.98	6887.62	5555.65	3614.55	4298.64	6426.31	7911.95	13399.51	9088.59
ST8SIA1	77.79	0.0	10.08	8.51	6.36	2.56	0.28	4.5	7.17	8.51	128.79	139.07	76.71	52.82	167.9	224.97	232.94	209.84
STK17B	267.73	2.46	11.3	17.64	25.91	33.78	7.0	43.94	229.72	41.52	460.44	438.59	297.17	420.68	830.75	753.83	825.0	1427.22
TNFRSF13B	89.51	0.0	0.0	2.89	6.46	34.75	6.21	14.56	30.56	11.55	183.82	17.38	67.59	43.32	236.21	346.29	320.8	493.56
TNFRSF1B	536.45	129.69	237.86	126.12	185.11	251.48	518.15	529.06	890.44	275.28	1119.56	836.53	547.75	708.18	1096.5	1250.98	2485.67	1359.57
TNFSF4	31.9	11.55	16.51	34.26	26.67	19.68	11.47	17.9	35.76	24.11	96.68	54.72	47.5	52.45	113.56	54.33	103.69	44.89
ZEB2	237.86	12.45	26.28	36.01	197.09	55.1	91.41	295.11	285.03	299.25	780.44	314.17	420.68	397.93	571.05	483.38	860.08	954.43
