	TCGA.AR.A2LE.01A.11R.A180.07	GTEX.YFC4.1426.SM.5IFJG	TCGA.CV.7421.01A.11R.2081.07	TCGA.CQ.7072.01A.21R.A30B.07	GTEX.RN64.1626.SM.48FD7	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A11C.01A.11R.A131.07	TCGA.DD.A73C.01A.12R.A33J.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A3.11A.11R.A22L.07	TCGA.FV.A3R2.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.BC.A10Z.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.RM2N.1926.SM.48FCU	GTEX.ZTPG.1426.SM.51MT3	GTEX.Z9EW.0426.SM.5CVM9	GTEX.X4EP.1026.SM.4QAS5	GTEX.144GM.1326.SM.5LU5E	GTEX.ZF29.2026.SM.4WWB7	GTEX.14E1K.0326.SM.5S2PE	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RWSA.1426.SM.47JXA	GTEX.REY6.1226.SM.48FDR	TCGA.55.8614.01A.11R.2403.07	TCGA.50.6591.01A.11R.1755.07	TCGA.33.4589.01A.01R.1443.07	TCGA.56.7580.01A.11R.2045.07	TCGA.94.A5I4.01A.11R.A26W.07	TCGA.77.8145.01A.11R.2247.07	TCGA.85.8071.01A.11R.2247.07	TCGA.21.5782.01A.01R.1635.07	TCGA.60.2695.01A.01R.0851.07	TCGA.68.A59I.01A.11R.A262.07	TCGA.43.6770.01A.11R.1820.07	TCGA.NK.A5CX.01A.11R.A26W.07	TCGA.NC.A5HT.01A.11R.A26W.07	TCGA.33.4587.01A.11R.2125.07	TCGA.58.8388.01A.11R.2326.07	TCGA.34.5929.01A.11R.1820.07	TCGA.43.7657.01A.31R.2125.07	TCGA.85.6798.01A.11R.1949.07	TCGA.56.8628.01A.11R.2403.07	TCGA.43.7656.01A.11R.2125.07	TCGA.66.2789.01A.01R.0980.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.AJ.A23N.01A.11R.A22K.07	TCGA.N6.A4V9.01A.11R.A28V.07	TCGA.N6.A4VG.01A.31R.A28V.07	GTEX.PWN1.2026.SM.48TD9
AC024580.1	77.25	66.18	0.0	24.99	21.16	3.69	9.48	16.88	30.34	0.0	3.66	0.0	3.59	13.72	8.06	0.28	0.75	7.06	5.32	9.93	4.5	2.51	3.96	6.01	9.7	1.28	3.63	55.1	19.82	0.0	5.82	13.42	9.78	34.02	13.12	22.1	111.99	19.53	18.03	30.34	23.42	96.01	2.48	4.9	2.97	41.81	13.72	21.78	40.36	24.46	17.51	21.01	47.84	2.76
ACTR5	130.6	182.55	147.06	260.38	165.57	30.12	173.85	211.31	100.13	86.43	100.13	110.43	92.05	93.35	57.49	72.01	88.88	28.04	105.89	47.84	71.5	29.27	76.71	136.19	122.64	59.55	52.45	289.02	441.64	187.71	108.9	256.78	193.01	100.13	114.36	224.97	197.09	129.69	208.38	187.71	305.55	206.94	241.19	98.73	103.69	169.07	287.01	102.25	642.59	406.31	181.28	199.85	301.33	106.63
ADNP	1286.18	1407.55	642.59	1081.39	1044.52	273.37	514.56	457.25	234.57	221.86	199.85	163.28	271.48	209.84	327.56	135.24	181.28	157.68	241.19	185.11	173.85	132.44	232.94	265.87	287.01	127.89	137.14	802.41	1844.76	314.17	656.11	665.29	988.12	579.04	775.05	1175.27	748.61	884.29	854.13	909.17	1651.0	1322.37	1081.39	629.35	525.39	890.44	1674.06	764.36	1819.35	896.64	1259.69	1104.13	1745.2	1295.13
AGAP4	132.44	406.31	35.25	19.25	155.5	43.02	67.12	96.68	20.26	34.75	44.89	12.0	59.97	6.46	42.41	5.63	15.11	14.67	56.68	20.86	44.57	14.24	4.94	23.93	48.18	50.27	10.0	143.01	5.11	4.78	21.78	37.85	102.97	13.52	80.57	101.54	237.86	26.28	182.55	114.36	191.67	373.81	62.56	59.55	30.12	26.86	223.41	89.51	212.78	86.43	110.43	17.51	73.03	133.36
AK9	154.42	239.52	67.12	26.47	316.37	25.72	77.25	66.65	36.27	32.36	35.76	15.56	48.52	23.08	18.56	21.78	23.59	33.06	36.53	62.56	29.91	19.25	18.84	38.12	50.27	7.11	15.45	57.08	93.35	32.59	43.02	54.72	50.63	19.11	55.49	137.14	62.56	29.48	72.01	65.26	409.15	111.99	75.64	67.12	14.35	64.34	158.79	74.58	361.04	88.26	84.63	71.5	125.24	90.77
ARSG	521.76	1583.71	82.29	75.11	209.84	12.55	16.15	45.21	66.65	32.13	42.11	62.12	29.91	43.32	11.21	37.05	43.94	41.81	82.87	37.32	9.78	50.98	19.97	22.26	14.14	30.34	35.5	128.79	173.85	7.82	78.34	46.5	58.3	89.51	82.87	158.79	115.97	110.43	52.08	251.48	74.58	129.69	155.5	120.1	94.01	68.07	139.07	119.26	106.63	91.41	42.71	98.04	183.82	157.68
ASH1L	785.88	748.61	163.28	189.02	660.68	60.82	187.71	197.09	85.82	53.19	58.71	24.11	73.03	76.17	45.85	23.93	33.78	86.43	77.79	102.25	57.89	95.34	101.54	119.26	150.17	58.71	47.17	246.28	351.14	16.03	260.38	224.97	371.22	363.56	157.68	420.68	295.11	237.86	228.13	214.27	423.61	684.02	165.57	186.4	121.79	251.48	318.57	169.07	514.56	381.68	289.02	228.13	273.37	214.27
ATAT1	228.13	629.35	157.68	163.28	583.07	71.0	189.02	63.89	117.6	95.34	100.13	43.32	135.24	45.53	73.03	19.82	20.11	27.05	105.15	37.59	29.06	60.39	27.84	68.07	97.36	39.22	59.13	543.96	921.88	57.49	384.34	176.29	256.78	387.02	165.57	444.72	255.0	279.14	406.31	981.29	669.92	688.78	559.28	146.03	234.57	387.02	547.75	198.47	1030.12	277.2	376.41	466.88	842.36	113.56
BCL7A	217.27	295.11	212.78	323.03	497.0	158.79	67.12	134.3	95.34	40.07	71.0	91.41	54.72	76.17	53.57	32.36	75.11	45.21	85.82	108.9	305.55	85.82	119.26	79.45	77.79	42.71	59.13	255.0	283.05	45.21	309.83	176.29	204.07	358.54	387.02	612.11	220.32	312.0	201.25	438.59	429.54	620.67	583.07	229.72	497.0	329.84	454.09	316.37	236.21	511.0	253.23	305.55	638.15	75.11
BCL9	529.06	389.72	158.79	183.82	297.17	96.68	102.25	204.07	80.01	30.12	50.63	65.72	43.94	57.49	18.7	52.82	53.57	66.65	41.22	138.1	76.71	31.67	137.14	68.07	74.58	7.11	53.95	271.48	674.59	15.45	320.8	156.59	476.71	220.32	176.29	423.61	228.13	242.88	139.07	191.67	303.44	620.67	336.79	170.25	130.6	438.59	283.05	194.36	651.58	432.53	629.35	567.1	775.05	559.28
