	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A3A8.11A.11R.A22L.07
ABHD5	620.67	595.34	698.41	265.87	497.0	151.22	356.05	409.15	457.25	591.22	486.75	346.29	395.18	708.18	444.72	703.28	567.1	665.29	281.09	884.29	283.05	450.94	305.55	414.87	444.72	954.43	429.54	511.0	353.59	543.96	299.25	629.35	211.31	139.07	229.72	139.07	244.57	229.72	255.0	318.57	187.71	155.5	291.04	231.32	148.09	193.01
ACAP2	470.14	332.14	679.29	205.5	281.09	156.59	186.4	473.41	172.65	267.73	220.32	231.32	120.94	251.48	336.79	307.69	486.75	223.41	181.28	595.34	316.37	145.02	303.44	314.17	281.09	332.14	167.9	275.28	204.07	376.41	206.94	162.14	127.89	62.12	49.91	86.43	88.26	81.14	63.89	52.08	55.49	78.34	84.63	137.14	74.06	48.87
ANKIB1	633.73	559.28	674.59	314.17	928.3	325.29	262.2	595.34	249.73	351.14	323.03	543.96	327.56	473.41	417.77	438.59	1104.13	309.83	336.79	785.88	339.14	248.0	327.56	547.75	518.15	486.75	287.01	595.34	327.56	775.05	323.03	237.86	143.01	80.57	89.51	57.08	70.01	127.0	57.49	72.52	65.72	82.29	72.52	117.6	110.43	57.89
ANKRD13C	193.01	246.28	191.67	126.12	275.28	208.38	152.28	228.13	185.11	152.28	189.02	201.25	121.79	249.73	211.31	323.03	387.02	223.41	153.34	193.01	325.29	151.22	320.8	194.36	166.73	244.57	177.53	181.28	281.09	400.71	158.79	113.56	87.03	60.82	53.95	67.12	60.39	76.71	61.68	54.33	125.24	72.52	73.03	118.43	92.05	48.18
ATF7IP	480.04	529.06	651.58	148.09	595.34	205.5	305.55	708.18	191.67	775.05	180.02	493.56	145.02	301.33	616.37	320.8	1015.93	432.53	358.54	836.53	206.94	231.32	277.2	381.68	392.44	361.04	273.37	387.02	185.11	785.88	409.15	154.42	69.52	85.22	128.79	85.82	88.88	63.0	68.07	81.71	79.45	76.71	93.35	109.66	127.89	98.04
BCLAF1	1199.98	2351.53	1519.15	1143.1	2047.0	497.0	1225.22	2119.22	1457.23	1662.49	1059.11	1143.1	647.07	1242.34	1594.73	1651.0	2777.33	2271.4	1295.13	4152.18	947.83	909.17	1151.06	1378.57	1447.15	1088.92	941.27	1407.55	708.18	2287.2	1059.11	764.36	414.87	246.28	241.19	301.33	412.0	392.44	194.36	234.57	218.79	205.5	309.83	373.81	329.84	140.04
BRI3BP	366.09	189.02	253.23	202.66	269.6	241.19	314.17	314.17	253.23	400.71	78.89	289.02	115.97	316.37	289.02	329.84	503.95	195.72	224.97	400.71	258.57	208.38	258.57	595.34	242.88	327.56	223.41	265.87	454.09	348.71	205.5	127.89	120.94	112.77	69.03	67.12	72.52	95.34	89.51	85.22	47.84	83.45	97.36	89.51	60.39	71.0
C12orf4	224.97	209.84	202.66	223.41	169.07	164.42	124.37	329.84	177.53	231.32	134.3	169.07	105.15	205.5	307.69	231.32	395.18	141.02	183.82	334.46	253.23	115.97	134.3	224.97	271.48	161.02	137.14	120.1	90.77	212.78	115.16	115.97	140.04	86.43	69.52	81.14	72.52	108.9	51.35	65.26	48.52	46.5	91.41	107.38	75.11	18.29
C3orf17	679.29	514.56	698.41	493.56	493.56	629.35	497.0	728.11	559.28	575.03	688.78	353.59	395.18	503.95	563.18	559.28	1674.06	698.41	447.82	470.14	780.44	480.04	624.99	679.29	595.34	878.17	371.22	555.41	473.41	603.67	713.11	507.46	287.01	185.11	198.47	195.72	214.27	177.53	153.34	220.32	256.78	275.28	305.55	248.0	234.57	133.36
CCNJ	74.06	89.51	103.69	67.59	96.68	84.04	78.89	85.22	54.33	71.5	47.17	83.45	51.35	53.19	96.01	82.87	423.61	108.14	74.06	154.42	115.16	53.19	85.22	127.89	94.01	118.43	62.56	107.38	70.01	117.6	108.9	80.01	24.63	25.54	12.55	17.51	9.27	22.43	21.63	14.14	9.27	9.56	8.71	18.7	30.12	8.0
