	GTEX.132AR.0826.SM.5EGK6	TCGA.B2.4098.01A.02R.1325.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.38.4625.01A.01R.1206.07	TCGA.EJ.7785.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7328.11A.01R.2118.07	GTEX.QV44.1526.SM.4R1KI	GTEX.13N2G.1826.SM.5KM1I	GTEX.13G51.2326.SM.5LZXV	GTEX.XGQ4.1826.SM.4AT6F	GTEX.11ZUS.2126.SM.5N9E6	GTEX.11OF3.1726.SM.5GU5Q	GTEX.13CF2.2426.SM.5LZYL	TCGA.RD.A7BW.01A.11R.A32D.31
ADORA2B	34.26	18.03	8.51	3.99	12.18	19.97	4.98	1.58	20.11	28.86	17.51	3.99	13.83	11.73	15.8	3.44	9.63	11.64	0.0	63.0	68.55	81.71	51.71	82.87	70.01	29.91	40.64	57.08	224.97	59.55
AMPD2	346.29	381.68	221.86	429.54	409.15	237.86	206.94	351.14	400.71	543.96	599.49	242.88	406.31	341.51	507.46	403.5	521.76	674.59	0.0	854.13	1037.29	1111.82	1135.2	981.29	1561.89	1096.5	698.41	1073.91	234.57	583.07
APH1B	271.48	279.14	127.0	218.79	256.78	143.01	356.05	169.07	307.69	316.37	368.65	118.43	283.05	327.56	187.71	201.25	90.77	218.79	0.0	480.04	343.89	332.14	409.15	486.75	529.06	339.14	358.54	457.25	61.68	438.59
BET1L	529.06	921.88	753.83	825.0	1225.22	728.11	830.75	1208.34	796.86	723.08	1340.84	848.22	981.29	620.67	1277.29	684.02	703.28	967.76	0.0	1183.45	1259.69	1175.27	1277.29	1437.15	1617.0	1397.83	1388.16	1388.16	432.53	1030.12
C11orf70	92.7	195.72	15.0	0.53	187.71	32.13	21.01	15.22	120.94	77.25	229.72	1.87	38.95	70.01	47.17	6.52	25.91	77.79	0.0	167.9	141.02	127.89	239.52	116.78	215.77	279.14	231.32	127.89	56.28	70.01
C12orf68	11.73	20.26	1.66	9.48	5.92	16.88	2.34	3.53	29.48	4.66	11.82	1.11	17.77	4.21	27.64	1.17	1.51	0.97	0.0	15.56	66.18	33.78	46.18	26.28	24.81	46.84	57.08	20.56	47.84	35.5
CAMK4	7.28	9.85	9.27	7.46	12.55	3.17	5.32	2.2	7.17	3.76	22.75	0.0	5.06	7.17	14.35	2.66	3.32	3.76	0.0	194.36	204.07	444.72	134.3	208.38	117.6	81.71	84.63	92.7	21.63	65.26
CCDC36	107.38	10.39	0.84	1.03	1.22	0.34	1.19	6.11	0.93	0.0	1.46	0.0	1.13	1.55	2.2	0.0	0.0	1.3	0.0	15.8	11.04	12.83	11.3	11.13	11.73	2.51	10.39	10.31	7.34	20.41
CHRDL2	46.84	9.48	7.34	1.03	0.82	0.34	0.0	0.0	8.99	1.3	38.4	0.75	0.75	70.01	27.64	0.4	12.27	3.82	0.0	234.57	547.75	836.53	157.68	57.08	267.73	145.02	153.34	253.23	575.03	16157.44
CIB4	7.28	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.45	0.0	0.0	0.0	0.0	9.85	11.04	13.12	28.86	6.06	50.27	13.52	25.91	23.76	0.0	2.86
CLMP	1388.16	15.0	3.26	17.9	29.7	2.89	0.39	0.65	6.73	175.07	92.7	2.56	59.13	9.85	162.14	38.67	10.71	14.45	0.0	138.1	202.66	156.59	163.28	269.6	269.6	287.01	103.69	154.42	76.71	629.35
CRYAB	1503610.06	383800.28	447025.24	318292.9	408505.64	197294.7	456418.21	546551.29	305326.92	513497.31	327241.36	284880.02	338781.54	218912.29	422911.59	299043.36	589853.66	269512.87	0.0	7695.57	8538.88	14163.58	5366.37	3190.46	4268.94	10225.32	5329.3	3124.78	716197.51	11189.6
CXCL13	0.0	185.11	9.93	38.67	256.78	5.87	7.06	1.33	5.06	0.89	92.05	0.0	1.89	19.25	5.54	0.41	0.0	1.64	348.71	1709.26	759.08	1388.16	748.61	6207.38	3690.52	11909.94	201.25	941.27	0.0	72.01
CXorf67	0.0	1.33	0.0	1.04	4.82	0.35	0.0	0.35	3.23	1.31	5.5	0.0	0.39	1.57	2.23	0.0	1.16	1.95	0.0	2.12	0.0	2.36	2.18	3.47	7.22	2.41	5.59	4.21	1.6	6.41
DCHS1	248.0	24.63	11.21	6.67	19.25	18.56	9.06	8.19	23.76	9.93	53.57	6.41	35.76	12.83	49.56	9.06	3.08	5.54	0.0	156.59	267.73	420.68	271.48	267.73	503.95	412.0	223.41	293.07	102.97	327.56
DPF2	743.43	813.63	329.84	353.59	872.1	559.28	417.77	733.19	507.46	620.67	698.41	450.94	830.75	571.05	759.08	305.55	665.29	679.29	0.0	1111.82	1151.06	1191.69	1225.22	1167.14	1322.37	1268.46	1295.13	1159.07	460.44	1286.18
EFS	450.94	4.03	6.31	7.17	1.66	0.38	2.41	3.0	15.11	1.77	12.09	1.55	46.84	7.4	66.65	0.43	1.95	1.01	0.0	921.88	813.63	954.43	1572.76	2061.24	4038.61	2664.15	2178.83	2193.99	351.14	205.5
EMB	69.52	180.02	39.22	26.67	68.55	29.7	43.63	20.86	54.33	15.8	305.55	13.62	26.47	59.97	112.77	40.07	89.51	40.93	0.0	579.04	665.29	759.08	591.22	470.14	825.0	921.88	603.67	351.14	59.55	642.59
ENTPD3	8.13	6.78	1.19	0.96	0.0	0.61	0.74	0.29	2.2	3.32	3.17	2.14	1.77	0.0	12.09	0.73	0.0	0.6	0.0	89.51	124.37	81.14	49.21	155.5	397.93	93.35	249.73	253.23	59.97	31.9
ERMAP	169.07	186.4	104.42	99.43	129.69	107.38	165.57	123.5	156.59	164.42	137.14	148.09	186.4	175.07	63.45	223.41	86.43	107.38	0.0	327.56	246.28	190.34	267.73	320.8	312.0	277.2	295.11	305.55	86.43	177.53
FAM212A	142.01	19.68	12.0	23.76	51.71	14.89	29.48	26.67	38.12	15.8	144.01	16.27	22.59	7.34	39.79	14.78	7.57	11.55	0.0	185.11	232.94	100.83	208.38	236.21	486.75	264.03	412.0	320.8	318.57	85.82
FBLIM1	555.41	486.75	642.59	155.5	587.13	1216.75	660.68	303.44	684.02	84.63	909.17	511.0	264.03	551.56	1427.22	201.25	53.19	921.88	0.0	1923.14	2777.33	3614.55	4802.93	2119.22	3491.39	4671.57	2417.67	2032.85	314.17	1427.22
