	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.B0.5691.11A.01R.1541.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5470.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.A4.A4ZT.11A.11R.A26U.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07
C1orf122	698.41	1044.52	934.76	733.19	603.67	287.01	406.31	2133.97	2255.7	1819.35	1331.57	2240.11	1427.22	2090.03	1794.29	961.07	1467.37	909.17	1111.82	1467.37	1233.75	1015.93	928.3	1304.15	1437.15	1119.56	738.29	928.3	1183.45	1073.91	1015.93	1685.71	1096.5	2193.99	2319.15	1857.6	1806.78	1857.6	1617.0	1639.59
C1orf86	387.02	281.09	318.57	325.29	249.73	84.63	166.73	1977.24	2075.59	1745.2	1331.57	2090.03	896.64	1594.73	1487.87	583.07	1617.0	620.67	796.86	753.83	733.19	878.17	444.72	802.41	1015.93	607.87	353.59	988.12	595.34	866.07	738.29	1508.65	444.72	2032.85	2240.11	2240.11	1806.78	1551.09	1909.85	1295.13
CCDC94	271.48	187.71	204.07	246.28	218.79	149.12	159.9	642.59	743.43	607.87	733.19	532.74	616.37	660.68	599.49	406.31	555.41	395.18	426.57	312.0	447.82	563.18	285.03	457.25	521.76	332.14	246.28	665.29	457.25	490.14	476.71	656.11	460.44	718.08	674.59	607.87	591.22	511.0	571.05	587.13
CLTB	785.88	785.88	748.61	1477.58	507.46	412.0	693.58	3018.3	2609.3	2240.11	1991.0	2627.46	1832.01	1721.16	2061.24	1594.73	1651.0	1508.65	1551.09	1151.06	1628.26	1508.65	1008.9	1594.73	2351.53	1030.12	1008.9	1963.57	1794.29	1857.6	1936.53	2319.15	1457.23	2271.4	2451.44	2468.49	1909.85	1977.24	1909.85	2609.3
COMMD4	872.1	1001.93	890.44	796.86	759.08	642.59	1008.9	2178.83	2816.11	2351.53	2133.97	2335.28	2004.85	2047.0	2319.15	1781.89	2287.2	1340.84	1388.16	1498.22	1745.2	1628.26	1388.16	1447.15	1909.85	1277.29	860.08	1923.14	1936.53	1605.83	1757.34	2417.67	1477.58	2303.12	2816.11	2351.53	2178.83	1870.53	2178.83	1923.14
DNAJC30	185.11	214.27	181.28	139.07	182.55	124.37	132.44	291.04	420.68	392.44	320.8	387.02	332.14	291.04	379.04	241.19	316.37	265.87	260.38	289.02	303.44	299.25	229.72	262.2	303.44	275.28	140.04	285.03	246.28	277.2	265.87	384.34	223.41	323.03	403.5	271.48	336.79	334.46	387.02	287.01
DPP7	808.0	854.13	872.1	2018.8	656.11	312.0	848.22	3168.41	4607.24	3901.01	3190.46	3665.02	1857.6	3419.52	4181.07	2061.24	2739.08	2061.24	1991.0	1073.91	1923.14	2468.49	1359.57	2163.77	2777.33	1208.34	1259.69	2591.27	2061.24	2018.8	1844.76	3982.99	1769.57	3443.31	3665.02	4419.52	3665.02	2555.58	3716.2	2434.5
DRG2	500.46	536.45	426.57	547.75	381.68	500.46	525.39	718.08	860.08	679.29	769.69	728.11	713.11	854.13	1437.15	490.14	656.11	575.03	616.37	616.37	651.58	660.68	656.11	638.15	718.08	638.15	414.87	665.29	603.67	698.41	674.59	688.78	595.34	802.41	775.05	733.19	753.83	802.41	769.69	698.41
ECI1	674.59	651.58	563.18	674.59	341.51	351.14	291.04	4038.61	4937.99	4802.93	3716.2	8247.98	4123.49	4419.52	4869.99	2193.99	3665.02	2148.82	3018.3	2835.7	3103.19	2816.11	2351.53	3235.01	3955.48	2739.08	629.35	3768.09	2701.35	2627.46	3190.46	4210.15	2664.15	4704.07	5594.3	4769.75	3874.05	3589.58	4481.23	4010.71
ENKD1	209.84	70.01	96.01	197.09	86.43	141.02	133.36	896.64	802.41	733.19	616.37	967.76	409.15	1359.57	497.0	312.0	785.88	283.05	525.39	316.37	358.54	540.19	224.97	379.04	540.19	305.55	157.68	583.07	387.02	493.56	387.02	728.11	323.03	825.0	743.43	988.12	703.28	525.39	629.35	624.99
