	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.BH.A1FJ.11B.42R.A13Q.07	GTEX.W5X1.2326.SM.3GIL6	GTEX.VJWN.0726.SM.3GIJ8	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8430.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	TCGA.KN.8422.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.11GS4.2326.SM.5A5KS	GTEX.13OVL.1826.SM.5KLZR	TCGA.B0.5691.11A.01R.1541.07	TCGA.CZ.5452.11A.01R.1503.07	TCGA.CW.6087.11A.01R.1672.07	TCGA.CZ.5462.11A.01R.1503.07	TCGA.CW.5580.11A.02R.1672.07	TCGA.CW.6090.11A.01R.1672.07	TCGA.CZ.5463.11A.01R.1503.07	TCGA.CZ.5467.11A.01R.1503.07	TCGA.CZ.5986.11A.01R.1672.07	TCGA.B8.5552.11A.01R.1672.07	TCGA.B0.5706.11A.01R.1541.07	TCGA.CZ.5470.11A.01R.1503.07	TCGA.CZ.5454.11A.01R.1503.07	TCGA.CZ.5458.11A.01R.1503.07	TCGA.CJ.6033.11A.01R.1858.07	TCGA.CZ.5461.11A.01R.1503.07	TCGA.A4.A4ZT.11A.11R.A26U.07	TCGA.BQ.7044.11A.01R.1965.07	TCGA.GL.A59R.11A.11R.A26U.07	TCGA.BQ.7055.11A.01R.1965.07	TCGA.BQ.5891.11A.01R.1592.07	TCGA.DZ.6131.11A.01R.1965.07	TCGA.BQ.5887.11A.01R.1965.07
MRPL28	753.83	684.02	591.22	825.0	473.41	547.75	764.36	2468.49	2816.11	2976.74	2417.67	2816.11	2271.4	1963.57	2485.67	1487.87	2061.24	1447.15	1697.45	1685.71	2032.85	1991.0	1233.75	1844.76	1923.14	1572.76	878.17	2090.03	1950.0	1909.85	1733.13	2816.11	1605.83	2537.92	3018.3	2875.3	2520.38	1977.24	2720.15	2163.77
MRPL4	511.0	441.64	503.95	521.76	417.77	258.57	395.18	1769.57	1870.53	1832.01	1487.87	1709.26	1628.26	1378.57	1628.26	947.83	1104.13	764.36	1151.06	1066.48	1001.93	1143.1	813.63	1151.06	1295.13	902.89	444.72	1191.69	934.76	1066.48	1059.11	1477.58	909.17	1733.13	1909.85	1870.53	1572.76	1477.58	1721.16	1467.37
MRPS12	325.29	244.57	273.37	275.28	269.6	189.02	301.33	1487.87	1745.2	1417.35	1697.45	2193.99	1457.23	1388.16	1427.22	995.0	1167.14	693.58	1135.2	1313.23	1268.46	1044.52	728.11	1081.39	1233.75	988.12	400.71	1191.69	1066.48	928.3	988.12	1605.83	928.3	1709.26	1923.14	1617.0	1467.37	1286.18	1467.37	1242.34
MZT2A	660.68	318.57	264.03	723.08	353.59	426.57	267.73	1883.54	2075.59	1651.0	1697.45	4298.64	909.17	1936.53	1950.0	1208.34	2573.36	718.08	1199.98	941.27	1467.37	1397.83	497.0	1023.0	1369.04	728.11	463.65	1417.35	1167.14	1151.06	1111.82	1963.57	954.43	2119.22	1757.34	1051.79	896.64	1651.0	1844.76	1709.26
MZT2B	1066.48	738.29	791.35	1340.84	518.15	579.04	579.04	4575.41	5219.6	5112.16	4038.61	5366.37	2384.37	3235.01	3395.89	1662.49	4575.41	1769.57	2664.15	1794.29	2384.37	2255.7	1242.34	2451.44	3280.18	1572.76	1268.46	3124.78	2664.15	2468.49	2664.15	5292.48	2133.97	4481.23	5366.37	4450.27	4450.27	4239.45	4836.35	4010.71
NAA10	1030.12	1159.07	1119.56	1208.34	954.43	928.3	688.78	1963.57	2090.03	1594.73	1628.26	1709.26	1909.85	1662.49	1519.15	1447.15	1259.69	1242.34	1183.45	1350.18	1369.04	1378.57	1135.2	947.83	1685.71	1242.34	1030.12	1819.35	1551.09	1378.57	1388.16	1950.0	1242.34	1769.57	2163.77	1857.6	1709.26	1477.58	1685.71	1594.73
NCAPH2	500.46	358.54	412.0	429.54	299.25	432.53	309.83	780.44	848.22	679.29	769.69	769.69	532.74	1059.11	647.07	536.45	791.35	400.71	540.19	406.31	514.56	559.28	318.57	555.41	490.14	493.56	303.44	698.41	555.41	518.15	532.74	638.15	381.68	802.41	748.61	1030.12	753.83	490.14	674.59	713.11
NDUFA7	1059.11	1167.14	1313.23	802.41	1159.07	718.08	1096.5	3235.01	3564.78	3639.7	2816.11	3794.3	2701.35	2061.24	2796.65	2335.28	2777.33	1745.2	2032.85	2609.3	2018.8	2018.8	1605.83	2400.97	2434.5	2417.67	928.3	2956.17	1991.0	2119.22	1963.57	3564.78	1909.85	2573.36	3982.99	3212.66	2758.13	2664.15	2682.69	2645.74
NDUFAF3	1572.76	1896.65	2032.85	1639.59	1059.11	967.76	1051.79	3614.55	3874.05	4239.45	3639.7	5076.84	2645.74	2627.46	3190.46	2502.97	3325.99	2664.15	2591.27	2835.7	2664.15	2816.11	2485.67	2796.65	3124.78	2915.45	1268.46	3955.48	2758.13	2739.08	2758.13	4268.94	2119.22	2935.74	4095.0	3280.18	3212.66	3639.7	3874.05	3515.68
NDUFS7	536.45	656.11	785.88	775.05	287.01	397.93	417.77	3742.05	5329.3	4639.29	3847.29	6250.56	3257.52	3190.46	3820.7	2209.26	3874.05	1651.0	2148.82	2451.44	2075.59	2255.7	1794.29	2240.11	3419.52	2133.97	529.06	3103.19	1883.54	2061.24	2255.7	4095.0	2133.97	4543.8	5219.6	4481.23	3794.3	3901.01	4419.52	4152.18
NDUFS8	1183.45	1417.35	1963.57	1304.15	796.86	638.15	1001.93	5594.3	8134.41	5913.33	4769.75	10585.95	5112.16	5633.22	6561.36	3491.39	5672.41	2816.11	3690.52	5006.93	3716.2	3690.52	2915.45	3419.52	5255.91	3874.05	1340.84	5479.15	3303.0	3540.14	3742.05	6745.86	3491.39	6652.97	7130.55	6840.04	5329.3	4736.79	6652.97	5255.91
NDUFV1	1457.23	1119.56	1350.18	1721.16	728.11	2061.24	1225.22	6121.9	8363.13	7857.29	6207.38	9945.68	5517.27	9151.82	9025.81	4419.52	7589.61	4328.55	4575.41	5112.16	4543.8	5633.22	5219.6	5441.3	5954.47	4512.4	1378.57	5006.93	4298.64	4512.4	4450.27	7433.4	4972.34	8479.89	8363.13	9606.86	6935.54	7130.55	7485.11	6840.04
NOC4L	215.77	127.89	172.65	147.06	208.38	107.38	112.77	575.03	473.41	392.44	403.5	429.54	343.89	543.96	480.04	265.87	397.93	229.72	299.25	246.28	232.94	387.02	208.38	221.86	356.05	242.88	181.28	363.56	231.32	323.03	224.97	435.55	226.54	500.46	514.56	723.08	376.41	358.54	503.95	511.0
NOL12	194.36	148.09	123.5	180.02	145.02	139.07	182.55	417.77	476.71	351.14	432.53	457.25	381.68	435.55	241.19	289.02	353.59	218.79	244.57	212.78	262.2	289.02	178.77	303.44	366.09	195.72	226.54	420.68	273.37	271.48	303.44	412.0	244.57	414.87	470.14	450.94	329.84	285.03	320.8	341.51
NOSIP	638.15	748.61	665.29	785.88	460.44	358.54	343.89	1781.89	1781.89	1540.37	1709.26	2319.15	1233.75	1757.34	1427.22	1015.93	1407.55	1023.0	1295.13	995.0	1199.98	1322.37	775.05	1051.79	1183.45	1001.93	688.78	1508.65	1519.15	1127.35	1268.46	1697.45	854.13	1806.78	2090.03	1781.89	1617.0	1225.22	1540.37	1427.22
NUBP2	406.31	348.71	309.83	470.14	202.66	248.0	208.38	1066.48	1447.15	1225.22	1268.46	2133.97	967.76	1950.0	1322.37	660.68	1397.83	603.67	961.07	583.07	896.64	854.13	480.04	780.44	921.88	551.56	368.65	954.43	981.29	780.44	954.43	1295.13	575.03	1733.13	1437.15	1651.0	1286.18	1151.06	1397.83	1127.35
NUDT22	400.71	361.04	332.14	353.59	185.11	204.07	318.57	1467.37	2224.63	1651.0	1508.65	2400.97	1844.76	1447.15	1819.35	642.59	1104.13	808.0	961.07	1378.57	1208.34	1030.12	1008.9	995.0	1313.23	974.5	470.14	896.64	995.0	961.07	890.44	1651.0	947.83	1936.53	2047.0	2119.22	1437.15	1487.87	1639.59	1457.23
OXLD1	246.28	224.97	165.57	223.41	137.14	52.82	127.89	848.22	1167.14	896.64	848.22	1096.5	518.15	848.22	830.75	339.14	703.28	438.59	503.95	363.56	476.71	470.14	332.14	599.49	547.75	339.14	229.72	633.73	579.04	616.37	518.15	981.29	423.61	848.22	1051.79	860.08	860.08	796.86	775.05	651.58
PEX10	287.01	287.01	232.94	309.83	171.45	123.5	162.14	571.05	718.08	595.34	599.49	679.29	551.56	693.58	728.11	486.75	718.08	341.51	500.46	343.89	518.15	497.0	368.65	559.28	551.56	379.04	237.86	540.19	555.41	493.56	547.75	665.29	426.57	775.05	603.67	698.41	674.59	587.13	638.15	612.11
PEX16	285.03	262.2	202.66	323.03	157.68	211.31	246.28	830.75	921.88	854.13	743.43	780.44	728.11	791.35	785.88	518.15	612.11	503.95	460.44	406.31	555.41	591.22	409.15	579.04	551.56	447.82	260.38	698.41	497.0	579.04	529.06	830.75	444.72	848.22	1037.29	941.27	703.28	733.19	759.08	647.07
PHPT1	1088.92	995.0	1088.92	941.27	698.41	559.28	718.08	3303.0	4512.4	4181.07	2875.3	5366.37	2384.37	3768.09	2758.13	2417.67	4123.49	1519.15	1721.16	2701.35	2032.85	2224.63	1628.26	2468.49	2193.99	2335.28	660.68	2777.33	2255.7	1794.29	1883.54	4543.8	2075.59	3768.09	4066.71	4038.61	3325.99	3257.52	3742.05	3039.3
RAB11B	1242.34	1175.27	1233.75	1508.65	1030.12	587.13	1030.12	4328.55	3589.58	3235.01	3349.13	3589.58	3614.55	3146.52	8305.36	2915.45	2485.67	1991.0	2682.69	2148.82	2271.4	2796.65	1572.76	2271.4	2976.74	1963.57	1191.69	2777.33	2148.82	2739.08	2739.08	3257.52	1923.14	4210.15	3372.43	4268.94	3491.39	2777.33	3690.52	3491.39
RABAC1	1295.13	1896.65	1857.6	1909.85	1286.18	947.83	1159.07	4836.35	5479.15	3901.01	4066.71	6250.56	4450.27	4481.23	3982.99	2701.35	3716.2	2451.44	3060.45	3146.52	3325.99	2777.33	2032.85	2816.11	4543.8	2627.46	1295.13	3280.18	3928.15	3257.52	3614.55	4543.8	2520.38	4937.99	5517.27	4736.79	3847.29	4038.61	4181.07	4358.66
RBM42	567.1	529.06	579.04	728.11	358.54	218.79	269.6	2148.82	2075.59	1674.06	1583.71	1950.0	1457.23	1457.23	1304.15	1059.11	1216.75	872.1	1286.18	808.0	988.12	1268.46	642.59	1175.27	1427.22	860.08	579.04	1407.55	1104.13	1277.29	1250.98	1617.0	915.51	2133.97	1709.26	1857.6	1498.22	1407.55	1651.0	1697.45
RFXANK	890.44	708.18	698.41	909.17	521.76	1037.29	743.43	1963.57	2367.9	1832.01	1806.78	2796.65	1397.83	2287.2	1437.15	1167.14	1794.29	1044.52	1397.83	1498.22	1467.37	1697.45	928.3	1359.57	1529.73	1175.27	1081.39	1909.85	1378.57	1369.04	1277.29	2104.58	1135.2	1977.24	2417.67	2520.38	1639.59	1295.13	1883.54	1651.0
RPP21	698.41	612.11	612.11	571.05	571.05	669.92	514.56	1151.06	1127.35	1143.1	1233.75	1709.26	830.75	1175.27	954.43	703.28	1167.14	543.96	764.36	764.36	703.28	819.3	559.28	595.34	723.08	748.61	441.64	1073.91	836.53	698.41	660.68	1417.35	493.56	1143.1	1378.57	1313.23	1023.0	830.75	1059.11	1001.93
SCAND1	267.73	186.4	287.01	265.87	170.25	29.48	81.71	2895.31	2855.44	2537.92	1733.13	2367.9	1322.37	1651.0	1388.16	698.41	1883.54	583.07	1233.75	836.53	981.29	1199.98	567.1	1073.91	1909.85	896.64	316.37	1081.39	1167.14	1159.07	1183.45	2502.97	830.75	2609.3	2573.36	1896.65	2303.12	2367.9	2104.58	2047.0
SGTA	660.68	624.99	559.28	603.67	665.29	642.59	480.04	1605.83	1519.15	1487.87	1508.65	1662.49	1277.29	1781.89	1127.35	981.29	1159.07	890.44	1111.82	1088.92	1066.48	1191.69	842.36	1088.92	1208.34	981.29	575.03	1250.98	1096.5	1001.93	1030.12	1457.23	934.76	1674.06	1437.15	1709.26	1498.22	1369.04	1447.15	1529.73
SHARPIN	612.11	684.02	660.68	693.58	438.59	277.2	291.04	1225.22	1477.58	1304.15	1304.15	1709.26	1044.52	1709.26	1135.2	703.28	1359.57	808.0	967.76	954.43	848.22	1023.0	974.5	909.17	961.07	915.51	567.1	1151.06	974.5	866.07	860.08	1350.18	733.19	1540.37	1437.15	1757.34	1407.55	1225.22	1529.73	1233.75
SHKBP1	703.28	480.04	559.28	414.87	688.78	432.53	353.59	961.07	1674.06	698.41	872.1	748.61	785.88	866.07	1119.56	921.88	878.17	647.07	638.15	813.63	866.07	684.02	579.04	688.78	1008.9	633.73	738.29	688.78	612.11	878.17	759.08	934.76	669.92	1096.5	928.3	1167.14	866.07	785.88	825.0	1001.93
SIRT6	140.04	64.34	94.01	140.04	88.26	83.45	70.51	629.35	514.56	397.93	423.61	325.29	356.05	376.41	486.75	341.51	336.79	217.27	279.14	229.72	249.73	318.57	161.02	334.46	307.69	202.66	176.29	346.29	223.41	312.0	228.13	497.0	271.48	532.74	483.38	563.18	435.55	329.84	384.34	379.04
SLC25A11	967.76	915.51	1001.93	796.86	713.11	819.3	633.73	2047.0	4123.49	2816.11	3039.3	3716.2	3103.19	2682.69	4736.79	2224.63	2591.27	1794.29	2384.37	3103.19	3146.52	2319.15	2240.11	2119.22	2739.08	2335.28	866.07	2384.37	2335.28	2090.03	2664.15	2645.74	1781.89	3395.89	3146.52	3168.41	2384.37	2627.46	3372.43	2915.45
SLC25A6	1909.85	1508.65	1745.2	2319.15	967.76	2609.3	1096.5	5913.33	6699.25	6607.01	6935.54	12853.63	4836.35	8901.53	4704.07	4937.99	8078.22	3768.09	5219.6	3901.01	5147.73	5403.7	3614.55	5672.41	5913.33	4239.45	1963.57	6607.01	5831.91	5403.7	5329.3	7695.57	4512.4	6337.83	6699.25	7230.1	7589.61	5995.9	7331.05	7280.4
SMCO4	514.56	197.09	312.0	381.68	532.74	175.07	629.35	2193.99	1467.37	1551.09	1286.18	3146.52	915.51	1286.18	1628.26	1295.13	1331.57	802.41	1427.22	1378.57	1662.49	1605.83	669.92	884.29	1540.37	830.75	921.88	1583.71	1001.93	1388.16	1477.58	1697.45	1268.46	1685.71	1529.73	1936.53	1651.0	954.43	1529.73	1369.04
SSNA1	660.68	497.0	493.56	728.11	283.05	395.18	490.14	1697.45	2351.53	1857.6	1950.0	2468.49	1467.37	2004.85	1359.57	1051.79	1605.83	1073.91	1397.83	1073.91	1322.37	1295.13	928.3	1119.56	1268.46	947.83	808.0	1617.0	1498.22	1304.15	1350.18	2209.26	1081.39	1832.01	2271.4	2004.85	1540.37	1674.06	1529.73	1437.15
SSSCA1	571.05	444.72	473.41	571.05	441.64	507.46	669.92	1259.69	1397.83	1277.29	1378.57	1540.37	1259.69	995.0	1001.93	660.68	961.07	647.07	1015.93	688.78	1059.11	1023.0	591.22	988.12	1127.35	813.63	579.04	928.3	1088.92	967.76	1030.12	1159.07	738.29	1242.34	1350.18	1304.15	1143.1	1096.5	1233.75	1242.34
ST20-MTHFS	1.99	0.0	4.06	11.91	4.13	4.35	1.39	52.82	90.14	25.91	57.49	58.71	28.65	64.34	72.01	0.0	30.12	4.74	1.35	7.11	33.3	11.73	19.11	16.88	47.17	13.83	8.78	60.82	57.49	37.05	24.63	42.11	12.27	75.11	59.55	84.04	74.58	47.84	33.78	86.43
STUB1	1437.15	2303.12	1769.57	2209.26	934.76	1233.75	669.92	2855.44	3874.05	3124.78	3146.52	4736.79	2417.67	3982.99	2664.15	1806.78	2739.08	2303.12	2520.38	2682.69	2777.33	2502.97	2255.7	2224.63	2485.67	2537.92	1143.1	2935.74	2855.44	2224.63	2720.15	3955.48	2178.83	3515.68	4123.49	3665.02	3325.99	3168.41	3491.39	2796.65
TBL3	406.31	332.14	329.84	423.61	291.04	166.73	400.71	995.0	1216.75	915.51	1030.12	1183.45	1059.11	759.08	860.08	603.67	941.27	624.99	713.11	583.07	647.07	723.08	540.19	607.87	785.88	612.11	346.29	878.17	684.02	665.29	633.73	909.17	540.19	1066.48	909.17	988.12	954.43	921.88	961.07	1059.11
TIMM13	612.11	353.59	457.25	633.73	251.48	397.93	493.56	2303.12	2739.08	2555.58	2303.12	3060.45	1674.06	2537.92	1697.45	1242.34	1977.24	1216.75	1498.22	1508.65	1508.65	1397.83	1250.98	1250.98	1447.15	1313.23	698.41	1583.71	1369.04	1096.5	1322.37	3039.3	1277.29	2758.13	3419.52	2485.67	2434.5	2609.3	2855.44	2148.82
TIMM17B	575.03	412.0	429.54	412.0	327.56	389.72	571.05	1844.76	2075.59	1769.57	1594.73	2609.3	1477.58	1628.26	1709.26	909.17	1313.23	860.08	1259.69	1191.69	1277.29	1104.13	836.53	1081.39	1417.35	921.88	733.19	1447.15	1304.15	1159.07	1359.57	1529.73	934.76	1733.13	1991.0	1806.78	1417.35	1199.98	1617.0	1529.73
TMEM134	890.44	486.75	500.46	483.38	665.29	329.84	738.29	1832.01	2335.28	1857.6	1685.71	2591.27	1159.07	2178.83	2133.97	981.29	1662.49	872.1	1175.27	1331.57	1407.55	1199.98	890.44	1023.0	1487.87	1088.92	679.29	1407.55	1259.69	1199.98	1259.69	1844.76	884.29	2075.59	2287.2	2178.83	1806.78	1519.15	1674.06	1594.73
TMUB1	353.59	285.03	256.78	339.14	314.17	162.14	215.77	1757.34	1819.35	1437.15	1313.23	2178.83	854.13	1757.34	1135.2	775.05	1111.82	647.07	1167.14	796.86	884.29	1051.79	587.13	738.29	974.5	674.59	540.19	1233.75	825.0	854.13	947.83	1662.49	612.11	1674.06	1685.71	2451.44	1369.04	1208.34	1437.15	1350.18
TRIP6	928.3	547.75	518.15	733.19	559.28	271.48	343.89	2400.97	2271.4	2018.8	2047.0	2573.36	1685.71	1721.16	2520.38	1457.23	1551.09	1259.69	1733.13	915.51	1340.84	1477.58	842.36	1250.98	1721.16	902.89	785.88	1561.89	1427.22	1519.15	1617.0	1721.16	1015.93	2468.49	2178.83	2351.53	1794.29	1745.2	1745.2	2451.44
TXNRD2	231.32	159.9	190.34	234.57	140.04	277.2	223.41	802.41	1208.34	878.17	775.05	819.3	728.11	791.35	728.11	629.35	759.08	559.28	616.37	633.73	603.67	629.35	591.22	728.11	769.69	733.19	180.02	536.45	454.09	656.11	607.87	947.83	563.18	896.64	1167.14	1104.13	1051.79	896.64	974.5	896.64
UBE2M	1051.79	1151.06	1008.9	981.29	934.76	1073.91	1051.79	1769.57	1794.29	1594.73	1617.0	2047.0	1286.18	1457.23	1233.75	1388.16	1051.79	1199.98	1651.0	1561.89	1572.76	1551.09	1015.93	1250.98	1487.87	1225.22	928.3	1709.26	1359.57	1259.69	1583.71	1832.01	1378.57	1561.89	1769.57	2032.85	1551.09	1225.22	1674.06	1685.71
UMOD	2.58	0.0	0.0	3.86	2.48	0.0	4.74	602247.76	66912.05	443937.41	299043.36	3178687.03	1318073.06	789181.81	1070607.81	565825.41	1299926.74	115696.65	292889.12	585779.24	301123.38	434801.29	102836.01	431797.89	345900.08	327241.36	102.25	422911.59	228208.61	636586.81	309589.14	502929.67	267651.2	147462.67	373305.21	282912.21	381149.17	345900.08	641014.63	391864.76
VAC14	476.71	412.0	429.54	476.71	441.64	244.57	186.4	651.58	802.41	679.29	769.69	947.83	808.0	813.63	713.11	525.39	660.68	638.15	624.99	703.28	575.03	669.92	733.19	698.41	660.68	728.11	320.8	759.08	563.18	603.67	595.34	947.83	529.06	813.63	825.0	780.44	780.44	808.0	896.64	830.75
VPS28	2573.36	1977.24	2075.59	2417.67	1674.06	2193.99	2271.4	5076.84	6164.49	5594.3	5255.91	10368.08	4358.66	5672.41	4972.34	3742.05	5292.48	3589.58	4038.61	3716.2	4358.66	4328.55	3639.7	5006.93	4388.98	3820.7	2193.99	5112.16	4543.8	4481.23	4066.71	5292.48	3768.09	5479.15	6652.97	5831.91	4869.99	4736.79	5219.6	4736.79
WDR13	1159.07	1037.29	947.83	1151.06	679.29	521.76	571.05	2367.9	3168.41	2573.36	2451.44	2335.28	1407.55	2351.53	1583.71	947.83	1709.26	1857.6	1467.37	1950.0	1870.53	1923.14	2178.83	1674.06	2303.12	1977.24	679.29	2224.63	1651.0	1745.2	1662.49	2855.44	1487.87	2739.08	3589.58	3039.3	2664.15	2555.58	2335.28	2303.12
YDJC	176.29	41.52	39.5	87.03	180.02	37.85	67.59	599.49	629.35	480.04	387.02	406.31	384.34	559.28	656.11	258.57	236.21	279.14	343.89	363.56	400.71	305.55	275.28	334.46	417.77	258.57	198.47	325.29	295.11	366.09	307.69	483.38	305.55	563.18	441.64	406.31	366.09	521.76	379.04	346.29
ZFPL1	651.58	595.34	587.13	567.1	571.05	438.59	339.14	780.44	1143.1	813.63	967.76	954.43	808.0	1242.34	995.0	638.15	928.3	490.14	693.58	638.15	633.73	780.44	457.25	688.78	743.43	642.59	381.68	791.35	703.28	674.59	764.36	848.22	559.28	1119.56	1088.92	1111.82	890.44	780.44	896.64	896.64
ZFPM1	26.67	8.06	7.11	17.51	14.78	6.16	17.38	91.41	73.03	95.34	44.25	92.7	41.22	149.12	35.0	40.64	98.04	34.26	43.02	35.5	49.56	80.57	18.7	46.5	42.41	31.0	28.65	50.98	20.56	52.08	35.25	104.42	49.91	61.25	55.1	129.69	91.41	36.79	55.1	74.58
ZNF524	204.07	162.14	214.27	232.94	135.24	89.51	130.6	438.59	483.38	457.25	514.56	693.58	271.48	872.1	490.14	258.57	595.34	211.31	307.69	269.6	283.05	323.03	191.67	295.11	299.25	242.88	212.78	392.44	303.44	267.73	249.73	638.15	226.54	591.22	591.22	559.28	483.38	457.25	579.04	379.04
ZNF593	91.41	54.33	53.95	72.01	94.67	29.48	102.25	438.59	540.19	381.68	248.0	353.59	379.04	277.2	198.47	197.09	167.9	156.59	237.86	169.07	154.42	255.0	138.1	162.14	291.04	164.42	98.73	314.17	147.06	181.28	236.21	368.65	185.11	211.31	483.38	463.65	314.17	301.33	320.8	325.29
ZNHIT2	85.82	43.02	54.33	85.22	73.03	16.63	37.32	435.55	406.31	403.5	379.04	450.94	435.55	361.04	334.46	125.24	267.73	165.57	217.27	175.07	220.32	260.38	151.22	211.31	262.2	147.06	62.12	258.57	269.6	199.85	214.27	457.25	181.28	420.68	435.55	327.56	392.44	409.15	339.14	346.29
