	TCGA.BT.A20N.11A.11R.A14Y.07	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.E9.A1RI.11A.41R.A169.07	GTEX.Y5V5.2126.SM.4WWFO	GTEX.S32W.2026.SM.4AD6E	GTEX.Y114.2026.SM.4TT7L	GTEX.132AR.0826.SM.5EGK6	GTEX.ZV6S.1826.SM.5NQ8D	GTEX.YJ8O.2226.SM.5IFHW	GTEX.13CF3.2126.SM.5IFJP	GTEX.146FH.0826.SM.5SI8T	GTEX.145ME.1526.SM.5Q5F2	GTEX.XV7Q.2326.SM.4BRVZ	TCGA.BA.5556.01A.01R.1514.07	TCGA.CQ.7063.01A.11R.2403.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CQ.6222.01A.11R.1915.07	TCGA.CR.7365.01A.11R.2016.07	TCGA.CV.5971.01A.11R.1686.07	TCGA.CQ.5334.01A.01R.1686.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.CZ.5470.01A.01R.1503.07	TCGA.BP.5174.01A.01R.1426.07	TCGA.B8.A54E.01A.11R.A266.07	TCGA.T7.A92I.01A.11R.A37O.07	TCGA.CJ.4888.01A.01R.1305.07	TCGA.CJ.5677.01A.11R.1541.07	TCGA.B2.4098.01A.02R.1325.07	TCGA.6D.AA2E.01A.11R.A37O.07	TCGA.B0.5695.01A.11R.1541.07	TCGA.B4.5835.01A.11R.1672.07	TCGA.CZ.5462.01A.01R.1503.07	TCGA.UZ.A9PZ.01A.11R.A42S.07	TCGA.P4.A5EB.01A.11R.A28H.07	TCGA.HE.A5NF.01A.11R.A26U.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.SX.A7SO.01A.11R.A355.07	TCGA.B9.A5W7.01A.11R.A31O.07	TCGA.BQ.7062.01A.11R.1965.07	TCGA.UZ.A9PV.01A.11R.A42S.07	TCGA.SX.A7SR.01A.12R.A36F.07	TCGA.UZ.A9PU.01A.11R.A42S.07	TCGA.EV.5902.01A.11R.1592.07	TCGA.2Z.A9JR.01A.12R.A42S.07	TCGA.2Z.A9J1.01A.11R.A38C.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.Y8.A897.01A.11R.A36F.07	TCGA.SX.A7SQ.01A.12R.A36F.07	TCGA.SX.A7SN.01A.11R.A355.07	TCGA.AL.3471.01A.02R.1351.07	TCGA.5P.A9K3.01A.11R.A42S.07	TCGA.HE.7129.01A.11R.1965.07	TCGA.KV.A6GD.01A.11R.A31O.07	TCGA.BQ.7045.01A.31R.1965.07	TCGA.B3.A6W5.01A.12R.A33Z.07	TCGA.UZ.A9PJ.01A.11R.A38C.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.7044.01A.11R.1965.07	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.A4.7584.01A.11R.2139.07	TCGA.SX.A71V.01A.11R.A33Z.07	TCGA.B9.7268.01A.11R.A32Z.07	TCGA.BQ.7046.01A.11R.1965.07	TCGA.HE.A5NL.01A.11R.A26U.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.B9.A5W9.01A.11R.A28H.07	TCGA.B9.A69E.01A.11R.A31O.07	TCGA.A4.8516.01A.11R.2404.07	TCGA.B9.4117.01A.02R.1351.07	TCGA.IZ.8195.01A.31R.2404.07	TCGA.AL.3466.01A.02R.1351.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.B1.A655.01A.11R.A31O.07	TCGA.A4.8630.01A.11R.2404.07	TCGA.B3.4103.01A.02R.1351.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.A4.7996.01A.11R.2204.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.2Z.A9J6.01A.11R.A38C.07	TCGA.G7.7502.01A.11R.2204.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AT.A5NU.01A.11R.A28H.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.BQ.7051.01A.12R.1965.07	TCGA.A4.A5DU.01A.11R.A28H.07	TCGA.UZ.A9PO.01A.11R.A38C.07	TCGA.B9.A8YI.01A.21R.A37K.07	TCGA.BQ.7060.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.G7.6790.01A.11R.1965.07	TCGA.5P.A9KF.01A.11R.A42S.07	TCGA.HE.A5NK.01A.11R.A26U.07	TCGA.A4.7583.01A.11R.A32Z.07	TCGA.A4.8515.01A.11R.2404.07	TCGA.B9.A5W8.01A.11R.A28H.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.A4.A772.01A.11R.A33Z.07	TCGA.J7.8537.01A.11R.2404.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.F9.A97G.01A.11R.A38C.07	TCGA.GL.A9DD.01A.11R.A37K.07	TCGA.IA.A40X.01A.11R.A24Z.07	TCGA.A4.7286.01A.11R.A32Z.07	TCGA.A4.A5XZ.01A.11R.A31O.07	TCGA.BQ.7050.01A.11R.1965.07	TCGA.SX.A71U.01A.12R.A33Z.07	TCGA.DW.7836.01A.11R.2139.07	TCGA.SX.A7SP.01A.11R.A355.07	TCGA.IA.A83S.01A.11R.A355.07	TCGA.BQ.5887.01A.11R.1965.07	TCGA.G7.6797.01A.11R.1965.07	TCGA.UZ.A9PK.01A.11R.A38C.07	TCGA.DZ.6134.01A.11R.1965.07	TCGA.B1.A657.01A.11R.A31O.07	TCGA.BQ.5884.01A.11R.1592.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	TCGA.DW.7838.01A.11R.2139.07	TCGA.Y8.A8RZ.01A.11R.A37K.07	TCGA.A4.8517.01A.11R.2404.07	TCGA.GL.A59T.01A.21R.A28H.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.Y8.A895.01A.11R.A36F.07	TCGA.BQ.7048.01A.11R.1965.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.Y8.A8S0.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.63.5128.01A.01R.1443.07	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	GTEX.1399T.0126.SM.5KM15
ABHD11	208.38	320.8	214.27	540.19	363.56	423.61	246.28	241.19	201.25	281.09	373.81	140.04	293.07	346.29	279.14	262.2	273.37	239.52	287.01	264.03	131.51	237.86	698.41	616.37	397.93	620.67	384.34	532.74	830.75	1175.27	981.29	612.11	536.45	660.68	1757.34	1088.92	547.75	878.17	651.58	8305.36	1572.76	2915.45	7537.18	4268.94	1015.93	1135.2	5183.54	4095.0	3060.45	3540.14	6792.79	1950.0	5255.91	6426.31	1721.16	1950.0	4639.29	7966.99	5292.48	848.22	4328.55	4419.52	3847.29	5041.77	6381.92	1030.12	3443.31	4543.8	1963.57	5041.77	3395.89	4481.23	2224.63	5633.22	1498.22	1950.0	947.83	8305.36	1936.53	1259.69	1883.54	2645.74	890.44	2796.65	3018.3	4328.55	1936.53	2758.13	5711.87	3168.41	769.69	5329.3	1757.34	2520.38	6652.97	3419.52	1127.35	2591.27	2609.3	2032.85	3955.48	1008.9	2609.3	2739.08	1896.65	1447.15	1191.69	4268.94	575.03	3639.7	1277.29	866.07	3349.13	2915.45	2468.49	3018.3	1159.07	4181.07	6250.56	3690.52	2209.26	718.08	1447.15	4010.71	2777.33	3039.3	1096.5	2119.22	2609.3	1199.98	3874.05	2485.67	928.3	5517.27	1331.57	4704.07	4388.98	0.0	0.47	583.07	193.01	400.71	148.09	353.59	2133.97
ACBD4	363.56	98.04	201.25	363.56	176.29	97.36	93.35	129.69	368.65	29.48	198.47	82.87	255.0	48.87	54.33	31.45	78.34	41.52	120.94	51.71	28.24	84.04	97.36	106.63	193.01	161.02	65.26	226.54	412.0	563.18	211.31	395.18	221.86	438.59	591.22	660.68	656.11	403.5	536.45	1216.75	624.99	684.02	995.0	830.75	1037.29	441.64	688.78	669.92	633.73	785.88	866.07	1023.0	1167.14	921.88	896.64	543.96	743.43	703.28	921.88	587.13	698.41	665.29	529.06	698.41	934.76	1268.46	521.76	559.28	599.49	808.0	738.29	503.95	1066.48	842.36	698.41	1044.52	397.93	860.08	1295.13	813.63	244.57	743.43	277.2	884.29	769.69	620.67	599.49	1191.69	915.51	733.19	656.11	1225.22	417.77	896.64	1023.0	684.02	420.68	674.59	599.49	1437.15	1340.84	607.87	669.92	825.0	633.73	206.94	629.35	896.64	575.03	738.29	476.71	316.37	551.56	547.75	842.36	688.78	412.0	981.29	587.13	808.0	341.51	363.56	753.83	698.41	447.82	785.88	229.72	334.46	343.89	1216.75	713.11	854.13	708.18	1111.82	438.59	486.75	1073.91	0.0	0.48	46.84	89.51	87.65	165.57	143.01	738.29
AK7	9.27	5.54	11.55	8.65	26.86	20.71	7.22	6.06	13.12	8.51	81.14	7.22	57.89	6.67	2.97	2.86	24.63	37.59	7.75	1.43	4.39	8.85	16.88	11.47	6.89	31.0	46.18	13.72	26.1	28.45	5.63	50.98	22.43	6.31	50.63	54.33	51.71	24.81	57.89	212.78	218.79	182.55	220.32	358.54	26.28	88.88	387.02	157.68	187.71	397.93	363.56	191.67	301.33	223.41	165.57	307.69	199.85	325.29	264.03	18.16	218.79	195.72	241.19	429.54	273.37	81.71	173.85	153.34	55.89	102.97	106.63	289.02	187.71	173.85	41.81	262.2	32.82	325.29	336.79	80.57	40.93	244.57	50.63	198.47	232.94	140.04	334.46	186.4	215.77	305.55	19.53	221.86	50.27	152.28	231.32	151.22	9.93	114.36	64.8	255.0	124.37	81.71	224.97	217.27	127.89	22.43	30.78	249.73	72.01	128.79	14.24	52.45	183.82	94.01	191.67	301.33	212.78	373.81	312.0	117.6	105.89	20.71	395.18	334.46	208.38	285.03	45.21	90.14	215.77	23.76	202.66	255.0	82.29	236.21	90.77	99.43	281.09	0.0	0.0	23.42	31.45	15.56	2.51	24.11	50.63
ALKBH4	94.67	139.07	82.87	155.5	164.42	166.73	183.82	158.79	147.06	140.04	143.01	113.56	171.45	163.28	156.59	108.14	212.78	176.29	234.57	194.36	131.51	186.4	105.15	185.11	163.28	202.66	209.84	279.14	339.14	283.05	293.07	279.14	198.47	444.72	147.06	277.2	209.84	316.37	208.38	591.22	279.14	353.59	476.71	529.06	183.82	293.07	368.65	373.81	379.04	483.38	423.61	384.34	575.03	476.71	291.04	267.73	312.0	518.15	341.51	273.37	624.99	332.14	389.72	567.1	314.17	291.04	420.68	543.96	265.87	316.37	346.29	351.14	291.04	384.34	228.13	403.5	275.28	429.54	190.34	295.11	194.36	507.46	206.94	389.72	258.57	318.57	341.51	341.51	507.46	571.05	208.38	412.0	299.25	320.8	540.19	303.44	241.19	379.04	273.37	371.22	450.94	305.55	283.05	414.87	277.2	236.21	202.66	450.94	226.54	497.0	327.56	255.0	332.14	384.34	346.29	514.56	356.05	493.56	435.55	353.59	226.54	368.65	323.03	432.53	353.59	432.53	395.18	239.52	260.38	336.79	341.51	447.82	239.52	397.93	262.2	332.14	432.53	0.0	0.0	161.02	181.28	198.47	195.72	232.94	409.15
AMN	7.57	0.71	3.99	7.34	3.96	5.63	2.53	4.35	0.0	4.31	2.27	5.77	2.43	47.5	21.94	17.51	92.7	44.57	7.34	84.04	43.63	45.21	32.82	54.33	2.46	50.98	53.19	5.82	1617.0	1832.01	780.44	88.26	51.71	954.43	283.05	1286.18	780.44	860.08	248.0	3325.99	2537.92	536.45	3564.78	2664.15	3124.78	2875.3	4066.71	3395.89	2875.3	2193.99	1639.59	1059.11	2875.3	3690.52	132.44	4095.0	1769.57	1457.23	2956.17	1427.22	1844.76	1225.22	1268.46	4066.71	1757.34	5711.87	3235.01	1991.0	981.29	2319.15	2047.0	3212.66	2193.99	3847.29	3665.02	1037.29	1685.71	4152.18	1844.76	1295.13	316.37	1674.06	325.29	2271.4	1936.53	1350.18	1909.85	7.51	3690.52	1359.57	2520.38	665.29	1794.29	2434.5	2855.44	2976.74	4450.27	2032.85	1378.57	2485.67	5329.3	154.42	1583.71	3060.45	1183.45	1001.93	3820.7	3716.2	1216.75	2976.74	1350.18	1857.6	2032.85	5441.3	3280.18	2956.17	1242.34	3419.52	947.83	3146.52	3515.68	191.67	2573.36	3257.52	638.15	2351.53	1617.0	2537.92	764.36	2240.11	1651.0	1477.58	1685.71	3540.14	575.03	1794.29	1508.65	0.0	0.68	234.57	1.58	66.18	23.42	58.71	57.49
ANKS3	221.86	87.65	76.17	218.79	234.57	105.15	167.9	146.03	129.69	115.97	176.29	150.17	165.57	72.52	128.79	72.01	93.35	58.3	136.19	96.68	111.21	102.97	109.66	171.45	127.0	135.24	125.24	165.57	599.49	684.02	262.2	651.58	336.79	603.67	567.1	476.71	444.72	406.31	441.64	1572.76	624.99	698.41	848.22	967.76	571.05	579.04	854.13	1023.0	1794.29	1059.11	1167.14	1151.06	1175.27	1242.34	802.41	1159.07	1066.48	1051.79	1001.93	713.11	1088.92	769.69	941.27	988.12	748.61	860.08	878.17	780.44	1175.27	884.29	842.36	981.29	785.88	1066.48	679.29	1104.13	483.38	890.44	753.83	1059.11	733.19	1350.18	403.5	961.07	1066.48	860.08	896.64	1127.35	988.12	928.3	540.19	1806.78	579.04	819.3	1159.07	656.11	381.68	748.61	470.14	665.29	1233.75	629.35	1519.15	1066.48	988.12	273.37	647.07	1242.34	289.02	808.0	595.34	327.56	928.3	753.83	928.3	698.41	688.78	902.89	1104.13	1135.2	599.49	603.67	1199.98	1208.34	656.11	1111.82	409.15	647.07	555.41	529.06	974.5	954.43	748.61	1572.76	329.84	703.28	1340.84	0.0	0.78	158.79	209.84	149.12	131.51	187.71	547.75
AP1S3	13.62	1.58	18.84	69.03	25.54	43.94	16.39	16.75	44.57	22.43	35.0	29.27	20.86	172.65	228.13	205.5	115.16	141.02	40.07	131.51	123.5	162.14	289.02	34.26	7.0	187.71	78.34	33.06	514.56	172.65	98.04	178.77	126.12	228.13	232.94	49.21	214.27	265.87	258.57	314.17	303.44	432.53	185.11	262.2	101.54	161.02	397.93	373.81	356.05	291.04	339.14	397.93	287.01	316.37	379.04	397.93	633.73	293.07	738.29	316.37	599.49	173.85	299.25	633.73	674.59	100.13	269.6	169.07	115.16	316.37	842.36	819.3	435.55	271.48	103.69	356.05	52.08	397.93	532.74	351.14	291.04	363.56	392.44	406.31	684.02	633.73	728.11	389.72	180.02	476.71	92.7	703.28	92.7	476.71	341.51	476.71	187.71	409.15	157.68	384.34	163.28	167.9	921.88	420.68	248.0	42.41	366.09	249.73	341.51	211.31	88.26	53.19	258.57	53.57	384.34	518.15	134.3	348.71	579.04	242.88	167.9	27.64	848.22	463.65	463.65	343.89	212.78	244.57	400.71	44.25	656.11	183.82	130.6	323.03	155.5	242.88	759.08	0.0	0.0	102.97	137.14	63.89	31.45	82.87	733.19
ARL16	567.1	271.48	543.96	638.15	713.11	555.41	339.14	514.56	336.79	547.75	463.65	1059.11	536.45	299.25	177.53	351.14	175.07	450.94	463.65	255.0	244.57	251.48	551.56	638.15	395.18	507.46	567.1	503.95	1540.37	1051.79	543.96	514.56	796.86	915.51	764.36	1159.07	813.63	629.35	934.76	1757.34	1313.23	1259.69	934.76	1572.76	651.58	693.58	1721.16	493.56	769.69	1936.53	728.11	1051.79	1447.15	1883.54	748.61	1088.92	1111.82	1551.09	860.08	1369.04	1199.98	1127.35	848.22	1437.15	1051.79	1183.45	819.3	896.64	1030.12	1143.1	1397.83	830.75	1340.84	1143.1	460.44	2032.85	559.28	1340.84	1119.56	842.36	1896.65	1191.69	808.0	1417.35	1277.29	723.08	896.64	1151.06	1857.6	808.0	1268.46	842.36	947.83	1233.75	1447.15	1135.2	1199.98	860.08	688.78	1427.22	1697.45	769.69	764.36	941.27	884.29	559.28	775.05	1617.0	514.56	1286.18	1870.53	872.1	1233.75	842.36	1008.9	1167.14	866.07	1757.34	941.27	1259.69	961.07	525.39	684.02	1096.5	713.11	1350.18	409.15	848.22	967.76	1175.27	1350.18	1832.01	1167.14	1844.76	1073.91	902.89	1127.35	0.0	0.71	848.22	368.65	536.45	435.55	356.05	1044.52
C16orf93	20.41	12.55	21.32	35.0	26.86	46.84	21.32	16.03	14.03	19.11	36.53	13.12	14.89	31.67	31.67	9.27	35.25	57.89	82.87	27.44	23.42	38.4	30.78	32.13	16.03	64.8	63.0	45.21	121.79	84.04	154.42	164.42	88.26	76.71	318.57	63.89	29.48	50.27	126.12	909.17	162.14	134.3	190.34	334.46	150.17	132.44	256.78	277.2	684.02	603.67	733.19	376.41	633.73	616.37	205.5	444.72	392.44	503.95	536.45	127.0	318.57	334.46	170.25	457.25	241.19	353.59	201.25	234.57	175.07	356.05	255.0	363.56	231.32	450.94	172.65	303.44	98.04	547.75	303.44	183.82	497.0	457.25	150.17	291.04	525.39	244.57	463.65	718.08	551.56	366.09	120.1	713.11	114.36	299.25	571.05	244.57	86.43	143.01	89.51	197.09	872.1	237.86	583.07	339.14	182.55	87.65	137.14	656.11	88.88	303.44	109.66	102.25	336.79	295.11	269.6	195.72	212.78	599.49	249.73	791.35	185.11	141.02	260.38	551.56	94.67	414.87	78.89	94.01	223.41	100.83	269.6	244.57	182.55	830.75	135.24	236.21	490.14	0.0	0.22	18.7	17.38	29.91	16.39	32.82	327.56
C17orf97	30.56	48.87	45.85	90.14	38.95	165.57	33.54	31.45	37.59	34.51	37.59	43.63	98.73	17.38	7.63	23.42	87.65	23.93	99.43	35.25	12.74	21.63	25.35	26.67	28.45	94.01	46.18	51.71	351.14	318.57	514.56	412.0	237.86	115.97	287.01	392.44	107.38	143.01	153.34	1216.75	591.22	860.08	1199.98	1167.14	239.52	231.32	660.68	974.5	1208.34	896.64	579.04	454.09	660.68	1081.39	518.15	785.88	796.86	713.11	1295.13	131.51	842.36	406.31	718.08	954.43	638.15	384.34	384.34	836.53	242.88	1199.98	587.13	961.07	878.17	629.35	403.5	2351.53	244.57	759.08	185.11	1044.52	723.08	423.61	226.54	1143.1	493.56	785.88	878.17	854.13	796.86	791.35	157.68	1081.39	432.53	825.0	780.44	503.95	226.54	651.58	361.04	435.55	660.68	267.73	854.13	808.0	518.15	206.94	193.01	808.0	271.48	921.88	412.0	167.9	775.05	915.51	748.61	507.46	607.87	1233.75	1378.57	1023.0	444.72	53.19	476.71	1104.13	547.75	796.86	217.27	303.44	406.31	234.57	796.86	1119.56	269.6	633.73	255.0	848.22	819.3	0.0	0.0	21.63	129.69	156.59	14.56	309.83	336.79
