	TCGA.ZU.A8S4.11A.11R.A41I.07	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.DD.AAVX.01A.11R.A41C.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.G3.A7M5.01A.11R.A33R.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.2Y.A9H9.01A.21R.A39D.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A4NL.01A.11R.A28V.07	TCGA.2Y.A9GT.01A.11R.A38B.07	TCGA.2Y.A9GV.01A.11R.A38B.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.ZS.A9CE.01A.11R.A37K.07	TCGA.DD.A1ED.01A.11R.A155.07	TCGA.DD.A119.11A.11R.A131.07	TCGA.G3.A3CH.11A.11R.A22L.07	TCGA.DD.A1EC.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	TCGA.DD.A1EE.11A.11R.A131.07	TCGA.DD.A1EI.11A.11R.A131.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.DD.A11A.11A.11R.A131.07	TCGA.BC.A216.11A.11R.A155.07	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZPU1.0826.SM.57WG2	GTEX.VUSG.0126.SM.4KL1X	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.139TT.0726.SM.5K7XW	GTEX.147F4.0926.SM.5Q5EO	GTEX.11WQC.0626.SM.5EQMF	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C
ALKBH2	583.07	612.11	961.07	1037.29	1529.73	1508.65	1066.48	723.08	447.82	363.56	493.56	1477.58	1167.14	353.59	287.01	718.08	400.71	403.5	358.54	435.55	403.5	279.14	426.57	281.09	208.38	180.02	0.0	0.28	81.14	186.4	99.43	115.97	140.04
AP1M1	981.29	1388.16	1151.06	1685.71	1467.37	1427.22	1508.65	1870.53	1467.37	1242.34	1397.83	1088.92	1572.76	1208.34	934.76	1088.92	1096.5	1111.82	1015.93	1242.34	1015.93	1073.91	995.0	1295.13	612.11	591.22	0.0	0.71	543.96	403.5	529.06	638.15	463.65
B3GNTL1	64.34	140.04	94.67	139.07	147.06	149.12	135.24	115.97	115.16	110.43	81.14	135.24	122.64	59.13	47.5	86.43	33.3	60.39	67.12	66.65	80.01	51.71	69.52	16.51	19.68	32.36	0.0	0.64	84.04	51.35	56.68	59.13	57.89
BOLA1	438.59	587.13	559.28	1313.23	928.3	708.18	836.53	785.88	607.87	633.73	624.99	708.18	1015.93	536.45	426.57	674.59	447.82	400.71	525.39	486.75	525.39	316.37	497.0	223.41	346.29	237.86	0.0	0.33	112.77	74.58	124.37	100.83	90.77
C12orf73	106.63	209.84	343.89	237.86	470.14	209.84	373.81	249.73	130.6	135.24	157.68	426.57	301.33	138.1	105.15	150.17	111.99	94.67	94.01	154.42	110.43	87.65	170.25	89.51	79.45	45.85	0.0	0.49	48.18	110.43	91.41	64.8	43.32
C19orf44	41.22	80.01	108.14	111.21	88.88	82.87	73.03	72.01	90.14	45.53	92.7	88.88	132.44	63.0	62.56	53.19	77.25	44.25	90.77	53.19	55.89	44.89	44.89	22.43	34.51	43.63	0.0	0.13	24.99	26.1	45.85	34.26	52.08
C19orf70	1467.37	2032.85	2537.92	2739.08	3639.7	2178.83	2573.36	2255.7	1369.04	1487.87	1685.71	2061.24	3280.18	1529.73	1175.27	1551.09	1242.34	1208.34	1685.71	1487.87	1991.0	1183.45	1407.55	860.08	1066.48	1073.91	0.0	0.47	728.11	532.74	397.93	909.17	493.56
C20orf27	368.65	397.93	612.11	1572.76	669.92	819.3	583.07	563.18	381.68	503.95	381.68	583.07	669.92	438.59	327.56	540.19	351.14	379.04	497.0	423.61	395.18	289.02	381.68	198.47	209.84	239.52	0.0	0.28	239.52	229.72	146.03	309.83	215.77
CLN6	397.93	571.05	444.72	941.27	624.99	796.86	466.88	651.58	435.55	620.67	718.08	463.65	1208.34	384.34	395.18	543.96	379.04	307.69	373.81	454.09	295.11	325.29	356.05	202.66	289.02	135.24	0.0	0.0	229.72	187.71	239.52	309.83	170.25
DDX41	941.27	1794.29	1769.57	1936.53	2090.03	1388.16	2537.92	1417.35	1175.27	1151.06	1250.98	1508.65	2271.4	1051.79	896.64	1268.46	842.36	872.1	961.07	1322.37	1073.91	866.07	884.29	674.59	713.11	1001.93	0.0	0.78	808.0	836.53	665.29	525.39	743.43
