	TCGA.A2.A4RY.01A.31R.A266.07	TCGA.KL.8332.11A.01R.2315.07	TCGA.KN.8432.11A.01R.2315.07	TCGA.KL.8339.11A.01R.2315.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.50.5066.01A.01R.1628.07	TCGA.50.5068.01A.01R.1628.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.EJ.5503.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.5501.01A.01R.1580.07	TCGA.CH.5792.01A.11R.1580.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.J4.AATV.01A.11R.A41O.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.CH.5761.11A.01R.1580.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7797.11A.01R.2263.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.XMK1.1026.SM.4B65H	GTEX.SJXC.2026.SM.4DM6N	TCGA.AG.3725.11A.01R.1736.07	TCGA.BR.6802.11A.01R.1884.13
AATF	974.5	521.76	279.14	567.1	105.15	363.56	334.46	713.11	723.08	866.07	878.17	656.11	830.75	954.43	813.63	780.44	633.73	607.87	547.75	842.36	679.29	543.96	708.18	629.35	607.87	447.82	860.08	392.44	599.49	624.99	559.28	813.63	660.68	514.56	441.64	642.59
ABCF1	915.51	426.57	423.61	599.49	54.72	358.54	255.0	1044.52	1216.75	759.08	961.07	941.27	1151.06	1199.98	1015.93	1119.56	1008.9	1151.06	902.89	995.0	896.64	684.02	1044.52	813.63	642.59	414.87	884.29	629.35	974.5	967.76	1066.48	1111.82	1088.92	830.75	483.38	318.57
AC006449.1	1001.93	305.55	473.41	358.54	91.41	140.04	120.1	974.5	872.1	389.72	733.19	748.61	836.53	679.29	559.28	753.83	819.3	748.61	435.55	417.77	679.29	334.46	1044.52	612.11	708.18	224.97	397.93	571.05	660.68	878.17	536.45	583.07	896.64	346.29	187.71	81.14
ARID1A	974.5	165.57	144.01	220.32	31.67	98.04	108.9	1242.34	825.0	555.41	595.34	521.76	1059.11	1008.9	738.29	571.05	669.92	638.15	366.09	366.09	567.1	450.94	647.07	587.13	358.54	197.09	490.14	366.09	748.61	764.36	435.55	571.05	802.41	403.5	217.27	124.37
ATG13	1242.34	674.59	703.28	808.0	429.54	532.74	476.71	1167.14	1340.84	909.17	981.29	1044.52	1191.69	1233.75	1001.93	1059.11	974.5	1059.11	733.19	988.12	1008.9	738.29	1159.07	1059.11	796.86	591.22	896.64	819.3	1119.56	1159.07	909.17	947.83	896.64	738.29	579.04	743.43
ATG2A	339.14	117.6	84.63	166.73	57.89	64.8	87.03	339.14	400.71	224.97	346.29	231.32	412.0	444.72	299.25	318.57	201.25	275.28	275.28	301.33	305.55	249.73	343.89	239.52	172.65	98.73	277.2	180.02	316.37	341.51	186.4	255.0	251.48	251.48	115.16	55.1
ATG9A	738.29	395.18	305.55	529.06	94.01	248.0	346.29	1151.06	1135.2	872.1	921.88	728.11	1143.1	1277.29	753.83	961.07	866.07	866.07	660.68	813.63	866.07	713.11	1322.37	1001.93	567.1	381.68	1037.29	559.28	915.51	921.88	684.02	764.36	808.0	599.49	403.5	318.57
C19orf55	518.15	67.12	96.68	89.51	19.82	124.37	54.72	244.57	212.78	115.16	224.97	164.42	189.02	231.32	155.5	177.53	155.5	155.5	148.09	101.54	158.79	108.14	193.01	167.9	133.36	80.01	120.94	135.24	154.42	199.85	115.97	118.43	198.47	130.6	116.78	52.82
CCDC120	389.72	60.39	71.5	98.73	6.73	25.91	71.5	325.29	244.57	209.84	279.14	190.34	320.8	262.2	279.14	262.2	187.71	181.28	166.73	232.94	236.21	236.21	307.69	209.84	130.6	87.03	212.78	169.07	231.32	273.37	153.34	151.22	206.94	177.53	61.25	57.89
CCDC97	693.58	189.02	221.86	206.94	90.14	316.37	249.73	503.95	674.59	466.88	571.05	450.94	728.11	688.78	403.5	507.46	371.22	555.41	438.59	511.0	500.46	384.34	698.41	521.76	376.41	316.37	514.56	409.15	454.09	567.1	403.5	441.64	547.75	460.44	260.38	242.88
CD3EAP	147.06	23.08	31.0	30.78	4.62	34.26	52.82	108.14	63.89	73.54	69.03	51.35	112.77	109.66	70.01	70.01	41.81	84.63	59.55	64.8	53.95	35.0	82.87	69.03	43.63	38.4	50.27	48.87	48.87	53.19	34.26	65.72	72.52	31.67	32.36	32.13
CEP250	387.02	37.59	29.7	56.68	18.56	45.21	60.39	406.31	303.44	202.66	329.84	305.55	351.14	389.72	309.83	307.69	262.2	303.44	234.57	301.33	343.89	293.07	320.8	214.27	176.29	63.89	265.87	146.03	291.04	316.37	258.57	265.87	269.6	206.94	76.71	46.84
CHD4	3212.66	1111.82	819.3	1447.15	791.35	866.07	878.17	2573.36	2119.22	1639.59	1769.57	1498.22	2537.92	2555.58	1733.13	2287.2	1508.65	2178.83	1199.98	1896.65	1769.57	1757.34	2193.99	1721.16	1191.69	796.86	2018.8	1159.07	1407.55	1883.54	1857.6	2351.53	1936.53	1359.57	890.44	642.59
CIC	1757.34	295.11	271.48	356.05	100.13	244.57	209.84	1030.12	981.29	612.11	1008.9	743.43	967.76	1081.39	718.08	1073.91	435.55	703.28	555.41	660.68	967.76	595.34	915.51	693.58	555.41	244.57	713.11	476.71	759.08	921.88	543.96	460.44	785.88	497.0	258.57	112.77
CLCN7	1561.89	454.09	454.09	684.02	387.02	325.29	301.33	1096.5	1167.14	854.13	1250.98	1044.52	1259.69	1216.75	1066.48	1277.29	830.75	1023.0	1051.79	1104.13	1183.45	1008.9	1073.91	866.07	708.18	339.14	896.64	642.59	1008.9	1135.2	836.53	753.83	890.44	713.11	389.72	275.28
DPP9	1340.84	181.28	228.13	303.44	80.01	373.81	412.0	514.56	423.61	444.72	476.71	457.25	521.76	525.39	500.46	497.0	312.0	371.22	392.44	343.89	543.96	412.0	466.88	414.87	312.0	215.77	432.53	309.83	397.93	454.09	343.89	318.57	432.53	373.81	392.44	202.66
ECE1	3280.18	392.44	426.57	616.37	320.8	444.72	387.02	3349.13	3081.75	2645.74	1950.0	2148.82	3103.19	3018.3	1519.15	1896.65	1733.13	2335.28	1066.48	1909.85	2400.97	2004.85	2645.74	2090.03	1388.16	813.63	2367.9	1378.57	2178.83	2417.67	1350.18	995.0	2133.97	1487.87	591.22	297.17
EP400	267.73	39.22	47.5	53.95	7.88	33.06	32.36	353.59	241.19	120.94	202.66	180.02	234.57	221.86	185.11	182.55	173.85	209.84	84.63	120.1	209.84	136.19	206.94	150.17	115.16	42.71	152.28	99.43	190.34	215.77	120.94	122.64	152.28	150.17	64.34	23.08
FBXL19	406.31	46.5	39.79	65.72	17.77	37.32	44.89	343.89	269.6	206.94	260.38	246.28	376.41	287.01	244.57	307.69	115.16	194.36	189.02	226.54	287.01	211.31	341.51	122.64	127.0	50.98	241.19	102.97	194.36	297.17	141.02	142.01	212.78	164.42	110.43	57.89
