	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.EJ.5526.01A.01R.1580.07	TCGA.EJ.5527.01A.01R.1580.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.7748.01A.11R.2118.07	TCGA.M7.A71Z.01A.12R.A32O.07	TCGA.FC.7961.01A.11R.A29R.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.J4.8200.01A.11R.A29R.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.EJ.5522.01A.01R.1580.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.EJ.5496.01A.01R.1580.07	TCGA.EJ.7218.01B.11R.A32O.07	TCGA.EJ.5542.01A.01R.1580.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6332.01A.11R.1789.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5748.01A.11R.1580.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.A7NF.01A.11R.A33R.07	TCGA.EJ.7327.11A.01R.2118.07
ABHD13	69.03	191.67	211.31	128.79	152.28	46.5	159.9	105.15	108.14	100.13	130.6	181.28	49.91	87.65	181.28	82.29	115.16	105.15	144.01	171.45	69.52	173.85	198.47	76.71	98.04	120.1	136.19	126.12	137.14	131.51	85.22	120.1	90.14	146.03
ACPL2	189.02	343.89	483.38	366.09	392.44	151.22	507.46	177.53	323.03	316.37	299.25	414.87	154.42	244.57	356.05	297.17	384.34	353.59	454.09	587.13	283.05	441.64	412.0	287.01	353.59	293.07	366.09	400.71	379.04	366.09	361.04	325.29	297.17	316.37
ANKRD13C	136.19	353.59	363.56	198.47	323.03	97.36	318.57	190.34	197.09	194.36	307.69	265.87	91.41	133.36	435.55	143.01	236.21	163.28	218.79	303.44	156.59	348.71	336.79	132.44	206.94	171.45	265.87	199.85	283.05	224.97	155.5	178.77	204.07	297.17
ANO6	72.52	476.71	454.09	194.36	346.29	30.56	303.44	105.15	198.47	156.59	318.57	414.87	20.56	102.25	318.57	85.82	163.28	139.07	327.56	221.86	147.06	441.64	429.54	57.08	135.24	127.89	253.23	87.03	211.31	178.77	226.54	92.7	96.01	329.84
ATL2	392.44	915.51	934.76	591.22	842.36	224.97	934.76	406.31	476.71	497.0	743.43	836.53	376.41	384.34	884.29	395.18	785.88	518.15	503.95	679.29	463.65	819.3	1081.39	353.59	420.68	473.41	928.3	507.46	665.29	738.29	473.41	476.71	376.41	785.88
BLOC1S5	115.97	241.19	255.0	169.07	229.72	97.36	215.77	117.6	152.28	176.29	237.86	224.97	96.01	129.69	271.48	175.07	147.06	132.44	143.01	205.5	146.03	251.48	212.78	115.16	170.25	144.01	191.67	115.16	220.32	134.3	141.02	158.79	167.9	226.54
BLZF1	158.79	356.05	371.22	260.38	316.37	87.03	423.61	118.43	226.54	236.21	293.07	348.71	153.34	159.9	371.22	142.01	253.23	187.71	289.02	293.07	123.5	353.59	356.05	176.29	212.78	191.67	242.88	217.27	336.79	228.13	193.01	201.25	204.07	329.84
C3orf38	78.34	271.48	262.2	204.07	251.48	124.37	320.8	130.6	198.47	189.02	277.2	264.03	58.3	130.6	275.28	190.34	212.78	183.82	191.67	237.86	137.14	287.01	262.2	107.38	183.82	102.25	201.25	172.65	241.19	236.21	170.25	157.68	152.28	287.01
CD46	1519.15	5831.91	5183.54	4704.07	5147.73	1519.15	4512.4	2720.15	2915.45	4450.27	5954.47	5517.27	1340.84	2193.99	6840.04	2591.27	3467.27	1832.01	4358.66	5672.41	2591.27	6207.38	7749.1	2645.74	4671.57	2664.15	4152.18	3419.52	6121.9	2956.17	3395.89	3589.58	3768.09	6887.62
CEP70	412.0	559.28	679.29	332.14	466.88	232.94	967.76	320.8	303.44	463.65	728.11	483.38	400.71	307.69	660.68	343.89	466.88	348.71	400.71	503.95	329.84	551.56	476.71	387.02	389.72	381.68	343.89	503.95	500.46	525.39	358.54	389.72	412.0	500.46
CGGBP1	260.38	1233.75	1175.27	660.68	1015.93	454.09	1216.75	521.76	647.07	633.73	759.08	1008.9	223.41	420.68	1295.13	490.14	718.08	651.58	743.43	961.07	532.74	1208.34	1081.39	395.18	620.67	353.59	642.59	587.13	961.07	684.02	559.28	575.03	616.37	995.0
COPB2	2485.67	3928.15	3639.7	2451.44	3768.09	1883.54	4419.52	2032.85	2895.31	2645.74	3901.01	3847.29	1769.57	1963.57	3564.78	2997.45	3081.75	3124.78	2434.5	3103.19	2032.85	3901.01	3168.41	2609.3	3212.66	2609.3	2915.45	3325.99	3325.99	3168.41	2485.67	2451.44	2163.77	2976.74
CRYBG3	229.72	297.17	358.54	303.44	297.17	43.94	351.14	166.73	182.55	208.38	209.84	295.11	137.14	156.59	332.14	139.07	283.05	197.09	198.47	316.37	170.25	392.44	307.69	187.71	177.53	260.38	229.72	273.37	339.14	403.5	176.29	256.78	182.55	277.2
CXorf23	88.88	277.2	269.6	118.43	183.82	48.18	208.38	137.14	102.25	123.5	164.42	125.24	52.08	79.45	211.31	99.43	107.38	93.35	119.26	218.79	98.73	201.25	164.42	125.24	149.12	153.34	115.16	113.56	170.25	142.01	74.58	136.19	143.01	130.6
