	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.ZLV1.0626.SM.4WWF6	GTEX.145LT.1226.SM.5Q5BZ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7123.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZTX8.0426.SM.59HLG	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.XPVG.1526.SM.4B66C
MRPS34	830.75	1277.29	1191.69	0.0	0.36	3901.01	2555.58	3303.0	2956.17	3103.19	2739.08	5633.22	4268.94	3168.41	3540.14	3768.09	2018.8	3491.39	2895.31	2271.4	4450.27	5006.93	3515.68	2520.38	3395.89	3018.3	5041.77	4328.55	3146.52	3124.78	3081.75	2682.69	4010.71	2591.27	1369.04	2701.35	2047.0	1685.71	1870.53	743.43	988.12	878.17	1208.34
MYL5	212.78	265.87	237.86	0.0	0.69	1896.65	665.29	1551.09	551.56	954.43	764.36	1286.18	1277.29	688.78	1551.09	1001.93	738.29	1277.29	836.53	802.41	1519.15	1857.6	836.53	967.76	1295.13	1081.39	1135.2	1583.71	1135.2	934.76	1259.69	1059.11	1199.98	500.46	361.04	708.18	483.38	363.56	417.77	100.83	141.02	167.9	232.94
NARS2	144.01	129.69	190.34	0.0	0.08	490.14	579.04	457.25	529.06	373.81	454.09	551.56	325.29	339.14	450.94	490.14	361.04	543.96	447.82	802.41	356.05	463.65	466.88	450.94	381.68	334.46	902.89	379.04	559.28	287.01	454.09	444.72	518.15	314.17	267.73	295.11	438.59	229.72	348.71	92.05	88.26	111.21	95.34
NELFCD	836.53	842.36	921.88	0.0	1.1	1477.58	1832.01	1697.45	1508.65	1331.57	1769.57	2075.59	1781.89	1369.04	1870.53	1950.0	1628.26	1896.65	1397.83	1519.15	1674.06	1721.16	1540.37	1407.55	1233.75	1417.35	1923.14	1819.35	1781.89	2664.15	1467.37	1721.16	1745.2	1844.76	836.53	1340.84	1295.13	1143.1	1378.57	543.96	764.36	540.19	698.41
NME1	228.13	412.0	563.18	0.0	0.0	4298.64	2573.36	3235.01	3257.52	2485.67	2875.3	4937.99	2777.33	2032.85	2976.74	3847.29	2104.58	2835.7	1721.16	2645.74	4038.61	5366.37	3018.3	2133.97	2417.67	2664.15	4239.45	4937.99	3419.52	2004.85	2609.3	2255.7	3039.3	1936.53	878.17	1572.76	1175.27	1143.1	1709.26	563.18	660.68	753.83	497.0
NMRAL1	343.89	551.56	497.0	0.0	0.53	3955.48	1883.54	2739.08	2400.97	2400.97	2133.97	4268.94	4010.71	1594.73	3639.7	2609.3	2090.03	3349.13	2119.22	1991.0	3690.52	3589.58	3491.39	2384.37	2591.27	2351.53	4066.71	3168.41	3146.52	2400.97	2935.74	2664.15	3018.3	2032.85	954.43	2163.77	1551.09	1151.06	1583.71	490.14	521.76	567.1	607.87
PFN4	13.32	10.31	6.11	0.0	0.21	29.91	21.01	18.7	40.64	30.56	14.67	73.03	41.22	9.85	24.11	17.0	17.51	20.56	11.64	17.9	35.76	27.64	22.26	22.26	29.06	26.86	35.5	34.51	30.12	9.2	17.38	17.25	13.42	19.97	17.25	19.53	26.47	4.98	10.88	8.85	7.69	13.42	5.92
PHF8	283.05	224.97	229.72	255.0	169.07	420.68	525.39	684.02	679.29	802.41	679.29	947.83	1313.23	470.14	603.67	603.67	802.41	748.61	483.38	599.49	454.09	547.75	796.86	607.87	435.55	480.04	4181.07	633.73	830.75	728.11	738.29	769.69	638.15	406.31	323.03	373.81	480.04	532.74	395.18	307.69	262.2	236.21	223.41
PMM2	197.09	363.56	358.54	0.0	0.18	591.22	669.92	961.07	854.13	647.07	738.29	1407.55	819.3	438.59	836.53	872.1	941.27	842.36	995.0	902.89	941.27	860.08	1159.07	775.05	587.13	954.43	1437.15	769.69	1037.29	679.29	1208.34	902.89	638.15	480.04	289.02	463.65	473.41	493.56	457.25	406.31	376.41	283.05	316.37
POLR2H	769.69	1183.45	1088.92	0.0	1.36	3257.52	1991.0	2335.28	2335.28	1733.13	2209.26	3103.19	2520.38	1378.57	2303.12	2417.67	1977.24	2645.74	1936.53	1963.57	3349.13	3395.89	2434.5	2367.9	2451.44	2193.99	2573.36	2701.35	3168.41	1733.13	2163.77	2367.9	2451.44	1498.22	660.68	1250.98	1250.98	1008.9	1151.06	1037.29	842.36	825.0	764.36
PSMA2	2104.58	2400.97	3060.45	0.0	0.92	4358.66	4123.49	2701.35	3665.02	3190.46	2855.44	4736.79	3742.05	3742.05	3665.02	3874.05	3235.01	2915.45	2645.74	3982.99	4903.87	4836.35	3665.02	2997.45	3325.99	3540.14	6164.49	4066.71	3419.52	3794.3	2758.13	3589.58	4210.15	4328.55	2319.15	3794.3	3515.68	2645.74	2997.45	3190.46	2178.83	2018.8	2434.5
PYCR1	7.4	137.14	256.78	3820.7	954.43	6607.01	3564.78	5831.91	4937.99	2485.67	5366.37	5292.48	5831.91	2720.15	5441.3	7966.99	4388.98	5329.3	4481.23	4607.24	4836.35	4671.57	5954.47	5954.47	2835.7	3395.89	6792.79	5517.27	5633.22	5041.77	5711.87	7857.29	4736.79	2004.85	642.59	1991.0	1769.57	1769.57	2502.97	80.01	115.16	127.89	124.37
RAC3	33.06	41.22	41.22	0.0	0.56	1322.37	447.82	860.08	813.63	954.43	543.96	3060.45	2739.08	583.07	1081.39	748.61	414.87	1167.14	872.1	307.69	1225.22	2119.22	1216.75	684.02	713.11	567.1	1073.91	1477.58	738.29	785.88	759.08	830.75	988.12	941.27	138.1	656.11	674.59	323.03	341.51	13.42	23.42	30.34	37.05
RP11-108K14.8	0.0	0.0	0.0	0.0	0.09	9.13	0.0	42.71	5.73	37.32	14.45	94.67	131.51	0.0	110.43	6.21	27.05	45.53	7.82	21.32	27.05	159.9	5.02	24.63	15.56	33.06	120.94	88.26	22.26	6.36	0.0	68.55	56.28	6.26	0.0	18.16	5.15	0.0	0.0	0.0	0.0	0.0	5.68
RPUSD1	182.55	271.48	229.72	0.0	0.01	599.49	285.03	432.53	409.15	441.64	450.94	1331.57	915.51	361.04	514.56	529.06	295.11	438.59	356.05	277.2	698.41	660.68	511.0	420.68	463.65	348.71	854.13	603.67	400.71	420.68	540.19	403.5	403.5	327.56	224.97	251.48	251.48	277.2	258.57	224.97	289.02	144.01	269.6
SFXN4	400.71	256.78	373.81	0.0	0.0	1313.23	748.61	902.89	884.29	921.88	1044.52	1757.34	2367.9	633.73	1191.69	995.0	703.28	1015.93	723.08	902.89	1199.98	1628.26	872.1	884.29	1096.5	988.12	1457.23	1639.59	974.5	921.88	1183.45	842.36	1199.98	599.49	460.44	595.34	543.96	457.25	518.15	231.32	332.14	224.97	312.0
SLC13A3	10.79	52.45	40.07	0.0	0.4	599.49	269.6	748.61	320.8	379.04	332.14	429.54	674.59	412.0	688.78	500.46	579.04	642.59	189.02	642.59	271.48	723.08	231.32	277.2	325.29	406.31	599.49	638.15	356.05	559.28	429.54	603.67	571.05	361.04	138.1	361.04	387.02	169.07	301.33	6.16	4.54	3.56	8.45
SLC25A38	414.87	607.87	624.99	0.0	0.06	1191.69	921.88	1044.52	995.0	1030.12	1073.91	1233.75	1199.98	954.43	1088.92	1037.29	921.88	854.13	629.35	995.0	1073.91	1183.45	1191.69	1199.98	1008.9	967.76	1059.11	961.07	878.17	1059.11	1037.29	1059.11	1015.93	1023.0	723.08	866.07	825.0	718.08	947.83	587.13	521.76	647.07	559.28
SLC25A39	728.11	1617.0	1639.59	0.0	0.92	6607.01	3768.09	5292.48	5006.93	5219.6	4639.29	6426.31	6037.61	4181.07	6250.56	5517.27	5041.77	5147.73	2591.27	3257.52	6037.61	6935.54	6471.02	5441.3	4239.45	4298.64	6745.86	7382.04	4123.49	3146.52	5633.22	5329.3	5479.15	3928.15	1685.71	3515.68	3168.41	2520.38	2777.33	1183.45	1487.87	1175.27	1605.83
SLC27A5	169.07	155.5	198.47	0.0	0.52	1286.18	371.22	954.43	500.46	563.18	651.58	1447.15	1417.35	486.75	1322.37	813.63	273.37	591.22	289.02	493.56	909.17	1529.73	371.22	514.56	890.44	483.38	1417.35	988.12	693.58	612.11	217.27	579.04	738.29	381.68	246.28	450.94	312.0	303.44	251.48	183.82	277.2	435.55	258.57
SLC29A2	60.39	33.06	57.49	0.0	0.16	291.04	97.36	312.0	267.73	138.1	220.32	420.68	420.68	226.54	289.02	287.01	185.11	283.05	189.02	133.36	269.6	198.47	66.18	164.42	170.25	234.57	559.28	287.01	269.6	373.81	320.8	312.0	301.33	327.56	209.84	246.28	209.84	177.53	187.71	25.17	26.67	28.24	23.42
SRCRB4D	7.88	7.0	4.86	0.0	0.0	71.0	25.91	20.41	18.56	27.44	18.43	31.0	27.44	32.59	37.59	23.59	9.48	36.01	18.84	22.92	26.28	42.41	19.39	19.39	23.25	24.28	50.27	35.25	17.77	41.81	11.47	34.26	24.81	31.0	11.82	19.39	25.54	17.38	16.75	0.56	3.08	7.88	8.13
TIMM13	698.41	1030.12	974.5	0.0	0.48	4450.27	2645.74	3395.89	3349.13	2935.74	3540.14	5441.3	5292.48	2720.15	5219.6	4095.0	2591.27	3955.48	2976.74	2032.85	5913.33	4903.87	3124.78	3235.01	2915.45	3168.41	6426.31	5076.84	3325.99	2997.45	2777.33	3280.18	3443.31	2739.08	961.07	2193.99	1781.89	1508.65	1977.24	583.07	947.83	620.67	928.3
TMEM184A	0.0	14.67	9.06	0.0	0.58	532.74	463.65	1088.92	525.39	616.37	947.83	1605.83	2193.99	260.38	854.13	708.18	483.38	620.67	718.08	327.56	679.29	595.34	173.85	698.41	435.55	470.14	1073.91	1051.79	860.08	423.61	909.17	759.08	423.61	529.06	68.55	283.05	363.56	258.57	232.94	34.26	32.36	35.76	21.32
TMEM99	187.71	197.09	267.73	0.0	0.09	1044.52	441.64	854.13	780.44	1359.57	368.65	1143.1	1674.06	1015.93	884.29	981.29	775.05	954.43	351.14	974.5	1023.0	1519.15	1233.75	819.3	775.05	723.08	1208.34	785.88	633.73	733.19	1183.45	1322.37	915.51	896.64	466.88	728.11	595.34	583.07	684.02	100.83	75.64	104.42	73.03
TRUB2	246.28	262.2	273.37	0.0	0.0	854.13	607.87	967.76	718.08	674.59	674.59	708.18	819.3	514.56	928.3	785.88	521.76	825.0	660.68	591.22	796.86	1051.79	780.44	723.08	775.05	708.18	967.76	753.83	830.75	629.35	529.06	769.69	785.88	490.14	387.02	409.15	497.0	514.56	497.0	253.23	295.11	305.55	334.46
ZNF138	35.25	63.45	28.65	0.0	0.13	98.73	126.12	131.51	111.99	133.36	113.56	206.94	137.14	92.7	143.01	118.43	78.34	113.56	111.21	163.28	90.77	114.36	108.9	100.83	96.01	136.19	204.07	96.01	127.89	144.01	138.1	148.09	104.42	94.01	80.01	94.01	124.37	78.34	115.97	53.95	37.32	68.55	53.19
