	TCGA.IG.A3I8.11A.11R.A24K.31	GTEX.ZLV1.0626.SM.4WWF6	GTEX.145LT.1226.SM.5Q5BZ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.7522.01A.11R.2263.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.G9.6333.01A.12R.1965.07	TCGA.V1.A8X3.01A.11R.A37L.07	TCGA.YL.A8SO.01B.31R.A37L.07	TCGA.VP.A87B.01A.11R.A352.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.J9.A8CN.01A.11R.A352.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.KK.A8IJ.01A.11R.A352.07	TCGA.2A.AAYF.01A.11R.A41O.07	TCGA.CH.5744.01A.11R.1580.07	TCGA.EJ.5517.01A.01R.1580.07	TCGA.EJ.7318.01B.11R.A32O.07	TCGA.V1.A9OQ.01A.11R.A41O.07	TCGA.EJ.7312.01B.21R.A32O.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.J9.A8CP.01A.11R.A352.07	TCGA.V1.A8WL.01A.11R.A37L.07	TCGA.YL.A8HM.01A.11R.A36G.07	TCGA.XJ.A83G.01A.11R.A352.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.G9.6494.01A.11R.1789.07	TCGA.VN.A88N.01A.11R.A36G.07	TCGA.CH.5737.01A.11R.1580.07	TCGA.G9.7519.01A.11R.2263.07	TCGA.HC.8260.11A.01R.2263.07	TCGA.EJ.7123.11A.01R.1965.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.ZTX8.0426.SM.59HLG	GTEX.TKQ1.0526.SM.4DXTG	GTEX.11P7K.1726.SM.5GU6F	GTEX.XPVG.1526.SM.4B66C
APITD1	215.77	231.32	264.03	0.0	0.0	743.43	587.13	624.99	603.67	693.58	429.54	642.59	607.87	669.92	638.15	432.53	507.46	764.36	460.44	486.75	540.19	728.11	708.18	612.11	954.43	571.05	934.76	819.3	713.11	470.14	854.13	536.45	490.14	511.0	332.14	466.88	603.67	493.56	591.22	417.77	309.83	334.46	325.29
ATP6V0E2	808.0	551.56	665.29	0.0	0.47	4481.23	4769.75	3982.99	3190.46	5872.48	6121.9	6792.79	5751.61	4802.93	4575.41	6840.04	2255.7	2895.31	3060.45	3540.14	4010.71	3515.68	5672.41	2875.3	8022.41	1551.09	8598.28	4836.35	2645.74	5255.91	2855.44	6037.61	5672.41	2335.28	1551.09	3146.52	2758.13	1508.65	3443.31	231.32	785.88	902.89	713.11
C11orf48	878.17	1066.48	1594.73	0.0	0.35	5633.22	2777.33	4512.4	3665.02	3982.99	3820.7	4802.93	6471.02	3589.58	5112.16	4210.15	3280.18	5183.54	2148.82	3103.19	5292.48	8963.45	3847.29	4095.0	4066.71	4181.07	6792.79	6607.01	3515.68	3665.02	3794.3	3928.15	5219.6	2645.74	1081.39	2935.74	2417.67	1870.53	2075.59	1685.71	1551.09	1572.76	1662.49
C11orf83	115.97	162.14	149.12	218.79	170.25	1151.06	454.09	848.22	633.73	764.36	647.07	902.89	1561.89	595.34	1066.48	603.67	633.73	988.12	444.72	341.51	1066.48	1721.16	785.88	688.78	780.44	674.59	1175.27	1304.15	583.07	583.07	866.07	738.29	934.76	470.14	181.28	438.59	379.04	297.17	353.59	106.63	122.64	117.6	158.79
C3orf83	1.57	13.32	10.31	0.0	0.06	102.97	33.54	78.89	50.27	57.49	28.86	112.77	123.5	32.82	33.78	33.54	26.67	49.56	54.33	90.14	28.04	130.6	277.2	21.32	37.59	46.5	72.52	63.89	48.87	27.64	40.64	45.21	92.7	27.84	27.25	22.43	46.5	29.91	38.12	16.75	9.41	10.31	28.04
C7orf55	660.68	915.51	961.07	0.0	0.16	3515.68	1225.22	2367.9	1561.89	1745.2	1963.57	3690.52	4869.99	1721.16	3665.02	1936.53	1295.13	2627.46	1685.71	2004.85	2701.35	4210.15	3614.55	1369.04	1781.89	1639.59	4639.29	3768.09	1977.24	2018.8	1832.01	2075.59	2319.15	1551.09	884.29	1037.29	1331.57	830.75	748.61	769.69	1001.93	988.12	1561.89
CARD14	0.77	18.84	6.11	0.0	0.73	49.56	53.19	45.53	63.45	70.01	115.97	228.13	127.89	55.1	67.59	49.21	50.98	35.25	49.56	40.36	126.12	63.45	60.82	67.59	88.26	92.05	82.29	80.57	73.54	45.53	57.08	43.02	52.08	113.56	10.08	50.98	104.42	54.72	59.13	4.86	5.36	2.84	3.38
CBS	107.38	518.15	423.61	0.0	0.77	2018.8	961.07	2591.27	1143.1	1594.73	1883.54	1832.01	3690.52	1199.98	5479.15	2739.08	1216.75	1757.34	665.29	1709.26	1167.14	4268.94	2271.4	1551.09	785.88	1447.15	1991.0	2573.36	1096.5	1304.15	1104.13	2417.67	1950.0	1359.57	406.31	669.92	1167.14	490.14	1216.75	141.02	118.43	295.11	79.45
CCDC86	466.88	432.53	312.0	0.0	0.16	1023.0	941.27	764.36	1259.69	1277.29	1286.18	2018.8	1487.87	1397.83	1369.04	1487.87	1529.73	1111.82	928.3	1561.89	1844.76	1119.56	1030.12	915.51	808.0	2739.08	1008.9	1037.29	954.43	1781.89	748.61	1081.39	1745.2	1167.14	447.82	988.12	791.35	988.12	974.5	466.88	389.72	318.57	414.87
CDKN2AIPNL	373.81	447.82	532.74	0.0	0.28	878.17	547.75	708.18	693.58	764.36	665.29	915.51	830.75	536.45	688.78	802.41	483.38	780.44	555.41	723.08	941.27	1037.29	785.88	551.56	674.59	743.43	836.53	860.08	769.69	688.78	571.05	607.87	728.11	397.93	447.82	438.59	497.0	466.88	503.95	334.46	318.57	336.79	420.68
CENPM	0.0	8.99	15.34	0.0	0.0	336.79	76.17	158.79	175.07	224.97	62.56	1295.13	332.14	71.0	220.32	93.35	50.63	376.41	128.79	115.16	130.6	713.11	195.72	157.68	154.42	121.79	1015.93	420.68	171.45	60.82	175.07	327.56	206.94	46.18	18.97	47.84	46.84	42.11	37.05	33.78	9.13	40.93	35.25
CGREF1	12.55	10.88	37.85	0.0	0.51	2047.0	291.04	1594.73	409.15	457.25	878.17	1119.56	1268.46	212.78	1447.15	1519.15	470.14	1015.93	198.47	1051.79	728.11	1437.15	518.15	373.81	497.0	638.15	1216.75	1037.29	733.19	954.43	567.1	909.17	995.0	256.78	95.34	256.78	180.02	72.52	125.24	25.17	9.41	30.56	15.11
CHRNA5	40.36	27.64	10.88	0.0	0.23	45.21	98.73	82.29	77.25	46.18	71.0	547.75	642.59	91.41	441.64	214.27	190.34	403.5	81.14	507.46	260.38	193.01	112.77	55.89	58.71	312.0	532.74	47.84	83.45	209.84	78.34	206.94	483.38	80.01	46.18	126.12	95.34	31.45	96.01	22.75	38.4	10.24	33.06
CLPB	170.25	111.99	119.26	0.0	0.16	332.14	167.9	231.32	165.57	176.29	228.13	275.28	299.25	109.66	229.72	185.11	173.85	187.71	171.45	156.59	241.19	234.57	142.01	163.28	204.07	127.89	525.39	248.0	138.1	239.52	156.59	255.0	223.41	121.79	140.04	113.56	127.0	165.57	133.36	92.05	105.15	102.97	91.41
COA1	490.14	438.59	532.74	0.0	0.83	785.88	878.17	954.43	1008.9	703.28	961.07	1605.83	1143.1	785.88	988.12	688.78	909.17	928.3	616.37	738.29	872.1	909.17	1175.27	961.07	759.08	860.08	1697.45	967.76	967.76	703.28	884.29	764.36	1001.93	842.36	629.35	665.29	830.75	693.58	733.19	476.71	450.94	441.64	525.39
DDX39A	651.58	934.76	718.08	0.0	1.38	1350.18	775.05	915.51	1096.5	1066.48	981.29	1709.26	1457.23	603.67	890.44	819.3	674.59	733.19	866.07	620.67	1477.58	1225.22	1023.0	909.17	1242.34	1127.35	1909.85	1183.45	1151.06	941.27	974.5	551.56	708.18	1066.48	351.14	708.18	536.45	624.99	579.04	536.45	507.46	525.39	708.18
DNASE1	108.9	277.2	212.78	0.0	0.51	285.03	551.56	305.55	438.59	915.51	555.41	1806.78	1313.23	361.04	638.15	503.95	860.08	511.0	555.41	366.09	1208.34	356.05	463.65	583.07	669.92	830.75	1151.06	813.63	872.1	934.76	466.88	392.44	753.83	518.15	180.02	381.68	432.53	246.28	241.19	131.51	116.78	183.82	166.73
DUS1L	1081.39	1378.57	1628.26	0.0	1.28	4869.99	4210.15	6079.61	6121.9	5517.27	7081.29	20030.74	19892.37	3491.39	6164.49	6471.02	5831.91	8479.89	5112.16	4639.29	10368.08	11035.54	9540.5	3982.99	3742.05	7433.4	13399.51	9151.82	7911.95	4607.24	4010.71	4268.94	8421.31	4769.75	1487.87	3955.48	3665.02	2090.03	2451.44	1242.34	1551.09	1295.13	1883.54
ECE2	42.71	48.87	65.72	0.0	0.09	239.52	108.9	162.14	159.9	122.64	220.32	239.52	291.04	72.52	169.07	281.09	165.57	253.23	115.97	145.02	307.69	285.03	107.38	231.32	105.15	162.14	283.05	242.88	199.85	166.73	152.28	232.94	232.94	91.41	47.5	61.25	56.28	115.16	135.24	48.52	71.0	68.55	74.58
EEFSEC	301.33	412.0	303.44	0.0	0.43	780.44	490.14	466.88	638.15	703.28	764.36	521.76	775.05	511.0	620.67	728.11	525.39	642.59	518.15	503.95	743.43	406.31	529.06	518.15	647.07	543.96	967.76	866.07	693.58	583.07	748.61	463.65	703.28	447.82	353.59	500.46	435.55	414.87	420.68	332.14	406.31	387.02	420.68
FAM136A	473.41	417.77	454.09	0.0	0.2	836.53	830.75	961.07	854.13	693.58	1199.98	1143.1	1066.48	728.11	1044.52	1104.13	733.19	988.12	693.58	909.17	1059.11	1066.48	915.51	743.43	802.41	928.3	1111.82	836.53	1030.12	808.0	974.5	842.36	1030.12	620.67	563.18	656.11	656.11	595.34	693.58	341.51	400.71	343.89	476.71
FAM221A	85.82	118.43	87.65	0.0	0.58	301.33	108.9	343.89	157.68	217.27	379.04	780.44	559.28	82.29	403.5	175.07	165.57	162.14	209.84	265.87	265.87	206.94	16.51	253.23	320.8	414.87	599.49	325.29	312.0	183.82	251.48	197.09	138.1	175.07	84.63	82.29	140.04	106.63	115.97	105.15	122.64	159.9	78.89
FAM86A	155.5	171.45	189.02	0.0	0.0	412.0	287.01	341.51	283.05	271.48	299.25	507.46	343.89	267.73	251.48	426.57	295.11	438.59	271.48	297.17	529.06	384.34	299.25	279.14	237.86	366.09	559.28	376.41	343.89	279.14	323.03	381.68	381.68	218.79	273.37	275.28	267.73	258.57	226.54	215.77	237.86	229.72	239.52
GALK2	325.29	299.25	361.04	0.0	0.15	547.75	457.25	629.35	633.73	406.31	417.77	796.86	525.39	497.0	624.99	423.61	457.25	503.95	384.34	656.11	392.44	660.68	607.87	400.71	332.14	532.74	1331.57	414.87	551.56	497.0	400.71	480.04	656.11	447.82	379.04	420.68	447.82	444.72	536.45	236.21	332.14	346.29	267.73
GGACT	23.93	81.71	40.36	0.0	0.0	155.5	173.85	242.88	175.07	121.79	201.25	156.59	226.54	115.16	204.07	128.79	182.55	267.73	98.04	215.77	202.66	217.27	204.07	209.84	277.2	201.25	521.76	215.77	183.82	120.94	253.23	88.88	124.37	126.12	75.64	48.87	135.24	128.79	115.16	81.14	84.63	87.65	68.07
GGCT	620.67	620.67	583.07	0.0	0.74	2816.11	1721.16	2573.36	1819.35	2075.59	1551.09	4481.23	5041.77	1313.23	2645.74	2664.15	1340.84	2351.53	1721.16	2119.22	2645.74	3742.05	1781.89	2148.82	2224.63	2061.24	8022.41	2645.74	2573.36	2573.36	2816.11	3018.3	2758.13	1151.06	703.28	1008.9	1059.11	1044.52	1030.12	1304.15	967.76	738.29	647.07
GINS2	3.86	12.55	3.08	0.0	0.0	49.21	51.35	23.93	36.27	135.24	29.7	195.72	212.78	59.13	70.51	42.41	74.58	77.79	33.3	65.72	68.07	38.67	42.41	56.28	61.25	35.5	264.03	78.89	92.05	48.18	73.03	49.91	152.28	67.59	29.91	47.17	55.1	59.97	50.27	46.84	34.75	36.27	25.54
GMDS	51.35	193.01	193.01	0.0	0.59	2520.38	1883.54	2319.15	1467.37	1277.29	1721.16	5403.7	3540.14	921.88	2178.83	1769.57	1806.78	4095.0	1617.0	2835.7	2645.74	2796.65	1757.34	1857.6	1447.15	2255.7	3124.78	2537.92	2573.36	748.61	872.1	1991.0	3235.01	543.96	389.72	759.08	718.08	921.88	802.41	260.38	283.05	281.09	217.27
HMBS	162.14	237.86	305.55	0.0	0.0	915.51	457.25	836.53	463.65	575.03	486.75	791.35	703.28	483.38	400.71	764.36	529.06	567.1	575.03	497.0	759.08	921.88	305.55	283.05	543.96	595.34	1331.57	764.36	563.18	371.22	728.11	698.41	583.07	575.03	242.88	423.61	432.53	379.04	339.14	191.67	273.37	127.89	301.33
ICAM3	141.02	175.07	218.79	0.0	0.51	674.59	429.54	723.08	656.11	579.04	441.64	1066.48	1359.57	547.75	743.43	684.02	358.54	866.07	559.28	642.59	866.07	1407.55	780.44	551.56	435.55	651.58	1096.5	928.3	713.11	540.19	753.83	830.75	595.34	486.75	255.0	438.59	395.18	397.93	463.65	132.44	150.17	234.57	176.29
INO80B	460.44	612.11	493.56	0.0	0.79	1991.0	848.22	1561.89	947.83	921.88	981.29	1594.73	1628.26	909.17	1467.37	1111.82	769.69	1540.37	753.83	836.53	1605.83	2090.03	1044.52	1359.57	1662.49	1096.5	1819.35	1467.37	928.3	947.83	1551.09	954.43	896.64	785.88	490.14	860.08	743.43	620.67	624.99	490.14	493.56	417.77	579.04
KLK15	0.0	0.0	0.0	0.0	0.04	175.07	106.63	441.64	563.18	830.75	341.51	1313.23	1369.04	149.12	860.08	242.88	309.83	111.99	269.6	249.73	334.46	301.33	121.79	87.65	423.61	384.34	884.29	339.14	429.54	201.25	287.01	169.07	559.28	43.02	24.46	55.89	57.49	25.17	21.16	0.0	0.0	0.0	4.03
KLK3	0.0	0.0	0.0	0.0	0.0	1345768.59	1005860.33	1116072.03	1212874.47	1163466.92	1116072.03	334117.42	881742.8	1055868.42	1255646.43	1187913.85	1093103.58	1139523.1	1100706.72	1327240.99	1147449.11	978355.0	1412675.8	1238359.56	1327240.99	1196176.45	542775.98	1212874.47	1238359.56	1048575.0	1345768.59	1472666.19	1229805.58	1019901.63	165904.25	834179.46	794671.01	546551.29	573724.06	62.12	10.71	6.67	5.77
LAMA1	5.87	2.12	1.46	0.0	0.6	11.47	9.56	7.17	13.72	11.38	3.72	94.01	44.89	18.29	15.56	3.26	20.56	21.01	8.19	6.31	18.29	14.89	12.74	4.5	5.59	34.75	55.89	30.56	13.03	9.06	9.41	9.2	11.38	18.7	3.56	12.36	10.79	16.88	20.11	1.27	4.24	3.06	3.66
MCCC1	381.68	412.0	466.88	0.0	0.11	1167.14	543.96	941.27	412.0	748.61	620.67	1233.75	1216.75	409.15	1369.04	656.11	579.04	733.19	447.82	703.28	825.0	1331.57	860.08	854.13	1037.29	860.08	1662.49	1183.45	848.22	674.59	775.05	909.17	575.03	688.78	397.93	420.68	555.41	529.06	536.45	343.89	346.29	332.14	379.04
MESP2	1.75	0.0	1.03	0.0	0.06	97.36	10.31	31.0	16.63	277.2	13.62	81.71	38.4	43.32	43.32	25.91	10.55	31.22	5.68	52.08	29.48	236.21	45.53	146.03	182.55	25.35	126.12	211.31	17.0	72.01	46.84	32.59	38.12	14.56	12.64	28.24	40.36	26.28	24.28	14.56	5.15	19.39	0.0
MMAA	49.21	65.72	80.57	0.0	0.19	91.41	96.68	90.14	112.77	135.24	136.19	226.54	139.07	95.34	116.78	108.9	103.69	102.97	121.79	120.94	157.68	164.42	199.85	113.56	143.01	110.43	253.23	123.5	126.12	92.05	146.03	118.43	129.69	86.43	85.22	75.64	103.69	92.7	76.71	87.03	63.0	61.25	78.89
MRPL12	915.51	866.07	1242.34	0.0	0.27	3491.39	1651.0	2855.44	2104.58	2319.15	2400.97	4607.24	6381.92	1685.71	4152.18	2976.74	1628.26	3039.3	2004.85	1662.49	4769.75	4575.41	2609.3	1639.59	2224.63	2119.22	2976.74	3874.05	2434.5	1896.65	1963.57	1909.85	3257.52	1457.23	1081.39	1250.98	1135.2	1199.98	1167.14	674.59	878.17	595.34	848.22
MRPL48	423.61	441.64	395.18	0.0	0.25	1508.65	890.44	1313.23	915.51	947.83	941.27	1540.37	1313.23	947.83	1242.34	1001.93	872.1	1208.34	603.67	1023.0	1208.34	1674.06	1487.87	995.0	1135.2	1111.82	2451.44	1331.57	967.76	1119.56	1023.0	884.29	1242.34	1304.15	669.92	764.36	934.76	748.61	813.63	275.28	376.41	490.14	412.0
MRPS24	2075.59	2384.37	2468.49	0.0	0.92	4512.4	3257.52	3146.52	3820.7	3742.05	3768.09	7485.11	7331.05	3794.3	5112.16	4010.71	3395.89	4239.45	2573.36	2796.65	6121.9	5479.15	4671.57	3716.2	3820.7	3794.3	6381.92	4972.34	3742.05	3419.52	3039.3	3467.27	4836.35	3280.18	2351.53	3081.75	2758.13	2319.15	2682.69	2209.26	2133.97	1991.0	2384.37
MRPS33	921.88	967.76	974.5	0.0	0.0	2976.74	2319.15	2451.44	2434.5	2018.8	2400.97	3491.39	3540.14	1697.45	2384.37	2816.11	2032.85	2627.46	1540.37	2855.44	3235.01	3467.27	3039.3	1781.89	2664.15	1583.71	5672.41	2816.11	2555.58	2335.28	1977.24	2367.9	2875.3	1662.49	1378.57	1561.89	1551.09	1508.65	1662.49	1023.0	796.86	1073.91	1111.82
