	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.XK.AAK1.01A.11R.A41O.07	TCGA.G9.6367.01A.11R.1789.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.H9.7775.01A.11R.2118.07	TCGA.J4.A6G1.01A.11R.A311.07	TCGA.XK.AAJR.01A.11R.A41O.07	TCGA.Y6.A9XI.01A.11R.A41O.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.HC.8259.01A.11R.2263.07	TCGA.V1.A8MK.01A.11R.A36G.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.HC.7077.01A.11R.1965.07	TCGA.J4.A83N.01A.11R.A352.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7781.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7314.11A.01R.2118.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.EJ.7331.11A.01R.2118.07
ADAD2	62.56	105.15	3.35	19.97	5.06	0.48	1.28	44.89	8.25	4.58	11.82	6.11	49.21	37.85	7.82	18.29	23.08	18.56	29.91	41.22	67.59	21.32	34.02
AK7	988.12	163.28	7.4	33.3	12.64	1.77	29.91	9.06	21.32	35.5	21.16	31.0	21.16	24.81	10.63	16.88	30.12	22.1	24.99	32.82	17.77	29.91	23.76
ALDH3B1	220.32	551.56	41.81	82.29	35.76	16.75	50.63	136.19	45.53	52.45	42.11	23.93	53.95	62.56	17.25	23.76	303.44	204.07	150.17	167.9	113.56	231.32	105.15
ANAPC10	353.59	551.56	228.13	307.69	260.38	267.73	305.55	363.56	305.55	287.01	237.86	346.29	309.83	309.83	214.27	211.31	351.14	339.14	414.87	384.34	323.03	438.59	403.5
ANKMY2	177.53	265.87	143.01	256.78	129.69	88.88	181.28	246.28	253.23	194.36	177.53	204.07	208.38	193.01	162.14	151.22	463.65	351.14	473.41	397.93	381.68	444.72	356.05
ANP32E	796.86	346.29	46.5	281.09	92.7	13.42	121.79	514.56	131.51	127.0	120.1	69.52	226.54	178.77	88.88	106.63	607.87	571.05	842.36	563.18	466.88	660.68	417.77
ARL4C	2555.58	2720.15	55.89	316.37	94.67	26.28	112.77	454.09	140.04	65.72	111.21	73.54	190.34	218.79	53.57	95.34	450.94	503.95	518.15	454.09	379.04	587.13	281.09
ASB4	0.0	11.38	0.0	4.17	1.39	0.0	0.37	1.81	0.0	0.0	0.71	0.71	2.14	2.39	0.0	1.77	1.81	1.48	0.78	3.44	0.39	5.77	0.0
ATP1B1	1081.39	1709.26	228.13	909.17	255.0	158.79	450.94	1639.59	624.99	249.73	291.04	185.11	525.39	493.56	118.43	450.94	3589.58	1896.65	1963.57	2104.58	1551.09	2875.3	1350.18
AVPI1	29943.43	2682.69	136.19	438.59	178.77	82.87	109.66	463.65	255.0	136.19	172.65	158.79	466.88	389.72	127.89	249.73	825.0	397.93	346.29	684.02	387.02	403.5	309.83
