	TCGA.38.7271.01A.11R.2039.07	TCGA.49.AARR.01A.11R.A41B.07	GTEX.13NYS.1626.SM.5J2MU	GTEX.11DZ1.0426.SM.5H11A	GTEX.131XH.0426.SM.5DUWU	TCGA.60.2697.01A.11R.2125.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.43.6773.11A.01R.1949.07	TCGA.77.8008.11A.01R.2187.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.J9.A52D.01A.11R.A29R.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.TP.A8TV.01A.11R.A41O.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.EJ.A8FO.01A.21R.A36G.07	TCGA.G9.6353.01A.11R.1965.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.FC.A5OB.01A.11R.A29R.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A6RA.01A.11R.A33R.07	TCGA.HC.7820.01A.11R.2118.07	TCGA.EJ.A46B.01A.31R.A250.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7327.11A.01R.2118.07	TCGA.EJ.7794.11A.01R.2118.07	TCGA.EJ.7786.11A.01R.2118.07	TCGA.EJ.7784.11A.01R.2118.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.EJ.7792.11A.01R.2118.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.EJ.7330.11A.01R.2118.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.EJ.7315.11A.01R.2118.07	TCGA.CH.5767.11B.01R.1789.07	TCGA.HC.8259.11A.01R.2263.07	TCGA.EJ.7331.11A.01R.2118.07	GTEX.U4B1.1426.SM.4DXTX	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.12C56.1326.SM.5FQSV	GTEX.WZTO.0926.SM.4PQZ3	GTEX.XMK1.1026.SM.4B65H	GTEX.13O61.1726.SM.5KM46	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.QLQ7.1326.SM.4R1JY	GTEX.11O72.2726.SM.5HL6K	TCGA.EL.A3CY.01A.11R.A19O.07
ADORA1	54.33	39.5	115.16	303.44	65.72	37.85	72.01	58.3	126.12	17.0	7.63	1.57	4.35	2.86	13.52	3.72	5.68	16.63	3.96	5.19	2.97	3.89	8.85	3.72	1.69	0.0	8.51	2.12	2.43	22.43	13.42	14.45	3.03	1.77	14.89	1.36	3.32	11.64	3.79	8.32	23.42	5.15	5.54	15.0	3.86	3.11	3.38	3.76	8.85	14.45	0.88	2.76	7.28	3.14	20.71	8.19	224.97
ALPK1	226.54	438.59	392.44	343.89	289.02	275.28	336.79	316.37	309.83	47.17	48.52	85.22	91.41	88.88	180.02	121.79	96.68	142.01	28.24	108.14	191.67	112.77	107.38	120.94	117.6	126.12	153.34	87.65	139.07	253.23	202.66	221.86	133.36	111.21	208.38	94.67	169.07	197.09	120.1	155.5	295.11	239.52	130.6	152.28	151.22	93.35	151.22	84.04	108.14	224.97	140.04	95.34	143.01	115.97	249.73	356.05	316.37
AQP9	95.34	171.45	420.68	417.77	271.48	127.0	137.14	1242.34	497.0	1.64	1.62	0.6	0.93	1.91	6.41	4.17	5.41	6.11	0.57	11.55	30.78	5.96	7.51	4.17	2.25	13.32	2.78	0.67	5.06	64.8	85.22	16.63	9.06	17.9	42.11	3.14	22.43	52.82	13.32	8.38	21.16	8.78	9.63	21.16	7.88	43.02	6.52	20.26	5.68	55.49	3.5	4.43	49.21	17.77	72.52	28.86	49.91
ARHGEF6	406.31	285.03	684.02	486.75	435.55	346.29	303.44	490.14	309.83	77.79	27.25	17.13	37.32	54.72	92.05	74.06	64.8	133.36	33.06	86.43	117.6	76.71	111.99	59.97	57.89	57.49	120.94	54.72	85.82	234.57	236.21	141.02	113.56	81.14	218.79	70.01	169.07	258.57	80.01	140.04	473.41	127.0	131.51	228.13	103.69	77.25	124.37	109.66	78.89	140.04	74.58	103.69	87.65	162.14	226.54	195.72	454.09
ARRDC3	2075.59	1159.07	1709.26	1457.23	3928.15	1806.78	1286.18	1561.89	1417.35	392.44	204.07	141.02	38.12	409.15	547.75	514.56	486.75	743.43	162.14	738.29	1628.26	813.63	285.03	403.5	336.79	293.07	723.08	384.34	450.94	1709.26	1583.71	1225.22	1183.45	1259.69	1127.35	470.14	1457.23	1519.15	769.69	559.28	1685.71	1769.57	417.77	802.41	616.37	379.04	543.96	571.05	629.35	1617.0	307.69	155.5	896.64	1023.0	1216.75	2796.65	1896.65
C10orf128	638.15	323.03	2609.3	397.93	124.37	500.46	420.68	854.13	656.11	103.69	31.22	18.29	39.5	55.49	135.24	80.57	102.25	177.53	24.99	108.14	163.28	148.09	176.29	117.6	75.64	100.83	205.5	73.03	81.14	368.65	305.55	253.23	239.52	279.14	358.54	98.73	339.14	351.14	122.64	191.67	587.13	185.11	143.01	246.28	172.65	93.35	149.12	120.94	153.34	228.13	74.06	116.78	123.5	215.77	339.14	325.29	947.83
C10orf54	2133.97	1477.58	1508.65	4769.75	947.83	1950.0	1561.89	3491.39	2609.3	435.55	109.66	69.52	177.53	303.44	457.25	389.72	629.35	733.19	172.65	343.89	547.75	624.99	642.59	503.95	343.89	563.18	688.78	262.2	346.29	1709.26	1896.65	954.43	748.61	563.18	1487.87	507.46	825.0	1709.26	624.99	896.64	2032.85	1199.98	708.18	1322.37	915.51	813.63	543.96	753.83	612.11	1662.49	454.09	688.78	679.29	934.76	2351.53	836.53	2537.92
C19orf59	96.01	414.87	525.39	669.92	1551.09	68.55	140.04	2451.44	2485.67	0.57	0.49	0.0	0.0	0.96	1.81	0.56	1.89	1.53	0.0	1.01	11.55	4.94	0.0	0.0	0.0	0.96	2.39	0.0	0.93	14.89	44.89	8.0	2.27	6.67	13.52	0.0	8.06	23.25	0.97	3.44	3.17	9.7	0.57	2.71	4.21	3.59	0.56	0.0	1.95	11.91	0.0	0.0	13.42	2.63	14.03	7.28	55.1
C1QTNF5	848.22	1628.26	3212.66	1617.0	2956.17	1208.34	1844.76	1259.69	1313.23	447.82	85.82	70.51	183.82	185.11	285.03	271.48	384.34	293.07	165.57	125.24	262.2	236.21	457.25	312.0	152.28	218.79	500.46	236.21	119.26	400.71	447.82	220.32	283.05	239.52	599.49	329.84	303.44	587.13	253.23	283.05	500.46	265.87	366.09	409.15	163.28	314.17	159.9	295.11	299.25	579.04	109.66	363.56	392.44	536.45	769.69	974.5	1259.69
C20orf112	205.5	291.04	289.02	239.52	500.46	318.57	264.03	305.55	277.2	97.36	72.01	82.29	100.13	134.3	141.02	127.89	163.28	172.65	94.01	161.02	204.07	143.01	120.94	149.12	113.56	165.57	166.73	166.73	155.5	309.83	258.57	190.34	193.01	113.56	215.77	150.17	146.03	271.48	161.02	194.36	314.17	217.27	169.07	226.54	156.59	178.77	159.9	176.29	248.0	271.48	183.82	215.77	218.79	189.02	166.73	363.56	332.14
C5AR1	775.05	1051.79	1388.16	1066.48	457.25	339.14	629.35	2434.5	1417.35	75.11	21.16	17.13	62.12	17.38	39.22	33.54	42.11	82.87	21.94	57.89	242.88	72.52	208.38	76.71	19.97	49.21	53.95	26.28	18.16	236.21	420.68	147.06	33.3	46.5	110.43	19.68	172.65	303.44	37.85	139.07	171.45	176.29	59.97	132.44	57.89	61.68	38.67	42.71	48.52	320.8	48.52	23.08	74.58	82.87	291.04	199.85	733.19
CDH11	1605.83	684.02	4512.4	9673.69	470.14	890.44	1651.0	2178.83	1651.0	297.17	72.01	23.42	79.45	120.1	275.28	204.07	152.28	299.25	41.81	241.19	255.0	198.47	158.79	99.43	115.16	120.1	269.6	59.55	134.3	915.51	1088.92	486.75	363.56	115.97	579.04	135.24	201.25	420.68	361.04	432.53	1151.06	264.03	249.73	603.67	301.33	587.13	204.07	61.68	246.28	334.46	85.82	122.64	75.64	183.82	583.07	316.37	769.69
