	TCGA.D8.A145.01A.11R.A115.07	TCGA.AC.A2FK.01A.12R.A180.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LG.A9QD.01A.11R.A38B.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.CH.5765.01A.11R.1580.07	TCGA.EJ.7783.01A.11R.2118.07	TCGA.VN.A88R.01A.11R.A36G.07	TCGA.KK.A7B4.01A.11R.A32O.07	TCGA.XK.AAIR.01A.11R.A41O.07	TCGA.G9.6366.01A.11R.2118.07	TCGA.G9.6494.01A.11R.1789.07
GIT2	521.76	559.28	248.0	231.32	178.77	153.34	153.34	95.34	113.56	297.17	486.75	183.82	325.29	336.79	297.17	258.57
GOLGA8Q	15.11	40.07	0.0	19.25	0.0	0.0	0.0	0.0	0.0	30.56	34.02	0.0	19.82	41.22	2.39	10.47
GPBP1L1	2319.15	2004.85	1896.65	2047.0	1030.12	688.78	825.0	967.76	860.08	1936.53	1923.14	1127.35	1697.45	1583.71	1417.35	1498.22
GSPT1	2384.37	1832.01	2367.9	1268.46	703.28	988.12	759.08	665.29	759.08	1936.53	2163.77	1628.26	2090.03	1457.23	1417.35	1745.2
GTDC1	295.11	244.57	108.14	242.88	151.22	98.04	113.56	68.55	89.51	351.14	220.32	105.15	249.73	183.82	186.4	246.28
GTF3C4	323.03	346.29	146.03	158.79	52.08	37.85	26.1	48.87	36.01	202.66	248.0	96.01	180.02	161.02	119.26	159.9
HACE1	139.07	193.01	209.84	108.14	31.9	24.46	34.02	16.03	16.03	215.77	199.85	17.77	115.16	106.63	88.88	113.56
HDX	48.52	65.72	7.82	4.03	14.45	1.28	19.82	6.52	1.5	56.28	54.33	28.65	43.32	27.05	24.28	23.76
HES1	1540.37	1709.26	17804.06	9540.5	1143.1	497.0	848.22	543.96	444.72	2384.37	4575.41	665.29	2591.27	1397.83	860.08	438.59
HIC2	36.79	48.87	17.25	10.79	14.78	20.26	12.55	13.12	13.83	18.7	37.85	16.39	23.42	39.5	20.41	31.45
HMGB1	6207.38	7537.18	4869.99	9474.59	3124.78	2434.5	4903.87	3280.18	2224.63	7280.4	5594.3	4704.07	4066.71	6381.92	4607.24	5872.48
IKZF2	205.5	133.36	1617.0	890.44	6.16	5.36	5.45	5.28	6.62	84.04	215.77	23.25	116.78	90.77	33.78	76.71
IMPG1	3.06	31.67	12.27	2.18	0.0	0.74	0.0	0.0	0.0	11.21	9.41	0.59	10.63	1.93	0.62	1.48
INTS12	629.35	460.44	217.27	438.59	403.5	329.84	285.03	229.72	154.42	638.15	486.75	389.72	521.76	457.25	283.05	493.56
ITPR3	420.68	563.18	1216.75	599.49	13.83	13.93	7.94	5.59	10.39	599.49	559.28	59.13	587.13	215.77	134.3	150.17
ITPRIPL2	289.02	341.51	406.31	224.97	47.17	70.51	44.25	32.13	41.22	251.48	429.54	132.44	204.07	264.03	198.47	177.53
KAT8	1277.29	1066.48	409.15	967.76	764.36	329.84	412.0	599.49	480.04	1059.11	1096.5	808.0	1151.06	1151.06	647.07	842.36
KATNA1	325.29	353.59	218.79	397.93	150.17	157.68	176.29	162.14	73.03	336.79	303.44	277.2	293.07	305.55	182.55	236.21
KDM5B	1096.5	854.13	3257.52	647.07	68.07	87.03	126.12	73.54	45.85	967.76	915.51	264.03	660.68	480.04	384.34	483.38
KIAA0586	320.8	218.79	171.45	110.43	118.43	114.36	101.54	67.12	22.75	212.78	224.97	118.43	172.65	178.77	133.36	127.0
LRRC8A	563.18	733.19	4512.4	1781.89	435.55	450.94	603.67	444.72	603.67	813.63	1167.14	532.74	775.05	651.58	444.72	884.29
LYPD3	1561.89	1457.23	9975791.32	8330662.65	4.54	4.46	10.16	3.47	16.51	389.72	514.56	211.31	316.37	563.18	387.02	603.67
LYSMD1	224.97	189.02	78.34	76.71	94.67	75.11	125.24	67.59	101.54	193.01	201.25	89.51	163.28	134.3	109.66	128.79
MAML1	518.15	518.15	182.55	293.07	89.51	73.54	84.04	72.52	60.39	497.0	624.99	221.86	454.09	368.65	214.27	356.05
MAN2A2	842.36	759.08	106.63	218.79	547.75	438.59	1030.12	406.31	323.03	775.05	934.76	348.71	785.88	579.04	633.73	490.14
MAP3K5	169.07	497.0	532.74	329.84	187.71	183.82	128.79	176.29	94.01	1340.84	1151.06	575.03	660.68	890.44	555.41	595.34
MAPK8	1015.93	791.35	1151.06	559.28	323.03	215.77	141.02	275.28	246.28	915.51	941.27	255.0	693.58	429.54	476.71	480.04
MBTD1	239.52	334.46	120.94	202.66	90.14	45.85	44.89	100.13	59.13	336.79	343.89	76.71	218.79	169.07	127.0	128.79
MCM3	947.83	1008.9	2119.22	575.03	264.03	234.57	309.83	132.44	248.0	518.15	665.29	470.14	753.83	591.22	314.17	500.46
MCM9	269.6	363.56	142.01	150.17	63.0	48.87	35.76	47.5	36.79	214.27	267.73	44.57	199.85	149.12	90.77	154.42
MED12	624.99	599.49	214.27	136.19	138.1	102.97	101.54	78.34	105.89	529.06	718.08	226.54	454.09	381.68	295.11	441.64
MED28	878.17	679.29	392.44	236.21	226.54	194.36	186.4	228.13	251.48	753.83	679.29	409.15	669.92	595.34	303.44	503.95
MTA3	1551.09	780.44	1407.55	1175.27	253.23	353.59	271.48	166.73	157.68	1143.1	825.0	612.11	1044.52	842.36	808.0	769.69
MTF2	379.04	351.14	197.09	190.34	81.14	63.0	63.89	48.52	29.7	232.94	249.73	126.12	183.82	152.28	89.51	126.12
MYEF2	466.88	466.88	0.0	0.16	4.5	2.53	5.92	1.0	5.87	656.11	633.73	426.57	703.28	348.71	202.66	312.0
NAPB	153.34	154.42	156.59	120.94	102.97	56.68	61.25	43.63	37.32	156.59	144.01	69.03	109.66	135.24	76.71	58.71
NCBP1	432.53	409.15	320.8	316.37	221.86	223.41	172.65	201.25	163.28	368.65	376.41	264.03	358.54	336.79	283.05	327.56
NCK2	703.28	1313.23	3794.3	2935.74	106.63	121.79	94.01	108.14	88.88	647.07	764.36	379.04	1066.48	688.78	466.88	896.64
NCOA5	1008.9	728.11	147.06	555.41	165.57	167.9	144.01	175.07	100.83	500.46	775.05	529.06	599.49	656.11	486.75	748.61
NEBL	708.18	1963.57	16727.26	14867.79	14.24	4.13	4.58	14.35	9.41	521.76	591.22	137.14	241.19	346.29	180.02	275.28
NFYA	473.41	536.45	334.46	185.11	142.01	127.89	120.94	98.73	104.42	497.0	629.35	283.05	444.72	406.31	224.97	389.72
NONO	6652.97	6337.83	5479.15	4481.23	2682.69	2796.65	2417.67	2271.4	2434.5	7642.41	6652.97	3716.2	8078.22	6426.31	5076.84	6037.61
NRP1	1001.93	1242.34	43.63	105.89	490.14	251.48	403.5	251.48	195.72	603.67	1044.52	371.22	540.19	748.61	543.96	587.13
NSD1	547.75	620.67	224.97	239.52	105.15	73.03	73.54	60.82	57.08	376.41	571.05	149.12	275.28	246.28	194.36	251.48
NUP107	575.03	470.14	283.05	438.59	173.85	134.3	117.6	112.77	94.67	307.69	336.79	239.52	351.14	351.14	206.94	275.28
NUP54	684.02	743.43	426.57	674.59	293.07	246.28	202.66	242.88	99.43	665.29	599.49	368.65	638.15	603.67	275.28	395.18
NUP98	1081.39	1259.69	703.28	921.88	356.05	420.68	435.55	490.14	500.46	1066.48	1183.45	825.0	1037.29	941.27	693.58	988.12
OR56B4	4.24	2.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.41	3.56	0.0	3.79	1.39	0.95	1.69
PARD6B	420.68	96.01	320.8	75.64	33.54	55.49	43.02	43.94	29.91	53.19	37.05	40.93	40.07	46.18	24.63	53.57
PARP16	312.0	348.71	191.67	182.55	197.09	181.28	159.9	183.82	231.32	255.0	291.04	197.09	248.0	256.78	157.68	204.07
PHF2	555.41	656.11	185.11	389.72	120.94	74.06	102.25	134.3	124.37	743.43	796.86	412.0	620.67	567.1	366.09	547.75
PIAS3	1477.58	1378.57	713.11	1104.13	181.28	127.0	107.38	58.71	86.43	819.3	1151.06	733.19	1008.9	813.63	769.69	1143.1
PLAGL2	423.61	175.07	271.48	246.28	28.65	20.56	28.86	43.32	38.4	166.73	228.13	116.78	140.04	187.71	116.78	201.25
POFUT2	460.44	473.41	54.33	180.02	373.81	180.02	176.29	175.07	117.6	647.07	567.1	403.5	921.88	540.19	426.57	463.65
PPP4R1	796.86	1051.79	7803.01	6337.83	249.73	366.09	279.14	201.25	182.55	759.08	775.05	476.71	587.13	633.73	435.55	583.07
PRKD3	384.34	460.44	100.13	73.03	89.51	39.5	52.08	61.25	39.5	307.69	299.25	66.18	209.84	166.73	108.14	151.22
PTBP1	5041.77	3794.3	4575.41	3589.58	2502.97	2047.0	2271.4	2047.0	2255.7	3190.46	4239.45	2758.13	3639.7	2997.45	3039.3	3794.3
RAB3B	242.88	47.84	9.78	0.0	8.78	47.17	55.1	0.67	0.0	1909.85	1151.06	234.57	708.18	327.56	303.44	860.08
RBM15B	507.46	647.07	309.83	403.5	145.02	159.9	117.6	177.53	140.04	591.22	688.78	432.53	642.59	460.44	389.72	529.06
RBM22	961.07	909.17	480.04	514.56	647.07	420.68	450.94	351.14	323.03	728.11	866.07	457.25	738.29	616.37	473.41	532.74
RBM41	229.72	258.57	125.24	106.63	61.68	70.01	137.14	65.26	36.79	194.36	214.27	84.04	149.12	134.3	102.97	90.14
RBMX	3639.7	4769.75	2193.99	2701.35	842.36	738.29	796.86	775.05	665.29	3349.13	4210.15	1950.0	2627.46	2956.17	1628.26	2468.49
RERE	1651.0	1313.23	198.47	460.44	237.86	224.97	211.31	180.02	232.94	3124.78	3982.99	1896.65	2875.3	2875.3	2573.36	2061.24
RFC5	366.09	253.23	389.72	212.78	157.68	123.5	144.01	143.01	165.57	255.0	314.17	185.11	297.17	229.72	138.1	190.34
RILPL2	642.59	679.29	251.48	1225.22	204.07	116.78	175.07	205.5	220.32	473.41	753.83	379.04	540.19	780.44	312.0	466.88
SCAF11	1175.27	1295.13	575.03	486.75	346.29	287.01	289.02	348.71	117.6	830.75	1199.98	738.29	769.69	791.35	483.38	759.08
SEMA4C	785.88	738.29	185.11	253.23	181.28	171.45	237.86	343.89	185.11	733.19	921.88	293.07	780.44	785.88	255.0	480.04
SENP6	1250.98	1340.84	356.05	769.69	400.71	303.44	157.68	323.03	83.45	1628.26	1662.49	438.59	1208.34	1111.82	738.29	808.0
SEPT10	1081.39	1639.59	4328.55	2032.85	269.6	303.44	267.73	525.39	224.97	866.07	921.88	303.44	555.41	559.28	381.68	595.34
SESTD1	872.1	1233.75	34.75	62.56	89.51	221.86	154.42	91.41	183.82	395.18	486.75	150.17	194.36	332.14	100.83	318.57
SETD1A	291.04	258.57	94.01	167.9	109.66	87.65	87.03	92.7	90.77	214.27	289.02	161.02	279.14	202.66	136.19	187.71
SLC24A5	10.0	13.72	0.01	0.0	0.0	0.0	0.0	1.93	0.0	10.88	13.72	1.85	13.42	3.44	0.87	8.71
SLC44A2	3716.2	3847.29	4836.35	5147.73	256.78	297.17	253.23	140.04	314.17	1639.59	2627.46	1844.76	1437.15	2018.8	1340.84	2434.5
SLFN14	1.11	1.5	0.0	0.51	0.67	0.0	0.0	0.0	0.0	0.55	1.04	0.0	0.93	1.04	0.0	0.0
SNRNP200	2664.15	2720.15	1159.07	1757.34	1104.13	1143.1	921.88	1066.48	1151.06	2224.63	2816.11	1519.15	3443.31	2224.63	1781.89	2133.97
SORL1	397.93	884.29	1583.71	753.83	316.37	149.12	231.32	753.83	473.41	642.59	1066.48	38.95	493.56	624.99	334.46	201.25
SOX4	1088.92	1781.89	305.55	470.14	23.76	61.68	20.11	25.35	23.76	2061.24	1001.93	285.03	921.88	420.68	400.71	547.75
SPOPL	764.36	555.41	127.89	162.14	70.01	70.51	63.89	69.52	50.63	486.75	460.44	64.8	248.0	264.03	176.29	260.38
SRSF3	3124.78	3540.14	3372.43	3716.2	1081.39	1250.98	1096.5	1605.83	769.69	2335.28	3515.68	1870.53	2935.74	3146.52	2047.0	2335.28
STK35	525.39	339.14	262.2	158.79	98.73	102.97	70.01	93.35	92.7	358.54	417.77	201.25	325.29	256.78	249.73	159.9
STON1-GTF2A1L	17.0	11.13	0.0	0.0	0.49	6.11	0.0	0.0	0.0	41.52	55.89	0.0	8.85	13.32	1.46	13.93
SYNCRIP	1781.89	2119.22	1819.35	1572.76	624.99	583.07	353.59	463.65	438.59	1259.69	1540.37	476.71	1059.11	665.29	813.63	1059.11
TAF1	624.99	587.13	195.72	198.47	61.25	70.51	48.52	63.45	39.79	435.55	603.67	108.14	244.57	358.54	181.28	224.97
TAF5L	466.88	363.56	122.64	234.57	204.07	130.6	199.85	198.47	153.34	273.37	336.79	199.85	248.0	265.87	147.06	269.6
TAF7	2351.53	1936.53	967.76	1199.98	733.19	332.14	819.3	928.3	473.41	2417.67	2163.77	2351.53	2351.53	2240.11	2004.85	1757.34
TAS2R19	5.19	4.13	0.0	0.21	0.0	0.0	0.0	0.0	0.0	7.88	7.17	0.0	5.59	5.32	1.13	4.28
TAS2R20	16.88	21.94	3.86	6.52	4.24	3.72	2.56	2.94	0.0	10.31	11.55	4.82	10.79	12.45	1.01	4.98
TBC1D16	981.29	607.87	6.73	16.15	172.65	323.03	166.73	72.01	65.72	1159.07	1151.06	392.44	1313.23	373.81	665.29	748.61
TECTA	6.78	7.88	1.45	3.32	5.77	3.44	1.41	2.89	4.31	9.93	11.82	4.31	9.06	6.84	5.06	3.79
TET3	164.42	155.5	291.04	209.84	25.35	21.16	17.9	23.42	10.88	256.78	265.87	45.85	186.4	73.54	90.14	88.26
TGFBRAP1	392.44	293.07	154.42	194.36	43.02	44.57	47.17	48.52	53.57	356.05	403.5	123.5	329.84	277.2	260.38	287.01
TGIF2	353.59	339.14	123.5	104.42	81.71	85.82	136.19	201.25	111.99	264.03	366.09	64.34	208.38	241.19	142.01	291.04
TIAM2	154.42	289.02	64.34	297.17	54.33	45.85	35.5	28.65	27.25	208.38	228.13	147.06	157.68	197.09	125.24	181.28
TLK2	476.71	647.07	269.6	412.0	204.07	183.82	185.11	173.85	112.77	490.14	587.13	358.54	457.25	420.68	316.37	429.54
TMEM229B	165.57	343.89	45.21	120.94	11.64	8.99	21.47	9.34	13.72	63.89	164.42	76.17	134.3	135.24	40.36	83.45
TRIM39	291.04	368.65	131.51	186.4	161.02	127.89	106.63	108.14	91.41	283.05	287.01	244.57	232.94	271.48	177.53	255.0
TRIP12	2224.63	2351.53	1963.57	830.75	476.71	503.95	318.57	381.68	316.37	1397.83	1936.53	728.11	1277.29	1059.11	909.17	1073.91
USP47	1015.93	1015.93	387.02	595.34	336.79	363.56	256.78	346.29	172.65	1015.93	1259.69	529.06	612.11	698.41	571.05	842.36
USP7	1794.29	1651.0	1111.82	890.44	444.72	500.46	420.68	426.57	429.54	1583.71	1709.26	890.44	1427.22	1127.35	961.07	1216.75
VRK1	260.38	258.57	432.53	146.03	65.72	80.57	88.26	67.59	34.26	205.5	122.64	167.9	158.79	171.45	102.25	159.9
WASF2	2119.22	2271.4	624.99	301.33	258.57	353.59	218.79	122.64	126.12	1259.69	1697.45	587.13	1233.75	866.07	785.88	896.64
WDFY1	567.1	599.49	320.8	264.03	152.28	170.25	151.22	150.17	137.14	947.83	708.18	218.79	470.14	708.18	435.55	583.07
WNT7B	69.03	100.83	26248.46	12502.12	0.39	0.0	0.35	1.36	3.32	209.84	291.04	229.72	299.25	297.17	61.68	220.32
XRCC5	4836.35	4268.94	3794.3	3081.75	2163.77	1417.35	1397.83	1572.76	2555.58	3443.31	3564.78	1819.35	3190.46	2997.45	2255.7	2645.74
YPEL2	403.5	339.14	64.34	88.88	164.42	111.21	74.06	273.37	78.34	373.81	409.15	95.34	212.78	211.31	163.28	161.02
ZBED4	189.02	197.09	170.25	114.36	55.1	44.25	46.84	43.94	31.45	186.4	165.57	85.22	182.55	111.21	132.44	147.06
ZBTB11	267.73	283.05	157.68	150.17	86.43	55.49	56.28	59.55	23.25	220.32	232.94	135.24	189.02	165.57	113.56	178.77
ZBTB40	307.69	224.97	41.81	82.87	49.56	75.64	40.64	21.47	15.68	221.86	316.37	88.88	218.79	194.36	83.45	131.51
ZBTB7A	507.46	368.65	1447.15	674.59	150.17	161.02	202.66	178.77	108.9	301.33	426.57	271.48	262.2	332.14	256.78	371.22
ZC3H11A	1977.24	2004.85	1340.84	1096.5	612.11	438.59	620.67	647.07	334.46	1950.0	2004.85	830.75	1498.22	1572.76	1008.9	1066.48
ZC3H7B	961.07	995.0	209.84	379.04	432.53	511.0	460.44	616.37	660.68	1508.65	1467.37	785.88	1378.57	947.83	796.86	1051.79
ZNF17	164.42	132.44	50.27	158.79	18.43	22.26	17.77	22.59	15.91	91.41	135.24	68.07	97.36	85.22	46.84	77.79
ZNF195	420.68	500.46	226.54	591.22	178.77	159.9	95.34	88.88	35.76	532.74	547.75	193.01	417.77	409.15	318.57	389.72
ZNF230	120.94	81.71	64.8	28.65	18.16	14.78	13.72	22.75	10.16	65.26	62.12	34.75	61.25	47.84	32.36	45.53
ZNF235	124.37	100.83	37.85	33.54	22.59	33.06	12.36	19.68	3.96	81.71	68.07	49.91	87.03	96.68	45.21	56.28
ZNF326	599.49	457.25	363.56	395.18	234.57	163.28	103.69	190.34	93.35	397.93	392.44	234.57	275.28	339.14	234.57	253.23
ZNF343	376.41	209.84	113.56	173.85	93.35	97.36	84.63	77.25	50.98	205.5	206.94	149.12	170.25	169.07	108.14	113.56
ZNF461	142.01	129.69	11.13	82.87	19.25	7.4	11.82	22.26	7.46	76.71	97.36	53.57	99.43	93.35	69.52	79.45
ZNF496	387.02	379.04	64.34	81.71	71.0	21.78	15.11	46.18	50.98	327.56	403.5	149.12	297.17	480.04	137.14	279.14
ZNF550	201.25	155.5	31.45	82.87	11.82	7.17	21.16	21.01	10.71	234.57	246.28	77.79	185.11	110.43	90.14	110.43
ZNF592	426.57	389.72	82.87	107.38	123.5	127.89	133.36	125.24	137.14	341.51	387.02	215.77	341.51	236.21	187.71	237.86
ZNF610	79.45	102.25	2.23	1.36	4.17	2.1	3.66	3.0	2.92	285.03	229.72	90.14	172.65	161.02	161.02	135.24
ZNF614	193.01	150.17	3.76	13.83	4.21	3.23	15.45	20.26	5.96	698.41	454.09	120.94	490.14	120.94	148.09	255.0
ZNF615	409.15	249.73	16.51	10.31	21.78	4.78	22.1	34.75	16.15	1216.75	967.76	165.57	854.13	376.41	246.28	660.68
ZNF641	289.02	327.56	61.68	99.43	69.03	77.79	47.5	59.13	55.49	255.0	336.79	119.26	248.0	181.28	109.66	190.34
ZNF669	198.47	144.01	26.47	152.28	6.21	3.76	16.88	22.59	15.34	120.1	121.79	75.64	75.11	106.63	44.57	69.03
ZNF681	165.57	74.58	497.0	334.46	2.01	2.53	2.58	0.58	0.56	50.27	52.45	20.41	40.36	24.28	19.39	30.12
ZNF689	693.58	518.15	43.32	103.69	59.97	52.45	53.57	60.39	77.79	113.56	173.85	88.88	127.0	130.6	75.64	112.77
ZNF774	57.89	120.94	78.34	40.64	15.56	13.52	10.31	33.54	13.83	37.59	70.51	8.99	18.43	77.79	24.28	47.84
ZNF792	170.25	98.04	15.22	17.9	11.38	21.63	12.27	7.57	12.93	122.64	118.43	27.44	98.73	64.8	38.4	67.59
