	TCGA.BT.A2LB.11A.11R.A18C.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.L5.A4OM.11A.11R.A260.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.12BJ1.1626.SM.5HL8Y	GTEX.131XG.1026.SM.5GCMX	GTEX.XMK1.1326.SM.4B65Q	TCGA.CV.7437.11A.01R.2132.07	TCGA.44.6146.11A.01R.1858.07	GTEX.YFC4.1126.SM.5RQJN	GTEX.147F4.0926.SM.5Q5EO	GTEX.11WQC.0626.SM.5EQMF	GTEX.131XW.1126.SM.5EGK4	GTEX.13VXU.2726.SM.5LU4N	GTEX.13O3Q.0526.SM.5KM18	GTEX.N7MS.0926.SM.2HMIZ	GTEX.145LU.0526.SM.5O9AT	TCGA.56.8082.11A.01R.2247.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ANAPC11	3467.27	5147.73	3515.68	3467.27	2367.9	3395.89	1883.54	1721.16	5555.65	3564.78	2240.11	1467.37	1143.1	1551.09	1447.15	1561.89	1769.57	1242.34	1216.75	2271.4	5831.91	4575.41	3349.13	4512.4	3540.14	4869.99
ANAPC15	1167.14	921.88	1447.15	1304.15	954.43	1233.75	764.36	921.88	2193.99	1733.13	775.05	733.19	525.39	297.17	432.53	457.25	476.71	848.22	486.75	785.88	1709.26	1819.35	928.3	1991.0	1477.58	1639.59
ANXA1	218912.29	1970321.01	721179.07	1355129.16	52497.92	1364554.84	159145.95	141455.6	189257.69	303217.87	12943.04	116501.39	34635.37	24153.43	16383.0	36864.92	34635.37	21468.49	9673.69	28723.62	573724.06	958220.73	422911.59	863596.77	554180.87	789181.81
APRT	5594.3	7032.37	5006.93	4298.64	2485.67	6887.62	4769.75	4298.64	6699.25	6840.04	2400.97	1572.76	1216.75	1183.45	1991.0	1806.78	1519.15	1259.69	1781.89	2133.97	11267.44	10585.95	5711.87	3515.68	8598.28	10225.32
ATP5C1	5366.37	5219.6	4481.23	4038.61	4123.49	4543.8	3665.02	4481.23	6983.79	6935.54	2875.3	2104.58	1963.57	808.0	1487.87	1369.04	1950.0	1407.55	2335.28	2835.7	12244.81	8247.98	5831.91	6561.36	6699.25	8022.41
ATP5G1	6207.38	4123.49	4152.18	3395.89	2720.15	4419.52	2976.74	3768.09	9606.86	7589.61	2119.22	1397.83	1477.58	713.11	1697.45	1407.55	1359.57	1721.16	1417.35	2645.74	12160.22	11112.3	8078.22	7911.95	8363.13	8134.41
ATP5H	10808.41	12160.22	7749.1	8134.41	5711.87	9151.82	6381.92	6164.49	11504.21	12076.21	4481.23	3847.29	3794.3	2796.65	3614.55	2875.3	3039.3	3395.89	3639.7	4481.23	21919.61	17437.64	12160.22	13123.73	13492.72	17437.64
ATP5J	6164.49	7537.18	4450.27	4575.41	4328.55	5711.87	3639.7	4239.45	7749.1	6207.38	2777.33	2032.85	1896.65	1529.73	2758.13	1639.59	1870.53	2303.12	1628.26	3081.75	13968.57	7485.11	6294.04	8305.36	8247.98	8538.88
ATP5J2	17804.06	20737.16	14663.09	15607.02	7911.95	15075.35	11504.21	13123.73	23656.34	17927.91	7589.61	4671.57	3742.05	2609.3	4388.98	3491.39	5672.41	3928.15	4450.27	7180.15	40621.74	28328.16	18950.18	19214.73	19348.38	22535.88
C14orf2	4704.07	4123.49	3901.01	4419.52	3124.78	4575.41	3280.18	4239.45	7803.01	5041.77	2224.63	1498.22	1350.18	1242.34	1745.2	1313.23	1286.18	1651.0	1447.15	1844.76	8479.89	5479.15	2468.49	4152.18	3768.09	5751.61
