	TCGA.DD.AACX.01A.11R.A41C.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.DD.AACT.01A.11R.A41C.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.DD.AAEH.01A.11R.A41C.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.PWOO.0726.SM.2I3EB	TCGA.R5.A7O7.01A.11R.A33Y.31	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.DE.A0Y2.01A.11R.A10U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EL.A3CN.01A.12R.A20F.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.EL.A3GY.01A.21R.A206.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.EL.A3GS.01A.11R.A20F.07	TCGA.H2.A26U.01A.11R.A16R.07	TCGA.EL.A3H7.01A.11R.A21D.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EL.A3N3.01A.11R.A20F.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EM.A4G1.01A.11R.A250.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.FE.A230.01A.11R.A14Y.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A3UW.01A.11R.A22L.07	TCGA.EM.A22I.01A.11R.A180.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.ET.A2N4.01A.12R.A19O.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.DE.A69J.01A.21R.A39I.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.KS.A4I9.01A.11R.A250.07	TCGA.EL.A3ZG.01A.11R.A23N.07	TCGA.ET.A39O.01A.11R.A19O.07	TCGA.EL.A3D6.01A.12R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.FY.A3R8.01A.11R.A220.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.DJ.A2Q3.01A.11R.A18C.07	TCGA.EL.A3MZ.01A.11R.A21D.07
ACER2	21.63	4.98	0.0	25.72	18.43	1.31	9.48	9.85	3.47	2.53	6.01	23.25	8.58	29.27	105.15	88.88	60.82	20.11	94.67	108.9	96.68	271.48	35.5	26.86	35.25	32.82	133.36	22.75	138.1	43.32	281.09	138.1	95.34	66.65	164.42	61.68	85.22	22.92	221.86	166.73	74.58	62.56	28.65	46.5	163.28	81.71	30.34	111.21	146.03	25.91	74.06	135.24	57.08	46.84	13.12	120.1	44.25	59.13	76.71	33.06	88.26	181.28	47.5	146.03	75.11
ACVR1	420.68	199.85	246.28	301.33	287.01	198.47	177.53	121.79	123.5	159.9	191.67	379.04	178.77	314.17	334.46	813.63	525.39	514.56	1340.84	1447.15	1369.04	2163.77	1561.89	1151.06	341.51	1259.69	1651.0	629.35	1617.0	890.44	1977.24	1388.16	1561.89	954.43	1639.59	595.34	1119.56	954.43	1896.65	1769.57	967.76	642.59	1437.15	1135.2	1487.87	1350.18	1199.98	1437.15	1963.57	395.18	1477.58	1745.2	400.71	1417.35	1127.35	1583.71	1583.71	1498.22	1498.22	1175.27	1259.69	1896.65	759.08	1551.09	1225.22
AFAP1	36.27	12.27	53.95	16.03	24.46	13.12	39.22	2.97	17.77	15.22	23.59	116.78	13.22	48.87	172.65	231.32	124.37	146.03	363.56	283.05	303.44	463.65	291.04	251.48	83.45	217.27	316.37	177.53	389.72	218.79	423.61	435.55	384.34	189.02	289.02	154.42	221.86	187.71	403.5	483.38	144.01	108.14	226.54	234.57	314.17	358.54	220.32	299.25	389.72	102.97	353.59	303.44	124.37	318.57	158.79	332.14	283.05	358.54	264.03	277.2	199.85	361.04	189.02	389.72	368.65
AGRN	540.19	688.78	2090.03	1605.83	723.08	1059.11	470.14	1096.5	414.87	2004.85	1467.37	1051.79	665.29	1819.35	2240.11	2682.69	1388.16	1369.04	2701.35	2895.31	3467.27	5112.16	4123.49	3820.7	780.44	3540.14	4010.71	1651.0	3847.29	2384.37	4239.45	4512.4	3665.02	2645.74	3124.78	1806.78	2224.63	3467.27	3419.52	3589.58	2573.36	3467.27	4671.57	3349.13	4066.71	3716.2	3325.99	3395.89	3018.3	1322.37	3280.18	3235.01	954.43	4328.55	3742.05	3491.39	2178.83	3146.52	2875.3	4123.49	3280.18	3768.09	2520.38	3372.43	3665.02
AKT3	9.93	36.79	48.87	23.08	41.81	15.68	22.75	7.82	33.78	8.0	29.91	140.04	20.71	52.08	164.42	291.04	305.55	106.63	551.56	536.45	444.72	813.63	381.68	334.46	237.86	507.46	514.56	332.14	708.18	297.17	713.11	595.34	493.56	426.57	587.13	389.72	460.44	376.41	567.1	616.37	309.83	111.21	450.94	371.22	633.73	599.49	299.25	567.1	567.1	242.88	540.19	688.78	241.19	497.0	373.81	521.76	447.82	785.88	466.88	395.18	358.54	802.41	343.89	703.28	785.88
AMOT	1.07	6.73	17.51	120.1	11.13	3.2	12.45	24.11	4.13	15.11	3.53	14.78	27.84	15.91	74.06	129.69	66.65	67.12	358.54	309.83	197.09	490.14	220.32	295.11	26.1	175.07	397.93	80.01	346.29	70.51	395.18	366.09	447.82	73.03	387.02	59.55	148.09	95.34	486.75	490.14	146.03	116.78	190.34	229.72	571.05	371.22	116.78	346.29	339.14	61.68	223.41	285.03	33.54	129.69	111.21	395.18	348.71	277.2	231.32	163.28	232.94	392.44	117.6	493.56	283.05
ANKLE2	470.14	379.04	271.48	256.78	303.44	246.28	267.73	255.0	285.03	392.44	470.14	559.28	187.71	629.35	579.04	802.41	647.07	571.05	1030.12	909.17	896.64	1183.45	974.5	1066.48	902.89	708.18	1066.48	444.72	1127.35	616.37	884.29	1447.15	1044.52	599.49	1175.27	563.18	669.92	642.59	866.07	1242.34	708.18	532.74	802.41	928.3	981.29	909.17	928.3	988.12	1104.13	698.41	1073.91	1313.23	825.0	1127.35	629.35	981.29	1208.34	1008.9	1225.22	954.43	988.12	1037.29	490.14	1037.29	1051.79
ANKRD13A	256.78	275.28	320.8	177.53	283.05	312.0	348.71	111.99	283.05	156.59	624.99	460.44	169.07	511.0	361.04	1073.91	1583.71	1757.34	967.76	1242.34	842.36	1051.79	679.29	802.41	2351.53	961.07	1437.15	1340.84	808.0	1044.52	1259.69	941.27	934.76	915.51	1175.27	1832.01	1407.55	872.1	1081.39	1388.16	1208.34	974.5	872.1	890.44	842.36	1030.12	796.86	1519.15	1037.29	1769.57	1066.48	890.44	1331.57	1081.39	995.0	1015.93	921.88	1437.15	1001.93	974.5	808.0	1037.29	1008.9	1088.92	1037.29
APBB1	43.63	159.9	206.94	69.52	92.7	106.63	145.02	212.78	182.55	426.57	193.01	287.01	116.78	579.04	149.12	679.29	769.69	1617.0	514.56	363.56	529.06	703.28	748.61	708.18	480.04	529.06	587.13	514.56	656.11	543.96	583.07	860.08	688.78	575.03	579.04	476.71	486.75	587.13	660.68	791.35	616.37	371.22	567.1	728.11	665.29	780.44	791.35	679.29	780.44	599.49	532.74	638.15	291.04	620.67	587.13	571.05	620.67	718.08	633.73	595.34	521.76	647.07	486.75	656.11	463.65
ARHGAP17	563.18	395.18	651.58	295.11	748.61	351.14	669.92	341.51	679.29	420.68	336.79	1037.29	299.25	753.83	842.36	884.29	1159.07	1242.34	1073.91	1073.91	1051.79	1216.75	1008.9	1081.39	587.13	836.53	1159.07	642.59	954.43	1001.93	995.0	1250.98	1030.12	836.53	1286.18	713.11	872.1	791.35	1127.35	1111.82	1059.11	698.41	1059.11	1208.34	1023.0	1159.07	967.76	1119.56	1015.93	954.43	1015.93	928.3	819.3	1175.27	995.0	909.17	1044.52	1015.93	921.88	1143.1	1304.15	1119.56	854.13	1242.34	1111.82
