	TCGA.BP.4974.01A.01R.1334.07	TCGA.ET.A4KQ.01A.12R.A250.07	TCGA.FY.A76V.01A.11R.A39I.07	TCGA.EL.A3CZ.01A.11R.A19O.07	TCGA.EL.A4JV.01A.11R.A250.07	TCGA.MK.A84Z.01A.11R.A39I.07	TCGA.DJ.A3VK.01A.11R.A23N.07	TCGA.E3.A3DZ.01A.11R.A20F.07	TCGA.ET.A39L.01A.12R.A19O.07	TCGA.BJ.A18Y.01A.11R.A13Y.07	TCGA.EM.A2CK.01A.11R.A180.07	TCGA.EM.A3AP.01A.12R.A20F.07	TCGA.EM.A22K.01A.11R.A180.07	TCGA.BJ.A45G.01A.11R.A23W.07	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13N1W.0826.SM.5MR5J	GTEX.1313W.0726.SM.5EGK1	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.XLM4.0726.SM.4AT64	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.1399U.0326.SM.5P9G5	GTEX.ZLWG.0526.SM.4WWFB	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.T6MO.0226.SM.32QOL	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.13D11.0226.SM.5LZXL	GTEX.ZVZP.1026.SM.5GICI	GTEX.WYBS.1926.SM.3NM8N	GTEX.ZYT6.0426.SM.5GID3
ABI3	624.99	309.83	387.02	180.02	305.55	490.14	371.22	358.54	551.56	303.44	339.14	409.15	400.71	358.54	208.38	208.38	21.47	307.69	95.34	145.02	173.85	159.9	215.77	116.78	273.37	125.24	117.6	212.78	118.43	199.85	141.02	41.22	78.89	175.07	137.14	307.69	177.53	63.89	231.32
ADAMTS7	287.01	72.01	139.07	59.97	102.97	102.25	81.14	129.69	118.43	53.57	55.49	94.67	66.18	56.28	15.45	42.11	30.78	62.12	20.41	24.63	67.12	19.39	42.11	13.52	24.81	36.01	19.39	13.22	13.22	23.93	9.41	10.79	13.03	14.45	12.18	31.9	22.1	25.17	54.72
ADRA1D	5.28	16.88	21.01	3.11	12.0	23.59	12.36	20.71	43.32	9.7	1.69	3.82	18.84	8.58	3.72	4.94	3.92	4.13	4.1	2.48	9.56	6.01	5.68	0.91	7.46	4.74	3.76	2.78	4.66	5.36	1.87	3.63	1.79	0.77	1.71	9.13	2.27	2.76	4.17
AFAP1L1	1250.98	214.27	332.14	187.71	273.37	249.73	253.23	336.79	473.41	226.54	214.27	389.72	221.86	189.02	88.88	116.78	62.56	281.09	164.42	95.34	244.57	143.01	178.77	72.01	186.4	175.07	116.78	91.41	50.63	125.24	121.79	44.25	43.94	61.68	49.91	104.42	132.44	105.89	120.1
ARAP3	1407.55	441.64	599.49	303.44	547.75	583.07	532.74	543.96	567.1	454.09	432.53	525.39	536.45	423.61	119.26	190.34	67.59	366.09	169.07	152.28	351.14	176.29	244.57	197.09	226.54	221.86	111.21	115.97	103.69	177.53	100.83	108.14	111.99	77.25	131.51	224.97	137.14	177.53	244.57
ARHGEF15	1806.78	599.49	647.07	376.41	599.49	693.58	656.11	591.22	842.36	620.67	599.49	660.68	665.29	629.35	251.48	297.17	129.69	518.15	212.78	144.01	420.68	242.88	220.32	102.25	285.03	135.24	155.5	180.02	119.26	234.57	143.01	87.65	90.14	123.5	206.94	460.44	208.38	80.01	409.15
BCL6B	1806.78	356.05	454.09	305.55	473.41	366.09	470.14	414.87	775.05	343.89	503.95	532.74	325.29	303.44	130.6	109.66	144.01	239.52	139.07	113.56	251.48	117.6	198.47	87.65	334.46	124.37	202.66	121.79	53.57	273.37	100.83	51.35	100.83	81.71	126.12	158.79	94.67	82.29	159.9
C1QTNF5	3257.52	1233.75	1369.04	915.51	1295.13	1883.54	1437.15	1551.09	1639.59	1268.46	1331.57	1322.37	1175.27	884.29	363.56	264.03	258.57	775.05	450.94	351.14	915.51	463.65	684.02	384.34	738.29	503.95	265.87	454.09	400.71	503.95	303.44	269.6	279.14	486.75	212.78	674.59	316.37	409.15	511.0
C20orf202	51.35	13.32	17.38	13.83	7.11	16.63	34.75	11.13	19.39	9.63	9.06	27.84	14.03	13.93	3.72	6.06	4.7	10.71	1.55	1.79	11.21	4.86	6.52	3.56	8.19	2.05	3.99	1.62	3.99	4.21	2.84	2.36	0.0	1.95	1.91	6.94	2.63	2.39	8.51
CASP10	392.44	217.27	279.14	214.27	185.11	205.5	180.02	237.86	229.72	206.94	139.07	262.2	215.77	180.02	77.25	133.36	118.43	130.6	69.03	97.36	166.73	143.01	117.6	75.64	146.03	120.1	94.67	73.03	105.89	140.04	98.04	79.45	88.88	78.34	66.65	127.89	120.1	79.45	132.44
