	TCGA.3X.AAV9.01A.72R.A41I.07	TCGA.W5.AA30.01A.31R.A41I.07	TCGA.WD.A7RX.01A.12R.A41I.07	TCGA.W5.AA33.01A.11R.A41I.07	TCGA.W5.AA2X.11A.11R.A41I.07	TCGA.CJ.4899.01A.01R.1334.07	TCGA.BP.4988.01A.01R.1334.07	TCGA.BP.4332.01A.01R.1289.07	TCGA.BP.4355.01A.01R.1289.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.4351.01A.01R.1289.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.G3.A7M6.01A.11R.A33R.07	TCGA.DD.A4ND.01A.11R.A266.07	GTEX.RTLS.1326.SM.46MUN	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.MP.A4T9.01A.11R.A24X.07	TCGA.93.A4JP.01A.11R.A24X.07	TCGA.NC.A5HJ.01A.11R.A26W.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.98.A53C.01A.11R.A262.07
AC093157.1	11.91	31.0	28.65	30.78	12.27	12.74	41.22	13.52	30.34	16.15	44.25	18.7	11.21	49.91	16.15	1.39	0.95	3.14	1.85	5.63	4.06	3.99	6.01	2.27	3.0	3.35	4.9	2.86	2.71	5.54	0.32	5.11	4.06	3.66	7.06	1.77	4.54	0.92	3.03	8.25	0.0	0.0	1.45	6.78	15.11	17.77	15.68	11.21	29.7
ACIN1	2209.26	3589.58	2796.65	2758.13	1662.49	2193.99	5995.9	2240.11	3349.13	2555.58	3820.7	3589.58	1794.29	2976.74	2193.99	511.0	718.08	836.53	1250.98	532.74	1487.87	647.07	1037.29	633.73	1233.75	656.11	660.68	733.19	878.17	1216.75	669.92	954.43	1081.39	854.13	1159.07	525.39	934.76	1059.11	1127.35	1295.13	264.03	728.11	836.53	579.04	3874.05	3018.3	2609.3	2591.27	2895.31
AHSA2	902.89	1369.04	1397.83	1583.71	947.83	764.36	3491.39	1073.91	1572.76	1447.15	3280.18	2835.7	988.12	2178.83	791.35	244.57	332.14	231.32	480.04	356.05	595.34	175.07	559.28	264.03	470.14	228.13	256.78	312.0	318.57	470.14	123.5	307.69	400.71	244.57	432.53	220.32	371.22	348.71	432.53	470.14	124.37	146.03	447.82	229.72	1295.13	1304.15	1447.15	1745.2	1806.78
ANKRD27	218.79	281.09	211.31	551.56	89.51	318.57	267.73	264.03	221.86	260.38	277.2	185.11	208.38	825.0	214.27	44.57	123.5	53.19	87.65	18.16	78.89	40.36	44.89	50.63	101.54	55.1	66.65	44.25	53.19	87.65	45.21	55.49	54.33	56.28	74.58	71.5	32.13	59.97	84.04	90.77	49.21	31.22	71.0	52.08	273.37	486.75	507.46	279.14	327.56
ANKRD6	249.73	389.72	256.78	299.25	154.42	346.29	305.55	293.07	373.81	312.0	633.73	620.67	208.38	327.56	195.72	97.36	81.14	37.59	194.36	65.26	198.47	80.57	100.13	70.51	71.0	82.29	69.03	50.98	90.14	162.14	52.82	109.66	102.97	101.54	159.9	133.36	107.38	45.21	158.79	75.64	34.02	59.13	85.82	55.1	204.07	194.36	258.57	231.32	220.32
APOC1	8479.89	7803.01	190574.09	53230.77	577714.63	10808.41	8598.28	7331.05	5995.9	20170.07	40904.3	8778.97	299043.36	146444.06	185362.8	1611529.43	2748093.15	1800541.22	1679964.3	2310861.52	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	2672946.37	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	677564.08	1703415.74	3968052.37	3626130.97	22380.2	21919.61	39510.91	5366.37	18560.17
ARHGEF16	314.17	532.74	444.72	579.04	173.85	435.55	713.11	503.95	381.68	194.36	525.39	176.29	271.48	902.89	115.16	129.69	81.14	92.7	61.68	42.11	108.14	11.73	36.27	29.06	22.75	18.16	44.25	82.29	18.7	32.59	78.89	94.01	14.89	48.18	82.29	48.52	100.83	42.11	74.58	60.39	19.25	16.51	16.51	31.22	435.55	366.09	139.07	356.05	202.66
ATN1	1662.49	1709.26	1388.16	1819.35	656.11	1733.13	2104.58	1583.71	3168.41	1745.2	2417.67	2609.3	1313.23	2178.83	854.13	190.34	307.69	540.19	463.65	208.38	884.29	273.37	743.43	327.56	624.99	147.06	273.37	271.48	483.38	518.15	406.31	417.77	591.22	371.22	555.41	226.54	379.04	490.14	551.56	567.1	106.63	521.76	633.73	287.01	1340.84	1617.0	1883.54	1963.57	2224.63
BRD8	688.78	1259.69	1081.39	1151.06	718.08	1015.93	1844.76	1059.11	1183.45	813.63	1628.26	1183.45	591.22	909.17	1044.52	157.68	376.41	204.07	450.94	264.03	567.1	205.5	460.44	223.41	447.82	307.69	287.01	256.78	323.03	688.78	204.07	231.32	341.51	450.94	414.87	221.86	384.34	358.54	435.55	540.19	105.15	197.09	327.56	191.67	878.17	1127.35	1159.07	808.0	921.88
C19orf55	232.94	444.72	232.94	660.68	136.19	209.84	507.46	244.57	318.57	181.28	381.68	332.14	153.34	412.0	173.85	31.22	33.54	22.75	36.01	11.91	111.99	23.59	36.27	42.41	36.27	21.63	17.9	22.43	23.08	63.89	27.25	27.25	26.67	38.12	62.56	25.91	41.81	47.17	42.11	69.52	18.84	38.67	23.42	18.7	305.55	616.37	332.14	423.61	316.37
