	TCGA.GC.A6I1.01A.12R.A31N.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.W5.AA2U.11A.11R.A41I.07	GTEX.13OVI.1126.SM.5KLZF	TCGA.CW.6088.01A.11R.1672.07	TCGA.A3.3322.01A.02R.1325.07	TCGA.A3.3323.01A.02R.1325.07	TCGA.CZ.4862.01A.01R.1305.07	TCGA.B2.4102.01A.02R.1325.07	TCGA.ZP.A9D0.01A.11R.A37K.07	TCGA.DD.A4NE.01A.11R.A27V.07	TCGA.RC.A7S9.01A.11R.A33R.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.4R.AA8I.01A.11R.A38B.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.2Y.A9GZ.01A.11R.A39D.07	TCGA.DD.AADW.01A.11R.A39D.07	TCGA.DD.A11B.01A.11R.A131.07	TCGA.EP.A12J.01A.11R.A131.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.MI.A75G.01A.11R.A32O.07	TCGA.DD.A1EL.01A.11R.A155.07	TCGA.G3.AAV5.01A.11R.A37K.07	TCGA.DD.AADL.01A.11R.A41C.07	TCGA.G3.A6UC.01A.21R.A33J.07	TCGA.DD.A1EH.01A.11R.A131.07	TCGA.DD.A4NJ.01A.11R.A27V.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.FV.A3R2.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13NYB.1026.SM.5IFH3	GTEX.11ZUS.2526.SM.59872	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.X4EO.1126.SM.4QARQ	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.12WSM.0726.SM.5GCOW	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.RU72.1426.SM.46MUF	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.145MO.2326.SM.5NQ9K	GTEX.14DAQ.1726.SM.5S2R2	GTEX.ZVT3.1626.SM.5GU66	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.11ZVC.0726.SM.5FQT9	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13O3O.1826.SM.5IFGW	GTEX.RWSA.1426.SM.47JXA	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.REY6.1226.SM.48FDR	TCGA.38.4625.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07	TCGA.SL.A6J9.01A.11R.A31O.07
ADAL	78.89	67.59	53.95	79.45	110.43	172.65	190.34	126.12	110.43	137.14	166.73	141.02	223.41	105.15	35.76	71.0	199.85	81.71	303.44	126.12	169.07	152.28	49.21	146.03	50.27	163.28	177.53	166.73	102.97	186.4	103.69	83.45	138.1	131.51	133.36	75.64	125.24	162.14	63.89	167.9	129.69	139.07	94.67	114.36	108.14	147.06	131.51	42.71	162.14	178.77	61.68	125.24	109.66	189.02	90.77	123.5	201.25	249.73	106.63	83.45	170.25	91.41	109.66	151.22	190.34	31.9	27.44	143.01	180.02	57.49	0.0	85.22	39.5
AHCYL2	44.25	69.52	53.57	78.34	92.7	525.39	185.11	218.79	229.72	902.89	325.29	140.04	165.57	142.01	62.12	61.68	134.3	70.51	147.06	135.24	190.34	102.25	47.5	102.97	59.55	84.04	305.55	152.28	146.03	159.9	67.59	78.34	87.03	67.59	105.89	74.06	112.77	123.5	45.21	134.3	110.43	171.45	137.14	72.52	89.51	95.34	92.7	65.72	122.64	202.66	84.04	87.65	156.59	165.57	88.88	199.85	123.5	107.38	127.0	108.9	80.57	117.6	124.37	191.67	127.0	18.7	67.12	136.19	101.54	119.26	0.0	65.72	27.44
AHNAK	1651.0	2148.82	764.36	2520.38	1498.22	8247.98	6426.31	3742.05	5954.47	6652.97	4419.52	921.88	2271.4	490.14	348.71	775.05	1104.13	1340.84	2133.97	1407.55	2303.12	1159.07	599.49	612.11	651.58	620.67	1883.54	1844.76	1923.14	1844.76	981.29	1295.13	1225.22	1427.22	1794.29	1519.15	1059.11	813.63	988.12	1477.58	1437.15	1388.16	1639.59	1844.76	941.27	1331.57	1127.35	567.1	2047.0	1870.53	848.22	1159.07	1909.85	1857.6	563.18	1477.58	1519.15	1583.71	1135.2	1001.93	1199.98	1477.58	1407.55	2090.03	1605.83	1407.55	1259.69	1781.89	1594.73	579.04	0.0	1844.76	629.35
APOC1	17804.06	14765.09	7280.4	2178.83	1100706.72	1044.52	2193.99	4704.07	15180.22	8718.32	5006.93	249727.34	231394.29	845824.19	246289.25	459592.86	282912.21	932018.1	179048.63	124863.17	282912.21	200048.85	338781.54	1041331.96	303217.87	778316.89	353168.2	292889.12	103551.29	256748.15	1005860.33	875652.15	912837.43	2748093.15	1622738.51	1800541.22	1715263.94	2310861.52	1147449.11	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	1085552.95	4526610.31	2375828.71	3576208.94	2924988.47	1093103.58	5809569.18	1838374.44	2511293.86	218912.29	6719860.18	1611529.43	2672946.37	1691649.38	2294899.22	1093103.58	2748093.15	2599854.48	2904784.09	3702323.71	489177.0	1703415.74	3968052.37	3626130.97	1514068.5	11664.82	11745.96	26067.14
CALD1	785.88	1059.11	878.17	1417.35	2627.46	9740.98	6935.54	7857.29	6079.61	5147.73	4328.55	3874.05	2915.45	1467.37	842.36	1617.0	2384.37	1540.37	2796.65	2777.33	2835.7	2796.65	1183.45	2664.15	896.64	1487.87	4239.45	3168.41	3467.27	4388.98	2061.24	1721.16	1819.35	2047.0	2645.74	1651.0	1519.15	2090.03	2178.83	2255.7	1977.24	2485.67	3325.99	2224.63	2255.7	3039.3	2417.67	1519.15	2367.9	3235.01	2485.67	2400.97	2178.83	2682.69	2434.5	2400.97	3395.89	1417.35	3467.27	1832.01	2303.12	2133.97	1896.65	5183.54	2209.26	1322.37	1628.26	2701.35	3212.66	1529.73	1832.01	500.46	162.14
CALML4	133.36	303.44	146.03	199.85	463.65	591.22	769.69	902.89	785.88	896.64	1216.75	1250.98	860.08	264.03	130.6	134.3	848.22	703.28	848.22	563.18	1242.34	995.0	579.04	642.59	218.79	273.37	1369.04	1313.23	1583.71	473.41	336.79	595.34	249.73	1167.14	563.18	728.11	633.73	412.0	366.09	941.27	1119.56	665.29	397.93	651.58	426.57	518.15	332.14	343.89	825.0	500.46	297.17	242.88	1096.5	836.53	195.72	244.57	1066.48	1001.93	423.61	988.12	395.18	612.11	536.45	796.86	934.76	318.57	253.23	961.07	698.41	232.94	0.0	84.63	197.09
CASC4	242.88	607.87	417.77	158.79	616.37	2303.12	2255.7	1417.35	1417.35	1909.85	1936.53	813.63	954.43	595.34	185.11	381.68	1127.35	698.41	669.92	759.08	1191.69	967.76	231.32	607.87	417.77	329.84	872.1	890.44	1088.92	743.43	616.37	620.67	514.56	638.15	775.05	412.0	486.75	1001.93	521.76	521.76	559.28	688.78	915.51	400.71	728.11	860.08	518.15	1015.93	466.88	633.73	884.29	291.04	450.94	665.29	679.29	808.0	928.3	309.83	961.07	536.45	612.11	525.39	348.71	988.12	567.1	376.41	251.48	591.22	1088.92	743.43	780.44	389.72	209.84
CDK13	209.84	267.73	176.29	189.02	339.14	426.57	476.71	551.56	414.87	540.19	514.56	316.37	426.57	269.6	265.87	187.71	480.04	236.21	444.72	493.56	409.15	529.06	178.77	348.71	265.87	202.66	299.25	423.61	583.07	412.0	223.41	193.01	279.14	224.97	366.09	289.02	395.18	432.53	185.11	417.77	341.51	450.94	309.83	353.59	246.28	366.09	325.29	287.01	303.44	476.71	351.14	267.73	343.89	400.71	189.02	341.51	466.88	353.59	309.83	220.32	361.04	316.37	236.21	351.14	361.04	154.42	231.32	476.71	447.82	249.73	0.0	141.02	229.72
CGNL1	1.31	14.03	10.63	1.69	540.19	915.51	819.3	559.28	1175.27	599.49	684.02	674.59	1437.15	126.12	318.57	299.25	629.35	423.61	395.18	543.96	1167.14	579.04	102.97	423.61	37.32	166.73	988.12	1277.29	780.44	813.63	400.71	403.5	325.29	406.31	1135.2	890.44	441.64	995.0	136.19	463.65	217.27	854.13	244.57	1304.15	423.61	195.72	583.07	447.82	1540.37	525.39	265.87	1037.29	551.56	723.08	348.71	612.11	1104.13	486.75	105.89	688.78	813.63	890.44	220.32	1519.15	473.41	77.79	175.07	785.88	954.43	318.57	0.0	2.07	12.09
CNNM3	99.43	114.36	262.2	110.43	591.22	669.92	743.43	733.19	483.38	536.45	638.15	830.75	713.11	371.22	287.01	260.38	665.29	412.0	1023.0	934.76	902.89	559.28	234.57	551.56	187.71	295.11	480.04	1135.2	808.0	518.15	470.14	251.48	511.0	497.0	435.55	575.03	603.67	536.45	361.04	825.0	769.69	974.5	518.15	854.13	490.14	629.35	684.02	583.07	674.59	656.11	514.56	595.34	698.41	728.11	366.09	775.05	842.36	860.08	373.81	540.19	500.46	718.08	412.0	723.08	551.56	141.02	267.73	743.43	660.68	231.32	154.42	44.57	198.47
DIS3L	67.12	77.25	84.04	82.87	204.07	633.73	567.1	507.46	457.25	435.55	708.18	314.17	612.11	138.1	77.79	117.6	299.25	144.01	363.56	444.72	420.68	379.04	121.79	156.59	122.64	131.51	327.56	563.18	555.41	400.71	211.31	163.28	144.01	187.71	205.5	134.3	265.87	255.0	120.1	211.31	303.44	285.03	299.25	182.55	267.73	255.0	289.02	169.07	180.02	285.03	251.48	212.78	242.88	231.32	145.02	223.41	217.27	358.54	209.84	134.3	231.32	255.0	171.45	237.86	303.44	94.01	103.69	297.17	260.38	84.63	150.17	56.68	142.01
