	TCGA.BH.A1FE.11B.14R.A13Q.07	GTEX.ZF2S.2026.SM.5E461	GTEX.ZF29.1926.SM.5S2P1	TCGA.A6.2675.11A.01R.1723.07	TCGA.AZ.6605.11A.01R.1839.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	GTEX.11NUK.1726.SM.5A5L2	GTEX.XQ3S.1026.SM.4BOPJ	GTEX.1212Z.2026.SM.5N9EA	GTEX.13NYB.0826.SM.5MR4V	GTEX.11ONC.1426.SM.5N9F4	GTEX.14BMV.1426.SM.5S2WA	GTEX.XQ3S.1226.SM.4BOPP	TCGA.AG.3732.11A.01R.1660.07	TCGA.BR.8592.01A.11R.2402.13	TCGA.BR.8384.01A.21R.2402.13	GTEX.WI4N.2426.SM.4OOSC
AIMP1	1697.45	1794.29	1519.15	915.51	872.1	941.27	848.22	842.36	842.36	660.68	728.11	571.05	638.15	647.07	620.67	769.69	1175.27	860.08	934.76	638.15
AP4E1	199.85	143.01	165.57	100.83	95.34	131.51	129.69	133.36	115.97	63.89	74.06	41.22	54.72	46.5	63.89	95.34	112.77	123.5	109.66	80.57
BUD13	450.94	423.61	381.68	277.2	314.17	269.6	312.0	248.0	285.03	248.0	320.8	299.25	246.28	212.78	139.07	275.28	368.65	309.83	329.84	185.11
C12orf4	381.68	379.04	251.48	164.42	190.34	246.28	255.0	239.52	180.02	149.12	124.37	115.97	135.24	125.24	91.41	172.65	251.48	277.2	312.0	59.13
C1orf109	406.31	616.37	503.95	299.25	348.71	384.34	361.04	314.17	307.69	185.11	201.25	180.02	234.57	106.63	191.67	178.77	329.84	457.25	444.72	88.26
CCNJ	189.02	108.14	215.77	69.03	66.18	74.06	89.51	66.18	76.17	25.54	40.36	33.06	19.25	38.12	37.05	34.02	85.22	143.01	134.3	21.94
CDC23	813.63	599.49	620.67	373.81	432.53	403.5	412.0	414.87	376.41	323.03	293.07	237.86	273.37	265.87	397.93	403.5	507.46	435.55	463.65	120.1
CENPL	108.9	63.45	141.02	68.55	38.12	110.43	62.56	71.0	49.21	23.76	45.53	29.91	31.22	36.01	42.71	32.59	70.51	101.54	96.68	21.94
COIL	567.1	620.67	417.77	231.32	285.03	236.21	191.67	166.73	181.28	137.14	142.01	106.63	120.1	112.77	96.68	155.5	293.07	204.07	201.25	79.45
CPSF2	493.56	540.19	381.68	307.69	423.61	525.39	454.09	351.14	346.29	190.34	314.17	158.79	232.94	171.45	217.27	285.03	412.0	353.59	480.04	165.57
DIEXF	323.03	172.65	229.72	95.34	69.52	122.64	92.7	63.89	68.07	37.85	55.1	37.85	51.71	40.64	25.17	61.25	108.14	130.6	152.28	48.18
E2F6	540.19	339.14	503.95	242.88	397.93	368.65	376.41	348.71	353.59	205.5	195.72	194.36	205.5	173.85	163.28	218.79	363.56	281.09	336.79	148.09
FBXO38	733.19	791.35	1143.1	334.46	397.93	384.34	470.14	327.56	409.15	305.55	353.59	212.78	249.73	256.78	260.38	363.56	490.14	525.39	521.76	136.19
FLNA	5076.84	5791.62	13123.73	368165.8	1634025.56	513497.31	811368.76	1393227.06	649962.87	336441.4	275175.93	311742.51	288856.81	251464.33	334117.42	290865.98	258533.99	182810.84	195931.88	132900.7
G3BP1	2303.12	1909.85	1870.53	1044.52	563.18	830.75	1030.12	575.03	796.86	444.72	559.28	429.54	532.74	525.39	435.55	521.76	1023.0	1044.52	1191.69	521.76
GTF3C4	423.61	395.18	438.59	157.68	163.28	159.9	161.02	118.43	130.6	58.71	59.55	54.72	47.5	35.25	40.93	75.11	190.34	191.67	220.32	45.53
HERPUD2	825.0	848.22	723.08	429.54	473.41	457.25	483.38	409.15	423.61	314.17	287.01	275.28	327.56	316.37	234.57	332.14	486.75	532.74	693.58	181.28
INO80	423.61	363.56	368.65	400.71	336.79	341.51	346.29	307.69	363.56	295.11	267.73	167.9	241.19	224.97	194.36	264.03	336.79	406.31	444.72	100.13
IPO8	769.69	723.08	836.53	579.04	571.05	476.71	575.03	563.18	547.75	406.31	435.55	253.23	320.8	329.84	287.01	417.77	698.41	629.35	684.02	190.34
KANSL2	1073.91	808.0	842.36	447.82	441.64	647.07	518.15	423.61	503.95	409.15	329.84	358.54	332.14	373.81	366.09	376.41	616.37	521.76	575.03	343.89
KDM3B	1208.34	1225.22	1540.37	708.18	733.19	624.99	769.69	665.29	785.88	511.0	447.82	409.15	454.09	426.57	575.03	426.57	842.36	967.76	1051.79	289.02
KDM5A	612.11	571.05	656.11	234.57	224.97	293.07	253.23	255.0	265.87	142.01	197.09	83.45	120.94	183.82	150.17	156.59	279.14	336.79	371.22	87.65
KIAA0947	607.87	395.18	728.11	271.48	307.69	299.25	332.14	271.48	285.03	180.02	175.07	110.43	165.57	148.09	161.02	187.71	309.83	339.14	381.68	47.5
MED1	775.05	988.12	1498.22	343.89	400.71	361.04	323.03	281.09	305.55	165.57	197.09	118.43	195.72	169.07	129.69	161.02	368.65	500.46	551.56	94.01
MIEF1	379.04	387.02	507.46	336.79	351.14	260.38	283.05	202.66	258.57	155.5	171.45	169.07	140.04	101.54	121.79	151.22	327.56	346.29	379.04	128.79
MSL2	813.63	713.11	521.76	244.57	271.48	312.0	323.03	226.54	253.23	185.11	182.55	132.44	171.45	136.19	120.94	169.07	366.09	450.94	381.68	92.05
NCOA5	909.17	866.07	842.36	563.18	571.05	463.65	571.05	607.87	511.0	332.14	389.72	379.04	348.71	301.33	239.52	397.93	571.05	693.58	708.18	204.07
NDC1	490.14	435.55	371.22	176.29	97.36	167.9	100.13	68.55	88.26	81.71	77.79	63.45	76.17	78.89	65.72	78.34	177.53	264.03	265.87	44.57
NOL9	309.83	269.6	281.09	134.3	182.55	199.85	197.09	248.0	215.77	221.86	145.02	165.57	142.01	158.79	121.79	176.29	167.9	493.56	521.76	38.4
NUFIP1	273.37	167.9	151.22	82.29	82.87	90.77	66.65	71.5	70.51	38.95	57.49	40.36	53.19	34.26	32.59	49.91	96.68	81.71	105.15	18.7
NUP35	679.29	343.89	351.14	217.27	218.79	201.25	198.47	162.14	194.36	149.12	148.09	171.45	156.59	144.01	123.5	125.24	242.88	223.41	205.5	90.77
PALB2	332.14	285.03	285.03	123.5	140.04	279.14	164.42	75.64	120.1	122.64	129.69	157.68	129.69	121.79	84.04	125.24	169.07	228.13	162.14	59.97
PAXIP1	297.17	389.72	373.81	161.02	122.64	209.84	157.68	121.79	148.09	100.13	113.56	105.89	122.64	111.99	76.71	154.42	180.02	218.79	209.84	32.59
PNPO	587.13	954.43	426.57	229.72	172.65	164.42	201.25	152.28	218.79	140.04	145.02	151.22	149.12	105.15	127.0	164.42	229.72	384.34	429.54	117.6
POLR1B	521.76	387.02	303.44	218.79	145.02	173.85	212.78	114.36	118.43	56.68	91.41	52.82	68.55	82.87	55.89	105.89	224.97	256.78	217.27	25.91
PPAT	438.59	197.09	197.09	92.05	65.26	182.55	70.51	46.5	61.68	44.89	40.93	41.52	59.97	49.91	50.98	67.59	113.56	126.12	102.97	21.32
