	TCGA.AC.A3QQ.01A.11R.A22K.07	TCGA.A8.A09V.01A.11R.A034.07	TCGA.A7.A0DC.01A.11R.A00Z.07.2	TCGA.BH.A0DO.01B.11R.A12D.07	TCGA.E2.A15I.01A.21R.A137.07	TCGA.AR.A0TR.01A.11R.A084.07	TCGA.AN.A0XL.01A.11R.A10J.07	TCGA.BH.A1EV.11A.24R.A137.07	TCGA.BH.A1EW.11B.33R.A137.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.AZ.4313.01A.01R.1410.07	TCGA.D5.6540.01A.11R.1723.07	TCGA.F4.6856.01A.11R.1928.07	TCGA.CM.5861.01A.01R.1653.07	TCGA.DM.A28K.01A.21R.A32Y.07	TCGA.D5.6930.01A.11R.1928.07	TCGA.DM.A1HB.01A.21R.A180.07	TCGA.G4.6322.01A.11R.1723.07	TCGA.AA.3663.01A.01R.1723.07	TCGA.AD.6889.01A.11R.1928.07	TCGA.CM.6674.01A.11R.1839.07	TCGA.CM.6171.01A.11R.1653.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EI.6882.01A.11R.1928.07	TCGA.VQ.A91V.01A.11R.A414.31	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.CG.5716.01A.21R.1802.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.BR.6802.11A.01R.1884.13
ADNP2	547.75	316.37	603.67	279.14	441.64	301.33	226.54	336.79	363.56	305.55	228.13	128.79	191.67	193.01	208.38	214.27	185.11	96.01	205.5	205.5	165.57	204.07	194.36	136.19	269.6	67.59	56.28	0.0	0.34	256.78	242.88	299.25	214.27	309.83	88.26
AFF3	1127.35	703.28	2148.82	346.29	785.88	567.1	796.86	323.03	1127.35	2047.0	2351.53	25.72	8.99	4.06	1.14	27.05	4.21	3.99	12.93	1.66	5.63	1.58	2.51	3.03	6.84	51.71	41.81	0.0	0.26	5.77	14.03	27.64	69.52	37.32	20.11
AGR2	12943.04	37121.34	20881.4	75803.72	13215.02	193234.41	248002.34	4481.23	19892.37	10225.32	51775.15	2691538.19	1775752.63	161367.56	368165.8	450134.56	659036.03	402881.61	322736.12	550352.86	900270.11	334117.42	602247.76	348306.01	431797.89	1.13	656.11	0.0	0.02	402881.61	489177.0	746611.43	496005.67	331809.5	726195.27
AP1AR	988.12	1015.93	1369.04	684.02	896.64	665.29	660.68	633.73	679.29	540.19	813.63	155.5	470.14	384.34	283.05	287.01	332.14	224.97	214.27	346.29	327.56	271.48	323.03	277.2	642.59	85.82	82.87	0.0	0.4	567.1	518.15	293.07	214.27	551.56	281.09
APPBP2	791.35	688.78	866.07	435.55	540.19	612.11	536.45	620.67	743.43	575.03	915.51	297.17	332.14	122.64	171.45	198.47	146.03	111.99	149.12	136.19	147.06	165.57	118.43	178.77	277.2	80.01	76.17	0.0	0.45	381.68	392.44	325.29	214.27	301.33	228.13
ASXL2	346.29	341.51	224.97	189.02	275.28	353.59	167.9	325.29	329.84	299.25	447.82	87.65	217.27	55.1	116.78	117.6	82.87	85.82	94.01	86.43	90.77	80.01	51.71	103.69	177.53	37.05	20.41	0.0	0.34	232.94	117.6	96.01	173.85	226.54	36.53
ATG14	275.28	406.31	397.93	275.28	339.14	157.68	269.6	336.79	403.5	525.39	389.72	384.34	376.41	100.83	220.32	127.89	127.0	134.3	101.54	122.64	141.02	127.0	134.3	146.03	187.71	100.83	57.89	0.0	0.18	158.79	164.42	129.69	73.03	137.14	74.06
ATG2B	547.75	334.46	748.61	143.01	318.57	226.54	180.02	309.83	379.04	493.56	423.61	131.51	120.94	49.21	180.02	111.21	137.14	104.42	102.97	79.45	108.14	66.18	97.36	118.43	217.27	69.52	38.67	0.0	0.55	201.25	343.89	289.02	109.66	186.4	43.02
ATP7A	301.33	211.31	547.75	143.01	273.37	320.8	165.57	214.27	303.44	293.07	307.69	57.08	154.42	50.98	55.49	67.59	73.03	49.56	28.65	53.57	41.52	53.19	48.87	53.19	66.65	14.78	15.56	42.71	45.85	75.11	154.42	88.26	90.77	166.73	63.45
B3GALNT1	567.1	400.71	1359.57	232.94	170.25	201.25	255.0	500.46	420.68	684.02	620.67	1059.11	660.68	181.28	109.66	44.89	231.32	18.56	72.52	89.51	10.47	21.01	4.78	128.79	36.79	35.76	58.71	0.0	0.28	162.14	54.72	115.97	176.29	299.25	457.25
