	GTEX.132AR.0826.SM.5EGK6	TCGA.B2.4098.01A.02R.1325.07	TCGA.PJ.A5Z9.01A.11R.A28H.07	TCGA.A4.8518.01A.11R.2404.07	TCGA.HE.7128.01A.11R.1965.07	TCGA.UN.AAZ9.01A.11R.A38C.07	TCGA.B3.3926.01A.02R.1351.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.A4.8098.01A.11R.2404.07	TCGA.2Z.A9JG.01A.11R.A42S.07	TCGA.B3.3925.01A.02R.1351.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.8500.01A.11R.2404.07	TCGA.A4.8310.01A.11R.2404.07	TCGA.F9.A7Q0.01A.11R.A36F.07	TCGA.DZ.6133.01A.11R.1965.07	TCGA.A4.A5Y0.01A.11R.A31O.07	TCGA.5P.A9KE.01A.11R.A42S.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.KV.A74V.01A.11R.A33Z.07	TCGA.P4.AAVO.01A.11R.A42S.07	TCGA.CC.A7IL.01A.11R.A33R.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07
ABCB9	40.36	66.65	120.1	82.87	137.14	93.35	67.12	63.45	156.59	164.42	101.54	52.45	36.27	120.94	141.02	141.02	115.97	44.25	59.13	66.18	28.65	14.14	8.06	22.75
ACER3	353.59	193.01	113.56	110.43	432.53	201.25	547.75	104.42	93.35	124.37	231.32	92.05	244.57	127.89	159.9	269.6	75.64	107.38	156.59	57.89	82.87	43.32	41.81	44.57
AKAP10	295.11	392.44	267.73	387.02	463.65	426.57	490.14	65.26	376.41	414.87	703.28	152.28	373.81	361.04	358.54	463.65	343.89	253.23	163.28	305.55	105.89	43.32	52.82	44.57
ANO6	2287.2	915.51	417.77	599.49	1081.39	909.17	1340.84	547.75	738.29	954.43	1066.48	397.93	819.3	775.05	507.46	1073.91	381.68	426.57	647.07	258.57	275.28	591.22	301.33	441.64
ATP2A2	3847.29	1769.57	1388.16	2485.67	5219.6	2777.33	3665.02	1051.79	3280.18	2816.11	5006.93	1135.2	1617.0	3168.41	1909.85	4268.94	1304.15	1073.91	1151.06	1088.92	764.36	1127.35	1175.27	1135.2
ATXN7L3B	819.3	808.0	555.41	616.37	1378.57	1151.06	1594.73	633.73	1350.18	1674.06	1757.34	633.73	759.08	928.3	988.12	961.07	954.43	647.07	723.08	555.41	583.07	295.11	607.87	571.05
BAZ2A	728.11	713.11	287.01	387.02	1119.56	679.29	995.0	256.78	1059.11	1051.79	1359.57	204.07	358.54	656.11	656.11	1111.82	366.09	253.23	251.48	262.2	195.72	100.83	155.5	95.34
BAZ2B	320.8	366.09	173.85	182.55	423.61	414.87	591.22	136.19	279.14	521.76	647.07	76.71	209.84	273.37	320.8	785.88	271.48	139.07	173.85	143.01	63.45	52.45	42.41	22.92
BPTF	698.41	698.41	616.37	361.04	934.76	780.44	974.5	400.71	988.12	759.08	1498.22	143.01	387.02	638.15	595.34	1023.0	480.04	432.53	507.46	486.75	205.5	366.09	287.01	80.57
CAND1	1340.84	775.05	563.18	674.59	1331.57	819.3	1051.79	199.85	1159.07	1208.34	1519.15	409.15	684.02	733.19	525.39	1104.13	629.35	409.15	400.71	490.14	336.79	177.53	256.78	265.87
