	TCGA.W8.A86G.01A.21R.A36F.07	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.BH.A208.01A.11R.A157.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.A2.A3KD.01A.12R.A213.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1XR.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AO.A03U.01B.21R.A10J.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.E2.A1LS.11A.32R.A157.07	TCGA.E9.A1RI.11A.41R.A169.07	TCGA.E9.A1RF.11A.32R.A157.07	TCGA.BH.A1F2.11A.32R.A13Q.07	TCGA.E9.A1RH.11A.34R.A169.07	TCGA.E9.A1RD.11A.33R.A157.07	TCGA.E9.A1R7.11A.42R.A14M.07	TCGA.A7.A13G.11A.51R.A13Q.07	GTEX.1313W.0826.SM.5EQ4T	GTEX.11EMC.2026.SM.5A5JV	GTEX.VJWN.0726.SM.3GIJ8	GTEX.13CF3.2126.SM.5IFJP	GTEX.ZQG8.0726.SM.5P9H9	GTEX.145ME.1526.SM.5Q5F2	GTEX.13QIC.2326.SM.5LU5N	GTEX.T6MO.1426.SM.4DM73	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ARHGEF16	753.83	343.89	94.67	234.57	283.05	473.41	237.86	389.72	457.25	361.04	301.33	454.09	237.86	211.31	291.04	607.87	211.31	525.39	128.79	59.13	21.78	187.71	106.63	109.66	56.68	102.25	117.6	358.54	107.38	43.94	208.38	118.43	158.79	1151.06	0.0	0.4
BSPRY	1721.16	698.41	470.14	400.71	583.07	607.87	1359.57	518.15	1721.16	830.75	1733.13	674.59	255.0	599.49	1529.73	463.65	409.15	384.34	7.17	27.84	1.43	177.53	76.71	155.5	74.58	1.93	221.86	493.56	373.81	15.0	29.27	18.16	454.09	1378.57	0.0	0.35
C1orf172	514.56	406.31	217.27	356.05	373.81	420.68	327.56	368.65	551.56	283.05	854.13	423.61	202.66	305.55	420.68	303.44	305.55	656.11	5.73	11.38	0.0	134.3	42.71	63.45	41.52	0.04	108.14	258.57	190.34	14.14	16.15	0.0	212.78	775.05	0.0	0.0
C1orf233	316.37	124.37	135.24	199.85	125.24	371.22	145.02	149.12	133.36	150.17	208.38	255.0	50.98	82.87	287.01	121.79	127.89	237.86	14.45	12.74	11.04	32.59	33.54	30.12	29.7	12.74	50.98	69.03	43.32	18.97	22.1	12.36	123.5	98.73	0.0	0.0
C21orf59	1583.71	1477.58	1088.92	1081.39	1135.2	1819.35	1583.71	1225.22	1963.57	1250.98	1313.23	1508.65	1369.04	1477.58	1225.22	1378.57	866.07	1519.15	629.35	323.03	361.04	559.28	551.56	607.87	543.96	305.55	878.17	1295.13	836.53	525.39	412.0	460.44	791.35	1457.23	0.0	0.46
C9orf89	1832.01	813.63	547.75	995.0	961.07	1073.91	947.83	967.76	1936.53	764.36	571.05	1427.22	1313.23	620.67	417.77	1417.35	896.64	1477.58	293.07	211.31	277.2	476.71	361.04	521.76	279.14	368.65	669.92	890.44	336.79	305.55	167.9	163.28	703.28	1923.14	0.0	0.51
CAMSAP3	1183.45	256.78	69.03	190.34	303.44	438.59	224.97	277.2	518.15	429.54	500.46	403.5	295.11	211.31	532.74	363.56	389.72	234.57	5.73	9.78	0.08	143.01	29.48	66.18	30.12	0.45	107.38	256.78	135.24	19.39	11.38	8.13	170.25	872.1	0.0	0.03
CASKIN1	61.25	3.2	5.96	11.91	26.86	7.69	12.0	28.86	4.43	7.94	5.96	23.25	18.56	4.06	33.06	24.11	2.12	33.3	0.0	0.48	0.0	3.79	1.41	2.1	0.91	0.51	2.84	11.47	1.3	3.03	0.0	0.0	7.11	25.91	0.0	0.23
CBLC	629.35	208.38	88.88	264.03	307.69	457.25	381.68	368.65	521.76	507.46	361.04	438.59	379.04	309.83	392.44	371.22	104.42	2796.65	6.31	11.47	0.0	89.51	31.45	48.87	27.05	0.82	134.3	295.11	151.22	1.87	0.0	1.93	173.85	1709.26	0.0	0.0
CCDC157	183.82	56.68	50.63	42.41	78.89	111.21	98.73	88.88	253.23	178.77	36.01	105.89	66.65	68.55	71.5	144.01	40.64	92.7	15.0	11.64	7.82	39.5	19.11	27.44	15.34	14.89	28.65	89.51	43.02	37.59	20.11	10.96	88.88	417.77	0.0	0.03
