	GTEX.XBEW.1926.SM.4SOJO	GTEX.YEC3.2426.SM.5IFJR	GTEX.13QJ3.1926.SM.5QGQM	GTEX.WVLH.1526.SM.4MVOC	GTEX.ZYFC.2226.SM.5NQ96	GTEX.ZYVF.2526.SM.5E45C	GTEX.11NUK.1726.SM.5A5L2	GTEX.11DXY.1326.SM.5987Z	GTEX.Y111.1826.SM.4SOIR	GTEX.VUSG.1026.SM.4KKZN	GTEX.11OF3.2326.SM.5GU73	GTEX.Y111.1726.SM.4SOIQ	GTEX.13G51.1026.SM.5K7YQ	GTEX.NPJ8.2026.SM.3TW91	GTEX.11ONC.1426.SM.5N9F4	GTEX.11ZUS.0926.SM.5FQSY	GTEX.13QJ3.1826.SM.5S2PT	GTEX.117YW.2026.SM.5N9BH	GTEX.ZYY3.1626.SM.5EGJF	GTEX.12ZZY.1526.SM.5LZWF	TCGA.KM.8438.01A.11R.2315.07	TCGA.KM.8477.01A.11R.2315.07	TCGA.KN.8422.01A.11R.2315.07	TCGA.KM.8443.01A.11R.2315.07	TCGA.KO.8403.01A.11R.2315.07	TCGA.KN.8431.01A.11R.2315.07	TCGA.KO.8410.01A.11R.2315.07	TCGA.KO.8416.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.BP.4971.01A.01R.1334.07	TCGA.BP.4960.01A.01R.1334.07	TCGA.A3.3374.01A.02R.1325.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.B9.4617.01A.01R.1193.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.DD.A4NG.01A.11R.A27V.07	GTEX.11ZUS.2526.SM.59872	GTEX.1269C.0626.SM.5FQSS	GTEX.13O3O.1826.SM.5IFGW	GTEX.R55D.0926.SM.3GAEU	TCGA.HU.A4G3.01A.11R.A24K.31	TCGA.BR.A4J8.01A.11R.A251.31	TCGA.CG.4443.01A.01R.1157.13	TCGA.BR.8483.01A.31R.2402.13	GTEX.144GM.1726.SM.5O9AS	GTEX.VJYA.1026.SM.4KL21	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.145MO.2226.SM.5Q5BN	GTEX.139YR.1926.SM.5LZXM	GTEX.Y5V6.1326.SM.4VDTF
AAAS	1030.12	1127.35	1551.09	1529.73	947.83	1529.73	1883.54	1605.83	3103.19	2061.24	2209.26	3639.7	3325.99	3419.52	1844.76	1832.01	2133.97	1313.23	3018.3	1883.54	921.88	599.49	540.19	1216.75	848.22	872.1	660.68	1044.52	974.5	674.59	1183.45	1208.34	1037.29	854.13	1268.46	1104.13	698.41	620.67	536.45	251.48	967.76	928.3	890.44	2018.8	791.35	638.15	884.29	967.76	836.53	1030.12	860.08	780.44
ABCA9	84.63	52.08	511.0	934.76	1143.1	583.07	371.22	660.68	463.65	674.59	277.2	389.72	518.15	842.36	947.83	651.58	420.68	511.0	1769.57	981.29	0.48	1.39	1.5	0.0	0.51	0.0	10.55	0.52	2.48	6.16	41.22	15.11	0.88	70.51	0.43	3.08	32.13	155.5	109.66	16.63	51.71	9.41	29.27	42.11	8.19	4.94	8.38	19.25	11.47	140.04	133.36	51.35
AC174470.1	11.21	13.62	167.9	79.45	71.0	65.72	95.34	64.34	108.14	166.73	65.26	112.77	150.17	332.14	92.05	102.97	181.28	39.5	183.82	85.22	10.79	9.34	3.59	7.51	10.88	10.88	5.5	9.48	9.63	13.12	24.81	39.5	13.93	21.63	54.72	34.75	38.95	13.42	8.38	5.11	18.43	9.85	26.1	35.5	43.02	10.0	0.0	6.41	7.34	6.84	17.64	1.77
ACIN1	2758.13	2255.7	3081.75	3257.52	3190.46	3467.27	2609.3	2935.74	3419.52	3716.2	3742.05	3639.7	3874.05	4802.93	2720.15	2855.44	3665.02	2061.24	4419.52	2976.74	1119.56	633.73	896.64	1467.37	1340.84	1183.45	1369.04	1001.93	1594.73	1883.54	3820.7	3018.3	1081.39	1498.22	1697.45	981.29	1159.07	836.53	988.12	599.49	3395.89	2367.9	2224.63	2367.9	2367.9	1208.34	1447.15	1594.73	1208.34	1781.89	1685.71	1015.93
ACRC	24.28	25.54	62.12	68.07	61.68	62.12	29.91	38.95	87.65	70.01	108.9	70.51	77.25	199.85	26.47	56.68	54.33	30.12	110.43	129.69	1.91	1.91	4.54	6.57	6.41	8.13	5.45	4.98	20.56	12.55	76.71	36.01	11.73	17.0	10.31	3.69	8.85	11.47	11.3	11.82	21.94	35.0	31.9	32.59	40.64	10.24	10.39	8.19	6.31	29.7	33.54	22.75
ACSBG2	3.53	2.39	49.56	49.21	19.68	11.04	36.79	55.49	242.88	15.56	21.16	332.14	93.35	43.63	171.45	57.49	48.52	92.7	143.01	54.33	0.0	0.0	1.43	1.25	0.0	12.93	0.39	1.89	5.77	12.93	13.52	9.85	1.66	43.94	0.0	8.45	2.51	4.21	3.76	1.03	11.13	6.31	8.13	6.89	9.93	4.1	0.0	2.68	0.58	13.72	0.0	2.56
ADCY4	287.01	297.17	2351.53	2997.45	2485.67	2573.36	669.92	1605.83	2591.27	1359.57	1639.59	2895.31	934.76	4512.4	1286.18	2434.5	2682.69	1322.37	2178.83	1331.57	177.53	73.03	55.89	53.57	220.32	126.12	150.17	78.89	277.2	476.71	974.5	775.05	78.34	281.09	40.07	26.28	95.34	37.32	44.25	8.19	624.99	320.8	483.38	180.02	187.71	246.28	145.02	336.79	147.06	361.04	529.06	392.44
AL049840.1	17.0	58.3	39.5	44.89	76.17	41.22	28.45	46.18	143.01	91.41	58.71	164.42	99.43	129.69	43.94	63.89	18.7	23.08	96.68	65.72	3.72	6.94	8.45	11.21	3.44	4.94	9.48	6.84	9.48	6.26	40.36	14.89	7.34	23.93	6.94	2.1	0.0	11.91	4.46	0.85	18.84	25.91	14.78	11.91	14.89	11.3	9.48	9.85	6.46	13.62	18.16	22.26
AL161915.1	36.53	41.52	58.71	60.82	59.97	58.71	67.12	57.49	84.63	39.5	120.94	94.01	127.89	111.99	57.08	64.8	80.57	73.54	72.01	100.83	13.03	17.51	7.28	22.43	6.67	21.32	21.32	19.53	16.15	35.0	41.81	29.06	6.73	29.48	35.76	23.59	3.41	4.31	7.06	2.51	35.5	24.46	65.72	52.08	26.47	11.47	28.24	23.08	23.42	33.3	64.34	49.91
ALS2CR12	12.36	24.46	42.41	28.04	29.48	27.25	18.29	21.63	19.11	33.3	19.39	48.18	37.85	72.52	38.12	32.13	54.72	25.35	61.25	27.05	3.63	8.99	9.7	4.24	8.58	3.96	1.64	3.86	12.18	9.85	10.71	5.5	2.14	16.15	17.51	9.06	5.87	4.46	7.94	1.46	19.11	16.88	29.91	16.03	13.12	7.11	4.28	2.36	1.17	12.0	4.82	8.65
ANKLE1	8.58	7.17	13.42	18.84	16.39	12.83	15.91	24.46	48.87	43.63	33.06	43.94	29.27	109.66	20.86	26.1	39.22	16.51	41.52	48.18	0.48	0.0	1.01	2.18	1.97	1.81	1.68	3.92	1.03	5.28	12.64	8.38	3.44	3.08	1.66	4.13	1.85	7.82	3.03	3.63	2.43	6.36	20.11	5.68	41.81	1.6	3.92	1.62	3.35	7.63	5.32	9.27
AP000322.54	16.51	34.02	111.21	79.45	204.07	135.24	68.55	144.01	117.6	111.21	162.14	125.24	199.85	136.19	93.35	145.02	162.14	55.49	169.07	113.56	24.28	26.47	5.87	26.67	15.22	46.84	16.51	13.42	4.43	29.06	47.17	10.96	38.4	44.25	32.59	11.13	4.17	8.25	4.03	5.73	63.45	18.56	17.9	44.89	32.13	22.1	48.87	85.22	100.13	40.93	35.0	61.25
ARHGEF25	551.56	1081.39	2075.59	2133.97	2351.53	1651.0	3212.66	1733.13	3168.41	3018.3	3467.27	3928.15	3768.09	2075.59	2451.44	2537.92	2915.45	1977.24	2335.28	2682.69	70.01	35.76	19.68	54.33	68.55	52.82	57.49	94.67	232.94	341.51	1259.69	457.25	83.45	157.68	249.73	40.36	40.07	81.71	104.42	13.42	170.25	66.65	555.41	59.97	366.09	93.35	190.34	161.02	133.36	1037.29	674.59	381.68
ASIC3	29.06	76.17	309.83	379.04	314.17	155.5	185.11	229.72	688.78	316.37	764.36	769.69	441.64	514.56	325.29	229.72	334.46	155.5	260.38	291.04	8.58	23.93	4.17	5.41	23.76	14.67	9.34	21.01	14.89	25.54	112.77	55.89	33.54	31.22	27.05	69.52	31.9	21.01	75.64	5.28	79.45	260.38	323.03	49.21	36.27	14.03	39.79	28.45	36.53	45.85	64.34	16.15
ASPRV1	31.0	25.54	49.91	185.11	136.19	92.05	48.18	80.57	171.45	50.63	138.1	199.85	145.02	191.67	81.14	127.0	59.97	94.01	101.54	153.34	6.31	11.3	17.38	13.93	10.0	12.64	30.12	40.93	23.42	59.13	53.19	41.81	10.55	49.91	13.93	89.51	6.52	41.52	22.43	13.93	32.13	27.64	32.59	9.78	9.56	9.27	12.74	37.85	36.27	26.1	23.25	25.72
ATP8B2	212.78	271.48	1388.16	764.36	713.11	802.41	854.13	1037.29	928.3	1001.93	620.67	981.29	1331.57	775.05	934.76	1044.52	1286.18	624.99	947.83	854.13	41.22	46.18	27.64	25.35	45.21	27.05	57.08	34.75	55.1	190.34	575.03	182.55	52.82	191.67	180.02	81.14	33.54	63.45	166.73	9.85	221.86	123.5	318.57	55.49	123.5	80.57	178.77	111.99	100.13	656.11	463.65	339.14
BANP	180.02	232.94	248.0	264.03	314.17	269.6	303.44	271.48	353.59	447.82	237.86	314.17	256.78	483.38	271.48	256.78	242.88	241.19	309.83	332.14	156.59	110.43	147.06	165.57	139.07	111.21	100.83	145.02	118.43	177.53	204.07	198.47	146.03	165.57	206.94	68.55	148.09	209.84	187.71	218.79	165.57	205.5	249.73	175.07	255.0	204.07	242.88	198.47	242.88	260.38	414.87	283.05
C1QTNF9	2.34	17.25	10.96	57.89	64.34	8.13	36.01	29.27	59.13	44.25	50.98	65.26	26.28	62.12	51.71	78.89	14.03	104.42	53.57	53.95	4.94	0.91	1.95	0.85	2.39	1.75	0.82	2.39	4.86	9.78	1.3	1.83	3.76	7.51	1.6	2.53	15.68	3.11	7.75	4.35	0.0	11.55	2.63	2.12	1.41	3.63	9.48	1.39	7.4	12.45	12.45	4.78
C1orf213	57.49	63.89	176.29	267.73	291.04	152.28	194.36	190.34	450.94	158.79	312.0	447.82	457.25	389.72	305.55	320.8	161.02	148.09	379.04	201.25	40.07	14.24	31.9	57.49	27.05	28.45	22.59	19.53	48.87	78.34	201.25	92.7	18.43	109.66	76.71	114.36	18.56	20.71	14.14	46.5	87.65	41.52	77.79	348.71	37.85	49.21	37.32	59.55	67.12	84.63	39.5	64.8
C2orf44	58.3	60.39	109.66	89.51	96.68	113.56	59.55	91.41	114.36	90.77	111.99	113.56	100.13	137.14	48.52	94.01	88.26	71.5	108.9	98.73	37.85	44.57	42.11	27.64	30.78	33.06	94.01	22.43	41.22	86.43	80.01	74.58	42.41	72.01	53.19	33.06	73.03	43.94	37.32	22.43	69.52	47.17	63.89	116.78	77.25	35.5	48.18	62.12	45.85	59.55	67.12	62.12
CAMK2A	12.64	11.38	59.13	40.93	63.45	28.45	76.17	70.51	85.22	74.06	87.65	84.04	123.5	15.34	63.45	52.08	113.56	41.81	56.68	106.63	0.0	0.0	0.0	0.0	0.0	0.44	0.0	0.48	0.0	2.81	8.92	1.81	2.1	68.07	0.0	1.01	0.0	13.83	1.2	0.77	21.94	0.27	6.57	1.22	8.71	4.94	4.98	3.86	1.91	27.25	10.63	4.7
CCDC154	17.64	14.24	47.84	100.83	186.4	95.34	78.34	75.11	167.9	81.14	226.54	141.02	194.36	264.03	109.66	90.14	56.28	97.36	139.07	54.72	16.39	6.16	9.13	1.39	8.99	2.81	11.82	16.39	9.2	1.06	80.57	71.0	13.12	27.44	12.09	16.27	1.55	7.0	36.01	1.48	2.29	4.43	13.72	5.73	14.45	12.36	17.25	11.47	22.75	32.13	38.12	4.43
CCNL2	2485.67	2075.59	7230.1	7230.1	6471.02	5183.54	5112.16	5995.9	8658.09	7485.11	6164.49	9945.68	7749.1	7537.18	6294.04	6037.61	8963.45	3742.05	8191.0	5076.84	339.14	438.59	358.54	432.53	493.56	395.18	525.39	400.71	718.08	1467.37	6699.25	3639.7	454.09	1407.55	1322.37	961.07	1487.87	1304.15	1233.75	1088.92	1923.14	2178.83	3589.58	4388.98	3614.55	1331.57	1268.46	1286.18	1167.14	1769.57	1208.34	547.75
CENPT	872.1	791.35	2319.15	2351.53	2303.12	1605.83	1819.35	1757.34	2855.44	2485.67	2855.44	3235.01	2627.46	2502.97	2224.63	2004.85	2591.27	1359.57	2193.99	1963.57	291.04	180.02	320.8	486.75	361.04	244.57	406.31	463.65	490.14	470.14	1617.0	1331.57	332.14	384.34	599.49	262.2	616.37	320.8	409.15	221.86	624.99	629.35	1286.18	791.35	1167.14	503.95	457.25	595.34	543.96	764.36	981.29	511.0
