	GTEX.14E6E.1526.SM.5RQIG	GTEX.XBEW.1926.SM.4SOJO	GTEX.117YW.2026.SM.5N9BH	TCGA.KN.8422.01A.11R.2315.07	TCGA.KN.8433.01A.11R.2315.07	TCGA.KN.8437.01A.11R.2315.07	TCGA.B0.5117.01A.01R.1420.07	TCGA.B0.5121.01A.02R.1420.07	TCGA.B0.4700.11A.01R.1541.07	TCGA.BQ.7058.01A.11R.1965.07	TCGA.BQ.5880.01A.11R.1592.07	TCGA.DW.7963.01B.11R.A28H.07	TCGA.MR.A8JO.01A.12R.A36F.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.14A5I.1726.SM.5QGQ5	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.Q2AG.1126.SM.48U1P	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.13N2G.0926.SM.5IFGJ	GTEX.11ZVC.0726.SM.5FQT9	GTEX.13O3O.1826.SM.5IFGW	TCGA.HU.A4GY.01A.21R.A24K.31	TCGA.HU.A4G9.01A.11R.A24K.31	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.3M.AB47.01A.22R.A414.31	GTEX.WFON.1126.SM.4LVMA	GTEX.RWS6.0926.SM.47JXE	GTEX.ZLV1.0826.SM.4WWEQ	GTEX.Y5V6.1326.SM.4VDTF	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.EM.A1YB.01A.11R.A14Y.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.DJ.A1QG.01A.11R.A14Y.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.EL.A3H5.01A.11R.A206.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.EM.A3SY.01A.11R.A22U.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.ET.A25I.01A.11R.A16R.07	TCGA.EM.A3O9.01A.11R.A220.07
ADARB1	39.22	193.01	1250.98	49.91	214.27	121.79	149.12	327.56	198.47	30.56	85.82	63.45	253.23	95.34	66.18	86.43	83.45	73.03	61.25	81.71	73.03	155.5	114.36	61.25	132.44	85.82	43.94	400.71	176.29	318.57	264.03	137.14	130.6	164.42	244.57	239.52	156.59	85.82	100.83	214.27	231.32	185.11	346.29	163.28	77.79	152.28	157.68	158.79
ADPRH	9.63	65.72	149.12	37.05	60.39	90.77	100.13	358.54	172.65	40.93	135.24	145.02	146.03	37.32	38.95	37.85	41.81	24.81	38.95	12.0	21.94	41.22	11.47	9.78	55.49	32.13	27.25	224.97	27.44	56.68	142.01	51.35	45.85	62.56	87.03	236.21	187.71	90.77	170.25	162.14	208.38	181.28	169.07	158.79	214.27	109.66	105.89	265.87
AEBP1	299.25	1467.37	5041.77	49.21	1208.34	273.37	1175.27	1896.65	2645.74	629.35	4869.99	120.1	4836.35	229.72	660.68	532.74	78.89	316.37	995.0	139.07	223.41	2032.85	231.32	713.11	1417.35	307.69	291.04	3794.3	198.47	4210.15	12764.83	540.19	450.94	1674.06	3257.52	785.88	698.41	239.52	890.44	1721.16	1268.46	890.44	13306.94	1096.5	236.21	1561.89	518.15	583.07
AFAP1L1	23.93	57.08	325.29	73.54	100.13	148.09	361.04	595.34	142.01	18.97	72.01	118.43	376.41	40.36	32.36	39.5	34.02	10.63	20.41	35.0	21.32	68.07	16.75	23.76	85.82	31.0	46.5	149.12	21.47	59.13	141.02	35.76	25.54	69.52	128.79	420.68	283.05	127.0	153.34	327.56	287.01	320.8	258.57	223.41	115.97	244.57	329.84	381.68
AKT3	21.78	100.13	363.56	242.88	204.07	107.38	267.73	412.0	497.0	102.25	232.94	159.9	169.07	88.88	20.71	54.33	38.67	18.84	37.85	19.25	19.39	120.94	10.79	15.0	86.43	55.89	3.72	366.09	25.54	159.9	343.89	97.36	47.84	131.51	309.83	305.55	106.63	237.86	332.14	297.17	271.48	389.72	591.22	242.88	329.84	241.19	343.89	166.73
ANTXR1	36.53	275.28	1844.76	39.22	87.65	127.0	454.09	647.07	460.44	379.04	532.74	406.31	620.67	28.45	52.08	84.63	19.53	67.59	150.17	40.07	48.52	373.81	41.52	101.54	94.01	102.25	16.75	1127.35	66.18	493.56	1685.71	156.59	80.01	234.57	503.95	156.59	147.06	135.24	616.37	358.54	490.14	555.41	1883.54	305.55	68.07	490.14	503.95	88.26
ANXA5	836.53	2335.28	7433.4	5751.61	4038.61	9474.59	4972.34	10014.87	5006.93	7485.11	9409.14	5831.91	7537.18	432.53	1519.15	2997.45	1023.0	521.76	1572.76	713.11	1259.69	1628.26	780.44	915.51	2133.97	1605.83	3280.18	7911.95	1605.83	4095.0	8305.36	2777.33	1350.18	2335.28	3212.66	5672.41	5711.87	3467.27	7857.29	7081.29	9808.75	5831.91	15180.22	5292.48	5633.22	6887.62	6792.79	8421.31
APOD	105.15	1628.26	11827.67	60.39	77.79	63.89	212.78	656.11	603.67	64.8	96.01	29.27	119.26	25.54	25.54	31.0	35.76	65.72	63.0	53.95	11.3	55.1	13.12	19.25	33.06	63.45	10.63	11035.54	26.28	3515.68	5441.3	2664.15	819.3	1651.0	4671.57	190.34	275.28	119.26	988.12	764.36	395.18	166.73	10368.08	99.43	42.71	397.93	239.52	334.46
ARAP3	43.02	194.36	638.15	71.0	116.78	120.1	198.47	674.59	228.13	32.59	56.28	38.95	406.31	44.89	41.81	55.1	51.71	38.95	18.7	33.3	24.81	187.71	25.72	37.32	84.63	53.95	12.64	307.69	61.25	351.14	381.68	170.25	87.03	145.02	221.86	483.38	389.72	198.47	295.11	698.41	563.18	518.15	454.09	361.04	158.79	417.77	373.81	480.04
ARHGAP23	11.38	170.25	351.14	41.22	87.03	77.25	137.14	438.59	343.89	23.42	98.04	69.03	303.44	31.0	53.19	68.55	29.7	32.82	38.12	18.03	15.22	91.41	5.45	23.93	52.82	52.08	19.53	414.87	39.5	163.28	356.05	138.1	71.0	237.86	264.03	368.65	260.38	156.59	166.73	307.69	591.22	334.46	708.18	351.14	154.42	264.03	327.56	242.88
