	TCGA.UZ.A9PM.01A.21R.A38C.07	TCGA.A4.A48D.01A.11R.A24Z.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.IA.A83T.01A.11R.A355.07	TCGA.DJ.A3VM.01A.11R.A23N.07	TCGA.DJ.A2Q0.01A.11R.A206.07	TCGA.DJ.A3VF.01A.11R.A23N.07	TCGA.DJ.A2PT.01A.11R.A18C.07	TCGA.BJ.A3EZ.01A.11R.A206.07	TCGA.FY.A3YR.01A.11R.A22U.07	TCGA.IM.A3U2.01A.21R.A22L.07	TCGA.EM.A3FM.01A.11R.A21D.07	TCGA.EM.A2OY.01A.11R.A206.07	TCGA.DJ.A2PS.01A.11R.A18C.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.FY.A3R9.01A.11R.A220.07	TCGA.BJ.A45F.01A.12R.A23W.07	TCGA.DJ.A2QB.01A.11R.A19O.07	TCGA.EM.A2OW.01A.11R.A206.07	TCGA.J8.A4HY.01A.11R.A250.07	TCGA.FE.A232.01A.11R.A14Y.07	TCGA.ET.A25G.01A.11R.A16R.07	TCGA.EL.A3ZO.01A.11R.A23N.07	TCGA.DJ.A13S.01A.11R.A10U.07	TCGA.BJ.A0ZE.01A.11R.A10U.07	TCGA.DJ.A3VB.01A.11R.A23N.07	TCGA.DJ.A2PO.01A.21R.A19O.07	TCGA.DJ.A13T.01A.11R.A10U.07	TCGA.BJ.A3PT.01A.12R.A220.07	TCGA.EL.A3N2.01A.11R.A20F.07	TCGA.EM.A2CO.01A.11R.A19O.07	TCGA.E3.A3E3.01A.11R.A20F.07	TCGA.J8.A3NZ.01A.11R.A21D.07	TCGA.EM.A22N.01A.11R.A180.07	TCGA.DJ.A1QF.01A.12R.A14Y.07	TCGA.EL.A3GQ.01A.11R.A206.07	TCGA.DE.A4MC.01A.11R.A250.07	TCGA.DJ.A3V0.01A.11R.A22U.07	TCGA.ET.A25P.01A.11R.A16R.07	TCGA.DO.A1K0.01A.11R.A13Y.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	TCGA.BJ.A2N9.01A.11R.A18C.07	TCGA.EL.A3MZ.01A.11R.A21D.07
ABHD13	62.56	53.19	66.65	46.5	78.89	115.97	100.83	136.19	133.36	150.17	135.24	104.42	60.39	139.07	169.07	84.04	115.16	95.34	123.5	109.66	99.43	88.88	117.6	86.43	105.15	92.7	102.97	123.5	175.07	102.25	135.24	127.0	134.3	143.01	121.79	129.69	144.01	117.6	81.14	114.36	143.01	178.77	60.82	97.36
ALKBH8	44.89	46.18	37.59	11.3	36.01	95.34	102.25	94.67	65.72	109.66	84.04	74.06	59.13	108.9	127.0	46.84	92.05	72.01	81.14	106.63	60.82	62.12	85.82	44.89	84.63	69.52	63.89	107.38	97.36	49.91	103.69	65.72	90.14	81.71	73.03	92.05	135.24	102.25	64.34	97.36	92.05	109.66	45.53	88.26
ARHGAP42	37.05	22.1	46.18	17.38	27.25	158.79	149.12	122.64	63.89	148.09	114.36	78.89	53.95	85.82	186.4	99.43	98.04	82.87	92.7	178.77	98.04	94.01	151.22	43.63	133.36	59.55	54.33	269.6	194.36	43.94	165.57	75.11	108.9	136.19	111.99	287.01	264.03	111.21	74.06	125.24	208.38	166.73	26.67	110.43
ARID1B	162.14	182.55	153.34	134.3	141.02	463.65	486.75	368.65	237.86	376.41	320.8	260.38	265.87	400.71	507.46	277.2	339.14	277.2	358.54	414.87	323.03	379.04	435.55	229.72	389.72	215.77	217.27	514.56	514.56	309.83	470.14	289.02	376.41	406.31	406.31	656.11	638.15	392.44	283.05	444.72	540.19	423.61	218.79	363.56
ARMCX5	89.51	104.42	132.44	70.51	78.89	231.32	295.11	205.5	152.28	236.21	248.0	217.27	141.02	244.57	289.02	209.84	285.03	215.77	260.38	199.85	241.19	194.36	204.07	153.34	224.97	212.78	173.85	297.17	336.79	201.25	249.73	187.71	239.52	211.31	237.86	356.05	312.0	231.32	202.66	277.2	334.46	260.38	99.43	206.94
ATAD2B	20.56	20.26	17.9	12.64	21.32	122.64	64.34	115.16	74.06	116.78	92.05	77.79	43.94	58.3	150.17	79.45	93.35	100.83	77.79	88.88	65.26	71.5	98.04	63.0	85.82	39.79	78.34	142.01	126.12	63.45	129.69	43.63	84.63	95.34	59.13	106.63	180.02	110.43	81.71	84.63	136.19	102.97	29.27	96.01
ATP11B	150.17	211.31	166.73	64.34	92.7	314.17	246.28	323.03	181.28	371.22	283.05	197.09	180.02	229.72	307.69	228.13	260.38	218.79	329.84	253.23	191.67	199.85	316.37	169.07	264.03	150.17	231.32	287.01	353.59	163.28	341.51	193.01	246.28	277.2	327.56	339.14	373.81	379.04	186.4	232.94	457.25	327.56	76.71	279.14
ATP7A	29.48	31.67	43.02	33.06	33.3	92.7	101.54	80.01	57.08	114.36	99.43	58.71	43.63	97.36	129.69	52.45	84.63	82.29	105.89	76.17	53.57	71.5	85.22	41.52	118.43	84.63	64.34	120.94	137.14	68.07	94.01	80.01	84.04	108.14	98.04	107.38	117.6	88.88	63.89	101.54	102.25	120.94	40.36	68.55
BBX	127.89	163.28	142.01	46.5	87.65	412.0	297.17	351.14	172.65	409.15	301.33	185.11	158.79	303.44	536.45	205.5	318.57	293.07	336.79	301.33	204.07	285.03	343.89	139.07	305.55	246.28	182.55	447.82	532.74	199.85	400.71	271.48	318.57	470.14	412.0	624.99	624.99	381.68	211.31	379.04	607.87	466.88	152.28	285.03
BCLAF1	301.33	299.25	295.11	85.22	165.57	1304.15	974.5	1259.69	624.99	1313.23	1001.93	651.58	656.11	674.59	1529.73	620.67	995.0	819.3	934.76	1030.12	684.02	961.07	1233.75	575.03	928.3	753.83	563.18	1233.75	1662.49	660.68	1295.13	567.1	1051.79	1388.16	934.76	2004.85	2119.22	1175.27	684.02	1304.15	1651.0	1572.76	348.71	981.29
