	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EL.A3GZ.01A.11R.A20F.07	TCGA.DJ.A2Q4.01A.21R.A18C.07	TCGA.DJ.A1QI.01A.11R.A14Y.07	TCGA.EL.A3H4.01A.11R.A206.07	TCGA.EL.A3GW.01A.11R.A206.07	TCGA.EL.A3T7.01A.11R.A22L.07	GTEX.ZP4G.0726.SM.4WWF2	GTEX.14BMU.1826.SM.5RQII	GTEX.S4UY.1226.SM.4AD51	GTEX.ZLWG.1026.SM.4WWC4	GTEX.U3ZN.0726.SM.4DXT5
AAR2	775.05	813.63	125.24	507.46	493.56	423.61	336.79	226.54	429.54	995.0	1066.48	1111.82	961.07	1119.56
AC006547.14	35.5	34.51	0.38	13.72	7.0	5.68	7.06	7.51	18.43	15.56	16.51	59.55	51.35	46.18
ACOT2	579.04	476.71	0.26	500.46	490.14	476.71	327.56	480.04	414.87	2591.27	785.88	1340.84	1242.34	1088.92
ALKBH2	629.35	536.45	0.28	480.04	351.14	307.69	287.01	361.04	314.17	854.13	723.08	660.68	1242.34	733.19
ARL2	2855.44	1540.37	0.79	1519.15	1447.15	1225.22	1388.16	1350.18	1883.54	2976.74	4769.75	4903.87	6207.38	3103.19
B9D2	226.54	381.68	0.0	229.72	151.22	152.28	74.06	212.78	191.67	299.25	521.76	547.75	511.0	607.87
C12orf43	229.72	291.04	140.04	215.77	176.29	201.25	149.12	241.19	212.78	363.56	356.05	392.44	466.88	368.65
C15orf41	42.41	46.18	0.39	46.84	31.45	47.17	62.12	31.9	39.5	265.87	209.84	185.11	283.05	244.57
C22orf26	13.93	11.13	0.0	9.13	3.23	9.27	3.59	3.96	7.82	15.45	15.34	28.86	8.38	15.22
C4orf27	551.56	612.11	0.17	497.0	543.96	368.65	511.0	423.61	444.72	808.0	915.51	878.17	1151.06	954.43
CACNG6	2609.3	45701.96	0.0	0.0	0.0	0.0	0.0	0.36	0.37	20.86	0.0	12.93	8.19	12.74
CCDC86	281.09	305.55	0.16	348.71	289.02	291.04	293.07	325.29	234.57	486.75	441.64	423.61	703.28	414.87
CCT7	3467.27	3467.27	0.61	3564.78	3639.7	3820.7	3018.3	3303.0	3372.43	5292.48	5672.41	4671.57	5517.27	5076.84
CDK4	3928.15	2758.13	2367.9	3081.75	2997.45	2816.11	2720.15	3564.78	2720.15	4328.55	5183.54	4937.99	4450.27	7749.1
CDKN1C	981.29	1208.34	0.23	423.61	334.46	204.07	297.17	117.6	166.73	2224.63	2178.83	4736.79	8191.0	8963.45
CNGA4	128.79	1529.73	0.0	2.71	1.14	2.76	0.74	2.18	3.47	10.47	9.34	21.01	24.99	28.65
DAPK3	1191.69	1167.14	0.25	1111.82	1023.0	785.88	638.15	679.29	802.41	2935.74	2935.74	2351.53	3124.78	2796.65
DENND2A	540.19	476.71	0.32	67.12	23.08	33.06	18.29	37.59	13.22	1572.76	842.36	647.07	1685.71	555.41
DIRAS1	36.79	42.71	0.39	14.24	53.57	6.46	19.53	12.0	12.18	599.49	379.04	450.94	575.03	215.77
DIXDC1	353.59	363.56	0.16	134.3	131.51	193.01	208.38	122.64	135.24	878.17	612.11	1023.0	551.56	954.43
DMWD	417.77	376.41	0.85	521.76	483.38	521.76	559.28	486.75	536.45	629.35	802.41	1286.18	1111.82	995.0
DNPH1	1950.0	1709.26	0.27	764.36	651.58	688.78	392.44	1059.11	476.71	3928.15	2209.26	2047.0	3146.52	1594.73
ECI2	3901.01	2796.65	0.67	954.43	878.17	981.29	878.17	934.76	1066.48	1322.37	1508.65	2018.8	2895.31	1216.75
ECM2	896.64	1001.93	0.0	248.0	57.89	144.01	80.01	66.18	58.71	1143.1	444.72	1151.06	748.61	1044.52
EEFSEC	532.74	450.94	0.43	309.83	316.37	229.72	195.72	293.07	262.2	642.59	466.88	536.45	599.49	567.1
EID1	5219.6	6935.54	0.44	5366.37	4575.41	4869.99	4481.23	4972.34	4328.55	11909.94	7230.1	10154.69	8305.36	11345.82
EIF4H	5076.84	5403.7	211.31	4481.23	4736.79	4358.66	4512.4	5441.3	4419.52	6426.31	5555.65	6037.61	6164.49	7180.15
EMC4	1819.35	3081.75	2609.3	2935.74	2520.38	2720.15	2193.99	2555.58	3081.75	3901.01	2609.3	3540.14	4239.45	3768.09
EPM2A	63.0	76.17	0.26	38.95	37.05	48.87	67.59	62.12	47.5	226.54	144.01	171.45	170.25	211.31
FADS1	135.24	146.03	0.49	122.64	154.42	93.35	111.99	103.69	117.6	334.46	291.04	332.14	769.69	429.54
FAM103A1	514.56	733.19	0.0	543.96	403.5	511.0	323.03	642.59	381.68	708.18	679.29	684.02	693.58	713.11
FBXL12	529.06	620.67	0.72	414.87	318.57	332.14	303.44	412.0	376.41	733.19	651.58	753.83	693.58	728.11
GAR1	476.71	579.04	406.31	511.0	409.15	409.15	351.14	438.59	353.59	633.73	713.11	583.07	836.53	764.36
GPKOW	454.09	493.56	0.62	420.68	412.0	426.57	397.93	395.18	444.72	599.49	620.67	651.58	808.0	674.59
GRHPR	2895.31	2627.46	98.73	1697.45	1651.0	1651.0	1417.35	1781.89	1857.6	3235.01	2976.74	2627.46	2591.27	2609.3
H2AFV	1674.06	2240.11	575.03	1769.57	2018.8	1685.71	1594.73	2451.44	1487.87	2739.08	3039.3	3349.13	2758.13	4869.99
HSPB2	507.46	231.32	0.41	122.64	208.38	65.72	131.51	63.45	185.11	842.36	480.04	947.83	571.05	1143.1
