	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.LN.A49S.01A.11R.A24K.31	TCGA.R6.A6L4.01A.11R.A31P.31	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.L7.A56G.01A.21R.A260.31	TCGA.L5.A8NG.01A.11R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.X585.1226.SM.46MW7	GTEX.NPJ8.2026.SM.3TW91	TCGA.CV.6955.01A.11R.2016.07	TCGA.CV.6959.11A.01R.1915.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.A4.7828.01A.11R.2139.07	TCGA.B9.4116.01A.02R.1351.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.Y5LM.0426.SM.4VBRO	GTEX.ZQG8.2126.SM.4YCF1	GTEX.111FC.2926.SM.5GZY7	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.1117F.3026.SM.5GZYU	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	GTEX.13CF2.2426.SM.5LZYL	GTEX.13113.0126.SM.5LZVX	GTEX.132AR.1126.SM.5P9GA	GTEX.V1D1.0926.SM.4JBHQ
AAAS	547.75	1551.09	769.69	1369.04	1242.34	1437.15	1407.55	1540.37	1159.07	1167.14	1167.14	1250.98	3419.52	470.14	748.61	466.88	684.02	1388.16	438.59	476.71	447.82	693.58	525.39	559.28	660.68	759.08	490.14	543.96	435.55	915.51	1437.15	1111.82	2090.03
ABCA10	24.28	76.71	132.44	66.65	125.24	122.64	81.71	162.14	62.56	111.99	48.18	603.67	209.84	7.4	15.68	1.25	11.04	97.36	5.02	7.94	0.34	33.3	29.27	17.77	13.93	69.03	10.08	5.15	8.51	96.68	26.1	140.04	218.79
AC008267.1	0.0	1.71	1.13	0.67	0.64	3.26	0.88	2.16	0.0	0.33	0.0	3.5	0.87	0.0	0.53	0.0	0.0	3.41	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.0	0.47	1.06	0.0	0.67	1.73	0.67	2.97
AC116407.2	4.13	29.7	34.02	15.11	21.32	8.71	4.7	5.32	9.63	10.55	8.19	40.07	21.16	7.28	2.12	0.0	2.66	11.13	0.02	1.81	1.3	3.23	1.28	4.24	4.46	4.5	0.0	2.61	2.66	8.99	20.56	9.13	9.2
AC132192.1	0.0	125.24	42.11	37.32	47.17	29.27	89.51	309.83	9.56	65.26	0.0	90.14	104.42	0.0	15.45	0.0	0.0	105.89	0.0	11.3	0.38	3.63	10.39	2.78	11.91	9.56	10.63	1.91	42.41	1.71	161.02	26.47	158.79
AGAP4	42.71	103.69	187.71	64.34	208.38	195.72	125.24	162.14	152.28	142.01	92.7	486.75	384.34	24.46	0.0	12.45	32.13	384.34	5.63	15.11	1.27	48.52	9.56	20.41	11.13	47.17	17.64	6.84	5.41	86.43	157.68	182.55	395.18
AGAP5	64.8	108.14	122.64	81.14	136.19	100.13	88.26	237.86	76.71	66.18	69.03	325.29	221.86	15.8	43.63	3.69	43.02	318.57	3.2	13.52	5.54	47.17	12.83	15.8	25.35	65.72	15.0	18.29	6.84	21.78	171.45	171.45	197.09
AKAP8L	813.63	1519.15	1119.56	1437.15	1498.22	1242.34	2193.99	1781.89	1216.75	1551.09	1529.73	3146.52	1709.26	575.03	902.89	113.56	660.68	2875.3	206.94	309.83	177.53	575.03	490.14	547.75	559.28	854.13	490.14	429.54	473.41	612.11	2875.3	1268.46	2537.92
APBB3	189.02	567.1	287.01	432.53	612.11	444.72	423.61	728.11	395.18	483.38	325.29	1709.26	1378.57	102.25	155.5	115.16	195.72	1697.45	56.28	128.79	29.7	164.42	58.3	86.43	159.9	271.48	71.0	99.43	31.67	189.02	1467.37	1008.9	2004.85
C19orf66	921.88	878.17	753.83	769.69	1023.0	674.59	587.13	1313.23	884.29	872.1	507.46	1242.34	1487.87	583.07	336.79	117.6	713.11	1447.15	674.59	1066.48	101.54	253.23	224.97	466.88	197.09	638.15	239.52	182.55	202.66	237.86	928.3	967.76	1487.87
