	GTEX.O5YW.0526.SM.2YUMX	GTEX.12584.1426.SM.5EGJ9	GTEX.U3ZM.0426.SM.3DB73	GTEX.QDVJ.0926.SM.2I5FU	GTEX.WY7C.0426.SM.3NB3C	GTEX.XUJ4.1426.SM.4BONT	GTEX.117YX.1326.SM.5H125	GTEX.13FTY.0126.SM.5J2NZ	GTEX.R55G.0826.SM.2TC5U	GTEX.U3ZN.0626.SM.3DB7U	GTEX.11NV4.1126.SM.5HL6J	GTEX.11EMC.0126.SM.5EGKV	GTEX.13N2G.0826.SM.5IJE6	GTEX.WHPG.1426.SM.3NMBB	GTEX.13PL7.1726.SM.5J2NX	GTEX.POMQ.0526.SM.3GADD	GTEX.Y9LG.0526.SM.4VBRY	GTEX.131XH.0426.SM.5DUWU
ACTR10	890.44	412.0	2047.0	1143.1	1745.2	1199.98	1225.22	743.43	1540.37	1806.78	612.11	988.12	743.43	1427.22	1096.5	2090.03	1685.71	1001.93
AFG3L2	785.88	435.55	830.75	775.05	733.19	848.22	785.88	193.01	921.88	791.35	223.41	583.07	412.0	688.78	669.92	909.17	988.12	299.25
ANAPC13	1051.79	723.08	3257.52	1605.83	2287.2	1250.98	2451.44	708.18	1870.53	2468.49	361.04	1191.69	1388.16	1628.26	1151.06	2319.15	2875.3	780.44
AP3B1	476.71	301.33	909.17	830.75	753.83	559.28	543.96	323.03	802.41	1044.52	325.29	583.07	507.46	698.41	379.04	934.76	866.07	351.14
ARL6IP6	371.22	180.02	620.67	297.17	575.03	305.55	669.92	271.48	373.81	974.5	173.85	180.02	348.71	351.14	417.77	567.1	327.56	164.42
ASAH2B	52.08	8.99	71.5	54.72	47.84	24.46	87.65	19.39	67.12	102.25	12.36	19.11	31.9	62.56	38.67	74.58	115.16	24.46
ATG5	348.71	255.0	500.46	361.04	493.56	249.73	603.67	211.31	457.25	684.02	159.9	223.41	271.48	389.72	341.51	514.56	312.0	195.72
ATP5A1	6561.36	3372.43	11664.82	11584.24	9808.75	7537.18	7749.1	3372.43	14561.8	11504.21	3874.05	6381.92	6337.83	7803.01	6079.61	13215.02	13776.25	4010.71
ATP5C1	1844.76	2224.63	6079.61	3716.2	4328.55	3540.14	3614.55	1350.18	6294.04	5112.16	1119.56	2875.3	2319.15	3874.05	2796.65	6840.04	6607.01	2287.2
ATP5O	2591.27	3564.78	8658.09	4937.99	4903.87	4066.71	4836.35	2384.37	8305.36	6250.56	1977.24	3235.01	2627.46	3847.29	4388.98	7230.1	6607.01	3018.3
B3GALTL	115.97	43.02	118.43	92.7	88.26	102.25	186.4	53.57	123.5	105.15	30.56	40.07	61.68	105.15	120.1	118.43	133.36	49.21
BLZF1	239.52	127.89	463.65	295.11	447.82	218.79	366.09	124.37	361.04	587.13	128.79	171.45	148.09	429.54	220.32	403.5	373.81	171.45
BTF3L4	551.56	595.34	1304.15	1008.9	995.0	813.63	947.83	295.11	961.07	1697.45	226.54	884.29	616.37	981.29	486.75	1051.79	1388.16	679.29
C12orf5	182.55	129.69	397.93	406.31	403.5	269.6	363.56	206.94	389.72	460.44	191.67	197.09	258.57	429.54	262.2	480.04	532.74	149.12
C1orf109	228.13	98.04	332.14	218.79	314.17	113.56	327.56	80.01	228.13	435.55	102.25	187.71	182.55	299.25	170.25	358.54	441.64	138.1
C1orf174	314.17	79.45	423.61	460.44	392.44	320.8	441.64	273.37	327.56	575.03	228.13	215.77	392.44	412.0	348.71	514.56	381.68	177.53
C5orf22	152.28	55.49	392.44	289.02	251.48	253.23	463.65	135.24	318.57	483.38	64.8	153.34	191.67	264.03	220.32	336.79	447.82	140.04
C5orf30	50.98	48.87	220.32	119.26	110.43	65.26	249.73	102.97	120.94	129.69	47.17	29.91	72.52	103.69	67.59	125.24	183.82	98.04
C7orf73	860.08	642.59	1781.89	1216.75	1427.22	1191.69	1119.56	444.72	1551.09	1457.23	195.72	764.36	642.59	796.86	1081.39	1159.07	1313.23	447.82
CCZ1B	371.22	476.71	1119.56	1183.45	842.36	629.35	1199.98	603.67	713.11	1051.79	373.81	186.4	642.59	825.0	836.53	1259.69	753.83	262.2
CDK20	151.22	42.41	190.34	236.21	172.65	102.25	125.24	115.16	136.19	279.14	41.52	47.5	156.59	137.14	139.07	249.73	161.02	78.89
CEP76	77.25	38.95	110.43	76.17	139.07	46.84	108.14	34.75	73.03	92.7	47.5	37.59	57.08	56.28	80.01	107.38	94.01	33.3
CHM	205.5	124.37	351.14	182.55	301.33	228.13	316.37	99.43	320.8	529.06	74.58	129.69	153.34	221.86	264.03	366.09	339.14	125.24
COA3	2018.8	718.08	2855.44	2287.2	1350.18	2303.12	2895.31	679.29	2777.33	2468.49	547.75	1286.18	1674.06	2148.82	3124.78	2271.4	3212.66	1037.29
COMMD8	297.17	101.54	693.58	511.0	540.19	363.56	511.0	124.37	543.96	723.08	64.34	134.3	187.71	532.74	323.03	665.29	665.29	120.1
COX7A2L	1844.76	2351.53	5112.16	3190.46	3349.13	3212.66	2796.65	1015.93	4388.98	2835.7	529.06	2591.27	1781.89	2935.74	3103.19	3257.52	3564.78	1769.57
CYB5R1	1963.57	536.45	2739.08	2032.85	2367.9	2645.74	1745.2	1159.07	3081.75	2163.77	693.58	934.76	1757.34	2255.7	1991.0	2537.92	2645.74	688.78
DCUN1D5	262.2	167.9	642.59	603.67	616.37	262.2	423.61	197.09	624.99	603.67	172.65	314.17	241.19	656.11	307.69	708.18	941.27	295.11
DHRS4-AS1	47.84	10.96	246.28	102.25	152.28	74.58	234.57	24.46	201.25	195.72	7.69	35.5	187.71	105.89	72.52	201.25	209.84	61.68
DNAJC16	204.07	56.68	195.72	175.07	206.94	111.99	209.84	131.51	133.36	316.37	69.03	102.97	156.59	126.12	177.53	231.32	158.79	93.35
DUSP11	444.72	88.88	728.11	563.18	633.73	341.51	555.41	155.5	417.77	669.92	102.25	234.57	242.88	441.64	269.6	595.34	607.87	368.65
ECHDC1	1427.22	438.59	3124.78	2075.59	2367.9	2032.85	2468.49	656.11	2520.38	3372.43	409.15	1378.57	2451.44	2090.03	1407.55	2451.44	2384.37	507.46
EEF1E1	295.11	234.57	764.36	718.08	624.99	420.68	591.22	171.45	559.28	718.08	195.72	376.41	299.25	540.19	454.09	780.44	651.58	303.44
EIF3J	587.13	1096.5	1175.27	1159.07	974.5	684.02	1030.12	575.03	1001.93	1628.26	738.29	848.22	490.14	1191.69	808.0	1073.91	1268.46	633.73
ERCC8	80.01	35.76	139.07	85.82	108.9	95.34	116.78	34.02	155.5	205.5	24.28	57.49	49.91	126.12	103.69	132.44	190.34	42.11
EXOSC8	277.2	249.73	854.13	486.75	571.05	343.89	476.71	293.07	500.46	1037.29	241.19	348.71	476.71	540.19	358.54	860.08	896.64	381.68
EXOSC9	381.68	281.09	693.58	460.44	543.96	325.29	607.87	194.36	629.35	718.08	169.07	384.34	351.14	587.13	466.88	688.78	981.29	403.5
FAM120AOS	961.07	733.19	1259.69	981.29	1044.52	909.17	1628.26	511.0	1059.11	1498.22	341.51	497.0	718.08	1159.07	1088.92	1183.45	1183.45	423.61
