	TCGA.B0.4700.01A.02R.1541.07	TCGA.CJ.4901.01A.01R.1426.07	TCGA.B8.A54H.01A.11R.A33J.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.CJ.6028.01A.11R.1672.07	TCGA.BP.4790.01A.01R.1305.07	TCGA.CJ.4890.01A.01R.1305.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.CJ.4872.01A.01R.1305.07	TCGA.DD.A3A5.11A.11R.A22L.07	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZF2S.3026.SM.4WWCH	GTEX.YEC4.0826.SM.5P9FV	GTEX.QV44.0326.SM.4R1KD	GTEX.11EQ9.0526.SM.5A5JZ	GTEX.ZZPU.0426.SM.5GZYH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.13PVR.0126.SM.5S2PY	GTEX.14753.1626.SM.5NQ9L
AC008964.1	483.38	848.22	199.85	435.55	1216.75	595.34	1111.82	293.07	163.28	325.29	15.34	74.06	119.26	21.01	105.15	61.68	39.5	134.3	37.32	28.24
APOBEC3C	2018.8	1794.29	460.44	1467.37	1447.15	1268.46	1437.15	1051.79	366.09	1151.06	17.64	54.33	194.36	49.91	205.5	170.25	17.9	171.45	57.08	24.99
ASF1A	214.27	217.27	206.94	248.0	305.55	346.29	269.6	194.36	185.11	301.33	132.44	215.77	297.17	145.02	186.4	190.34	128.79	327.56	251.48	84.04
B2M	343510.77	431797.89	280957.98	492579.5	431797.89	408505.64	585779.24	331809.5	271387.49	492579.5	99333.0	168220.2	248002.34	148488.36	218912.29	275175.93	169390.27	271387.49	114897.47	253213.41
C19orf18	20.86	22.43	16.51	7.88	19.82	12.0	19.53	29.06	13.52	16.75	7.88	3.08	1.83	13.03	2.43	6.62	8.32	12.0	28.04	5.19
C6orf141	85.22	258.57	27.05	12.64	38.67	36.79	22.26	27.44	19.97	131.51	9.93	2.29	27.05	3.5	19.82	31.67	1.85	9.56	18.84	5.68
CAMK4	54.72	62.12	24.81	21.16	73.54	76.71	88.26	52.45	22.75	51.71	6.36	13.52	28.04	11.91	15.56	4.1	6.11	34.26	1.91	12.36
CAPN11	113.56	18.43	41.81	6.01	22.26	10.08	36.27	88.88	9.41	40.93	1.07	0.0	2.92	2.71	1.87	4.03	0.33	5.92	3.69	0.0
CCDC141	18.03	43.02	24.46	22.1	38.95	21.32	27.64	29.7	9.2	21.47	2.34	21.01	2.1	2.68	3.69	3.35	1.23	3.99	1.93	2.14
CD48	1883.54	2400.97	555.41	921.88	1397.83	1286.18	2682.69	1037.29	389.72	1277.29	47.5	134.3	423.61	34.75	420.68	118.43	52.08	271.48	87.03	78.89
