	TCGA.LL.A740.01A.21R.A32P.07	TCGA.E9.A1RH.01A.21R.A169.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.D8.A1JF.01A.11R.A13Q.07	TCGA.AN.A0FZ.01A.11R.A034.07	TCGA.E2.A153.11A.31R.A12D.07	TCGA.BH.A1ET.11B.23R.A137.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.E9.A1N9.11A.71R.A14D.07	TCGA.BH.A0DK.11A.13R.A089.07	GTEX.11P81.1926.SM.5BC53	GTEX.ZAJG.0626.SM.5HL8X	GTEX.U3ZN.1926.SM.4DXSG	GTEX.11EMC.2026.SM.5A5JV	GTEX.13NZ8.0126.SM.5IJCT	TCGA.B0.5698.01A.11R.1672.07	TCGA.CJ.5684.01A.11R.1541.07	TCGA.B8.A54H.01A.11R.A33J.07	TCGA.CJ.4641.01A.02R.1325.07	TCGA.CW.5584.01A.01R.1541.07	TCGA.CJ.5680.01A.11R.1541.07	TCGA.B2.5635.01A.01R.1541.07	TCGA.AK.3450.01A.02R.1277.07	TCGA.CJ.4902.01A.01R.1426.07	TCGA.DV.5566.01A.01R.1541.07	TCGA.CJ.4869.01A.02R.1426.07	TCGA.CZ.4856.01A.02R.1426.07	TCGA.BP.5176.01A.01R.1426.07	TCGA.BQ.5892.01A.11R.1592.07	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.Y5LM.0426.SM.4VBRO	GTEX.14753.1626.SM.5NQ9L
ABCC5	136.19	921.88	121.79	100.13	674.59	389.72	339.14	511.0	279.14	249.73	679.29	212.78	1135.2	358.54	669.92	158.79	145.02	264.03	289.02	135.24	103.69	253.23	155.5	435.55	94.67	115.97	142.01	130.6	105.89	34.02	41.52	15.91
AC114494.1	7.22	1.99	13.03	9.27	20.26	31.22	25.35	13.42	10.31	9.56	6.62	7.28	10.79	47.84	0.0	20.11	2.56	3.32	5.54	0.0	8.85	10.39	2.36	25.35	3.14	1.85	1.85	0.0	0.0	0.0	2.89	0.0
AC124890.1	1.39	0.74	1.19	0.79	13.62	7.06	9.41	15.34	7.46	2.56	15.11	7.88	16.15	15.34	2.23	0.0	3.69	4.03	5.28	4.54	2.1	4.54	3.72	15.34	5.96	2.25	1.89	1.13	1.08	0.0	0.0	0.05
AHI1	65.72	135.24	277.2	132.44	163.28	334.46	486.75	473.41	346.29	312.0	346.29	242.88	214.27	684.02	332.14	132.44	99.43	156.59	212.78	56.68	71.0	189.02	157.68	209.84	68.55	96.68	59.97	48.52	88.26	25.54	34.51	19.11
AKAP8	353.59	490.14	400.71	234.57	323.03	441.64	460.44	507.46	447.82	348.71	392.44	409.15	511.0	454.09	323.03	312.0	361.04	559.28	435.55	423.61	387.02	503.95	429.54	591.22	400.71	356.05	246.28	334.46	356.05	98.04	144.01	100.13
AL136531.1	0.0	0.37	0.77	1.81	3.63	0.0	1.51	3.72	2.2	1.08	3.32	0.39	2.1	2.12	4.7	0.0	0.0	1.66	2.1	0.37	0.0	1.5	0.0	1.11	0.0	0.0	0.39	0.0	0.0	0.0	0.04	0.16
ANAPC4	275.28	303.44	273.37	291.04	346.29	555.41	651.58	624.99	551.56	429.54	638.15	361.04	698.41	647.07	473.41	239.52	191.67	341.51	444.72	232.94	277.2	351.14	301.33	392.44	198.47	212.78	209.84	158.79	262.2	63.0	113.56	55.49
ANGEL1	157.68	153.34	231.32	384.34	204.07	358.54	414.87	403.5	301.33	239.52	423.61	366.09	473.41	307.69	363.56	177.53	143.01	312.0	170.25	139.07	110.43	194.36	86.43	420.68	120.1	102.25	229.72	138.1	135.24	215.77	84.04	190.34
ANKRA2	389.72	281.09	271.48	295.11	262.2	473.41	638.15	679.29	567.1	466.88	703.28	551.56	532.74	723.08	688.78	173.85	316.37	320.8	327.56	201.25	231.32	417.77	248.0	348.71	204.07	166.73	145.02	175.07	244.57	155.5	180.02	172.65
AP4B1	193.01	202.66	186.4	269.6	175.07	318.57	403.5	420.68	332.14	234.57	417.77	397.93	368.65	429.54	303.44	148.09	167.9	255.0	314.17	147.06	102.25	229.72	163.28	343.89	170.25	123.5	170.25	125.24	126.12	65.72	108.14	31.45
