	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.B6.A0WT.01A.11R.A109.07	TCGA.A7.A0CH.01A.21R.A00Z.07	TCGA.E9.A24A.01A.11R.A169.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.AR.A24X.01A.11R.A169.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.A7.A26H.01A.11R.A169.07	GTEX.Y111.1926.SM.4SOIS	GTEX.14ABY.0926.SM.5Q5DY	GTEX.13NZA.1026.SM.5MR48	GTEX.YEC4.0626.SM.5CVLU	GTEX.S341.0226.SM.5S2VG	GTEX.13OW8.0126.SM.5IJE5	GTEX.131XH.0526.SM.5DUX7	GTEX.12ZZZ.1226.SM.59HK1	GTEX.13N1W.0826.SM.5MR5J	GTEX.OHPM.2626.SM.33HC5	GTEX.1313W.0726.SM.5EGK1	GTEX.WHSB.1626.SM.3LK6J	GTEX.Y5V6.0526.SM.4VBRV	GTEX.SNOS.0226.SM.32PLR	GTEX.13O61.0226.SM.5KM52	GTEX.13X6J.0826.SM.5LU32	GTEX.OIZG.0226.SM.2TC5L	GTEX.ZYFG.0626.SM.5GZYA	GTEX.WL46.0126.SM.3TW8I	GTEX.131YS.0726.SM.5P9G9	GTEX.XLM4.0726.SM.4AT64	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.P78B.0526.SM.2I5F7	GTEX.RVPV.1226.SM.2TF73	GTEX.ZLWG.0526.SM.4WWFB	GTEX.SJXC.0726.SM.2XCFJ	GTEX.11TTK.0826.SM.5N9EG	GTEX.VJYA.0426.SM.3GIJK	GTEX.WK11.0926.SM.3NMAU	GTEX.139T6.0326.SM.5J2LY	GTEX.T2IS.0626.SM.32QP6	GTEX.V955.0426.SM.3GAEL	GTEX.YFCO.0326.SM.4W1ZP	GTEX.ZY6K.0226.SM.5SIAY	GTEX.ZA64.0426.SM.5HL96	GTEX.12BJ1.0426.SM.5FQSO	GTEX.1212Z.0426.SM.5FQT6	GTEX.QLQ7.0726.SM.2I5G2	GTEX.YB5E.0626.SM.4VDSE	GTEX.11ZTT.1026.SM.5EQKF	GTEX.WFG8.0426.SM.3GILD	GTEX.ZVZP.1026.SM.5GICI	GTEX.13OW6.0726.SM.5L3FX	GTEX.WYBS.1926.SM.3NM8N	GTEX.13NYC.2426.SM.5MR3K	GTEX.ZYT6.0426.SM.5GID3	GTEX.13VXU.0826.SM.5KLZ2	GTEX.111FC.1026.SM.5GZX1
AAGAB	1447.15	1322.37	1313.23	1572.76	1561.89	1250.98	1167.14	1662.49	1286.18	988.12	591.22	698.41	497.0	902.89	854.13	423.61	579.04	748.61	759.08	848.22	629.35	698.41	1044.52	802.41	961.07	521.76	759.08	909.17	447.82	551.56	532.74	497.0	842.36	595.34	872.1	1001.93	514.56	1066.48	563.18	842.36	563.18	954.43	934.76	961.07	728.11	738.29	713.11	1008.9	941.27	884.29	1268.46	915.51	693.58	679.29	525.39	674.59	728.11	708.18
ABCD3	796.86	1551.09	1331.57	1909.85	1769.57	1183.45	1159.07	1519.15	988.12	1277.29	400.71	567.1	395.18	607.87	651.58	361.04	559.28	575.03	420.68	878.17	376.41	500.46	748.61	500.46	728.11	457.25	563.18	713.11	297.17	438.59	323.03	381.68	563.18	457.25	703.28	785.88	316.37	836.53	438.59	633.73	514.56	603.67	599.49	669.92	555.41	559.28	457.25	708.18	651.58	688.78	947.83	624.99	518.15	470.14	361.04	387.02	567.1	483.38
ANGEL2	866.07	947.83	836.53	878.17	941.27	808.0	825.0	860.08	813.63	825.0	314.17	409.15	297.17	293.07	476.71	329.84	262.2	277.2	387.02	473.41	351.14	412.0	368.65	384.34	323.03	332.14	348.71	395.18	275.28	435.55	307.69	325.29	376.41	381.68	307.69	444.72	320.8	438.59	265.87	363.56	363.56	603.67	351.14	351.14	376.41	363.56	343.89	397.93	279.14	358.54	532.74	366.09	406.31	318.57	271.48	291.04	325.29	318.57
ANKEF1	199.85	202.66	368.65	182.55	163.28	206.94	181.28	189.02	212.78	162.14	60.39	125.24	46.18	100.83	106.63	50.63	65.72	76.71	55.49	158.79	62.12	139.07	193.01	120.94	170.25	89.51	104.42	130.6	70.01	90.77	39.5	72.52	111.99	105.89	122.64	147.06	46.84	295.11	48.87	98.73	84.63	98.04	110.43	156.59	107.38	100.13	75.11	131.51	120.94	127.0	108.14	142.01	66.18	61.25	90.14	96.68	92.7	94.01
AP3M1	808.0	1096.5	995.0	890.44	872.1	848.22	759.08	1001.93	878.17	961.07	381.68	567.1	262.2	441.64	563.18	343.89	466.88	454.09	329.84	854.13	389.72	500.46	651.58	435.55	547.75	466.88	466.88	595.34	299.25	387.02	320.8	371.22	638.15	438.59	555.41	748.61	277.2	791.35	358.54	426.57	447.82	728.11	503.95	559.28	417.77	547.75	429.54	743.43	373.81	518.15	660.68	497.0	409.15	312.0	309.83	392.44	540.19	432.53
API5	2591.27	1883.54	3742.05	1572.76	1487.87	1662.49	1467.37	1883.54	1709.26	1628.26	819.3	1331.57	620.67	941.27	1059.11	647.07	1008.9	1066.48	753.83	1883.54	780.44	928.3	1216.75	1015.93	1030.12	1030.12	1023.0	1225.22	665.29	785.88	791.35	796.86	1127.35	934.76	1135.2	1685.71	638.15	1769.57	947.83	1088.92	1030.12	1233.75	1001.93	1030.12	947.83	995.0	934.76	1331.57	995.0	1111.82	1397.83	1143.1	961.07	836.53	713.11	941.27	1044.52	1015.93
AQR	674.59	441.64	595.34	540.19	660.68	470.14	575.03	660.68	543.96	514.56	303.44	351.14	255.0	376.41	376.41	327.56	348.71	361.04	287.01	409.15	346.29	366.09	406.31	392.44	356.05	334.46	379.04	409.15	356.05	368.65	348.71	376.41	334.46	341.51	400.71	651.58	353.59	620.67	305.55	363.56	312.0	379.04	379.04	429.54	341.51	368.65	373.81	460.44	441.64	426.57	547.75	301.33	454.09	303.44	283.05	341.51	323.03	339.14
B3GNT2	665.29	571.05	713.11	1096.5	490.14	575.03	656.11	438.59	679.29	656.11	239.52	361.04	229.72	339.14	392.44	371.22	244.57	246.28	279.14	473.41	279.14	295.11	567.1	273.37	346.29	279.14	466.88	332.14	217.27	303.44	164.42	177.53	318.57	289.02	346.29	447.82	146.03	575.03	187.71	353.59	316.37	633.73	368.65	441.64	325.29	429.54	514.56	547.75	341.51	412.0	518.15	295.11	444.72	309.83	202.66	251.48	325.29	220.32
BRCC3	723.08	607.87	620.67	579.04	651.58	540.19	571.05	791.35	713.11	599.49	299.25	406.31	231.32	343.89	346.29	232.94	297.17	343.89	218.79	460.44	316.37	285.03	376.41	303.44	301.33	325.29	312.0	348.71	267.73	256.78	279.14	309.83	384.34	307.69	348.71	507.46	224.97	507.46	287.01	289.02	363.56	395.18	307.69	371.22	281.09	563.18	236.21	339.14	323.03	368.65	417.77	329.84	305.55	295.11	236.21	323.03	384.34	336.79
C1orf74	127.89	389.72	241.19	244.57	149.12	198.47	236.21	217.27	183.82	242.88	49.91	84.04	34.02	66.65	71.5	49.91	25.17	37.05	57.49	67.59	35.5	58.3	71.5	81.71	78.89	58.71	70.51	75.11	52.08	65.72	31.0	33.54	54.72	32.82	69.03	74.06	42.71	104.42	62.56	52.08	67.59	61.68	60.82	92.7	54.72	62.12	92.7	54.72	63.0	59.55	34.75	93.35	57.89	29.06	22.1	47.84	43.94	72.01
