	TCGA.BT.A42F.01A.11R.A23W.07	TCGA.E7.A7DV.01A.11R.A33J.07	TCGA.FD.A5C1.01A.11R.A28M.07	TCGA.FD.A62N.01A.11R.A30C.07	TCGA.ZF.AA53.01A.11R.A39I.07	TCGA.ZF.AA4W.01A.12R.A38B.07	TCGA.C4.A0F1.01A.11R.A034.07	TCGA.DK.A3WW.01A.22R.A23N.07	GTEX.ZF2S.2026.SM.5E461	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IR.A3LC.01A.11R.A213.07	TCGA.VS.A9UH.01A.11R.A42T.07	TCGA.ZJ.A8QQ.01A.11R.A37O.07	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.EK.A2H0.01A.11R.A180.07	TCGA.BB.8601.01A.11R.2403.07	TCGA.F7.A50J.01A.21R.A28V.07	TCGA.CR.7392.01A.11R.2016.07	TCGA.BA.5556.01A.01R.1514.07	TCGA.BA.A6DD.01A.12R.A31N.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CQ.A4CE.01A.11R.A266.07	TCGA.BB.7863.01A.11R.2232.07	TCGA.CN.4734.01A.01R.1436.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.MT.A67D.01A.31R.A30B.07	TCGA.UF.A7JH.01A.21R.A34R.07	TCGA.CV.7252.01A.11R.2016.07	TCGA.CV.A6JY.01A.11R.A31N.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.T2.A6X2.01A.12R.A34R.07	TCGA.IQ.7631.01A.11R.2081.07	TCGA.CN.4729.01A.01R.1436.07	TCGA.CR.6471.01A.11R.1873.07	TCGA.CN.4722.01A.01R.1436.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CR.7372.01A.11R.2016.07	TCGA.H7.A6C4.01A.11R.A30B.07	TCGA.BB.A5HZ.01A.21R.A28V.07	TCGA.P3.A6T5.01A.11R.A34R.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.7434.01A.11R.2132.07	TCGA.CR.7394.01A.11R.2016.07	TCGA.CV.6953.01A.11R.1915.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.5331.01A.02R.1873.07	TCGA.BB.A6UO.01A.12R.A34R.07	TCGA.CR.7380.01A.11R.2016.07	TCGA.BA.5151.01A.01R.1436.07	TCGA.CN.5369.01A.01R.1436.07	TCGA.F7.A61S.01A.11R.A28V.07	TCGA.CQ.A4CD.01A.21R.A24Z.07	TCGA.CN.5356.01A.01R.1436.07	TCGA.HD.A4C1.01A.11R.A24H.07	TCGA.CX.7085.01A.21R.2016.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7427.01A.11R.2081.07	TCGA.CQ.5324.01A.01R.1686.07	TCGA.UF.A7JC.01A.21R.A34R.07	TCGA.P3.A6T7.01A.11R.A34R.07	TCGA.CR.7364.01A.11R.2016.07	TCGA.CQ.6218.01A.11R.1915.07	TCGA.CQ.5332.01A.01R.1686.07	TCGA.CQ.7071.01A.12R.A30B.07	TCGA.CV.6945.01A.11R.1915.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.CV.7425.01A.11R.2081.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.CQ.5327.01A.01R.1686.07	TCGA.C9.A47Z.01A.11R.A24H.07	TCGA.CN.5373.01A.01R.1436.07	TCGA.CV.5432.01A.02R.1686.07	TCGA.CV.6955.11A.01R.2016.07	TCGA.CV.7425.11A.01R.2081.07	TCGA.DD.A39Y.01A.11R.A213.07
AKT2	3039.3	674.59	785.88	1498.22	1127.35	703.28	1709.26	947.83	2816.11	1104.13	1417.35	1127.35	1781.89	1208.34	1242.34	764.36	1769.57	2915.45	2451.44	1662.49	2240.11	1950.0	2417.67	2287.2	1733.13	2367.9	1936.53	1001.93	2075.59	2417.67	1378.57	1896.65	1359.57	1662.49	1757.34	2148.82	2133.97	3018.3	1832.01	2004.85	1628.26	1685.71	1529.73	1991.0	1870.53	2997.45	2502.97	2004.85	2303.12	1295.13	2032.85	2224.63	2537.92	1467.37	1561.89	2061.24	2163.77	2319.15	1529.73	2119.22	2591.27	3847.29	1769.57	1498.22	2224.63	2061.24	1583.71	1594.73	1322.37	2537.92	2163.77	1119.56	1991.0	1781.89	2163.77	1199.98	2434.5	2417.67	878.17
ANKRD17	208.38	177.53	161.02	175.07	221.86	323.03	551.56	316.37	1088.92	579.04	460.44	244.57	497.0	167.9	490.14	236.21	395.18	579.04	753.83	236.21	591.22	426.57	629.35	764.36	470.14	579.04	356.05	400.71	638.15	571.05	293.07	379.04	559.28	718.08	336.79	629.35	620.67	825.0	414.87	525.39	457.25	532.74	348.71	507.46	813.63	748.61	624.99	371.22	753.83	409.15	836.53	884.29	703.28	397.93	403.5	1151.06	540.19	684.02	327.56	679.29	660.68	629.35	536.45	444.72	780.44	638.15	518.15	651.58	497.0	540.19	708.18	409.15	497.0	450.94	866.07	373.81	780.44	438.59	190.34
AP3M1	285.03	189.02	199.85	339.14	237.86	248.0	423.61	281.09	1225.22	551.56	361.04	215.77	470.14	237.86	414.87	379.04	339.14	684.02	500.46	301.33	356.05	460.44	483.38	441.64	379.04	346.29	329.84	269.6	525.39	423.61	438.59	265.87	384.34	420.68	237.86	595.34	381.68	607.87	341.51	406.31	320.8	409.15	258.57	236.21	258.57	518.15	423.61	384.34	571.05	269.6	514.56	830.75	406.31	450.94	348.71	633.73	547.75	423.61	470.14	441.64	507.46	395.18	435.55	271.48	693.58	559.28	543.96	460.44	466.88	356.05	466.88	305.55	429.54	332.14	543.96	314.17	612.11	363.56	201.25
APBB2	90.14	96.68	258.57	189.02	170.25	74.06	177.53	417.77	1397.83	86.43	173.85	178.77	237.86	194.36	256.78	73.54	195.72	733.19	400.71	229.72	217.27	201.25	406.31	269.6	178.77	571.05	339.14	201.25	575.03	249.73	191.67	214.27	285.03	420.68	301.33	493.56	325.29	400.71	167.9	450.94	208.38	214.27	217.27	325.29	480.04	476.71	199.85	195.72	293.07	353.59	447.82	775.05	435.55	198.47	265.87	785.88	536.45	583.07	209.84	190.34	353.59	336.79	368.65	444.72	334.46	301.33	226.54	318.57	251.48	220.32	299.25	237.86	392.44	226.54	480.04	197.09	258.57	155.5	112.77
APC	37.85	30.12	31.67	40.07	45.53	58.71	130.6	50.98	297.17	112.77	73.54	50.27	85.82	48.52	86.43	56.68	83.45	167.9	155.5	48.18	133.36	96.68	135.24	153.34	64.8	147.06	44.57	54.72	135.24	111.99	71.0	79.45	152.28	92.7	69.52	71.5	239.52	125.24	95.34	162.14	65.26	81.14	52.82	60.39	136.19	201.25	133.36	92.7	86.43	55.1	169.07	237.86	149.12	76.71	59.55	156.59	185.11	205.5	135.24	130.6	148.09	112.77	47.5	45.53	234.57	113.56	90.77	127.0	54.33	88.88	101.54	43.02	78.89	84.63	181.28	61.25	226.54	70.01	41.22
ARHGAP35	318.57	244.57	155.5	194.36	151.22	283.05	273.37	130.6	1378.57	392.44	353.59	162.14	376.41	204.07	287.01	122.64	312.0	633.73	525.39	199.85	373.81	312.0	334.46	314.17	277.2	267.73	264.03	220.32	336.79	301.33	206.94	248.0	412.0	363.56	441.64	483.38	603.67	444.72	273.37	403.5	221.86	231.32	332.14	356.05	305.55	536.45	460.44	291.04	336.79	172.65	490.14	429.54	305.55	202.66	271.48	486.75	412.0	400.71	368.65	486.75	392.44	961.07	348.71	301.33	507.46	228.13	406.31	244.57	275.28	444.72	426.57	177.53	358.54	318.57	476.71	301.33	454.09	198.47	454.09
ASB7	88.88	49.91	59.13	53.95	66.65	91.41	76.17	97.36	226.54	84.63	92.7	59.13	141.02	78.34	148.09	100.13	92.7	148.09	159.9	78.89	105.15	114.36	118.43	139.07	94.01	134.3	111.99	92.7	115.16	149.12	96.68	137.14	96.68	111.99	66.65	223.41	199.85	142.01	98.04	166.73	109.66	108.14	57.08	87.65	127.89	181.28	141.02	100.13	140.04	71.5	186.4	164.42	143.01	82.29	101.54	211.31	151.22	156.59	127.0	155.5	239.52	135.24	152.28	143.01	239.52	103.69	128.79	94.67	68.55	113.56	146.03	116.78	130.6	146.03	166.73	94.01	262.2	96.01	34.26
ASH1L	84.04	72.01	76.71	59.97	53.95	67.12	281.09	91.41	764.36	152.28	173.85	80.01	155.5	66.18	147.06	145.02	96.68	314.17	218.79	61.25	149.12	169.07	169.07	165.57	92.7	158.79	99.43	130.6	163.28	208.38	113.56	143.01	149.12	148.09	125.24	215.77	248.0	164.42	120.1	166.73	116.78	111.99	97.36	86.43	163.28	265.87	194.36	142.01	175.07	67.59	251.48	256.78	177.53	66.18	164.42	316.37	199.85	244.57	114.36	220.32	211.31	183.82	183.82	92.7	318.57	130.6	231.32	155.5	98.04	151.22	215.77	95.34	133.36	139.07	253.23	108.14	303.44	98.04	55.1
ASXL2	59.97	38.12	41.81	43.02	31.45	56.68	128.79	78.89	447.82	199.85	137.14	46.5	85.82	62.56	81.14	78.34	63.89	293.07	237.86	50.63	122.64	99.43	131.51	205.5	71.0	161.02	74.58	66.18	151.22	140.04	76.17	70.01	108.9	115.16	69.03	166.73	264.03	209.84	81.14	307.69	120.1	122.64	51.35	59.97	98.04	264.03	144.01	93.35	201.25	48.18	307.69	244.57	151.22	65.26	60.82	277.2	176.29	251.48	147.06	185.11	217.27	150.17	133.36	64.34	309.83	64.34	316.37	141.02	51.35	108.14	155.5	59.97	100.83	111.21	248.0	85.22	241.19	71.0	20.41
BAZ2A	295.11	127.0	314.17	395.18	185.11	511.0	669.92	379.04	1151.06	802.41	379.04	438.59	591.22	271.48	486.75	320.8	392.44	1225.22	1159.07	264.03	460.44	748.61	688.78	1151.06	361.04	802.41	320.8	329.84	575.03	603.67	551.56	915.51	497.0	684.02	343.89	836.53	981.29	660.68	620.67	647.07	493.56	543.96	256.78	305.55	802.41	1001.93	723.08	599.49	915.51	316.37	785.88	921.88	967.76	438.59	514.56	1159.07	759.08	1096.5	836.53	896.64	1159.07	813.63	753.83	483.38	819.3	620.67	796.86	656.11	320.8	674.59	1030.12	656.11	521.76	698.41	1073.91	400.71	921.88	379.04	183.82
