	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.11WQK.2526.SM.5CVL8	GTEX.13O3P.2726.SM.5KM2R	GTEX.144GM.1626.SM.5O9AG	GTEX.ZYWO.1126.SM.5U3SH	GTEX.YJ8A.1226.SM.5IFHH	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.EJ.A8FO.11A.11R.A36G.07	GTEX.XAJ8.0626.SM.47JY4	GTEX.11ZUS.2126.SM.5N9E6	GTEX.146FQ.1726.SM.5QGPX	GTEX.13O21.1126.SM.5N9EV
ABCB6	587.13	389.72	397.93	295.11	555.41	153.34	638.15	381.68	0.0	0.92	921.88	1044.52	1167.14	1427.22	769.69
ABHD12	368.65	1369.04	1745.2	802.41	688.78	521.76	583.07	591.22	0.0	0.53	1277.29	1407.55	1304.15	1605.83	1216.75
ABHD16B	44.25	182.55	167.9	29.48	64.8	41.22	43.63	44.57	0.0	0.36	176.29	143.01	131.51	163.28	96.68
AC004076.9	10.08	11.3	9.78	0.0	7.06	10.71	12.55	17.0	0.0	0.0	24.46	24.99	13.83	30.56	22.59
ACAD9	480.04	457.25	555.41	366.09	503.95	540.19	441.64	441.64	0.0	0.56	738.29	718.08	665.29	674.59	759.08
ADCK2	162.14	665.29	708.18	327.56	237.86	137.14	281.09	239.52	0.0	0.33	547.75	547.75	684.02	708.18	511.0
AKT1S1	656.11	1304.15	1175.27	217.27	591.22	848.22	713.11	802.41	0.0	0.67	1104.13	1127.35	1119.56	941.27	759.08
AP003068.23	75.64	131.51	46.84	45.21	22.43	22.92	17.13	27.05	0.0	0.21	73.03	102.25	49.56	107.38	81.71
ARAF	961.07	1794.29	1745.2	830.75	988.12	1233.75	1407.55	1001.93	1259.69	412.0	1457.23	1594.73	1674.06	2148.82	1950.0
ARFGAP2	1059.11	1427.22	1950.0	961.07	1208.34	1051.79	1199.98	1044.52	1487.87	669.92	2163.77	2090.03	1819.35	1923.14	2061.24
ARIH2OS	10.55	70.01	85.82	20.56	25.17	15.91	23.08	20.71	0.0	0.0	60.39	53.19	99.43	99.43	72.52
ARMC7	47.84	361.04	426.57	228.13	178.77	72.01	186.4	125.24	0.0	0.4	307.69	366.09	400.71	497.0	318.57
ARSA	444.72	1208.34	1023.0	529.06	693.58	563.18	532.74	423.61	0.0	1.01	974.5	1991.0	1096.5	1397.83	1167.14
ATF6B	743.43	2502.97	2319.15	780.44	1104.13	802.41	860.08	669.92	0.0	0.88	1709.26	2148.82	1594.73	2004.85	1950.0
AURKAIP1	1936.53	2935.74	2335.28	2287.2	1639.59	1963.57	1870.53	2004.85	0.0	0.75	3081.75	2956.17	2796.65	3212.66	2061.24
B3GALT4	120.94	518.15	486.75	47.5	100.83	122.64	128.79	139.07	0.0	0.25	307.69	638.15	406.31	339.14	336.79
BCAS3	242.88	299.25	373.81	82.87	172.65	256.78	228.13	262.2	0.0	0.41	426.57	397.93	567.1	642.59	450.94
BCAS4	158.79	145.02	104.42	123.5	68.07	176.29	42.41	111.99	0.0	0.28	438.59	371.22	486.75	518.15	497.0
BCL2	163.28	267.73	211.31	376.41	114.36	122.64	223.41	151.22	0.0	0.45	267.73	307.69	368.65	339.14	309.83
BRAT1	260.38	1216.75	1037.29	339.14	490.14	361.04	521.76	483.38	0.0	0.69	915.51	902.89	1001.93	902.89	688.78
C12orf10	620.67	1857.6	3212.66	934.76	775.05	660.68	836.53	607.87	0.0	0.64	1183.45	1388.16	2004.85	1529.73	1167.14
C12orf52	111.21	486.75	612.11	237.86	241.19	155.5	183.82	220.32	0.0	0.0	301.33	351.14	441.64	463.65	348.71
C12orf73	115.97	223.41	279.14	175.07	211.31	128.79	218.79	169.07	0.0	0.49	224.97	293.07	277.2	277.2	264.03
C19orf54	107.38	271.48	291.04	140.04	120.94	173.85	125.24	122.64	0.0	0.21	148.09	251.48	212.78	208.38	223.41
C22orf46	237.86	173.85	206.94	29.48	98.04	133.36	147.06	130.6	0.0	0.17	231.32	231.32	265.87	232.94	251.48
C2orf50	0.0	1639.59	2335.28	0.0	0.51	0.61	2.97	1.62	0.0	0.0	1.83	4.74	2.51	8.13	4.7
C2orf68	153.34	769.69	612.11	591.22	444.72	228.13	358.54	297.17	332.14	7695.57	490.14	785.88	669.92	915.51	708.18
C8orf82	279.14	915.51	432.53	93.35	180.02	532.74	269.6	242.88	0.0	0.47	511.0	878.17	830.75	1250.98	679.29
C9orf114	466.88	1208.34	791.35	540.19	796.86	450.94	723.08	629.35	0.0	0.2	1286.18	1447.15	1059.11	1487.87	1159.07
C9orf141	0.0	1.57	2.73	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.81	15.56	1.3	1.41
CCDC122	56.68	180.02	279.14	29.06	45.21	45.21	39.22	68.07	0.0	0.04	120.1	126.12	115.16	211.31	117.6
CCDC166	0.0	2.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.75	1.3	2.12	0.42
CCDC181	10.08	190.34	417.77	18.97	43.32	23.42	38.4	30.12	0.0	0.0	36.53	86.43	76.17	38.4	48.52
CCDC22	260.38	334.46	571.05	159.9	208.38	186.4	215.77	258.57	0.0	0.42	423.61	373.81	457.25	583.07	395.18
CCDC97	248.0	595.34	769.69	297.17	303.44	242.88	289.02	316.37	0.0	0.08	473.41	529.06	536.45	547.75	470.14
CECR1	108.14	1697.45	1350.18	127.0	186.4	417.77	414.87	483.38	981.29	113.56	444.72	660.68	1233.75	583.07	819.3
CES4A	11.55	2193.99	1350.18	21.16	70.01	63.89	32.59	40.64	0.0	0.73	108.9	329.84	158.79	139.07	134.3
CHD8	559.28	860.08	974.5	540.19	603.67	616.37	748.61	647.07	591.22	389.72	842.36	813.63	961.07	759.08	890.44
CNPPD1	961.07	2090.03	1277.29	1104.13	1008.9	1250.98	1498.22	1369.04	0.0	0.25	1781.89	1617.0	1769.57	2032.85	1540.37
COG4	633.73	1059.11	902.89	339.14	435.55	500.46	693.58	521.76	0.0	0.0	1044.52	921.88	1001.93	1151.06	1143.1
COL13A1	152.28	656.11	305.55	56.68	69.03	107.38	56.68	109.66	0.0	0.23	197.09	273.37	441.64	212.78	181.28
CTC-236F12.4	1.31	7.28	17.9	0.0	0.0	0.0	4.94	4.62	0.0	0.0	3.47	3.72	6.78	7.69	11.21
CTSW	28.45	92.7	318.57	27.25	27.84	148.09	16.27	38.67	0.0	0.13	37.85	120.1	69.52	98.04	81.71
CX3CL1	1250.98	466.88	1066.48	248.0	825.0	575.03	343.89	551.56	0.0	0.36	1498.22	1487.87	3212.66	1268.46	1008.9
DCAKD	547.75	1096.5	1322.37	361.04	559.28	599.49	616.37	559.28	283.05	3982.99	1295.13	1225.22	1551.09	1617.0	1447.15
DEAF1	332.14	1111.82	1216.75	231.32	543.96	624.99	536.45	507.46	0.0	0.72	764.36	928.3	954.43	819.3	748.61
DHRS4	1023.0	1143.1	866.07	180.02	708.18	775.05	836.53	866.07	0.0	0.49	1819.35	1208.34	1378.57	1769.57	1340.84
DYNLRB1	5633.22	8479.89	6426.31	6037.61	5147.73	6887.62	5555.65	7230.1	0.0	1.04	7180.15	6699.25	7911.95	8247.98	6607.01
EIF2B1	796.86	624.99	708.18	616.37	616.37	624.99	791.35	559.28	0.0	0.36	902.89	890.44	890.44	878.17	947.83
ENDOG	140.04	536.45	507.46	51.35	232.94	187.71	258.57	363.56	0.0	0.16	559.28	559.28	406.31	423.61	356.05
EPHB6	289.02	7280.4	2739.08	115.16	19.68	51.35	44.25	57.08	0.0	0.55	1119.56	1388.16	2502.97	1350.18	825.0
ERAP2	136.19	563.18	708.18	28.65	118.43	86.43	112.77	27.44	0.0	0.32	348.71	583.07	325.29	353.59	309.83
ERCC1	1250.98	1662.49	2061.24	872.1	1183.45	909.17	780.44	890.44	1923.14	848.22	1709.26	1819.35	1883.54	2193.99	1832.01
ERMAP	90.77	476.71	441.64	41.52	66.65	133.36	132.44	117.6	0.0	0.06	215.77	285.03	295.11	314.17	314.17
ESRP2	3.59	802.41	1127.35	59.55	9.48	31.45	16.51	7.82	0.0	0.01	332.14	397.93	379.04	551.56	336.79
FAH	406.31	665.29	400.71	191.67	169.07	316.37	234.57	251.48	0.0	0.17	836.53	854.13	947.83	1175.27	791.35
FAM107A	1594.73	8134.41	1427.22	301.33	500.46	483.38	624.99	563.18	119.26	204.07	995.0	2701.35	733.19	738.29	4268.94
FAM134C	217.27	878.17	947.83	728.11	748.61	320.8	514.56	387.02	647.07	1628.26	775.05	947.83	934.76	981.29	1066.48
FAM174B	31.67	5112.16	4903.87	136.19	118.43	145.02	251.48	136.19	129.69	132.44	780.44	591.22	1208.34	1697.45	1015.93
FAM200A	17.64	152.28	279.14	57.49	81.14	31.0	91.41	50.27	0.0	0.0	136.19	137.14	251.48	221.86	152.28
FARS2	269.6	301.33	262.2	87.65	157.68	205.5	169.07	214.27	0.0	0.16	316.37	297.17	295.11	356.05	329.84
FBXL14	100.13	211.31	142.01	119.26	96.68	88.26	108.14	124.37	0.0	0.12	154.42	228.13	154.42	202.66	169.07
FRAT1	15.91	165.57	147.06	38.95	27.44	21.32	40.07	23.42	0.0	0.09	120.1	129.69	153.34	136.19	76.71
GALNS	137.14	536.45	1023.0	379.04	379.04	206.94	277.2	258.57	0.0	0.74	341.51	698.41	409.15	438.59	483.38
