	TCGA.DD.A3A5.11A.11R.A22L.07	TCGA.BC.A110.11A.11R.A131.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4XY.1626.SM.46MVN	GTEX.ZPU1.0826.SM.57WG2	GTEX.144GM.1326.SM.5LU5E	GTEX.YEC4.0826.SM.5P9FV	GTEX.12696.0826.SM.5EGGE	GTEX.132NY.0926.SM.5P9G3	GTEX.13O3O.1826.SM.5IFGW	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.YF7O.0626.SM.4W21R	GTEX.11DXX.0626.SM.5Q5AG	GTEX.O5YW.0526.SM.2YUMX	GTEX.Y5V5.0826.SM.4VBQD	GTEX.131XF.1026.SM.5BC6A	GTEX.QXCU.0626.SM.2TC69	GTEX.TMMY.0926.SM.4TT1Z	GTEX.11NSD.0326.SM.5A5LS	GTEX.ZYFG.0226.SM.5GIDT	GTEX.11P7K.0326.SM.59871	GTEX.P4QT.0526.SM.2I3EX	GTEX.U8XE.1426.SM.3DB8Q	GTEX.11PRG.0926.SM.5EGI8	GTEX.WFJO.0326.SM.3GIL3	GTEX.111YS.0626.SM.5GZXV	GTEX.YEC3.0226.SM.5IFJO	GTEX.PX3G.0526.SM.2I3EM	GTEX.13N2G.0826.SM.5IJE6	GTEX.13N1W.0726.SM.5MR57	GTEX.Q2AH.0426.SM.2I3EP	GTEX.1399S.1726.SM.5L3DI	GTEX.Y3IK.0626.SM.4WWE4	GTEX.13FTX.0326.SM.5J2NG	GTEX.14DAR.0226.SM.5S2PR	GTEX.YJ8O.1826.SM.5HL82	GTEX.XQ8I.1126.SM.4BOO2	GTEX.OIZG.0526.SM.2HMLF	GTEX.SUCS.0626.SM.32PM5	GTEX.QCQG.0326.SM.2I3ES	GTEX.PW2O.0526.SM.2I3DX	GTEX.13OW8.1726.SM.5L3GO	GTEX.QMRM.0826.SM.3NB33
AC006372.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.66	0.24	0.21	1.38	0.0	0.0	0.39	0.0	0.21	1.08	0.22	0.65	0.0	0.21	0.22	0.84	0.0	0.0	0.22	0.21	0.0	0.23	0.53	0.79	0.21	1.27	0.39	0.39	0.55	0.0	0.21
ACTA2	748.61	2061.24	1417.35	309.83	493.56	884.29	1066.48	660.68	1561.89	1183.45	0.0	0.84	4358.66	28328.16	5112.16	16843.62	22535.88	4388.98	1529.73	12329.98	4419.52	6471.02	9151.82	2520.38	37121.34	5403.7	5112.16	4575.41	26986.43	2997.45	4010.71	20030.74	2997.45	23656.34	14361.31	2895.31	71219.26	2875.3	6337.83	3467.27	13681.08	7280.4	3690.52	12329.98
ACTG2	13.62	15.22	28.65	14.67	172.65	44.89	9.63	21.63	6.21	9.27	0.0	0.61	1081.39	1044.52	738.29	723.08	6426.31	2004.85	112.77	1617.0	909.17	387.02	1617.0	1259.69	3901.01	679.29	327.56	624.99	5872.48	1159.07	665.29	5594.3	1991.0	7911.95	1350.18	532.74	3614.55	339.14	928.3	264.03	2133.97	2434.5	353.59	1883.54
ADCY4	14.03	75.64	68.07	66.18	27.44	28.24	33.3	115.97	31.22	8.19	0.0	0.82	119.26	460.44	473.41	529.06	1066.48	161.02	211.31	444.72	420.68	651.58	723.08	198.47	928.3	334.46	414.87	363.56	366.09	217.27	214.27	819.3	303.44	575.03	708.18	189.02	1001.93	208.38	1001.93	341.51	412.0	521.76	178.77	866.07
ADCY5	21.01	45.85	29.06	24.63	9.48	1.31	13.93	21.32	16.51	3.92	0.0	0.57	34.02	79.45	68.55	156.59	693.58	62.12	28.04	31.22	63.0	23.76	109.66	2.76	460.44	59.13	60.82	57.08	133.36	82.87	15.45	529.06	42.41	312.0	134.3	38.12	902.89	51.71	135.24	152.28	217.27	32.82	14.45	281.09
AGPAT1	620.67	540.19	1001.93	967.76	518.15	438.59	660.68	890.44	728.11	376.41	1991.0	466.88	1427.22	1216.75	1617.0	1651.0	1477.58	285.03	974.5	1561.89	1199.98	1023.0	1651.0	921.88	2609.3	1259.69	1051.79	1304.15	1617.0	830.75	624.99	2018.8	995.0	1781.89	1447.15	981.29	1936.53	1350.18	2303.12	1437.15	1709.26	1832.01	638.15	1359.57
AL009178.1	13.22	2.61	22.59	11.55	2.14	2.73	3.53	20.11	15.22	1.27	0.0	0.0	23.93	17.13	24.28	20.56	17.9	2.97	5.28	9.78	5.54	12.09	7.94	10.08	22.59	7.46	6.78	11.91	35.0	8.32	1.28	23.25	10.88	9.85	8.65	8.92	29.7	10.0	19.68	7.46	15.11	49.91	6.21	31.0
APOBEC3C	17.64	26.1	20.11	36.53	55.1	13.72	49.91	29.48	34.51	22.43	915.51	9215.48	563.18	551.56	679.29	1081.39	591.22	100.13	366.09	647.07	1304.15	753.83	947.83	178.77	934.76	567.1	312.0	595.34	1721.16	358.54	176.29	368.65	559.28	665.29	583.07	387.02	995.0	287.01	872.1	688.78	698.41	1135.2	514.56	540.19
ARVCF	285.03	215.77	406.31	264.03	119.26	183.82	99.43	206.94	332.14	71.0	0.0	0.57	121.79	521.76	256.78	536.45	536.45	50.63	157.68	329.84	269.6	381.68	281.09	58.71	961.07	177.53	253.23	293.07	463.65	343.89	75.64	368.65	329.84	651.58	379.04	161.02	1001.93	171.45	392.44	262.2	454.09	435.55	156.59	575.03
ASB2	4.74	1.13	4.1	6.84	12.83	1.89	5.23	0.0	4.1	9.34	0.0	0.33	34.02	53.95	17.64	87.03	265.87	14.56	14.56	68.55	15.56	19.53	57.49	31.22	145.02	18.43	8.25	14.14	108.14	22.59	6.36	175.07	39.79	231.32	98.73	17.13	1477.58	19.39	92.7	33.06	61.68	55.1	14.03	147.06
ATP1A2	5.28	4.94	3.96	4.1	4.39	1.45	3.38	2.29	1.22	1.66	0.0	0.29	64.8	110.43	87.65	78.34	769.69	57.89	96.01	52.08	44.57	67.12	228.13	4.39	295.11	92.05	116.78	94.67	69.03	74.58	24.46	769.69	90.14	164.42	249.73	51.71	1508.65	104.42	142.01	100.83	255.0	84.04	110.43	267.73
AVPR2	0.0	0.49	1.3	0.0	2.18	0.0	0.0	0.0	0.0	1.45	0.0	0.0	32.36	35.25	55.89	85.22	55.1	36.53	92.05	51.35	54.72	41.81	32.59	4.5	135.24	28.45	14.89	63.89	132.44	31.0	6.46	93.35	43.32	36.01	49.21	29.7	267.73	37.32	133.36	49.21	14.56	62.12	18.56	80.01
BVES	2.71	2.97	0.91	0.77	0.26	0.27	0.28	2.89	0.62	1.97	0.0	0.4	23.59	54.72	34.26	61.68	108.14	26.28	28.45	35.5	12.27	19.11	63.89	7.94	40.07	36.79	60.82	12.93	26.47	23.59	3.92	90.77	66.18	36.79	88.26	15.0	142.01	21.63	72.01	17.51	52.82	11.38	1.91	87.65
C14orf64	2.36	3.29	4.46	8.06	0.0	0.0	0.0	2.61	19.25	0.0	0.0	0.13	34.75	173.85	10.39	85.82	26.47	1.77	22.26	108.9	71.0	30.78	59.13	9.41	228.13	138.1	36.27	73.54	246.28	50.98	1.5	53.19	58.3	82.87	27.05	15.56	287.01	64.8	126.12	45.21	151.22	152.28	25.17	104.42
C1QTNF5	139.07	265.87	118.43	126.12	180.02	122.64	132.44	226.54	215.77	55.49	0.0	0.4	813.63	1639.59	854.13	1477.58	1733.13	624.99	514.56	1529.73	579.04	1175.27	1167.14	1447.15	5872.48	429.54	860.08	738.29	3491.39	406.31	890.44	1417.35	616.37	1529.73	1059.11	780.44	3257.52	620.67	3081.75	743.43	796.86	1709.26	651.58	2351.53
C22orf23	2.61	4.03	6.73	12.64	0.72	11.55	5.28	9.7	8.0	3.63	0.0	0.2	47.17	40.36	67.12	66.65	139.07	63.45	85.22	269.6	48.52	80.01	125.24	124.37	112.77	71.0	74.58	55.89	148.09	187.71	59.55	180.02	63.45	209.84	116.78	84.04	198.47	49.21	151.22	110.43	68.07	112.77	37.32	121.79
C3orf70	1.03	2.29	1.27	2.48	6.16	2.1	3.29	4.54	1.93	0.0	0.0	0.21	64.34	43.63	18.03	49.56	162.14	76.17	8.65	25.17	9.13	18.97	42.11	16.75	127.0	35.25	22.26	15.56	84.63	9.63	17.25	223.41	10.79	58.3	37.59	16.75	275.28	7.34	63.89	6.73	66.65	30.12	2.14	92.7
