	TCGA.B6.A0RH.01A.21R.A115.07	TCGA.E9.A1NC.01A.21R.A26B.07	TCGA.LL.A73Z.01A.11R.A32P.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.5C.A9VH.01A.11R.A37K.07	TCGA.ZP.A9CZ.01A.11R.A38B.07	TCGA.UB.A7MA.01A.11R.A33R.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.G3.A25Y.01A.11R.A16W.07	TCGA.DD.AAE7.01A.11R.A41C.07	TCGA.G3.A25V.01A.11R.A16W.07	TCGA.2Y.A9H5.01A.11R.A38B.07	GTEX.YB5E.0326.SM.5IFHU	GTEX.13FLV.0326.SM.5N9DJ	GTEX.11ZUS.2526.SM.59872	GTEX.11ZTS.1426.SM.5EQMM	GTEX.WZTO.0626.SM.4PQYY	GTEX.13FTZ.0726.SM.5IFFY	GTEX.RNOR.1426.SM.48FDJ	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.139TS.1426.SM.5IFJD	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.11DXY.0526.SM.5EGGQ	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.RN64.1826.SM.48FDV	GTEX.12KS4.1326.SM.5LUB3	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	GTEX.S7SF.0426.SM.3K2B7	TCGA.QN.A5NN.01A.11R.A28V.07
APOC1	3395.89	7485.11	9409.14	7857.29	573724.06	527933.71	573724.06	677564.08	466008.55	197294.7	932018.1	619179.28	391864.76	165904.25	2748093.15	1800541.22	1679964.3	1715263.94	2310861.52	1775752.63	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	2375828.71	3576208.94	2924988.47	5809569.18	1838374.44	2511293.86	6719860.18	2672946.37	1691649.38	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	3968052.37	3626130.97	23169.48	1819.35
ARPC2	3540.14	6381.92	6561.36	6164.49	3443.31	2835.7	4450.27	4239.45	4836.35	3794.3	3168.41	2777.33	3235.01	5751.61	2645.74	981.29	1417.35	967.76	1397.83	1359.57	1674.06	1477.58	1923.14	1259.69	1963.57	1313.23	1819.35	1304.15	1340.84	2417.67	1286.18	1794.29	1407.55	1159.07	2895.31	1794.29	1651.0	2075.59	2367.9	1769.57	1437.15	1407.55	10808.41	7749.1
ATP6V1E1	3820.7	3982.99	4123.49	2384.37	2956.17	2148.82	2682.69	2468.49	3443.31	2915.45	2004.85	2104.58	2520.38	2645.74	1583.71	1135.2	995.0	780.44	1088.92	878.17	1059.11	1088.92	1277.29	961.07	1359.57	1388.16	1286.18	1051.79	1088.92	1159.07	1135.2	1143.1	1583.71	890.44	1857.6	1322.37	1183.45	1388.16	1407.55	1250.98	1167.14	1030.12	4543.8	3103.19
ATXN10	3794.3	4836.35	3103.19	3982.99	2555.58	2591.27	4388.98	3395.89	3847.29	4972.34	2240.11	2555.58	3280.18	2555.58	2537.92	1199.98	1757.34	854.13	1857.6	1143.1	2555.58	1233.75	2335.28	1407.55	1832.01	1551.09	1936.53	1437.15	1304.15	2627.46	1697.45	1540.37	2739.08	1104.13	2502.97	2335.28	2417.67	2018.8	2133.97	1757.34	1745.2	1781.89	4010.71	4298.64
CAP1	5633.22	5594.3	4328.55	6381.92	1662.49	2193.99	2271.4	2400.97	2758.13	2104.58	2061.24	2573.36	1733.13	4419.52	1950.0	947.83	1259.69	890.44	1119.56	1143.1	1175.27	1151.06	1651.0	1088.92	1447.15	1001.93	1447.15	1199.98	1199.98	1331.57	1008.9	1388.16	1437.15	1037.29	2119.22	1313.23	1407.55	1617.0	1685.71	1407.55	1167.14	967.76	7589.61	3168.41
CAPG	5479.15	16157.44	8191.0	8078.22	3395.89	1242.34	4607.24	612.11	1467.37	2895.31	514.56	1159.07	2451.44	4010.71	343.89	41.22	100.83	141.02	45.21	77.79	87.65	193.01	426.57	285.03	143.01	127.0	379.04	23.08	117.6	234.57	137.14	132.44	220.32	28.45	651.58	1225.22	563.18	167.9	115.97	77.79	246.28	40.07	11189.6	3349.13
CCT5	4903.87	5633.22	7857.29	8840.04	3303.0	2976.74	3303.0	2319.15	2758.13	3081.75	2148.82	2148.82	2400.97	3901.01	1487.87	1119.56	954.43	947.83	1259.69	921.88	1073.91	813.63	1529.73	802.41	1242.34	1277.29	1519.15	775.05	1216.75	1268.46	1208.34	1359.57	1096.5	1015.93	1721.16	1427.22	1583.71	1781.89	1551.09	1594.73	1225.22	1350.18	6840.04	7433.4
CCT7	4769.75	5076.84	4704.07	6207.38	3018.3	2609.3	4328.55	2682.69	3955.48	3768.09	2664.15	3039.3	2875.3	3716.2	2485.67	1350.18	1605.83	1427.22	1617.0	1378.57	1991.0	1225.22	2240.11	1697.45	2609.3	2133.97	2400.97	1844.76	1870.53	2627.46	1709.26	1605.83	2018.8	1498.22	2485.67	2351.53	2417.67	2335.28	1844.76	1844.76	1991.0	1617.0	6471.02	6207.38
CHMP4B	2935.74	3614.55	4704.07	5255.91	1844.76	1769.57	3190.46	2573.36	2303.12	2609.3	1697.45	2240.11	2119.22	3146.52	1369.04	848.22	1044.52	791.35	947.83	954.43	1233.75	967.76	1286.18	791.35	1208.34	896.64	1378.57	884.29	842.36	1628.26	1151.06	961.07	1199.98	633.73	1806.78	1427.22	941.27	1175.27	1447.15	1159.07	988.12	1151.06	3280.18	2997.45
CLTA	5255.91	9088.59	6983.79	6164.49	6250.56	4358.66	5329.3	5219.6	6516.03	5403.7	3235.01	3768.09	3124.78	6121.9	2537.92	2224.63	1936.53	1467.37	2178.83	2047.0	2148.82	1923.14	3190.46	1685.71	2384.37	2537.92	2701.35	2090.03	2777.33	2591.27	2148.82	2178.83	2777.33	1883.54	4038.61	3039.3	2573.36	2591.27	2240.11	2451.44	2119.22	2240.11	8247.98	5555.65
