	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.Z6.AAPN.01A.11R.A406.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.145LV.1326.SM.5S2QI	GTEX.11ONC.1526.SM.5GU6S	GTEX.QVUS.0626.SM.447CC	GTEX.11TUW.1326.SM.5EQKV	GTEX.13NZB.1226.SM.5J2MW	GTEX.WVLH.1426.SM.4MVNX	GTEX.PLZ4.1626.SM.3P618	GTEX.11NUK.1326.SM.5P9GN	GTEX.UPK5.1226.SM.4IHL8	GTEX.11ZTS.2626.SM.5EGIC	TCGA.MZ.A7D7.01A.21R.A34R.07	TCGA.BA.4074.01A.01R.1436.07	TCGA.35.4122.01A.01R.1107.07	TCGA.55.8204.01A.11R.2241.07	GTEX.S7SF.0426.SM.3K2B7	GTEX.UPK5.1126.SM.3GAEJ	TCGA.43.3920.01A.01R.0980.07	TCGA.34.A5IX.01A.12R.A27Q.07	TCGA.85.A50Z.01A.21R.A262.07	TCGA.66.2769.01A.02R.0851.07	GTEX.ZQG8.2126.SM.4YCF1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF	TCGA.IN.7806.11A.01R.2055.13
ACP1	1159.07	1286.18	1304.15	2758.13	1111.82	1191.69	1059.11	1447.15	1216.75	1467.37	1242.34	1313.23	988.12	1594.73	1313.23	1350.18	1268.46	2701.35	3443.31	4038.61	2303.12	2520.38	2664.15	3639.7	1745.2	4328.55	2485.67	2075.59	1096.5	1286.18	819.3	1088.92	1104.13	1242.34
ADAM10	567.1	583.07	836.53	447.82	607.87	591.22	426.57	392.44	555.41	277.2	435.55	316.37	591.22	432.53	403.5	497.0	414.87	764.36	660.68	616.37	1216.75	638.15	1059.11	842.36	785.88	1135.2	743.43	753.83	624.99	579.04	497.0	733.19	500.46	463.65
AGFG1	1143.1	1388.16	1583.71	1388.16	1259.69	2004.85	1159.07	988.12	728.11	595.34	1127.35	679.29	669.92	974.5	563.18	830.75	536.45	1477.58	1794.29	1819.35	1883.54	1963.57	1769.57	2075.59	2133.97	3124.78	1832.01	1857.6	967.76	1191.69	1008.9	1359.57	1477.58	1008.9
AK2	4512.4	2777.33	3303.0	4239.45	2287.2	2935.74	2319.15	1870.53	2502.97	2627.46	2351.53	2609.3	2224.63	2915.45	2701.35	2400.97	2739.08	5751.61	7130.55	6079.61	2956.17	3742.05	4869.99	5219.6	5292.48	4358.66	3847.29	4123.49	2915.45	3564.78	5076.84	3060.45	2855.44	2701.35
ALOX5AP	91.41	555.41	547.75	256.78	460.44	483.38	389.72	67.59	106.63	60.39	98.04	37.05	59.55	106.63	101.54	155.5	93.35	194.36	1322.37	5112.16	1119.56	29943.43	4836.35	1127.35	796.86	1127.35	1896.65	2451.44	212.78	866.07	371.22	373.81	595.34	246.28
APOPT1	1359.57	974.5	1191.69	1151.06	775.05	961.07	988.12	791.35	785.88	902.89	518.15	878.17	684.02	1225.22	764.36	1073.91	860.08	2075.59	1896.65	1304.15	1322.37	1781.89	1044.52	1781.89	878.17	1175.27	1151.06	1697.45	595.34	921.88	1369.04	1088.92	1111.82	1151.06
ARF4	5791.62	2351.53	2224.63	2303.12	2434.5	2816.11	2209.26	2287.2	1709.26	1286.18	2090.03	1806.78	1794.29	1936.53	1572.76	1457.23	1769.57	4450.27	9673.69	7032.37	4836.35	10014.87	10154.69	11424.74	5219.6	4802.93	6294.04	5913.33	3060.45	3325.99	2875.3	3467.27	2935.74	2591.27
ATP6V0E1	7032.37	6652.97	6840.04	7433.4	6840.04	5751.61	6164.49	5751.61	4450.27	3901.01	4802.93	4268.94	4095.0	4388.98	4358.66	5183.54	4639.29	8538.88	8963.45	14765.09	7911.95	20881.4	19892.37	9279.58	8598.28	16045.82	7803.01	8078.22	3742.05	5517.27	6745.86	7642.41	7280.4	6516.03
BRIX1	555.41	629.35	1529.73	1540.37	486.75	693.58	460.44	314.17	423.61	432.53	389.72	307.69	392.44	376.41	486.75	547.75	358.54	3235.01	4736.79	1259.69	2701.35	819.3	1119.56	3081.75	1781.89	2133.97	1936.53	1044.52	514.56	775.05	543.96	540.19	718.08	356.05
C14orf166	3257.52	3212.66	3901.01	3419.52	3081.75	3540.14	3212.66	2434.5	1397.83	2075.59	2367.9	2004.85	1936.53	2148.82	2240.11	1963.57	2104.58	5479.15	6887.62	5255.91	4419.52	6840.04	5633.22	4736.79	3614.55	4066.71	3039.3	7032.37	2915.45	3235.01	2758.13	3060.45	3419.52	2591.27
