	TCGA.A8.A0A6.01A.12R.A056.07	TCGA.A7.A26E.01A.11R.A169.07	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.E2.A10E.01A.21R.A10J.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.38.4625.01A.01R.1206.07	TCGA.49.4494.01A.01R.1206.07	TCGA.33.4589.01A.01R.1443.07
AAGAB	1447.15	1529.73	1806.78	1639.59	1457.23	1819.35	1008.9	769.69	775.05	1216.75	543.96	208.38	563.18	728.11	1286.18
ACSBG2	5.68	3.79	2.01	12.09	4.94	4.62	1.35	1.14	0.0	3.23	0.0	0.0	0.0	0.29	0.0
ANK3	884.29	665.29	1151.06	842.36	503.95	1183.45	603.67	473.41	231.32	551.56	199.85	70.51	0.0	199.85	141.02
ARID1B	466.88	718.08	551.56	591.22	457.25	693.58	417.77	348.71	351.14	403.5	30.56	64.8	144.01	96.68	81.71
ARMCX3	2090.03	1551.09	1259.69	2209.26	1322.37	2163.77	1001.93	231.32	137.14	1135.2	283.05	151.22	0.0	353.59	59.97
ARMCX6	1447.15	1350.18	1008.9	1561.89	1191.69	1583.71	1051.79	336.79	130.6	1001.93	802.41	172.65	0.0	1037.29	120.1
ASMT	4.78	2.58	0.78	4.24	3.14	4.17	0.42	1.27	1.48	2.68	0.0	0.0	0.0	0.0	0.91
BNIPL	693.58	1037.29	808.0	138.1	309.83	1819.35	120.1	82.29	241.19	1143.1	0.79	2.05	0.0	17.77	98.73
C22orf43	4.82	6.21	6.06	5.02	4.9	7.34	1.13	5.28	0.77	2.32	0.0	0.0	4.24	1.22	0.0
CA8	198.47	473.41	195.72	688.78	197.09	748.61	38.95	16.63	59.97	11.73	10.31	0.0	0.0	12.09	1.46
CCDC127	208.38	167.9	172.65	186.4	152.28	209.84	115.97	137.14	86.43	102.97	22.75	42.41	0.0	70.51	41.52
CCDC132	500.46	486.75	400.71	392.44	392.44	480.04	253.23	234.57	285.03	215.77	185.11	47.84	0.0	212.78	409.15
CCNG2	2956.17	5366.37	2303.12	7130.55	2384.37	4152.18	2287.2	1388.16	909.17	2224.63	1119.56	42.11	0.0	688.78	241.19
CDC23	599.49	688.78	555.41	490.14	447.82	536.45	361.04	287.01	438.59	316.37	281.09	208.38	0.0	264.03	368.65
CTC-349C3.1	78.89	147.06	74.58	81.71	104.42	146.03	23.08	71.5	48.87	57.08	2.39	6.84	0.0	29.06	5.15
EIF2B5	1159.07	1242.34	1369.04	1508.65	1111.82	1757.34	896.64	981.29	915.51	808.0	420.68	571.05	0.0	896.64	728.11
FAM206A	473.41	507.46	607.87	642.59	480.04	713.11	348.71	392.44	329.84	223.41	208.38	85.82	0.0	395.18	307.69
FBXW10	0.8	9.2	3.03	1.71	0.37	2.01	0.0	0.42	0.0	0.4	0.0	1.35	0.0	0.46	0.0
FKBP15	591.22	748.61	460.44	563.18	551.56	642.59	444.72	412.0	473.41	323.03	59.97	154.42	0.0	199.85	147.06
FRG1B	409.15	591.22	131.51	253.23	759.08	651.58	267.73	384.34	460.44	181.28	151.22	92.05	0.0	106.63	16.63
GPR75-ASB3	297.17	450.94	836.53	358.54	181.28	836.53	208.38	189.02	229.72	224.97	50.98	105.15	171.45	183.82	190.34
HARS2	708.18	723.08	660.68	642.59	693.58	698.41	435.55	493.56	693.58	620.67	119.26	305.55	0.0	234.57	180.02
IFT122	620.67	813.63	500.46	684.02	587.13	866.07	708.18	563.18	432.53	384.34	38.4	159.9	0.0	164.42	92.05
ITGA8	50.98	45.21	55.89	29.06	26.1	37.32	36.79	13.03	19.11	30.56	23.93	4.13	0.0	16.39	7.75
KDM3B	909.17	1359.57	890.44	1008.9	656.11	1044.52	708.18	603.67	612.11	612.11	89.51	136.19	0.0	373.81	92.05
KIAA2018	301.33	228.13	214.27	248.0	221.86	279.14	165.57	183.82	158.79	208.38	131.51	151.22	0.0	75.64	46.84
KLHDC10	486.75	587.13	412.0	684.02	400.71	476.71	361.04	279.14	287.01	320.8	122.64	236.21	236.21	307.69	89.51
KPNA4	579.04	802.41	591.22	624.99	480.04	599.49	555.41	334.46	305.55	507.46	283.05	88.26	397.93	368.65	463.65
LYST	633.73	575.03	346.29	438.59	518.15	633.73	229.72	303.44	229.72	307.69	191.67	58.3	0.0	185.11	211.31
MKRN1	2018.8	2796.65	1896.65	1844.76	1832.01	2367.9	1794.29	1594.73	1561.89	1487.87	981.29	483.38	0.0	1437.15	473.41
MSH3	297.17	353.59	260.38	323.03	248.0	358.54	218.79	156.59	189.02	202.66	62.12	34.02	0.0	87.03	56.68
MYO10	258.57	277.2	291.04	329.84	323.03	366.09	206.94	72.01	126.12	231.32	212.78	62.56	0.0	185.11	173.85
NBPF10	1225.22	1508.65	995.0	1662.49	1119.56	1551.09	780.44	273.37	269.6	718.08	10.0	80.57	0.0	95.34	25.91
NCBP2	1745.2	1844.76	1662.49	1857.6	1457.23	1806.78	1233.75	1233.75	1015.93	1508.65	551.56	279.14	0.0	1159.07	1143.1
NOSTRIN	981.29	2434.5	1896.65	1769.57	1447.15	1991.0	759.08	543.96	379.04	334.46	212.78	34.26	0.0	163.28	29.27
POLR2J3	1331.57	988.12	1175.27	1066.48	669.92	1519.15	796.86	967.76	432.53	1119.56	473.41	551.56	0.0	669.92	490.14
PROSC	1233.75	995.0	1242.34	1015.93	1096.5	1467.37	1001.93	878.17	836.53	1023.0	432.53	934.76	967.76	521.76	277.2
