	TCGA.BH.A8G0.01A.11R.A352.07	TCGA.AO.A0JM.01A.21R.A056.07	TCGA.AC.A2QI.01A.12R.A19W.07	TCGA.A8.A07P.01A.11R.A00Z.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.XUJ4.1026.SM.4BOPB	GTEX.PLZ5.0926.SM.3TW8L	TCGA.HD.A6HZ.01A.12R.A31N.07	TCGA.38.4625.01A.01R.1206.07	TCGA.56.6545.01A.11R.1820.07	TCGA.34.5928.01A.11R.1820.07
ADAT2	83.45	38.4	38.95	38.67	105.15	358.54	209.84	223.41	102.97	0.0	73.54	69.52
ANXA8L2	149.12	0.0	76.71	19.25	6014443.23	3913423.01	2075.59	4239.45	3467.27	0.0	1721.16	1304.15
APCDD1	305.55	92.7	346.29	191.67	2351.53	4972.34	1104.13	1583.71	1023.0	0.0	708.18	638.15
ATP6V1C2	32.82	7.11	15.45	19.68	7803.01	7280.4	371.22	132.44	176.29	0.0	54.72	101.54
BICD2	316.37	208.38	323.03	117.6	9740.98	6561.36	1286.18	1477.58	1561.89	0.0	444.72	466.88
BMP2	36.27	7.28	23.76	2.43	543.96	934.76	87.65	68.07	473.41	0.0	299.25	149.12
BNC1	7.17	0.92	1.81	0.33	2201414.44	1108362.75	329.84	679.29	1819.35	0.0	612.11	191.67
CAPN12	98.73	5.23	33.06	7.75	679.29	201.25	208.38	191.67	206.94	0.0	105.89	68.55
CERS3	7.0	0.33	2.76	0.68	875652.15	303217.87	1794.29	1733.13	780.44	0.0	224.97	57.08
CLCA4	8.25	0.0	0.28	0.0	998912.34	172949.54	7589.61	3395.89	39.5	0.0	108.9	3.66
CNFN	223.41	95.34	497.0	264.03	857631.47	400098.69	46986.85	10154.69	9279.58	0.0	141.02	395.18
CYP2S1	45.53	28.24	35.25	22.75	15934.98	1844.76	954.43	503.95	2935.74	0.0	301.33	466.88
DEFB1	339.14	8.19	52.82	18.84	117311.73	125731.67	4607.24	3639.7	2915.45	0.0	1583.71	1111.82
DENND2C	31.67	14.67	15.45	11.38	51417.5	23169.48	559.28	483.38	180.02	23.76	66.18	88.26
DUOX1	73.54	33.3	97.36	9.7	74243.68	24153.43	4123.49	3124.78	1457.23	0.0	305.55	299.25
DUOXA1	40.07	26.28	59.13	8.58	329517.51	181548.07	4869.99	3665.02	1844.76	181.28	262.2	312.0
EDAR	6.62	0.0	0.53	0.0	3716.2	1674.06	77.25	78.34	8.71	0.0	59.55	38.12
FGFBP1	10.16	0.0	0.0	0.0	4194303.0	767601.56	9409.14	3847.29	8778.97	0.0	195.72	51.35
FOSL2	1467.37	775.05	2004.85	1407.55	1896.65	4512.4	3794.3	4210.15	2303.12	1233.75	3874.05	3190.46
GNA15	307.69	80.57	176.29	59.97	19754.96	16269.83	2178.83	1427.22	1407.55	0.0	748.61	575.03
GPR111	0.0	0.0	0.0	0.34	96.68	153.34	6.46	6.57	4.13	0.0	0.4	6.06
GPRIN2	42.71	0.36	27.25	1.71	9808.75	4607.24	119.26	117.6	228.13	0.0	29.7	64.8
GRHL3	18.16	16.15	73.03	14.89	80683.28	31650.8	1923.14	1304.15	688.78	0.0	246.28	77.25
GSDMC	14.24	4.5	2.27	3.47	40904.3	68318.04	563.18	775.05	3847.29	0.0	325.29	159.9
HR	68.07	30.78	30.34	16.51	5183.54	2816.11	1286.18	934.76	1104.13	0.0	37.85	38.67
HSPA4L	43.63	17.0	17.0	41.81	1781.89	1583.71	295.11	281.09	127.89	0.0	45.85	69.52
IFFO2	249.73	55.49	112.77	78.89	1950.0	8840.04	802.41	358.54	1259.69	176.29	309.83	780.44
IL1RN	214.27	107.38	155.5	127.0	598087.73	142439.51	27553.49	20170.07	5672.41	0.0	1259.69	813.63
IRX4	164.42	0.0	37.85	1.46	292889.12	360589.03	759.08	559.28	497.0	0.0	44.89	50.98
IVL	5.87	0.0	1.03	0.77	7.49798696E7	4.247174256E7	5594.3	2816.11	2956.17	0.0	307.69	215.77
JAG1	595.34	476.71	607.87	186.4	2400.97	2664.15	1199.98	1709.26	1909.85	0.0	1794.29	981.29
KRT1	36.01	0.52	0.51	2.01	992012.34	663619.99	34.75	559.28	111.99	0.0	301.33	34.75
KRT15	4095.0	46.18	693.58	1167.14	1.054459145E7	2.10891839E7	77934.88	55491.3	6792.79	0.0	8191.0	7331.05
KRT16	132.44	6.36	84.63	22.75	2.5045913555E8	4282434.24	19214.73	37901.36	71219.26	0.0	4607.24	6037.61
KRT33B	0.37	0.0	0.0	0.0	9.85	52.08	4.43	2.58	6.84	0.0	2.94	0.45
KRT6A	45.21	12.45	30.78	8.25	2.01760973986E9	2.41604469791E9	267651.2	350728.68	172949.54	0.0	68318.04	42937.97
KRTDAP	7.57	0.0	22.1	1.87	1622738.51	2617937.91	1331.57	3235.01	9344.14	0.0	366.09	39.79
LANCL3	2.43	0.62	1.83	0.34	242.88	161.02	29.48	25.91	24.28	0.0	3.59	2.86
LINC00696	0.0	0.0	0.0	0.0	23.08	5.36	4.98	11.64	21.01	0.0	0.0	1.06
LPIN1	242.88	49.21	135.24	122.64	8963.45	854.13	967.76	429.54	307.69	178.77	202.66	214.27
LYNX1	181.28	73.03	198.47	19.25	4621724.04	1524599.69	40062.48	15392.14	995.0	0.0	567.1	248.0
NTF3	15.68	0.0	3.5	3.44	159.9	148.09	53.19	72.01	84.63	0.0	155.5	35.0
NUTM1	0.37	0.0	0.0	0.0	10.96	0.13	3.44	2.86	0.4	0.0	0.39	0.0
PGBD5	70.01	9.34	24.99	11.21	285.03	1388.16	121.79	27.84	447.82	0.0	65.72	118.43
PKP1	137.14	17.13	30.34	3.32	3.003205688E7	2.49061716E7	7433.4	11992.79	10883.59	0.0	3491.39	1757.34
PLA2G4E	0.36	0.31	0.0	0.0	167058.21	20881.4	323.03	234.57	665.29	0.0	20.86	3.89
PLD1	131.51	77.25	98.04	51.35	5255.91	3614.55	830.75	1216.75	438.59	0.0	438.59	518.15
RP11-293M10.1	0.0	0.0	0.0	0.0	7.75	16.03	3.29	3.35	1.91	0.0	1.48	0.72
S100A2	483.38	68.55	99.43	124.37	3.15251512E7	1739208.14	75803.72	73221.53	104996.83	0.0	19348.38	11424.74
SBSN	15.45	0.0	27.84	0.0	1.66613263E7	5057523.59	16843.62	21026.65	12502.12	0.0	132.44	376.41
SERPINB12	0.0	0.0	0.0	0.0	69271.73	301123.38	13.52	14.35	11.21	0.0	6.26	7.34
