	TCGA.2K.A9WE.01A.11R.A38C.07	TCGA.4A.A93Y.01A.11R.A37K.07	TCGA.GL.A4EM.01A.11R.A24Z.07	TCGA.Y8.A8S1.01A.11R.A37K.07	TCGA.RC.A6M6.01A.11R.A32O.07	TCGA.DD.AAVY.01A.11R.A41C.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SM.01A.12R.A28V.07	TCGA.DD.A4NQ.01A.21R.A28V.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.AACL.01A.11R.A41C.07	TCGA.G3.AAV3.01A.11R.A37K.07	TCGA.DD.AAE1.01A.11R.A41C.07	TCGA.FV.A2QQ.01A.11R.A22L.07	TCGA.FV.A496.01A.11R.A266.07	TCGA.DD.AACQ.01A.11R.A41C.07	TCGA.EP.A2KB.01A.11R.A180.07	TCGA.BD.A3EP.01A.11R.A22L.07	TCGA.CC.A7IK.01A.12R.A33R.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.EP.A2KC.01A.11R.A213.07	TCGA.GJ.A3OU.01A.31R.A38B.07	GTEX.YFC4.1526.SM.5IFJS	GTEX.X4EO.1126.SM.4QARQ	GTEX.ZYT6.0626.SM.5E45V	GTEX.13N11.0926.SM.5IJG2	GTEX.145MF.0826.SM.5QGQA	GTEX.139TS.1426.SM.5IFJD	GTEX.P78B.1326.SM.3P611	GTEX.1399R.1226.SM.5P9GF	GTEX.RN64.1826.SM.48FDV	GTEX.R53T.0326.SM.48FEC	TCGA.55.8208.01A.11R.2241.07	TCGA.L4.A4E6.01A.11R.A24H.07	TCGA.38.4632.11A.01R.1755.07	GTEX.QV44.0926.SM.2S1RH	GTEX.ZTTD.1126.SM.51MRP	GTEX.V1D1.0826.SM.3P5ZA	GTEX.YB5E.0726.SM.4VDSH	GTEX.ZAB4.0626.SM.5CVN3	GTEX.13FLV.0426.SM.5KLZA	GTEX.PWOO.0726.SM.2I3EB	GTEX.11NUK.0826.SM.5HL4U	GTEX.WVJS.0826.SM.4MVNR	GTEX.SUCS.0626.SM.32PM5	GTEX.13OW8.1726.SM.5L3GO	GTEX.14A6H.0526.SM.5NQAZ	TCGA.77.8007.11A.01R.2187.07
ABI2	265.87	429.54	267.73	256.78	961.07	64.8	156.59	209.84	260.38	157.68	141.02	447.82	165.57	239.52	193.01	190.34	157.68	180.02	293.07	320.8	339.14	141.02	312.0	111.21	29.27	248.0	224.97	114.36	129.69	234.57	269.6	209.84	262.2	379.04	314.17	258.57	603.67	368.65	466.88	205.5	620.67	503.95	271.48	536.45	444.72	287.01	281.09	698.41	441.64
AC132872.2	5.23	1.73	0.48	0.0	10.71	0.0	2.2	2.16	2.92	0.0	0.0	1.31	1.51	2.86	1.39	1.6	1.83	1.43	3.69	3.32	0.0	4.1	2.41	1.89	1.01	0.16	1.83	0.09	0.52	1.99	0.41	1.46	0.21	16.39	18.43	2.73	5.87	3.32	3.11	4.94	7.11	63.0	28.45	32.59	5.36	10.16	60.82	2.68	13.52
ADD2	9.56	6.73	59.97	13.22	36.01	0.0	23.59	6.62	2.03	5.77	1.83	17.77	10.31	0.57	4.94	1.01	0.45	1.28	7.88	0.84	0.71	1.31	37.32	5.15	10.71	4.1	5.59	1.91	0.0	0.15	0.72	1.48	9.13	19.25	14.89	6.73	406.31	13.72	12.36	23.76	58.3	10.08	5.73	62.56	23.76	5.54	18.43	120.94	13.03
ANXA11	5403.7	5006.93	4972.34	5403.7	3901.01	1870.53	3639.7	2573.36	2451.44	3820.7	1651.0	3515.68	1757.34	2796.65	3419.52	1216.75	1781.89	4512.4	2209.26	1844.76	4298.64	2163.77	3928.15	1561.89	3794.3	1477.58	2417.67	1066.48	2193.99	1832.01	1304.15	1519.15	941.27	5517.27	4575.41	4388.98	7180.15	3491.39	6792.79	5112.16	5041.77	7382.04	18431.96	11424.74	4358.66	4736.79	4543.8	8963.45	4836.35
ARPC2	5219.6	6561.36	4512.4	5006.93	4972.34	1769.57	3257.52	3742.05	3665.02	4419.52	2367.9	4512.4	2915.45	2609.3	2997.45	1605.83	1870.53	2520.38	3955.48	3349.13	2739.08	2520.38	6250.56	1909.85	2090.03	1674.06	3716.2	1963.57	1819.35	2209.26	2319.15	1159.07	2417.67	8538.88	8022.41	10084.54	10225.32	7180.15	9945.68	8901.53	11827.67	10808.41	7695.57	11992.79	6381.92	7280.4	6516.03	9151.82	10296.45
ATP6V1F	16611.71	13306.94	13399.51	15715.58	5292.48	1508.65	4607.24	3515.68	5366.37	3820.7	5041.77	6561.36	3325.99	2777.33	3589.58	1066.48	1883.54	2627.46	4358.66	2502.97	5366.37	3168.41	7081.29	1781.89	1216.75	1508.65	6935.54	1909.85	2335.28	2777.33	2032.85	1208.34	2303.12	6561.36	9344.14	9409.14	11267.44	10084.54	13215.02	16045.82	10585.95	7230.1	13033.07	9474.59	9409.14	9474.59	8538.88	10225.32	8078.22
BATF3	50.98	136.19	36.79	58.3	567.1	3.06	58.71	18.16	41.22	56.28	2.32	156.59	50.98	13.93	33.54	8.65	22.92	12.74	76.17	9.63	27.05	36.27	110.43	33.54	68.55	7.46	41.52	6.78	51.71	32.36	14.45	18.29	33.06	201.25	129.69	117.6	277.2	176.29	275.28	82.29	341.51	339.14	176.29	114.36	406.31	150.17	48.52	212.78	269.6
BMP5	0.0	4.62	2.27	0.0	47.84	0.0	9.48	11.64	0.0	5.28	0.4	9.41	0.0	1.28	2.66	0.42	0.0	1.41	1.14	0.0	0.29	5.15	14.14	8.13	32.59	34.75	21.63	27.25	28.65	6.26	29.06	19.11	20.41	147.06	151.22	234.57	202.66	232.94	237.86	75.64	872.1	748.61	84.63	269.6	1225.22	206.94	58.71	674.59	237.86
C12orf55	12.09	11.64	13.52	4.78	16.27	0.71	0.45	2.94	4.7	1.48	1.25	1.33	1.62	0.46	1.1	0.88	3.06	0.39	4.35	0.37	0.0	0.4	2.89	1.41	0.97	2.27	1.77	0.0	0.97	0.48	3.66	2.12	0.48	40.64	4.31	5.15	18.7	22.26	21.32	4.66	12.83	14.24	11.04	19.25	8.38	13.12	7.4	14.24	12.18
C22orf23	76.71	48.18	49.91	35.76	41.22	12.74	12.83	15.68	29.91	15.45	5.41	40.36	10.0	32.36	13.62	7.69	17.13	5.82	30.34	24.28	14.35	17.0	26.86	6.73	1.33	8.45	25.17	9.56	3.03	8.25	15.11	13.22	7.4	75.64	55.89	28.04	139.07	32.13	197.09	72.01	47.17	75.64	81.71	134.3	63.0	110.43	37.32	91.41	50.27
C8orf31	53.19	14.03	7.4	17.13	50.27	0.0	8.19	5.19	13.12	2.07	5.96	8.06	4.06	3.99	31.0	10.39	0.0	0.77	5.36	5.96	90.77	2.16	21.78	28.24	12.64	18.29	6.36	8.71	20.71	3.96	6.78	28.65	17.13	59.97	33.78	20.71	94.67	320.8	31.0	4.03	40.07	20.26	55.1	136.19	99.43	31.9	34.26	37.05	25.35
CACNB1	55.1	59.97	28.86	39.22	42.41	6.62	52.45	21.78	19.68	22.59	7.17	31.22	16.63	7.69	12.74	10.96	5.59	4.46	33.06	18.03	8.45	26.86	62.56	2.43	11.38	5.19	20.41	13.52	16.03	8.19	6.73	8.0	7.57	175.07	497.0	94.67	140.04	130.6	136.19	457.25	137.14	128.79	293.07	265.87	51.71	928.3	323.03	137.14	205.5
