	TCGA.UY.A78O.01A.12R.A33J.07	TCGA.DK.A3X1.01A.12R.A22U.07	TCGA.AC.A2BM.01A.11R.A21T.07	TCGA.AR.A1AU.01A.11R.A12P.07	TCGA.E9.A228.01A.31R.A157.07	TCGA.D8.A1XF.01A.11R.A14D.07	TCGA.EW.A2FW.01A.11R.A17B.07	TCGA.EW.A1OY.01A.11R.A144.07	TCGA.AN.A049.01A.21R.A00Z.07	TCGA.B6.A0IM.01A.11R.A034.07	TCGA.PE.A5DC.01A.12R.A27Q.07	TCGA.OL.A5D8.01A.11R.A27Q.07	TCGA.3C.AALJ.01A.31R.A41B.07	TCGA.S3.A6ZH.01A.22R.A32P.07	TCGA.BH.A1FG.01A.11R.A13Q.07	TCGA.C8.A12U.01A.11R.A115.07	TCGA.5T.A9QA.01A.11R.A41B.07	TCGA.E9.A245.01A.22R.A16F.07	TCGA.C8.A1HN.01A.11R.A137.07	TCGA.E9.A1NE.01A.21R.A14M.07	TCGA.AO.A0JI.01A.21R.A056.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A092.01A.11R.A00Z.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.AR.A0TQ.01A.11R.A084.07	TCGA.D8.A1X6.01A.11R.A14M.07	TCGA.A8.A08S.01A.11R.A034.07	TCGA.B6.A0RG.01A.11R.A056.07	TCGA.A8.A09T.01A.11R.A00Z.07	TCGA.BH.A0DS.01A.11R.A056.07	TCGA.BH.A0HW.01A.11R.A034.07	TCGA.A2.A0YT.01A.11R.A109.07	TCGA.AN.A046.01A.21R.A034.07	TCGA.BH.A6R8.01A.21R.A33J.07	TCGA.A1.A0SD.01A.11R.A115.07	TCGA.A7.A13F.01A.11R.A12P.07	TCGA.E2.A106.01A.11R.A10J.07	TCGA.C8.A12N.01A.11R.A115.07	TCGA.E2.A105.01A.11R.A10J.07	TCGA.AQ.A1H2.01A.11R.A13Q.07	TCGA.D8.A27W.01A.11R.A16F.07	TCGA.E2.A14T.01A.11R.A115.07	TCGA.E9.A1R5.01A.11R.A14M.07	TCGA.E2.A1IU.01A.11R.A14D.07	TCGA.A8.A06O.01A.11R.A00Z.07	TCGA.AR.A24L.01A.11R.A169.07	TCGA.AO.A1KS.01A.11R.A13Q.07	TCGA.A8.A09M.01A.11R.A00Z.07	TCGA.AN.A04A.01A.21R.A034.07	TCGA.3C.AAAU.01A.11R.A41B.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.E9.A295.01A.11R.A16F.07	TCGA.BH.A204.01A.11R.A157.07	TCGA.E9.A1N3.01A.12R.A157.07	TCGA.OL.A66J.01A.11R.A29R.07	TCGA.D8.A27R.01A.11R.A16F.07	TCGA.A8.A09E.01A.11R.A00Z.07	TCGA.BH.A0E1.01A.11R.A056.07	TCGA.JL.A3YX.01A.11R.A22U.07	TCGA.C8.A1HO.01A.11R.A13Q.07	TCGA.A2.A04V.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A2JS.01A.11R.A180.07	TCGA.A8.A06Z.01A.11R.A00Z.07	TCGA.EW.A2FV.01A.11R.A17B.07	TCGA.A8.A09B.01A.11R.A00Z.07	TCGA.E2.A15S.01A.11R.A115.07	TCGA.B6.A0WW.01A.11R.A109.07	TCGA.A8.A06T.01A.11R.A00Z.07	TCGA.AC.A2FM.01A.11R.A19W.07	TCGA.C8.A1HI.01A.11R.A137.07	TCGA.S3.AA12.01A.11R.A41B.07	TCGA.A7.A3RF.01A.11R.A22K.07	TCGA.A2.A04R.01A.41R.A109.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.B6.A0RL.01A.11R.A084.07	TCGA.E2.A15R.01A.11R.A115.07	TCGA.D8.A1X9.01A.12R.A157.07	TCGA.B6.A0X4.01A.11R.A109.07	TCGA.AO.A0J3.01A.11R.A034.07	TCGA.E9.A5UP.01A.11R.A28M.07	TCGA.E9.A1NI.01A.11R.A14D.07	TCGA.2Y.A9GW.01A.11R.A38B.07	TCGA.G3.A5SL.01A.11R.A27V.07	TCGA.G3.A25Z.01A.11R.A16W.07	TCGA.DD.A1EG.01A.11R.A213.07	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.KR.A7K8.01A.11R.A33J.07	TCGA.EP.A3JL.01A.11R.A213.07	TCGA.DD.AAVR.01A.11R.A41C.07	TCGA.DD.AAD2.01A.11R.A41C.07	TCGA.G3.A7M7.01A.12R.A352.07	TCGA.ZS.A9CD.01A.11R.A37K.07	TCGA.CC.A3MC.01A.11R.A22L.07	TCGA.CC.5262.01A.01R.A131.07	TCGA.CC.A7IF.01A.11R.A33J.07	TCGA.K7.A6G5.01A.11R.A311.07	TCGA.O8.A75V.01A.11R.A32O.07	TCGA.BC.A69I.01A.11R.A311.07	TCGA.DD.A3A8.01A.11R.A22L.07	TCGA.BC.A10S.01A.22R.A131.07	TCGA.DD.A39Y.01A.11R.A213.07	TCGA.HP.A5MZ.01A.21R.A27V.07	TCGA.DD.AACY.01A.11R.A41C.07	TCGA.GJ.A3OU.01A.31R.A38B.07	TCGA.RC.A7SF.01A.11R.A352.07	TCGA.DD.A39Z.11A.21R.A213.07	TCGA.DD.A1EG.11A.11R.A213.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.DD.A39V.11A.11R.A213.07	TCGA.BC.A10W.11A.11R.A131.07	TCGA.EP.A26S.11A.12R.A16W.07
ACAP2	107.38	155.5	470.14	332.14	417.77	679.29	205.5	212.78	466.88	281.09	156.59	154.42	155.5	244.57	229.72	159.9	149.12	186.4	363.56	473.41	327.56	248.0	327.56	289.02	293.07	172.65	267.73	223.41	253.23	220.32	231.32	486.75	177.53	120.94	444.72	251.48	172.65	199.85	258.57	242.88	336.79	193.01	327.56	336.79	307.69	551.56	486.75	244.57	223.41	329.84	441.64	181.28	595.34	376.41	229.72	316.37	279.14	186.4	111.99	332.14	162.14	145.02	275.28	303.44	295.11	312.0	314.17	281.09	332.14	279.14	226.54	167.9	136.19	275.28	204.07	228.13	376.41	277.2	256.78	206.94	162.14	164.42	127.89	111.99	66.18	106.63	69.03	108.14	62.12	102.97	111.21	86.43	88.26	108.14	103.69	67.59	63.89	52.08	55.49	78.34	84.63	69.03	137.14	84.04	218.79	74.06	75.11	83.45	48.87	84.04	94.67	96.01
ADAT1	444.72	988.12	775.05	708.18	1417.35	1304.15	988.12	426.57	616.37	629.35	435.55	397.93	759.08	2163.77	483.38	1096.5	728.11	878.17	392.44	612.11	669.92	583.07	612.11	967.76	1135.2	591.22	669.92	420.68	503.95	409.15	624.99	974.5	389.72	723.08	651.58	848.22	981.29	500.46	802.41	441.64	1467.37	1331.57	775.05	583.07	521.76	896.64	708.18	373.81	1066.48	915.51	825.0	595.34	825.0	1081.39	470.14	780.44	693.58	429.54	373.81	748.61	426.57	624.99	728.11	961.07	603.67	599.49	463.65	693.58	2209.26	591.22	629.35	633.73	624.99	414.87	813.63	536.45	713.11	753.83	748.61	753.83	540.19	514.56	387.02	525.39	214.27	575.03	231.32	228.13	420.68	351.14	395.18	358.54	327.56	273.37	543.96	325.29	199.85	253.23	376.41	387.02	249.73	264.03	339.14	336.79	507.46	220.32	293.07	339.14	281.09	248.0	246.28	265.87
ADO	133.36	249.73	392.44	264.03	480.04	334.46	277.2	273.37	246.28	295.11	305.55	242.88	536.45	146.03	323.03	287.01	285.03	258.57	289.02	457.25	409.15	348.71	309.83	253.23	303.44	241.19	258.57	199.85	262.2	323.03	291.04	291.04	314.17	194.36	435.55	206.94	323.03	265.87	559.28	293.07	305.55	212.78	264.03	264.03	320.8	361.04	780.44	295.11	450.94	241.19	289.02	291.04	529.06	299.25	358.54	379.04	177.53	255.0	191.67	473.41	256.78	307.69	237.86	223.41	260.38	260.38	490.14	412.0	336.79	351.14	273.37	291.04	262.2	414.87	236.21	185.11	470.14	309.83	269.6	320.8	258.57	260.38	161.02	95.34	100.13	99.43	82.29	100.13	94.01	102.25	85.82	75.64	96.68	80.01	126.12	85.22	81.71	86.43	100.83	60.39	126.12	60.82	123.5	100.13	226.54	70.01	100.83	101.54	57.49	92.7	105.15	97.36
ANKIB1	201.25	224.97	633.73	559.28	665.29	674.59	314.17	420.68	275.28	928.3	325.29	255.0	356.05	417.77	373.81	323.03	153.34	262.2	540.19	595.34	543.96	351.14	473.41	438.59	480.04	249.73	351.14	490.14	454.09	323.03	543.96	466.88	281.09	327.56	603.67	473.41	271.48	384.34	490.14	193.01	417.77	387.02	409.15	409.15	438.59	1073.91	1104.13	426.57	309.83	395.18	708.18	336.79	785.88	674.59	275.28	339.14	348.71	303.44	236.21	595.34	435.55	248.0	409.15	327.56	395.18	555.41	547.75	518.15	486.75	483.38	346.29	287.01	155.5	595.34	327.56	392.44	775.05	854.13	348.71	323.03	237.86	334.46	143.01	142.01	64.34	81.14	84.63	100.13	80.57	87.03	113.56	57.08	70.01	121.79	102.25	107.38	57.49	72.52	65.72	82.29	72.52	73.54	117.6	61.25	167.9	110.43	93.35	95.34	57.89	82.87	94.67	95.34
ASXL2	48.87	55.1	189.02	215.77	170.25	320.8	90.14	94.67	141.02	314.17	74.06	46.18	102.25	115.97	111.21	111.21	72.52	140.04	112.77	277.2	201.25	120.94	118.43	182.55	175.07	103.69	215.77	85.82	149.12	105.89	111.21	265.87	75.64	47.5	214.27	99.43	128.79	112.77	135.24	126.12	231.32	171.45	211.31	215.77	120.1	246.28	197.09	94.01	147.06	144.01	339.14	107.38	297.17	244.57	92.7	107.38	99.43	159.9	71.0	163.28	82.29	91.41	169.07	115.16	150.17	158.79	215.77	137.14	44.25	127.0	97.36	113.56	83.45	128.79	105.15	109.66	221.86	361.04	176.29	103.69	68.55	88.26	51.35	48.18	37.05	56.28	39.5	42.41	29.27	47.84	46.84	35.5	39.79	47.17	39.79	43.32	26.28	31.22	19.68	49.91	36.53	20.41	48.18	56.28	90.14	35.0	30.12	30.78	23.25	27.44	25.91	61.25
ATRX	114.36	175.07	518.15	480.04	435.55	255.0	170.25	312.0	303.44	878.17	211.31	217.27	199.85	279.14	242.88	236.21	69.52	314.17	318.57	543.96	371.22	277.2	409.15	532.74	283.05	239.52	460.44	271.48	463.65	229.72	329.84	343.89	305.55	201.25	521.76	309.83	316.37	241.19	241.19	318.57	289.02	366.09	454.09	363.56	301.33	583.07	830.75	218.79	269.6	473.41	409.15	273.37	708.18	511.0	195.72	197.09	283.05	301.33	148.09	368.65	275.28	232.94	262.2	703.28	348.71	409.15	346.29	336.79	400.71	334.46	242.88	242.88	178.77	301.33	327.56	248.0	412.0	529.06	341.51	460.44	156.59	255.0	144.01	94.67	69.52	95.34	68.55	78.34	89.51	100.83	88.88	49.56	127.89	87.65	85.22	56.28	70.51	45.85	76.71	94.01	93.35	36.79	161.02	79.45	128.79	122.64	94.01	127.0	27.25	79.45	121.79	118.43
BAZ1B	412.0	500.46	1350.18	981.29	1175.27	1467.37	842.36	647.07	457.25	1733.13	591.22	563.18	559.28	967.76	470.14	679.29	373.81	764.36	1008.9	1008.9	769.69	693.58	693.58	785.88	854.13	842.36	665.29	808.0	813.63	693.58	884.29	796.86	728.11	679.29	854.13	866.07	665.29	551.56	836.53	353.59	764.36	1242.34	796.86	802.41	669.92	1127.35	915.51	723.08	769.69	974.5	941.27	571.05	902.89	1242.34	466.88	698.41	679.29	819.3	555.41	1030.12	723.08	476.71	708.18	909.17	813.63	842.36	1111.82	808.0	743.43	759.08	854.13	507.46	480.04	890.44	674.59	915.51	1519.15	1127.35	703.28	1259.69	423.61	595.34	332.14	314.17	199.85	281.09	287.01	361.04	279.14	171.45	285.03	144.01	201.25	371.22	293.07	303.44	175.07	199.85	215.77	232.94	307.69	307.69	241.19	392.44	351.14	226.54	228.13	239.52	139.07	217.27	208.38	239.52
BBS2	373.81	314.17	813.63	759.08	866.07	633.73	665.29	395.18	320.8	417.77	423.61	426.57	395.18	1268.46	351.14	738.29	571.05	748.61	825.0	620.67	400.71	633.73	379.04	629.35	559.28	791.35	332.14	432.53	884.29	363.56	780.44	753.83	423.61	688.78	423.61	684.02	444.72	1709.26	848.22	297.17	616.37	708.18	432.53	521.76	366.09	507.46	463.65	802.41	432.53	941.27	954.43	532.74	679.29	878.17	595.34	693.58	842.36	397.93	441.64	642.59	327.56	723.08	397.93	387.02	486.75	616.37	483.38	406.31	559.28	525.39	490.14	470.14	518.15	361.04	629.35	406.31	466.88	928.3	974.5	460.44	320.8	463.65	226.54	463.65	204.07	156.59	105.15	151.22	217.27	307.69	403.5	264.03	236.21	162.14	265.87	161.02	185.11	193.01	320.8	341.51	199.85	212.78	450.94	167.9	356.05	136.19	211.31	191.67	171.45	205.5	275.28	223.41
CBLL1	109.66	239.52	638.15	454.09	460.44	543.96	287.01	291.04	209.84	656.11	175.07	198.47	212.78	684.02	325.29	314.17	127.0	262.2	525.39	500.46	583.07	307.69	348.71	450.94	334.46	253.23	297.17	289.02	318.57	325.29	454.09	316.37	463.65	371.22	423.61	346.29	228.13	262.2	395.18	167.9	397.93	403.5	376.41	460.44	332.14	497.0	902.89	346.29	299.25	490.14	400.71	289.02	813.63	486.75	241.19	305.55	221.86	343.89	212.78	591.22	251.48	199.85	417.77	412.0	271.48	366.09	423.61	368.65	412.0	251.48	327.56	423.61	191.67	420.68	224.97	305.55	872.1	543.96	325.29	373.81	156.59	242.88	161.02	246.28	105.89	140.04	191.67	157.68	104.42	138.1	107.38	103.69	127.0	204.07	182.55	171.45	75.11	77.25	88.88	108.14	108.9	82.87	117.6	124.37	158.79	104.42	102.97	116.78	85.22	88.88	89.51	104.42
CCAR1	836.53	1286.18	1397.83	1233.75	1498.22	988.12	1350.18	1233.75	1331.57	1088.92	1015.93	902.89	2209.26	775.05	1135.2	1407.55	1844.76	884.29	1135.2	1551.09	1111.82	1561.89	1529.73	1467.37	1191.69	1437.15	1378.57	1447.15	1233.75	1151.06	995.0	1340.84	1397.83	684.02	1268.46	1023.0	1151.06	1857.6	1709.26	1096.5	1073.91	1088.92	1286.18	961.07	1529.73	878.17	1594.73	1259.69	1008.9	866.07	988.12	934.76	1896.65	1369.04	890.44	1159.07	738.29	1331.57	1008.9	1369.04	1447.15	854.13	769.69	1167.14	1340.84	1286.18	1417.35	1104.13	1487.87	723.08	1331.57	1066.48	674.59	1378.57	819.3	1304.15	1313.23	1066.48	1447.15	1233.75	902.89	1639.59	728.11	674.59	353.59	555.41	392.44	473.41	536.45	723.08	599.49	540.19	463.65	693.58	703.28	808.0	397.93	571.05	343.89	403.5	406.31	656.11	743.43	429.54	679.29	529.06	339.14	361.04	52.45	301.33	521.76	201.25
